time,Toronto,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Embiid vs. J. Valanciunas (K. Lowry gains possession),,,,Jump ball: J. Embiid vs. J. Valanciunas (K. Lowry gains possession)
11:45.0,S. Ibaka misses 2-pt shot from 15 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by R. Covington
11:34.0,,,0-0,,B. Simmons misses 2-pt shot from 3 ft
11:31.0,,,0-0,,Offensive rebound by J. Embiid
11:29.0,,,0-2,2,J. Embiid makes 2-pt shot from 15 ft
11:11.0,J. Valanciunas makes 2-pt shot from 1 ft (assist by D. DeRozan),2,2-2,,
10:55.0,,,2-4,2,B. Simmons makes 2-pt shot from 7 ft (assist by J. Redick)
10:29.0,D. DeRozan makes 2-pt shot from 9 ft (assist by S. Ibaka),2,4-4,,
10:12.0,,,4-6,2,B. Simmons makes 2-pt shot from 1 ft (assist by J. Embiid)
9:59.0,S. Ibaka misses 3-pt shot from 26 ft,,4-6,,
9:55.0,,,4-6,,Defensive rebound by J. Redick
9:50.0,,,4-6,,D. Saric misses 3-pt shot from 25 ft
9:47.0,Defensive rebound by J. Valanciunas,,4-6,,
9:43.0,K. Lowry misses 3-pt shot from 25 ft,,4-6,,
9:40.0,,,4-6,,Defensive rebound by R. Covington
9:30.0,,,4-6,,J. Embiid misses 2-pt shot from 13 ft
9:25.0,Defensive rebound by J. Valanciunas,,4-6,,
9:16.0,J. Valanciunas makes 2-pt shot from 1 ft,2,6-6,,
8:59.0,,,6-8,2,J. Embiid makes 2-pt shot from 17 ft
8:44.0,S. Ibaka misses 2-pt shot from 4 ft,,6-8,,
8:42.0,,,6-8,,Defensive rebound by J. Embiid
8:36.0,,,6-8,,D. Saric misses 2-pt shot from 5 ft
8:34.0,Defensive rebound by J. Valanciunas,,6-8,,
8:21.0,Turnover by J. Valanciunas (traveling),,6-8,,
8:07.0,,,6-10,2,J. Embiid makes 2-pt shot from 1 ft
8:07.0,,,6-10,,Shooting foul by J. Valanciunas (drawn by J. Embiid)
8:07.0,,,6-10,,J. Bayless enters the game for J. Redick
8:07.0,,,6-11,1,J. Embiid makes free throw 1 of 1
7:49.0,D. DeRozan misses 2-pt shot from 10 ft,,6-11,,
7:39.0,Offensive rebound by S. Ibaka,,6-11,,
7:39.0,S. Ibaka makes 2-pt shot at rim,2,8-11,,
7:29.0,,,8-13,2,J. Embiid makes 2-pt shot from 1 ft
7:17.0,S. Ibaka makes 2-pt shot from 7 ft,2,10-13,,
7:08.0,,,10-13,,Shooting foul by O. Anunoby (drawn by B. Simmons)
7:08.0,,,10-13,,T. McConnell enters the game for R. Covington
7:08.0,,,10-13,,B. Simmons misses free throw 1 of 2
7:08.0,,,10-13,,Offensive rebound by Team
7:08.0,,,10-13,,B. Simmons misses free throw 2 of 2
7:02.0,Defensive rebound by J. Valanciunas,,10-13,,
