time,Orlando,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Nurkic vs. N. Vucevic (D. Lillard gains possession),,,,Jump ball: J. Nurkic vs. N. Vucevic (D. Lillard gains possession)
11:43.0,,,0-0,,Turnover by J. Nurkic (bad pass; steal by T. Ross)
11:26.0,N. Vucevic misses 2-pt shot from 15 ft,,0-0,,
11:23.0,,,0-0,,Defensive rebound by D. Lillard
11:16.0,,,0-0,,Shooting foul by A. Gordon (drawn by C. Swanigan)
11:16.0,,,0-0,,C. Swanigan misses free throw 1 of 2
11:16.0,,,0-0,,Offensive rebound by Team
11:16.0,,,0-0,,C. Swanigan misses free throw 2 of 2
11:14.0,Defensive rebound by T. Ross,,0-0,,
11:07.0,E. Payton makes 2-pt shot from 20 ft,2,2-0,,
10:48.0,,,2-2,2,J. Nurkic makes 2-pt shot from 3 ft (assist by D. Lillard)
10:48.0,,,2-2,,Shooting foul by E. Payton (drawn by J. Nurkic)
10:48.0,,,2-3,1,J. Nurkic makes free throw 1 of 1
10:35.0,A. Gordon makes 2-pt shot from 16 ft (assist by N. Vucevic),2,4-3,,
10:25.0,,,4-3,,D. Lillard misses 2-pt shot from 13 ft
10:22.0,,,4-3,,Offensive rebound by D. Lillard
10:21.0,,,4-3,,D. Lillard misses 2-pt shot from 13 ft
10:21.0,Defensive rebound by N. Vucevic,,4-3,,
10:16.0,E. Fournier makes 2-pt shot at rim (assist by E. Payton),2,6-3,,
10:00.0,,,6-3,,M. Harkless misses 2-pt shot from 22 ft
9:58.0,Defensive rebound by A. Gordon,,6-3,,
9:43.0,E. Fournier makes 2-pt shot from 7 ft,2,8-3,,
9:23.0,,,8-3,,Turnover by C. Swanigan (lost ball; steal by T. Ross)
9:14.0,N. Vucevic makes 3-pt shot from 24 ft (assist by T. Ross),3,11-3,,
8:53.0,,,11-3,,Turnover by D. Lillard (bad pass; steal by T. Ross)
8:48.0,E. Payton makes 2-pt shot from 12 ft,2,13-3,,
8:47.0,,,13-3,,Portland full timeout
8:37.0,,,13-3,,Turnover by C. McCollum (turnover)
8:19.0,E. Payton misses 2-pt shot from 8 ft,,13-3,,
8:17.0,,,13-3,,Defensive rebound by J. Nurkic
8:06.0,,,13-6,3,C. McCollum makes 3-pt shot from 25 ft
7:46.0,N. Vucevic makes 2-pt shot from 19 ft,2,15-6,,
7:23.0,,,15-9,3,C. McCollum makes 3-pt shot from 24 ft (assist by J. Nurkic)
7:10.0,E. Fournier makes 2-pt shot from 2 ft,2,17-9,,
7:02.0,,,17-9,,Shooting foul by T. Ross (drawn by D. Lillard)
7:02.0,,,17-9,,D. Lillard misses free throw 1 of 2
7:02.0,,,17-9,,Offensive rebound by Team
7:02.0,,,17-10,1,D. Lillard makes free throw 2 of 2
6:44.0,E. Payton makes 2-pt shot from 1 ft,2,19-10,,
6:29.0,,,19-10,,J. Nurkic misses 2-pt shot from 6 ft
6:26.0,,,19-10,,Offensive rebound by Team
6:26.0,,,19-10,,N. Vonleh enters the game for C. Swanigan
