time,Oklahoma City,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. S. Adams (C. Anthony gains possession),,,,Jump ball: R. Gobert vs. S. Adams (C. Anthony gains possession)
11:36.0,C. Anthony misses 2-pt shot from 20 ft,,0-0,,
11:34.0,,,0-0,,Defensive rebound by R. Gobert
11:20.0,,,0-3,3,D. Mitchell makes 3-pt shot from 22 ft (assist by R. Rubio)
11:01.0,P. George misses 2-pt shot from 18 ft,,0-3,,
10:57.0,Offensive rebound by S. Adams,,0-3,,
10:55.0,Jump ball: R. Rubio vs. S. Adams (R. Westbrook gains possession),,,,Jump ball: R. Rubio vs. S. Adams (R. Westbrook gains possession)
10:47.0,R. Westbrook misses 2-pt shot from 7 ft,,0-3,,
10:45.0,,,0-3,,Defensive rebound by R. Gobert
10:36.0,,,0-3,,J. Ingles misses 3-pt shot from 22 ft
10:34.0,Defensive rebound by R. Westbrook,,0-3,,
10:28.0,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook),2,2-3,,
10:14.0,,,2-3,,R. Rubio misses 3-pt shot from 24 ft
10:11.0,Defensive rebound by C. Anthony,,2-3,,
9:57.0,S. Adams makes 2-pt shot from 7 ft (assist by P. George),2,4-3,,
9:39.0,,,4-5,2,R. Gobert makes 2-pt shot from 1 ft (assist by R. Rubio)
9:25.0,P. George makes 2-pt shot from 1 ft (assist by R. Westbrook),2,6-5,,
9:16.0,,,6-7,2,R. Gobert makes 2-pt shot from 2 ft (assist by R. Rubio)
8:58.0,P. George misses 2-pt shot from 19 ft,,6-7,,
8:56.0,,,6-7,,Defensive rebound by J. Ingles
8:56.0,Personal foul by P. George (drawn by J. Ingles),,6-7,,
8:38.0,,,6-7,,D. Favors misses 2-pt shot from 3 ft
8:36.0,,,6-7,,Offensive rebound by D. Favors
8:33.0,,,6-9,2,D. Favors makes 2-pt shot from 2 ft
8:20.0,R. Westbrook misses 2-pt shot from 13 ft,,6-9,,
8:16.0,,,6-9,,Defensive rebound by D. Favors
8:10.0,,,6-9,,D. Mitchell misses 2-pt shot from 3 ft
8:08.0,Defensive rebound by R. Westbrook,,6-9,,
8:00.0,R. Westbrook makes 2-pt shot from 16 ft,2,8-9,,
7:38.0,,,8-9,,R. Gobert misses 2-pt shot from 1 ft
7:35.0,Defensive rebound by S. Adams,,8-9,,
7:17.0,P. George misses 2-pt shot from 15 ft,,8-9,,
7:14.0,,,8-9,,Defensive rebound by R. Rubio
7:06.0,,,8-11,2,J. Ingles makes 2-pt shot from 1 ft
6:48.0,C. Anthony makes 2-pt shot from 4 ft,2,10-11,,
6:40.0,,,10-11,,J. Ingles misses 3-pt shot from 25 ft
6:37.0,Defensive rebound by P. George,,10-11,,
6:30.0,R. Westbrook makes 3-pt shot from 24 ft (assist by P. George),3,13-11,,
6:30.0,,,13-11,,Utah full timeout
6:30.0,,,13-11,,J. Crowder enters the game for J. Ingles
6:17.0,,,13-11,,Turnover by J. Crowder (bad pass)
5:58.0,C. Anthony misses 2-pt shot from 7 ft,,13-11,,
5:57.0,Offensive rebound by Team,,13-11,,
5:57.0,,,13-11,,Loose ball foul by D. Favors (drawn by C. Anthony)
5:57.0,,,13-11,,R. O'Neale enters the game for D. Favors
5:57.0,J. Grant enters the game for C. Brewer,,13-11,,
5:57.0,A. Abrines enters the game for C. Anthony,,13-11,,
5:52.0,A. Abrines misses 3-pt shot from 24 ft,,13-11,,
5:50.0,,,13-11,,Defensive rebound by R. Gobert
5:43.0,,,13-11,,R. O'Neale misses 3-pt shot from 23 ft
5:39.0,Defensive rebound by R. Westbrook,,13-11,,
5:31.0,P. George misses 2-pt shot from 18 ft,,13-11,,
5:29.0,,,13-11,,Defensive rebound by R. Gobert
5:17.0,,,13-11,,D. Mitchell misses 3-pt shot from 26 ft
5:14.0,Defensive rebound by S. Adams,,13-11,,
5:09.0,R. Westbrook misses 2-pt shot from 18 ft,,13-11,,
5:06.0,,,13-11,,Defensive rebound by R. Gobert
4:56.0,,,13-11,,J. Crowder misses 2-pt shot from 2 ft
4:54.0,Defensive rebound by S. Adams,,13-11,,
4:52.0,,,13-11,,Personal foul by R. O'Neale (drawn by R. Westbrook)
4:52.0,,,13-11,,D. Exum enters the game for R. Rubio
4:45.0,P. George makes 2-pt shot from 19 ft,2,15-11,,
4:25.0,,,15-11,,R. Gobert misses 2-pt shot from 2 ft
4:23.0,Defensive rebound by S. Adams,,15-11,,
4:12.0,Turnover by P. George (bad pass),,15-11,,
4:01.0,,,15-11,,Turnover by D. Exum (out of bounds lost ball)
3:48.0,R. Westbrook makes 2-pt shot from 17 ft,2,17-11,,
3:26.0,,,17-11,,J. Crowder misses 2-pt shot from 7 ft
3:24.0,Defensive rebound by R. Westbrook,,17-11,,
3:08.0,J. Grant makes 3-pt shot from 24 ft (assist by S. Adams),3,20-11,,
3:06.0,,,20-11,,Utah full timeout
3:06.0,,,20-11,,J. Ingles enters the game for R. O'Neale
3:06.0,,,20-11,,D. Favors enters the game for R. Gobert
2:57.0,Personal foul by A. Abrines (drawn by J. Ingles),,20-11,,
2:48.0,,,20-11,,Shooting foul by S. Adams (drawn by J. Ingles)
2:48.0,,,20-12,1,J. Ingles makes free throw 1 of 2
2:48.0,,,20-12,,J. Ingles misses free throw 2 of 2
2:46.0,Defensive rebound by A. Abrines,,20-12,,
2:29.0,A. Abrines misses 2-pt shot from 20 ft,,20-12,,
2:25.0,,,20-12,,Defensive rebound by D. Favors
2:07.0,,,20-14,2,D. Favors makes 2-pt shot from 18 ft
1:48.0,R. Westbrook misses 3-pt shot from 24 ft,,20-14,,
1:46.0,Offensive rebound by A. Abrines,,20-14,,
1:36.0,Turnover by P. George (bad pass),,20-14,,
1:36.0,,,20-14,,R. O'Neale enters the game for D. Exum
1:36.0,,,20-14,,A. Burks enters the game for D. Mitchell
1:36.0,J. Huestis enters the game for R. Westbrook,,20-14,,
1:36.0,C. Anthony enters the game for S. Adams,,20-14,,
1:36.0,R. Felton enters the game for P. George,,20-14,,
1:21.0,,,20-17,3,J. Crowder makes 3-pt shot from 24 ft (assist by A. Burks)
0:56.0,R. Felton misses 2-pt shot from 3 ft,,20-17,,
0:53.0,Offensive rebound by J. Grant,,20-17,,
0:53.0,J. Grant makes 2-pt shot from 1 ft,2,22-17,,
0:40.0,,,22-17,,Turnover by J. Ingles (bad pass; steal by J. Huestis)
0:33.0,C. Anthony misses 2-pt shot from 15 ft,,22-17,,
0:31.0,,,22-17,,Defensive rebound by D. Favors
0:18.0,,,22-17,,Shooting foul by C. Anthony (drawn by A. Burks)
0:18.0,,,22-17,,A. Burks misses free throw 1 of 2
0:18.0,,,22-17,,Offensive rebound by Team
0:18.0,P. George enters the game for J. Grant,,22-17,,
0:18.0,,,22-18,1,A. Burks makes free throw 2 of 2
0:00.0,R. Felton misses 2-pt shot from 23 ft,,22-18,,
0:00.0,,,22-18,,Defensive rebound by J. Ingles
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,22-18,,J. Crowder misses 3-pt shot from 22 ft
11:36.0,Defensive rebound by R. Felton,,22-18,,
11:15.0,R. Felton misses 3-pt shot from 26 ft,,22-18,,
11:13.0,,,22-18,,Defensive rebound by D. Favors
10:58.0,,,22-18,,J. Jerebko enters the game for J. Crowder
10:55.0,Jump ball: D. Favors vs. P. George (R. O'Neale gains possession),,,,Jump ball: D. Favors vs. P. George (R. O'Neale gains possession)
10:52.0,,,22-18,,A. Burks misses 2-pt shot from 22 ft
10:50.0,Defensive rebound by A. Abrines,,22-18,,
10:40.0,Turnover by P. George (bad pass; steal by J. Jerebko),,22-18,,
10:36.0,,,22-18,,R. O'Neale misses 2-pt shot from 3 ft (block by A. Abrines)
10:32.0,Jump ball: D. Favors vs. J. Grant (J. Ingles gains possession),,,,Jump ball: D. Favors vs. J. Grant (J. Ingles gains possession)
10:32.0,,,22-18,,Offensive rebound by Team
10:16.0,,,22-20,2,A. Burks makes 2-pt shot from 5 ft
9:58.0,P. George misses 2-pt shot from 4 ft,,22-20,,
9:56.0,,,22-20,,Defensive rebound by D. Favors
9:44.0,,,22-20,,J. Jerebko misses 3-pt shot from 28 ft
9:41.0,Defensive rebound by J. Grant,,22-20,,
9:32.0,Turnover by P. George (bad pass; steal by J. Ingles),,22-20,,
9:27.0,,,22-20,,A. Burks misses 3-pt shot from 24 ft
9:26.0,,,22-20,,Offensive rebound by J. Jerebko
9:25.0,,,22-20,,J. Jerebko misses 2-pt shot from 3 ft
9:25.0,,,22-20,,Offensive rebound by J. Jerebko
9:24.0,,,22-20,,J. Jerebko misses 2-pt shot from 3 ft
9:24.0,,,22-20,,Offensive rebound by Team
9:24.0,Loose ball foul by J. Grant (drawn by J. Jerebko),,22-20,,
9:24.0,,,22-20,,R. Gobert enters the game for D. Favors
9:24.0,,,22-20,,D. Mitchell enters the game for R. O'Neale
9:24.0,C. Brewer enters the game for R. Felton,,22-20,,
9:24.0,S. Adams enters the game for A. Abrines,,22-20,,
9:24.0,R. Westbrook enters the game for J. Grant,,22-20,,
9:14.0,,,22-22,2,A. Burks makes 2-pt shot from 2 ft
9:14.0,,,22-22,,Shooting foul by C. Anthony (drawn by A. Burks)
9:14.0,,,22-23,1,A. Burks makes free throw 1 of 1
9:01.0,P. George misses 3-pt shot from 24 ft,,22-23,,
9:00.0,,,22-23,,Defensive rebound by Team
8:39.0,,,22-23,,Turnover by J. Ingles (out of bounds lost ball)
