time,Chicago,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. R. Lopez (J. Holiday gains possession),,,,Jump ball: M. Gortat vs. R. Lopez (J. Holiday gains possession)
11:39.0,R. Lopez makes 2-pt shot from 7 ft (assist by D. Valentine),2,2-0,,
11:27.0,,,2-2,2,J. Wall makes 2-pt shot at rim
11:10.0,J. Holiday misses 3-pt shot from 26 ft,,2-2,,
11:07.0,,,2-2,,Defensive rebound by M. Morris
10:53.0,,,2-2,,M. Gortat misses 2-pt shot from 5 ft
10:51.0,Defensive rebound by D. Valentine,,2-2,,
10:46.0,L. Markkanen misses 2-pt shot from 1 ft,,2-2,,
10:46.0,Offensive rebound by L. Markkanen,,2-2,,
10:46.0,L. Markkanen makes 2-pt shot from 1 ft,2,4-2,,
10:46.0,Shooting foul by M. Morris (drawn by L. Markkanen),,4-2,,
10:46.0,L. Markkanen makes free throw 1 of 1,1,5-2,,
10:29.0,,,5-4,2,M. Gortat makes 2-pt shot from 3 ft (assist by O. Porter)
10:17.0,K. Dunn misses 3-pt shot from 26 ft,,5-4,,
10:13.0,,,5-4,,Defensive rebound by M. Morris
10:07.0,,,5-4,,Offensive foul by M. Gortat (drawn by J. Holiday)
10:07.0,,,5-4,,Turnover by M. Gortat (offensive foul)
9:57.0,Turnover by K. Dunn (bad pass; steal by B. Beal),,5-4,,
9:53.0,,,5-6,2,B. Beal makes 2-pt shot from 1 ft
9:47.0,L. Markkanen makes 3-pt shot from 26 ft (assist by K. Dunn),3,8-6,,
9:32.0,,,8-6,,B. Beal misses 3-pt shot from 25 ft
9:32.0,Defensive rebound by D. Valentine,,8-6,,
9:26.0,J. Holiday makes 2-pt shot from 2 ft (assist by D. Valentine),2,10-6,,
9:12.0,,,10-6,,J. Wall misses 3-pt shot from 25 ft
9:07.0,Defensive rebound by L. Markkanen,,10-6,,
9:05.0,L. Markkanen misses 2-pt shot from 2 ft (block by M. Gortat),,10-6,,
9:04.0,Offensive rebound by Team,,10-6,,
9:01.0,L. Markkanen misses 3-pt shot from 27 ft,,10-6,,
9:01.0,Offensive rebound by L. Markkanen,,10-6,,
8:58.0,D. Valentine misses 3-pt shot from 26 ft,,10-6,,
8:58.0,,,10-6,,Defensive rebound by M. Morris
8:48.0,,,10-6,,Shooting foul by K. Dunn (drawn by J. Wall)
8:48.0,,,10-7,1,J. Wall makes free throw 1 of 2
8:48.0,,,10-8,1,J. Wall makes free throw 2 of 2
8:32.0,L. Markkanen misses 3-pt shot from 25 ft,,10-8,,
8:29.0,Offensive rebound by R. Lopez,,10-8,,
8:27.0,K. Dunn makes 2-pt shot from 17 ft (assist by D. Valentine),2,12-8,,
8:07.0,,,12-8,,Turnover by O. Porter (traveling)
7:49.0,K. Dunn makes 2-pt shot from 2 ft,2,14-8,,
7:35.0,,,14-8,,Shooting foul by R. Lopez (drawn by M. Morris)
7:35.0,,,14-9,1,M. Morris makes free throw 1 of 3
7:35.0,,,14-10,1,M. Morris makes free throw 2 of 3
7:35.0,,,14-11,1,M. Morris makes free throw 3 of 3
7:18.0,L. Markkanen makes 2-pt shot from 2 ft (assist by K. Dunn),2,16-11,,
7:10.0,,,16-11,,O. Porter misses 2-pt shot from 20 ft
7:06.0,,,16-11,,Offensive rebound by M. Morris
7:00.0,,,16-11,,M. Gortat misses 2-pt shot from 1 ft
6:57.0,Defensive rebound by D. Valentine,,16-11,,
6:53.0,L. Markkanen misses 2-pt shot from 5 ft,,16-11,,
6:50.0,,,16-11,,Defensive rebound by J. Wall
6:43.0,,,16-11,,J. Wall misses 2-pt shot from 18 ft
6:41.0,Defensive rebound by L. Markkanen,,16-11,,
6:31.0,K. Dunn makes 2-pt shot from 1 ft,2,18-11,,
6:31.0,,,18-11,,Washington full timeout
