time,Cleveland,pts.away,score,pts.home,Milwaukee
5:02.0,,,19-16,2,E. Bledsoe makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
5:02.0,Cleveland full timeout,,19-16,,
5:02.0,,,19-16,,T. Maker enters the game for J. Henson
4:53.0,L. James makes 2-pt shot at rim (assist by K. Love),2,21-16,,
4:35.0,,,21-16,,Shooting foul by J. Calderon (drawn by G. Antetokounmpo)
4:35.0,,,21-17,1,G. Antetokounmpo makes free throw 1 of 2
4:35.0,,,21-17,,G. Antetokounmpo misses free throw 2 of 2
4:35.0,Defensive rebound by J. Crowder,,21-17,,
4:35.0,D. Wade enters the game for J. Calderon,,21-17,,
4:23.0,J. Crowder misses 3-pt shot from 27 ft,,21-17,,
4:20.0,,,21-17,,Defensive rebound by E. Bledsoe
4:15.0,,,21-19,2,E. Bledsoe makes 2-pt shot from 16 ft
3:55.0,K. Love makes 2-pt shot from 19 ft (assist by J. Smith),2,23-19,,
3:43.0,Personal foul by J. Smith (drawn by K. Middleton),,23-19,,
3:43.0,,,23-19,,M. Brogdon enters the game for E. Bledsoe
3:43.0,J. Green enters the game for J. Smith,,23-19,,
3:43.0,K. Korver enters the game for J. Crowder,,23-19,,
3:27.0,,,23-19,,K. Middleton misses 2-pt shot from 12 ft
3:27.0,,,23-19,,Offensive rebound by T. Maker
3:27.0,,,23-19,,Shooting foul by K. Korver (drawn by T. Maker)
3:27.0,,,23-19,,T. Maker misses free throw 1 of 2
3:27.0,,,23-19,,Offensive rebound by Team
3:27.0,,,23-20,1,T. Maker makes free throw 2 of 2
3:27.0,,,23-20,,D. Liggins enters the game for K. Middleton
3:15.0,K. Love makes 3-pt shot from 27 ft (assist by L. James),3,26-20,,
3:04.0,,,26-20,,T. Snell misses 3-pt shot from 25 ft
3:04.0,Defensive rebound by K. Love,,26-20,,
2:55.0,K. Love misses 3-pt shot from 27 ft,,26-20,,
2:55.0,,,26-20,,Defensive rebound by M. Brogdon
2:36.0,,,26-23,3,T. Snell makes 3-pt shot from 26 ft (assist by T. Maker)
2:18.0,J. Green makes 2-pt shot from 1 ft (assist by K. Love),2,28-23,,
2:03.0,,,28-25,2,G. Antetokounmpo makes 2-pt shot from 10 ft
1:45.0,K. Korver misses 2-pt shot from 10 ft,,28-25,,
1:45.0,,,28-25,,Defensive rebound by G. Antetokounmpo
1:37.0,,,28-25,,G. Antetokounmpo misses 2-pt shot from 1 ft
1:37.0,Defensive rebound by K. Love,,28-25,,
1:19.0,,,28-25,,Personal foul by T. Maker (drawn by L. James)
1:19.0,T. Thompson enters the game for K. Love,,28-25,,
1:06.0,D. Wade makes 3-pt shot from 23 ft (assist by T. Thompson),3,31-25,,
0:54.0,,,31-25,,T. Snell misses 3-pt shot from 25 ft
0:52.0,Defensive rebound by T. Thompson,,31-25,,
0:37.0,,,31-25,,Personal foul by T. Maker (drawn by T. Thompson)
0:37.0,T. Thompson makes free throw 1 of 2,1,32-25,,
0:37.0,T. Thompson misses free throw 2 of 2,,32-25,,
0:37.0,,,32-25,,Defensive rebound by G. Antetokounmpo
0:37.0,C. Osman enters the game for L. James,,32-25,,
0:23.0,,,32-27,2,T. Snell makes 2-pt shot from 1 ft (assist by D. Liggins)
0:01.0,D. Wade makes 2-pt shot from 1 ft,2,34-27,,
0:00.0,,,34-27,,Shooting foul by K. Korver (drawn by G. Antetokounmpo)
0:00.0,,,34-28,1,G. Antetokounmpo makes free throw 1 of 3
0:00.0,,,34-29,1,G. Antetokounmpo makes free throw 2 of 3
0:00.0,,,34-30,1,G. Antetokounmpo makes free throw 3 of 3
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:54.0,J. Green misses 2-pt shot from 2 ft (block by T. Maker),,34-30,,
11:54.0,Offensive rebound by Team,,34-30,,
11:51.0,K. Korver misses 2-pt shot from 17 ft,,34-30,,
11:49.0,Offensive rebound by T. Thompson,,34-30,,
11:49.0,T. Thompson makes 2-pt shot at rim,2,36-30,,
11:24.0,,,36-32,2,S. Brown makes 2-pt shot from 1 ft (assist by K. Middleton)
11:03.0,Turnover by C. Osman (bad pass; steal by S. Brown),,36-32,,
10:58.0,,,36-32,,M. Brogdon misses 2-pt shot from 2 ft (block by J. Green)
10:54.0,Defensive rebound by C. Osman,,36-32,,
10:36.0,J. Green misses 2-pt shot from 13 ft,,36-32,,
10:33.0,,,36-32,,Defensive rebound by T. Maker
10:19.0,,,36-32,,S. Brown misses 2-pt shot from 5 ft
10:17.0,,,36-32,,Offensive rebound by T. Maker
10:15.0,,,36-32,,D. Liggins misses 3-pt shot from 22 ft
10:12.0,Defensive rebound by T. Thompson,,36-32,,
10:01.0,Turnover by D. Wade (lost ball; steal by T. Maker),,36-32,,
9:57.0,,,36-34,2,K. Middleton makes 2-pt shot at rim (assist by T. Maker)
9:33.0,Shooting foul by K. Middleton (drawn by J. Green),,36-34,,
9:33.0,J. Green makes free throw 1 of 2,1,37-34,,
9:33.0,J. Green makes free throw 2 of 2,1,38-34,,
9:20.0,,,38-36,2,M. Brogdon makes 2-pt shot from 14 ft
9:00.0,T. Thompson makes 2-pt shot from 1 ft (assist by D. Wade),2,40-36,,
8:43.0,,,40-38,2,K. Middleton makes 2-pt shot from 12 ft
8:32.0,C. Osman misses 2-pt shot from 19 ft,,40-38,,
8:29.0,,,40-38,,Defensive rebound by T. Maker
8:29.0,Personal foul by K. Korver (drawn by T. Maker),,40-38,,
8:29.0,J. Smith enters the game for K. Korver,,40-38,,
8:21.0,Personal foul by T. Thompson (drawn by D. Liggins),,40-38,,
8:18.0,,,40-41,3,M. Brogdon makes 3-pt shot from 28 ft (assist by T. Maker)
7:57.0,D. Wade misses 2-pt shot from 20 ft,,40-41,,
7:55.0,,,40-41,,Defensive rebound by S. Brown
7:53.0,Personal foul by D. Wade (drawn by M. Brogdon),,40-41,,
7:42.0,,,40-43,2,K. Middleton makes 2-pt shot from 20 ft (assist by M. Brogdon)
7:22.0,T. Thompson misses 2-pt shot from 4 ft (block by D. Liggins),,40-43,,
7:18.0,,,40-43,,Defensive rebound by D. Liggins
7:15.0,,,40-43,,S. Brown misses 3-pt shot from 23 ft
7:15.0,,,40-43,,Offensive rebound by Team
7:13.0,,,40-43,,J. Henson enters the game for T. Maker
7:13.0,K. Love enters the game for T. Thompson,,40-43,,
7:13.0,L. James enters the game for C. Osman,,40-43,,
7:07.0,,,40-46,3,K. Middleton makes 3-pt shot from 25 ft
7:07.0,,,40-46,,Shooting foul by J. Smith (drawn by K. Middleton)
7:07.0,J. Calderon enters the game for J. Smith,,40-46,,
7:07.0,,,40-47,1,K. Middleton makes free throw 1 of 1
6:46.0,L. James makes 3-pt shot from 26 ft,3,43-47,,
6:24.0,,,43-49,2,J. Henson makes 2-pt shot from 2 ft (assist by K. Middleton)
6:14.0,Shooting foul by S. Brown (drawn by L. James),,43-49,,
6:14.0,,,43-49,,Milwaukee full timeout
6:14.0,,,43-49,,E. Bledsoe enters the game for S. Brown
6:14.0,,,43-49,,G. Antetokounmpo enters the game for D. Liggins
6:14.0,J. Crowder enters the game for J. Green,,43-49,,
6:14.0,L. James makes free throw 1 of 2,1,44-49,,
6:14.0,L. James makes free throw 2 of 2,1,45-49,,
5:51.0,,,45-52,3,M. Brogdon makes 3-pt shot from 25 ft
5:22.0,D. Wade misses 2-pt shot from 14 ft,,45-52,,
5:19.0,,,45-52,,Defensive rebound by J. Henson
5:05.0,,,45-52,,G. Antetokounmpo misses 2-pt shot from 1 ft
5:05.0,,,45-52,,Offensive rebound by G. Antetokounmpo
5:05.0,,,45-52,,Turnover by G. Antetokounmpo (traveling)
5:05.0,T. Thompson enters the game for D. Wade,,45-52,,
4:48.0,Turnover by L. James (bad pass; steal by K. Middleton),,45-52,,
4:44.0,,,45-54,2,E. Bledsoe makes 2-pt shot at rim (assist by K. Middleton)
4:44.0,,,45-54,,Shooting foul by L. James (drawn by E. Bledsoe)
4:44.0,,,45-55,1,E. Bledsoe makes free throw 1 of 1
4:31.0,L. James makes 3-pt shot from 29 ft (assist by J. Crowder),3,48-55,,
4:10.0,,,48-58,3,E. Bledsoe makes 3-pt shot from 26 ft
3:48.0,J. Calderon misses 3-pt shot from 27 ft,,48-58,,
3:44.0,,,48-58,,Defensive rebound by M. Brogdon
3:42.0,,,48-58,,Shooting foul by J. Crowder (drawn by E. Bledsoe)
3:42.0,,,48-59,1,E. Bledsoe makes free throw 1 of 2
3:42.0,,,48-59,,E. Bledsoe misses free throw 2 of 2
3:39.0,,,48-59,,Offensive rebound by J. Henson
3:32.0,,,48-59,,K. Middleton misses 3-pt shot from 26 ft
3:30.0,,,48-59,,Offensive rebound by E. Bledsoe
3:30.0,,,48-61,2,E. Bledsoe makes 2-pt shot at rim
3:05.0,L. James makes 2-pt shot from 1 ft,2,50-61,,
2:46.0,,,50-64,3,M. Brogdon makes 3-pt shot from 27 ft
2:24.0,L. James misses 2-pt shot from 15 ft,,50-64,,
2:21.0,,,50-64,,Defensive rebound by K. Middleton
2:19.0,,,50-64,,Turnover by K. Middleton (bad pass; steal by K. Love)
2:14.0,K. Love makes 3-pt shot from 27 ft,3,53-64,,
2:01.0,,,53-64,,J. Henson misses 2-pt shot from 1 ft
1:58.0,Defensive rebound by J. Calderon,,53-64,,
1:54.0,K. Love misses 3-pt shot from 27 ft,,53-64,,
1:51.0,,,53-64,,Defensive rebound by J. Henson
1:32.0,,,53-64,,E. Bledsoe misses 2-pt shot from 19 ft
1:30.0,Defensive rebound by K. Love,,53-64,,
1:19.0,K. Love makes 3-pt shot from 23 ft (assist by L. James),3,56-64,,
1:15.0,,,56-64,,Milwaukee full timeout
1:15.0,J. Green enters the game for T. Thompson,,56-64,,
1:06.0,,,56-64,,E. Bledsoe misses 2-pt shot from 6 ft
1:06.0,,,56-64,,Offensive rebound by Team
1:03.0,,,56-66,2,J. Henson makes 2-pt shot from 2 ft (assist by K. Middleton)
0:43.0,J. Crowder misses 3-pt shot from 27 ft,,56-66,,
0:41.0,,,56-66,,Defensive rebound by K. Middleton
0:38.0,,,56-68,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by K. Middleton)
0:38.0,,,56-68,,Shooting foul by J. Calderon (drawn by G. Antetokounmpo)
0:38.0,,,56-69,1,G. Antetokounmpo makes free throw 1 of 1
0:38.0,D. Wade enters the game for J. Calderon,,56-69,,
0:15.0,L. James makes 2-pt shot from 1 ft,2,58-69,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:35.0,J. Smith misses 3-pt shot from 27 ft,,58-69,,
11:31.0,,,58-69,,Defensive rebound by G. Antetokounmpo
11:26.0,,,58-72,3,M. Dellavedova makes 3-pt shot from 23 ft (assist by G. Antetokounmpo)
11:07.0,Turnover by L. James (bad pass; steal by E. Bledsoe),,58-72,,
11:01.0,,,58-74,2,E. Bledsoe makes 2-pt shot from 1 ft
10:48.0,L. James misses 3-pt shot from 25 ft,,58-74,,
10:44.0,,,58-74,,Defensive rebound by E. Bledsoe
10:40.0,,,58-76,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by K. Middleton)
10:40.0,Cleveland full timeout,,58-76,,
10:24.0,Turnover by L. James (bad pass; steal by M. Dellavedova),,58-76,,
10:21.0,,,58-76,,M. Dellavedova misses 2-pt shot from 3 ft (block by L. James)
10:17.0,Defensive rebound by J. Calderon,,58-76,,
10:08.0,L. James makes 3-pt shot from 26 ft (assist by J. Calderon),3,61-76,,
9:47.0,,,61-78,2,J. Henson makes 2-pt shot from 7 ft (assist by K. Middleton)
9:35.0,L. James makes 3-pt shot from 26 ft (assist by J. Calderon),3,64-78,,
9:07.0,,,64-78,,G. Antetokounmpo misses 2-pt shot from 14 ft
9:05.0,Defensive rebound by J. Calderon,,64-78,,
8:59.0,J. Crowder makes 2-pt shot from 1 ft (assist by J. Calderon),2,66-78,,
8:37.0,,,66-78,,K. Middleton misses 2-pt shot from 3 ft
8:34.0,Defensive rebound by J. Calderon,,66-78,,
8:20.0,J. Crowder misses 3-pt shot from 26 ft,,66-78,,
8:18.0,,,66-78,,Defensive rebound by G. Antetokounmpo
8:11.0,,,66-78,,G. Antetokounmpo misses 2-pt shot from 1 ft
8:05.0,,,66-78,,Offensive rebound by J. Henson
8:05.0,,,66-80,2,J. Henson makes 2-pt shot at rim
7:54.0,J. Crowder makes 2-pt shot at rim (assist by J. Calderon),2,68-80,,
7:39.0,,,68-82,2,E. Bledsoe makes 2-pt shot from 15 ft (assist by G. Antetokounmpo)
7:26.0,K. Love misses 3-pt shot from 28 ft,,68-82,,
7:23.0,,,68-82,,Defensive rebound by G. Antetokounmpo
7:16.0,,,68-82,,K. Middleton misses 2-pt shot from 1 ft (block by L. James)
7:13.0,Defensive rebound by K. Love,,68-82,,
7:13.0,,,68-82,,Personal foul by M. Dellavedova (drawn by J. Calderon)
7:04.0,J. Crowder makes 2-pt shot from 12 ft (assist by K. Love),2,70-82,,
6:53.0,,,70-82,,Shooting foul by J. Crowder (drawn by J. Henson)
6:53.0,,,70-83,1,J. Henson makes free throw 1 of 2
6:53.0,,,70-83,,T. Snell enters the game for M. Dellavedova
6:53.0,,,70-83,,J. Henson misses free throw 2 of 2
6:49.0,Defensive rebound by J. Crowder,,70-83,,
6:41.0,L. James misses 3-pt shot from 27 ft,,70-83,,
6:38.0,Offensive rebound by J. Crowder,,70-83,,
6:35.0,K. Love misses 3-pt shot from 23 ft,,70-83,,
6:33.0,Offensive rebound by K. Love,,70-83,,
6:30.0,K. Love misses 2-pt shot from 5 ft,,70-83,,
6:27.0,,,70-83,,Defensive rebound by G. Antetokounmpo
6:22.0,,,70-86,3,E. Bledsoe makes 3-pt shot from 26 ft (assist by G. Antetokounmpo)
6:00.0,J. Calderon misses 2-pt shot from 13 ft,,70-86,,
5:55.0,Offensive rebound by K. Love,,70-86,,
5:55.0,K. Love makes 2-pt shot at rim,2,72-86,,
5:50.0,Violation by J. Crowder (kicked ball),,72-86,,
5:45.0,,,72-86,,Turnover by K. Middleton (bad pass; steal by L. James)
5:44.0,Shooting foul by K. Middleton (drawn by L. James),,72-86,,
5:44.0,L. James makes free throw 1 of 2,1,73-86,,
5:44.0,L. James makes free throw 2 of 2,1,74-86,,
5:30.0,,,74-86,,Turnover by E. Bledsoe (lost ball; steal by J. Calderon)
5:25.0,J. Smith misses 3-pt shot from 23 ft,,74-86,,
5:22.0,,,74-86,,Defensive rebound by G. Antetokounmpo
5:18.0,,,74-88,2,J. Henson makes 2-pt shot from 6 ft (assist by G. Antetokounmpo)
4:56.0,J. Calderon makes 3-pt shot from 25 ft (assist by L. James),3,77-88,,
4:35.0,,,77-90,2,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Henson)
4:12.0,Turnover by J. Crowder (lost ball; steal by J. Henson),,77-90,,
4:06.0,,,77-92,2,J. Henson makes 2-pt shot from 1 ft (assist by K. Middleton)
4:05.0,Cleveland full timeout,,77-92,,
4:05.0,K. Korver enters the game for J. Smith,,77-92,,
3:45.0,Turnover by K. Love (turnover),,77-92,,
3:26.0,,,77-94,2,J. Henson makes 2-pt shot from 1 ft (assist by K. Middleton)
3:04.0,L. James makes 2-pt shot at rim (assist by K. Love),2,79-94,,
2:35.0,,,79-94,,Turnover by K. Middleton (bad pass; steal by J. Crowder)
2:20.0,Turnover by L. James (lost ball; steal by G. Antetokounmpo),,79-94,,
2:17.0,,,79-94,,Turnover by G. Antetokounmpo (traveling)
2:17.0,,,79-94,,M. Brogdon enters the game for E. Bledsoe
2:17.0,,,79-94,,D. Liggins enters the game for K. Middleton
2:17.0,D. Wade enters the game for J. Calderon,,79-94,,
2:17.0,J. Green enters the game for J. Crowder,,79-94,,
1:55.0,K. Korver makes 2-pt shot at rim (assist by L. James),2,81-94,,
1:33.0,,,81-94,,T. Snell misses 3-pt shot from 26 ft
1:31.0,Defensive rebound by D. Wade,,81-94,,
1:24.0,K. Love misses 3-pt shot from 25 ft,,81-94,,
1:20.0,,,81-94,,Defensive rebound by T. Snell
1:13.0,,,81-96,2,G. Antetokounmpo makes 2-pt shot from 1 ft
0:55.0,L. James makes 2-pt shot from 14 ft (assist by J. Green),2,83-96,,
0:32.0,,,83-96,,J. Henson misses 2-pt shot from 18 ft
0:30.0,Defensive rebound by K. Love,,83-96,,
0:23.0,Turnover by L. James (bad pass; steal by M. Brogdon),,83-96,,
0:03.0,,,83-96,,D. Liggins misses 3-pt shot from 23 ft
0:02.0,,,83-96,,M. Brogdon misses 2-pt shot from 13 ft
0:01.0,,,83-96,,Offensive rebound by M. Brogdon
0:01.0,,,83-96,,Offensive rebound by G. Antetokounmpo
0:00.0,,,83-96,,Shooting foul by D. Wade (drawn by G. Antetokounmpo)
0:00.0,,,83-97,1,G. Antetokounmpo makes free throw 1 of 2
0:00.0,,,83-98,1,G. Antetokounmpo makes free throw 2 of 2
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,83-98,,M. Brogdon misses 3-pt shot from 23 ft
11:33.0,Defensive rebound by J. Crowder,,83-98,,
11:13.0,J. Crowder misses 3-pt shot from 27 ft,,83-98,,
11:10.0,,,83-98,,Defensive rebound by G. Antetokounmpo
11:08.0,,,83-98,,Shooting foul by T. Thompson (drawn by G. Antetokounmpo)
11:08.0,,,83-99,1,G. Antetokounmpo makes free throw 1 of 2
11:08.0,,,83-100,1,G. Antetokounmpo makes free throw 2 of 2
10:57.0,D. Wade misses 3-pt shot from 27 ft,,83-100,,
10:52.0,,,83-100,,Defensive rebound by G. Antetokounmpo
10:49.0,,,83-102,2,G. Antetokounmpo makes 2-pt shot from 2 ft
10:49.0,,,83-102,,Shooting foul by T. Thompson (drawn by G. Antetokounmpo)
10:49.0,,,83-103,1,G. Antetokounmpo makes free throw 1 of 1
10:37.0,K. Korver misses 3-pt shot from 26 ft,,83-103,,
10:35.0,Offensive rebound by T. Thompson,,83-103,,
10:31.0,J. Green makes 2-pt shot at rim (assist by T. Thompson),2,85-103,,
10:31.0,,,85-103,,Turnover by M. Brogdon (step out of bounds)
10:26.0,,,85-103,,Personal foul by D. Liggins (drawn by K. Korver)
10:17.0,Turnover by D. Wade (bad pass; steal by G. Antetokounmpo),,85-103,,
10:09.0,,,85-103,,T. Snell misses 3-pt shot from 27 ft
10:05.0,Defensive rebound by K. Korver,,85-103,,
9:58.0,D. Wade makes 3-pt shot from 23 ft (assist by K. Korver),3,88-103,,
9:38.0,,,88-103,,Shooting foul by J. Crowder (drawn by M. Brogdon)
9:38.0,,,88-104,1,M. Brogdon makes free throw 1 of 2
9:38.0,,,88-104,,K. Middleton enters the game for G. Antetokounmpo
9:38.0,,,88-105,1,M. Brogdon makes free throw 2 of 2
9:27.0,J. Green makes 2-pt shot at rim (assist by D. Wade),2,90-105,,
9:27.0,Shooting foul by K. Middleton (drawn by J. Green),,90-105,,
9:27.0,J. Green makes free throw 1 of 1,1,91-105,,
9:04.0,,,91-105,,M. Brogdon misses 3-pt shot from 25 ft
9:04.0,Defensive rebound by Team,,91-105,,
9:04.0,,,91-105,,Personal foul by T. Maker (drawn by K. Korver)
8:54.0,Shooting foul by K. Middleton (drawn by T. Thompson),,91-105,,
8:54.0,T. Thompson misses free throw 1 of 2,,91-105,,
8:54.0,Offensive rebound by Team,,91-105,,
8:54.0,T. Thompson makes free throw 2 of 2,1,92-105,,
8:38.0,,,92-105,,K. Middleton misses 2-pt shot from 15 ft
8:33.0,Defensive rebound by J. Green,,92-105,,
8:26.0,D. Wade misses 2-pt shot from 1 ft,,92-105,,
8:26.0,,,92-105,,Defensive rebound by T. Maker
8:11.0,,,92-105,,Turnover by K. Middleton (bad pass; steal by D. Wade)
8:03.0,Shooting foul by T. Maker (drawn by J. Crowder),,92-105,,
8:03.0,J. Crowder makes free throw 1 of 2,1,93-105,,
8:03.0,J. Crowder makes free throw 2 of 2,1,94-105,,
7:38.0,,,94-105,,K. Middleton misses 3-pt shot from 26 ft
7:36.0,Defensive rebound by D. Wade,,94-105,,
7:29.0,Shooting foul by T. Snell (drawn by J. Green),,94-105,,
7:29.0,J. Green makes free throw 1 of 2,1,95-105,,
7:29.0,J. Green makes free throw 2 of 2,1,96-105,,
7:29.0,,,96-105,,Milwaukee full timeout
7:29.0,,,96-105,,E. Bledsoe enters the game for T. Maker
7:29.0,,,96-105,,J. Henson enters the game for T. Snell
7:29.0,,,96-105,,G. Antetokounmpo enters the game for D. Liggins
7:13.0,,,96-105,,Turnover by J. Henson (bad pass; steal by T. Thompson)
7:12.0,Shooting foul by J. Henson (drawn by J. Green),,96-105,,
7:12.0,J. Green misses free throw 1 of 2,,96-105,,
7:12.0,Offensive rebound by Team,,96-105,,
7:12.0,J. Green makes free throw 2 of 2,1,97-105,,
6:49.0,,,97-105,,Turnover by G. Antetokounmpo (lost ball; steal by D. Wade)
6:47.0,Shooting foul by M. Brogdon (drawn by J. Green),,97-105,,
6:47.0,J. Green makes free throw 1 of 2,1,98-105,,
6:47.0,J. Green misses free throw 2 of 2,,98-105,,
6:44.0,,,98-105,,Defensive rebound by G. Antetokounmpo
6:22.0,,,98-105,,E. Bledsoe misses 3-pt shot from 26 ft
6:19.0,Defensive rebound by T. Thompson,,98-105,,
6:12.0,T. Thompson makes 2-pt shot at rim (assist by K. Korver),2,100-105,,
6:12.0,Shooting foul by G. Antetokounmpo (drawn by T. Thompson),,100-105,,
6:12.0,T. Thompson makes free throw 1 of 1,1,101-105,,
5:52.0,,,101-105,,J. Henson misses 2-pt shot from 2 ft
5:49.0,Defensive rebound by J. Green,,101-105,,
5:44.0,D. Wade makes 3-pt shot from 28 ft,3,104-105,,
5:24.0,,,104-105,,G. Antetokounmpo misses 2-pt shot from 11 ft
5:24.0,Defensive rebound by J. Crowder,,104-105,,
5:11.0,D. Wade makes 3-pt shot from 26 ft (assist by J. Crowder),3,107-105,,
5:10.0,,,107-105,,Milwaukee full timeout
5:10.0,,,107-105,,T. Snell enters the game for J. Henson
4:56.0,,,107-105,,K. Middleton misses 3-pt shot from 25 ft
4:53.0,Defensive rebound by D. Wade,,107-105,,
4:38.0,Turnover by T. Thompson (out of bounds lost ball),,107-105,,
4:25.0,,,107-105,,E. Bledsoe misses 3-pt shot from 25 ft
4:22.0,Defensive rebound by J. Green,,107-105,,
4:00.0,D. Wade misses 3-pt shot from 26 ft,,107-105,,
3:56.0,,,107-105,,Defensive rebound by T. Snell
3:39.0,,,107-108,3,M. Brogdon makes 3-pt shot from 23 ft (assist by G. Antetokounmpo)
3:38.0,Cleveland full timeout,,107-108,,
3:38.0,Cleveland full timeout,,107-108,,
3:38.0,L. James enters the game for T. Thompson,,107-108,,
3:22.0,K. Korver misses 3-pt shot from 26 ft,,107-108,,
3:17.0,,,107-108,,Defensive rebound by T. Snell
3:10.0,,,107-108,,E. Bledsoe misses 2-pt shot from 1 ft
3:10.0,,,107-108,,Offensive rebound by E. Bledsoe
3:06.0,,,107-110,2,E. Bledsoe makes 2-pt shot at rim
2:47.0,L. James makes 3-pt shot from 29 ft,3,110-110,,
2:23.0,,,110-112,2,E. Bledsoe makes 2-pt shot from 19 ft
2:04.0,L. James makes 2-pt shot from 8 ft,2,112-112,,
2:04.0,Shooting foul by T. Snell (drawn by L. James),,112-112,,
2:04.0,L. James makes free throw 1 of 1,1,113-112,,
1:44.0,,,113-112,,M. Brogdon misses 3-pt shot from 23 ft
1:41.0,Defensive rebound by J. Green,,113-112,,
1:26.0,L. James misses 3-pt shot from 29 ft,,113-112,,
1:22.0,Offensive rebound by K. Korver,,113-112,,
1:07.0,K. Korver misses 3-pt shot from 22 ft,,113-112,,
