time,New Orleans,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. A. Davis (D. Cousins gains possession),,,,Jump ball: D. Howard vs. A. Davis (D. Cousins gains possession)
11:34.0,J. Holiday misses 2-pt shot from 3 ft (block by D. Howard),,0-0,,
11:34.0,Offensive rebound by Team,,0-0,,
11:34.0,Turnover by Team (shot clock),,0-0,,
11:18.0,,,0-0,,M. Williams misses 3-pt shot from 25 ft
11:13.0,Defensive rebound by D. Cousins,,0-0,,
11:08.0,Turnover by D. Cousins (bad pass; steal by N. Batum),,0-0,,
11:05.0,,,0-0,,Turnover by M. Williams (out of bounds lost ball)
10:52.0,J. Holiday misses 2-pt shot from 19 ft,,0-0,,
10:49.0,,,0-0,,Defensive rebound by M. Williams
10:41.0,,,0-0,,D. Howard misses 2-pt shot from 4 ft (block by D. Cousins)
10:41.0,Defensive rebound by Team,,0-0,,
10:23.0,R. Rondo makes 3-pt shot from 22 ft (assist by J. Holiday),3,3-0,,
10:08.0,,,3-0,,K. Walker misses 2-pt shot from 12 ft
10:05.0,Defensive rebound by D. Cousins,,3-0,,
9:58.0,A. Davis makes 2-pt shot from 4 ft (assist by E. Moore),2,5-0,,
9:43.0,,,5-0,,M. Williams misses 2-pt shot from 6 ft (block by R. Rondo)
9:39.0,Defensive rebound by J. Holiday,,5-0,,
9:36.0,E. Moore misses 2-pt shot from 6 ft,,5-0,,
9:36.0,Offensive rebound by Team,,5-0,,
9:36.0,,,5-0,,Loose ball foul by D. Howard (drawn by A. Davis)
9:28.0,R. Rondo makes 2-pt shot at rim,2,7-0,,
9:17.0,,,7-0,,Shooting foul by E. Moore (drawn by D. Howard)
9:17.0,,,7-0,,D. Howard misses free throw 1 of 2
9:17.0,,,7-0,,Offensive rebound by Team
9:17.0,,,7-1,1,D. Howard makes free throw 2 of 2
9:06.0,D. Cousins misses 3-pt shot from 25 ft,,7-1,,
9:02.0,,,7-1,,Defensive rebound by M. Williams
8:55.0,,,7-1,,D. Howard misses 2-pt shot from 5 ft (block by D. Cousins)
8:52.0,Defensive rebound by J. Holiday,,7-1,,
8:49.0,R. Rondo misses 2-pt shot from 15 ft (block by N. Batum),,7-1,,
8:46.0,,,7-1,,Defensive rebound by M. Kidd-Gilchrist
8:39.0,,,7-1,,Turnover by K. Walker (bad pass; steal by D. Cousins)
8:34.0,J. Holiday misses 3-pt shot from 23 ft,,7-1,,
8:31.0,,,7-1,,Defensive rebound by M. Williams
8:23.0,,,7-1,,Shooting foul by D. Cousins (drawn by D. Howard)
8:23.0,,,7-1,,D. Howard misses free throw 1 of 2
8:23.0,,,7-1,,Offensive rebound by Team
8:23.0,,,7-2,1,D. Howard makes free throw 2 of 2
8:17.0,Shooting foul by M. Williams (drawn by D. Cousins),,7-2,,
8:17.0,D. Cousins misses free throw 1 of 2,,7-2,,
8:17.0,Offensive rebound by Team,,7-2,,
8:17.0,D. Cousins makes free throw 2 of 2,1,8-2,,
8:05.0,,,8-4,2,D. Howard makes 2-pt shot from 1 ft (assist by K. Walker)
7:59.0,Turnover by R. Rondo (bad pass; steal by M. Williams),,8-4,,
7:45.0,,,8-4,,K. Walker misses 2-pt shot from 1 ft
7:38.0,,,8-4,,Offensive rebound by M. Williams
7:38.0,,,8-4,,M. Williams misses 2-pt shot at rim
7:38.0,,,8-4,,Offensive rebound by D. Howard
7:35.0,,,8-6,2,D. Howard makes 2-pt shot at rim
7:34.0,R. Rondo makes 2-pt shot from 1 ft (assist by D. Cousins),2,10-6,,
