time,Utah,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. R. Gobert (D. Mitchell gains possession),,,,Jump ball: A. Davis vs. R. Gobert (D. Mitchell gains possession)
11:52.0,D. Mitchell misses 2-pt shot from 1 ft,,0-0,,
11:48.0,Offensive rebound by R. Gobert,,0-0,,
11:48.0,R. Gobert misses 2-pt shot at rim,,0-0,,
11:47.0,,,0-0,,Defensive rebound by J. Holiday
11:38.0,,,0-2,2,R. Rondo makes 2-pt shot from 1 ft
11:24.0,D. Favors makes 2-pt shot from 16 ft (assist by J. Ingles),2,2-2,,
11:05.0,,,2-4,2,A. Davis makes 2-pt shot from 15 ft (assist by J. Holiday)
10:41.0,Turnover by J. Ingles (out of bounds lost ball),,2-4,,
10:24.0,,,2-4,,A. Davis misses 2-pt shot from 16 ft
10:21.0,Defensive rebound by R. Gobert,,2-4,,
10:18.0,Turnover by R. Rubio (lost ball; steal by A. Davis),,2-4,,
10:07.0,,,2-4,,J. Holiday misses 2-pt shot from 5 ft
10:04.0,,,2-4,,Offensive rebound by E. Okafor
9:57.0,,,2-6,2,E. Moore makes 2-pt shot from 3 ft
9:40.0,R. Rubio misses 2-pt shot from 20 ft,,2-6,,
9:37.0,,,2-6,,Defensive rebound by E. Okafor
9:25.0,,,2-6,,Turnover by A. Davis (traveling)
9:11.0,J. Ingles makes 2-pt shot from 2 ft (assist by D. Favors),2,4-6,,
9:06.0,,,4-6,,J. Holiday misses 3-pt shot from 26 ft
9:02.0,Defensive rebound by R. Gobert,,4-6,,
8:52.0,R. Gobert makes 2-pt shot at rim (assist by R. Rubio),2,6-6,,
8:49.0,,,6-6,,Turnover by R. Rondo (bad pass)
8:37.0,J. Ingles makes 2-pt shot from 6 ft,2,8-6,,
8:37.0,Shooting foul by E. Moore (drawn by J. Ingles),,8-6,,
8:37.0,J. Ingles makes free throw 1 of 1,1,9-6,,
8:27.0,,,9-8,2,J. Holiday makes 2-pt shot from 9 ft
8:11.0,R. Rubio makes 3-pt shot from 25 ft (assist by R. Gobert),3,12-8,,
8:04.0,Personal foul by D. Favors (drawn by J. Holiday),,12-8,,
8:02.0,,,12-8,,Turnover by E. Okafor (traveling)
7:50.0,Turnover by R. Rubio (bad pass; steal by A. Davis),,12-8,,
7:45.0,,,12-10,2,E. Okafor makes 2-pt shot from 3 ft (assist by R. Rondo)
7:45.0,,,12-10,,Shooting foul by D. Favors (drawn by E. Okafor)
7:45.0,,,12-11,1,E. Okafor makes free throw 1 of 1
7:33.0,D. Mitchell misses 2-pt shot from 14 ft,,12-11,,
7:30.0,Offensive rebound by D. Favors,,12-11,,
7:27.0,R. Gobert misses 2-pt shot from 8 ft (block by A. Davis),,12-11,,
7:24.0,Offensive rebound by R. Gobert,,12-11,,
7:19.0,R. Rubio misses 2-pt shot from 14 ft,,12-11,,
7:16.0,,,12-11,,Defensive rebound by E. Okafor
7:10.0,,,12-11,,A. Davis misses 3-pt shot from 26 ft
7:07.0,Defensive rebound by R. Rubio,,12-11,,
6:59.0,R. Gobert misses 2-pt shot from 1 ft,,12-11,,
6:50.0,Offensive rebound by D. Favors,,12-11,,
6:50.0,D. Favors misses 2-pt shot at rim,,12-11,,
6:50.0,Offensive rebound by D. Favors,,12-11,,
6:48.0,D. Favors makes 2-pt shot at rim,2,14-11,,
6:46.0,,,14-13,2,E. Okafor makes 2-pt shot from 12 ft (assist by R. Rondo)
6:29.0,J. Ingles makes 3-pt shot from 22 ft (assist by R. Rubio),3,17-13,,
6:19.0,,,17-13,,E. Okafor misses 2-pt shot from 10 ft
6:19.0,,,17-13,,Offensive rebound by Team
6:19.0,Loose ball foul by D. Favors (drawn by A. Davis),,17-13,,
6:19.0,,,17-13,,New Orleans full timeout
6:19.0,J. Crowder enters the game for D. Favors,,17-13,,
6:07.0,,,17-13,,A. Davis misses 2-pt shot from 2 ft
6:05.0,Defensive rebound by R. Rubio,,17-13,,
6:02.0,J. Ingles makes 3-pt shot from 24 ft (assist by R. Rubio),3,20-13,,
5:50.0,,,20-13,,J. Holiday misses 2-pt shot from 13 ft
5:46.0,Defensive rebound by D. Mitchell,,20-13,,
5:36.0,J. Crowder misses 3-pt shot from 25 ft,,20-13,,
5:33.0,Offensive rebound by Team,,20-13,,
5:33.0,,,20-13,,N. Mirotic enters the game for E. Okafor
5:25.0,D. Mitchell misses 3-pt shot from 25 ft,,20-13,,
5:20.0,,,20-13,,Defensive rebound by N. Mirotic
5:14.0,,,20-13,,R. Rondo misses 2-pt shot from 1 ft (block by J. Crowder)
5:11.0,Defensive rebound by R. Rubio,,20-13,,
5:05.0,R. Rubio makes 3-pt shot from 25 ft (assist by J. Ingles),3,23-13,,
4:47.0,,,23-13,,N. Mirotic misses 3-pt shot from 26 ft
4:43.0,Defensive rebound by R. Gobert,,23-13,,
4:34.0,R. Rubio misses 2-pt shot from 7 ft,,23-13,,
4:30.0,,,23-13,,Defensive rebound by A. Davis
4:22.0,,,23-13,,R. Rondo misses 3-pt shot from 24 ft
4:20.0,Defensive rebound by Team,,23-13,,
4:20.0,,,23-13,,I. Clark enters the game for E. Moore
4:06.0,R. Rubio misses 2-pt shot from 2 ft (block by A. Davis),,23-13,,
4:05.0,Offensive rebound by R. Gobert,,23-13,,
4:02.0,R. Gobert misses 2-pt shot from 2 ft (block by A. Davis),,23-13,,
4:02.0,Offensive rebound by Team,,23-13,,
4:01.0,,,23-13,,D. Miller enters the game for R. Rondo
4:01.0,Utah full timeout,,23-13,,
3:59.0,R. Gobert misses 2-pt shot from 18 ft,,23-13,,
3:56.0,,,23-13,,Defensive rebound by A. Davis
3:44.0,,,23-13,,N. Mirotic misses 2-pt shot from 1 ft
3:42.0,Defensive rebound by R. Gobert,,23-13,,
3:32.0,Shooting foul by A. Davis (drawn by R. Gobert),,23-13,,
3:32.0,R. Gobert makes free throw 1 of 2,1,24-13,,
3:32.0,J. Jerebko enters the game for J. Ingles,,24-13,,
3:32.0,R. O'Neale enters the game for R. Rubio,,24-13,,
3:32.0,R. Gobert makes free throw 2 of 2,1,25-13,,
3:24.0,,,25-15,2,A. Davis makes 2-pt shot at rim (assist by J. Holiday)
3:03.0,J. Crowder misses 3-pt shot from 25 ft,,25-15,,
3:01.0,,,25-15,,Defensive rebound by I. Clark
2:55.0,,,25-15,,I. Clark misses 2-pt shot from 14 ft
2:52.0,,,25-15,,Offensive rebound by A. Davis
2:49.0,,,25-15,,N. Mirotic misses 2-pt shot from 18 ft
2:45.0,Defensive rebound by R. O'Neale,,25-15,,
2:42.0,D. Mitchell misses 3-pt shot from 23 ft,,25-15,,
2:38.0,Offensive rebound by J. Jerebko,,25-15,,
2:29.0,J. Crowder misses 2-pt shot from 16 ft,,25-15,,
2:25.0,,,25-15,,Defensive rebound by N. Mirotic
2:15.0,,,25-15,,J. Holiday misses 2-pt shot at rim
2:13.0,Defensive rebound by R. Gobert,,25-15,,
2:03.0,R. O'Neale misses 2-pt shot from 15 ft,,25-15,,
2:00.0,,,25-15,,Defensive rebound by J. Holiday
1:54.0,,,25-15,,D. Miller misses 2-pt shot from 12 ft
1:51.0,,,25-15,,Offensive rebound by D. Miller
1:47.0,,,25-17,2,A. Davis makes 2-pt shot from 1 ft (assist by D. Miller)
1:25.0,Turnover by J. Crowder (bad pass; steal by N. Mirotic),,25-17,,
1:22.0,Personal foul by R. O'Neale (drawn by N. Mirotic),,25-17,,
1:22.0,,,25-17,,D. Liggins enters the game for J. Holiday
1:22.0,E. Udoh enters the game for R. Gobert,,25-17,,
1:10.0,,,25-17,,A. Davis misses 2-pt shot from 1 ft
1:08.0,Defensive rebound by J. Jerebko,,25-17,,
1:03.0,D. Mitchell makes 2-pt shot from 19 ft,2,27-17,,
0:50.0,Loose ball foul by D. Mitchell (drawn by I. Clark),,27-17,,
0:50.0,,,27-17,,I. Clark misses free throw 1 of 2
0:50.0,,,27-17,,Offensive rebound by Team
0:50.0,,,27-18,1,I. Clark makes free throw 2 of 2
0:36.0,Offensive foul by E. Udoh (drawn by A. Davis),,27-18,,
0:36.0,Turnover by E. Udoh (offensive foul),,27-18,,
0:28.0,Personal foul by E. Udoh (drawn by A. Davis),,27-18,,
0:28.0,,,27-19,1,A. Davis makes free throw 1 of 2
0:28.0,,,27-20,1,A. Davis makes free throw 2 of 2
0:09.0,Shooting foul by I. Clark (drawn by J. Crowder),,27-20,,
0:09.0,J. Crowder makes free throw 1 of 2,1,28-20,,
0:09.0,,,28-20,,J. Holiday enters the game for D. Liggins
0:09.0,R. Neto enters the game for D. Mitchell,,28-20,,
0:09.0,J. Crowder makes free throw 2 of 2,1,29-20,,
0:02.0,,,29-23,3,D. Miller makes 3-pt shot from 24 ft (assist by J. Holiday)
0:00.0,R. O'Neale misses 3-pt shot from 60 ft,,29-23,,
0:00.0,Offensive rebound by Team,,29-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,29-25,2,C. Diallo makes 2-pt shot from 12 ft (assist by D. Miller)
11:28.0,Offensive foul by E. Udoh (drawn by D. Liggins),,29-25,,
11:28.0,Turnover by E. Udoh (offensive foul),,29-25,,
11:16.0,,,29-27,2,D. Miller makes 2-pt shot from 10 ft (assist by N. Mirotic)
10:55.0,E. Udoh misses 2-pt shot from 10 ft,,29-27,,
10:52.0,Offensive rebound by E. Udoh,,29-27,,
10:51.0,E. Udoh misses 2-pt shot from 8 ft (block by C. Diallo),,29-27,,
10:51.0,,,29-27,,Defensive rebound by I. Clark
10:42.0,,,29-27,,D. Miller misses 3-pt shot from 24 ft
10:40.0,Defensive rebound by E. Udoh,,29-27,,
10:32.0,Turnover by J. Ingles (bad pass; steal by D. Miller),,29-27,,
10:27.0,,,29-27,,I. Clark misses 2-pt shot from 1 ft
10:27.0,,,29-27,,Offensive rebound by N. Mirotic
10:27.0,,,29-29,2,N. Mirotic makes 2-pt shot from 1 ft
10:27.0,Utah full timeout,,29-29,,
10:17.0,R. Neto makes 2-pt shot at rim (assist by E. Udoh),2,31-29,,
9:59.0,,,31-29,,N. Mirotic misses 2-pt shot from 7 ft
9:57.0,Defensive rebound by J. Crowder,,31-29,,
9:51.0,J. Crowder misses 3-pt shot from 25 ft,,31-29,,
9:48.0,,,31-29,,Defensive rebound by C. Diallo
9:39.0,,,31-31,2,I. Clark makes 2-pt shot from 3 ft
9:21.0,R. Neto makes 2-pt shot from 6 ft (assist by E. Udoh),2,33-31,,
9:08.0,,,33-31,,N. Mirotic misses 2-pt shot from 2 ft
9:04.0,Defensive rebound by J. Ingles,,33-31,,
8:59.0,R. Neto makes 2-pt shot from 2 ft (assist by J. Ingles),2,35-31,,
8:43.0,,,35-31,,D. Liggins misses 2-pt shot from 2 ft
8:41.0,Defensive rebound by J. Jerebko,,35-31,,
8:37.0,E. Udoh misses 2-pt shot from 10 ft,,35-31,,
8:37.0,Offensive rebound by E. Udoh,,35-31,,
8:30.0,J. Crowder misses 3-pt shot from 22 ft,,35-31,,
8:30.0,,,35-31,,Defensive rebound by N. Mirotic
8:23.0,,,35-31,,N. Mirotic misses 3-pt shot from 26 ft
8:23.0,,,35-31,,Offensive rebound by D. Miller
8:17.0,,,35-31,,New Orleans full timeout
8:17.0,,,35-31,,A. Davis enters the game for D. Liggins
8:17.0,,,35-31,,E. Moore enters the game for C. Diallo
8:17.0,R. Gobert enters the game for E. Udoh,,35-31,,
8:17.0,R. O'Neale enters the game for J. Crowder,,35-31,,
8:05.0,,,35-31,,E. Moore misses 2-pt shot from 13 ft
8:03.0,,,35-31,,Offensive rebound by E. Moore
8:03.0,,,35-31,,E. Moore misses 2-pt shot from 2 ft
8:03.0,,,35-31,,Offensive rebound by Team
7:52.0,,,35-33,2,A. Davis makes 2-pt shot from 1 ft (assist by E. Moore)
7:37.0,,,35-33,,Personal foul by E. Moore (drawn by J. Ingles)
7:37.0,,,35-33,,J. Holiday enters the game for I. Clark
7:37.0,D. Mitchell enters the game for J. Ingles,,35-33,,
7:37.0,R. Rubio enters the game for R. Neto,,35-33,,
7:24.0,R. O'Neale misses 3-pt shot from 25 ft,,35-33,,
7:18.0,Offensive rebound by R. Rubio,,35-33,,
7:10.0,R. Rubio misses 2-pt shot from 5 ft (block by A. Davis),,35-33,,
7:10.0,Offensive rebound by Team,,35-33,,
7:05.0,D. Mitchell misses 3-pt shot from 25 ft,,35-33,,
7:02.0,Offensive rebound by R. Rubio,,35-33,,
7:01.0,,,35-33,,Personal foul by D. Miller (drawn by R. Gobert)
6:41.0,R. O'Neale misses 2-pt shot from 2 ft (block by A. Davis),,35-33,,
6:41.0,Offensive rebound by Team,,35-33,,
6:39.0,J. Crowder enters the game for J. Jerebko,,35-33,,
6:39.0,J. Ingles enters the game for R. O'Neale,,35-33,,
6:37.0,R. Gobert misses 2-pt shot from 22 ft,,35-33,,
6:37.0,Offensive rebound by Team,,35-33,,
6:37.0,Turnover by Team (shot clock),,35-33,,
6:18.0,,,35-35,2,D. Miller makes 2-pt shot from 2 ft
6:06.0,Turnover by J. Ingles (bad pass; steal by A. Davis),,35-35,,
6:04.0,Personal foul by R. Rubio (drawn by A. Davis),,35-35,,
6:04.0,,,35-35,,R. Rondo enters the game for N. Mirotic
6:00.0,,,35-35,,Turnover by J. Holiday (out of bounds lost ball)
5:51.0,Offensive charge foul by J. Ingles (drawn by E. Moore),,35-35,,
5:51.0,Turnover by J. Ingles (offensive foul),,35-35,,
5:35.0,Violation by R. Gobert (kicked ball),,35-35,,
5:31.0,,,35-35,,A. Davis misses 3-pt shot from 25 ft
5:28.0,Defensive rebound by J. Crowder,,35-35,,
5:22.0,,,35-35,,Personal foul by D. Miller (drawn by R. Rubio)
5:16.0,,,35-35,,Personal foul by R. Rondo (drawn by R. Rubio)
5:08.0,J. Ingles misses 3-pt shot from 25 ft,,35-35,,
5:04.0,Offensive rebound by J. Crowder,,35-35,,
5:04.0,J. Crowder misses 2-pt shot from 1 ft (block by A. Davis),,35-35,,
5:04.0,,,35-35,,Defensive rebound by R. Rondo
4:56.0,,,35-37,2,J. Holiday makes 2-pt shot from 1 ft (assist by R. Rondo)
4:28.0,J. Crowder misses 2-pt shot from 23 ft,,35-37,,
4:25.0,,,35-37,,Defensive rebound by A. Davis
4:20.0,,,35-37,,Turnover by A. Davis (bad pass)
4:01.0,R. Rubio makes 2-pt shot from 18 ft,2,37-37,,
