time,Toronto,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. J. Valanciunas (J. Wall gains possession),,,,Jump ball: M. Gortat vs. J. Valanciunas (J. Wall gains possession)
11:42.0,,,0-2,2,M. Morris makes 2-pt shot from 13 ft
11:42.0,,,0-2,,Shooting foul by S. Ibaka (drawn by M. Morris)
11:42.0,,,0-3,1,M. Morris makes free throw 1 of 1
11:30.0,D. DeRozan makes 2-pt shot from 18 ft,2,2-3,,
11:08.0,,,2-3,,M. Morris misses 2-pt shot from 12 ft
11:06.0,Defensive rebound by S. Ibaka,,2-3,,
11:01.0,K. Lowry misses 2-pt shot from 2 ft (block by M. Gortat),,2-3,,
11:01.0,,,2-3,,Defensive rebound by M. Morris
10:54.0,,,2-3,,Shooting foul by J. Valanciunas (drawn by M. Gortat)
10:54.0,,,2-4,1,M. Gortat makes free throw 1 of 2
10:54.0,,,2-5,1,M. Gortat makes free throw 2 of 2
10:42.0,D. DeRozan misses 2-pt shot from 3 ft,,2-5,,
10:36.0,Offensive rebound by J. Valanciunas,,2-5,,
10:36.0,J. Valanciunas makes 2-pt shot at rim,2,4-5,,
10:18.0,,,4-5,,Turnover by M. Gortat (bad pass; steal by K. Lowry)
10:15.0,D. DeRozan misses 2-pt shot from 2 ft,,4-5,,
10:15.0,,,4-5,,Defensive rebound by Team
10:05.0,,,4-7,2,B. Beal makes 2-pt shot from 14 ft
9:48.0,J. Valanciunas misses 2-pt shot from 11 ft,,4-7,,
9:46.0,,,4-7,,Defensive rebound by J. Wall
9:42.0,,,4-9,2,J. Wall makes 2-pt shot from 16 ft
9:26.0,Turnover by K. Lowry (lost ball; steal by J. Wall),,4-9,,
9:21.0,,,4-12,3,B. Beal makes 3-pt shot from 25 ft (assist by J. Wall)
9:20.0,Toronto full timeout,,4-12,,
9:10.0,,,4-12,,Personal foul by K. Oubre (drawn by D. DeRozan)
8:57.0,D. DeRozan misses 3-pt shot from 27 ft,,4-12,,
8:54.0,Offensive rebound by J. Valanciunas,,4-12,,
8:50.0,O. Anunoby misses 3-pt shot from 22 ft,,4-12,,
8:46.0,,,4-12,,Defensive rebound by M. Gortat
8:33.0,Personal foul by K. Lowry (drawn by M. Morris),,4-12,,
8:28.0,,,4-12,,B. Beal misses 2-pt shot from 12 ft
8:27.0,,,4-12,,Offensive rebound by M. Morris
8:25.0,,,4-15,3,K. Oubre makes 3-pt shot from 26 ft (assist by M. Morris)
8:12.0,,,4-15,,Personal block foul by J. Wall (drawn by O. Anunoby)
8:00.0,K. Lowry makes 2-pt shot from 2 ft,2,6-15,,
7:54.0,,,6-18,3,J. Wall makes 3-pt shot from 24 ft
7:40.0,K. Lowry makes 3-pt shot from 26 ft (assist by S. Ibaka),3,9-18,,
7:25.0,,,9-20,2,B. Beal makes 2-pt shot from 18 ft
7:06.0,J. Valanciunas makes 2-pt shot from 5 ft (assist by K. Lowry),2,11-20,,
