time,Phoenix,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. T. Chandler (K. Irving gains possession),,,,Jump ball: A. Horford vs. T. Chandler (K. Irving gains possession)
11:34.0,,,0-0,,A. Baynes misses 2-pt shot from 5 ft
11:31.0,Defensive rebound by D. Booker,,0-0,,
11:19.0,T. Ulis makes 2-pt shot from 18 ft (assist by T. Chandler),2,2-0,,
11:00.0,,,2-0,,K. Irving misses 2-pt shot from 13 ft
10:57.0,Defensive rebound by T. Chandler,,2-0,,
10:47.0,D. Booker makes 3-pt shot from 24 ft (assist by T. Ulis),3,5-0,,
10:30.0,,,5-0,,Turnover by A. Horford (bad pass; steal by T. Ulis)
10:27.0,Turnover by T. Ulis (bad pass; steal by J. Tatum),,5-0,,
10:21.0,,,5-0,,J. Brown misses 3-pt shot from 25 ft
10:19.0,,,5-0,,Offensive rebound by J. Tatum
10:18.0,,,5-2,2,A. Horford makes 2-pt shot from 3 ft (assist by J. Tatum)
9:54.0,T. Ulis misses 3-pt shot from 32 ft,,5-2,,
9:52.0,Offensive rebound by Team,,5-2,,
9:52.0,Turnover by Team (shot clock),,5-2,,
9:43.0,,,5-4,2,K. Irving makes 2-pt shot from 19 ft
9:32.0,,,5-4,,Personal foul by K. Irving (drawn by T. Ulis)
9:27.0,D. Booker makes 3-pt shot from 24 ft (assist by M. Chriss),3,8-4,,
9:10.0,,,8-7,3,J. Brown makes 3-pt shot from 22 ft (assist by A. Baynes)
8:54.0,T. Chandler makes 2-pt shot from 1 ft (assist by D. Booker),2,10-7,,
8:38.0,,,10-9,2,K. Irving makes 2-pt shot from 8 ft (assist by A. Baynes)
8:20.0,Turnover by D. Booker (out of bounds lost ball),,10-9,,
8:08.0,,,10-9,,J. Brown misses 3-pt shot from 28 ft
8:05.0,Defensive rebound by T. Warren,,10-9,,
7:57.0,Offensive foul by T. Warren (drawn by J. Tatum),,10-9,,
7:57.0,Turnover by T. Warren (offensive foul),,10-9,,
7:36.0,,,10-11,2,J. Tatum makes 2-pt shot from 2 ft
7:20.0,D. Booker misses 2-pt shot from 6 ft,,10-11,,
7:18.0,,,10-11,,Defensive rebound by A. Horford
7:05.0,,,10-14,3,K. Irving makes 3-pt shot from 25 ft
6:40.0,D. Booker misses 3-pt shot from 27 ft,,10-14,,
6:40.0,,,10-14,,Defensive rebound by J. Tatum
6:32.0,,,10-16,2,A. Baynes makes 2-pt shot from 12 ft (assist by J. Tatum)
6:31.0,Phoenix full timeout,,10-16,,
6:14.0,T. Ulis misses 3-pt shot from 28 ft,,10-16,,
6:10.0,,,10-16,,Defensive rebound by J. Tatum
6:04.0,,,10-16,,A. Baynes misses 2-pt shot from 12 ft
6:04.0,Defensive rebound by T. Chandler,,10-16,,
5:48.0,T. Warren misses 2-pt shot from 16 ft,,10-16,,
5:46.0,,,10-16,,Defensive rebound by A. Horford
5:28.0,,,10-18,2,A. Baynes makes 2-pt shot from 3 ft (assist by J. Brown)
5:08.0,Turnover by D. Booker (lost ball; steal by K. Irving),,10-18,,
5:04.0,,,10-20,2,J. Brown makes 2-pt shot from 2 ft (assist by A. Horford)
4:41.0,M. Chriss makes 2-pt shot from 10 ft (assist by D. Booker),2,12-20,,
4:29.0,,,12-20,,Shooting foul by D. Booker (drawn by J. Brown)
4:29.0,,,12-21,1,J. Brown makes free throw 1 of 2
4:29.0,,,12-21,,M. Smart enters the game for J. Tatum
4:29.0,,,12-21,,M. Morris enters the game for A. Baynes
4:29.0,M. James enters the game for T. Warren,,12-21,,
4:29.0,J. Jackson enters the game for T. Chandler,,12-21,,
4:29.0,G. Monroe enters the game for T. Ulis,,12-21,,
4:29.0,,,12-22,1,J. Brown makes free throw 2 of 2
4:12.0,J. Jackson misses 2-pt shot from 4 ft,,12-22,,
4:08.0,Offensive rebound by G. Monroe,,12-22,,
4:01.0,Phoenix full timeout,,12-22,,
4:01.0,T. Daniels enters the game for D. Booker,,12-22,,
3:51.0,M. James misses 2-pt shot from 1 ft,,12-22,,
3:50.0,Offensive rebound by G. Monroe,,12-22,,
3:50.0,Shooting foul by M. Morris (drawn by G. Monroe),,12-22,,
3:50.0,G. Monroe makes free throw 1 of 2,1,13-22,,
3:50.0,G. Monroe makes free throw 2 of 2,1,14-22,,
3:35.0,,,14-24,2,K. Irving makes 2-pt shot from 16 ft (assist by A. Horford)
3:15.0,J. Jackson makes 2-pt shot from 16 ft (assist by G. Monroe),2,16-24,,
2:56.0,,,16-24,,J. Brown misses 2-pt shot from 3 ft
2:52.0,Defensive rebound by G. Monroe,,16-24,,
2:38.0,T. Daniels makes 3-pt shot from 27 ft (assist by M. James),3,19-24,,
2:27.0,Personal foul by T. Daniels (drawn by M. Smart),,19-24,,
2:27.0,,,19-24,,T. Rozier enters the game for K. Irving
2:27.0,D. Bender enters the game for M. Chriss,,19-24,,
2:19.0,,,19-27,3,J. Brown makes 3-pt shot from 23 ft (assist by A. Horford)
1:58.0,Turnover by J. Jackson (lost ball; steal by T. Rozier),,19-27,,
1:53.0,,,19-27,,T. Rozier misses 3-pt shot from 27 ft
1:51.0,Defensive rebound by D. Bender,,19-27,,
1:32.0,D. Bender makes 3-pt shot from 22 ft (assist by M. James),3,22-27,,
1:09.0,,,22-29,2,M. Morris makes 2-pt shot from 15 ft
0:50.0,,,22-29,,Personal foul by T. Rozier (drawn by T. Daniels)
0:50.0,,,22-29,,D. Theis enters the game for A. Horford
0:45.0,M. James misses 3-pt shot from 24 ft,,22-29,,
0:42.0,,,22-29,,Defensive rebound by M. Smart
0:27.0,,,22-29,,Turnover by J. Brown (lost ball; steal by M. James)
0:22.0,Turnover by M. James (bad pass; steal by J. Brown),,22-29,,
0:20.0,Personal foul by T. Daniels (drawn by J. Brown),,22-29,,
0:03.0,,,22-31,2,M. Morris makes 2-pt shot from 1 ft (assist by M. Smart)
