time,Houston,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. C. Capela (J. Harden gains possession),,,,Jump ball: R. Gobert vs. C. Capela (J. Harden gains possession)
11:41.0,J. Harden misses 2-pt shot from 3 ft (block by R. Gobert),,0-0,,
11:41.0,Offensive rebound by Team,,0-0,,
11:37.0,C. Capela misses 2-pt shot from 5 ft (block by R. Gobert),,0-0,,
11:34.0,Offensive rebound by C. Paul,,0-0,,
11:33.0,C. Paul misses 2-pt shot from 13 ft,,0-0,,
11:31.0,,,0-0,,Defensive rebound by R. O'Neale
11:22.0,,,0-0,,Turnover by R. Gobert (lost ball; steal by C. Capela)
11:00.0,C. Paul makes 2-pt shot from 16 ft,2,2-0,,
10:39.0,,,2-0,,D. Mitchell misses 2-pt shot from 2 ft
10:37.0,Defensive rebound by C. Capela,,2-0,,
10:24.0,C. Capela misses 2-pt shot from 4 ft,,2-0,,
10:22.0,,,2-0,,Defensive rebound by J. Ingles
10:16.0,,,2-0,,J. Crowder misses 3-pt shot from 22 ft
10:14.0,Defensive rebound by C. Capela,,2-0,,
10:08.0,J. Harden makes 2-pt shot from 1 ft,2,4-0,,
9:54.0,,,4-0,,D. Mitchell misses 2-pt shot from 4 ft (block by C. Capela)
9:52.0,Defensive rebound by J. Harden,,4-0,,
9:52.0,,,4-0,,Personal foul by J. Ingles (drawn by C. Paul)
9:40.0,J. Harden misses 2-pt shot from 9 ft,,4-0,,
9:38.0,,,4-0,,Defensive rebound by J. Ingles
9:36.0,,,4-0,,Shooting foul by C. Paul (drawn by R. Gobert)
9:36.0,,,4-0,,R. Gobert misses free throw 1 of 2
9:36.0,,,4-0,,Offensive rebound by Team
9:36.0,,,4-1,1,R. Gobert makes free throw 2 of 2
9:22.0,J. Harden misses 3-pt shot from 24 ft,,4-1,,
9:19.0,,,4-1,,Defensive rebound by R. Gobert
9:09.0,,,4-1,,Utah full timeout
9:09.0,,,4-1,,D. Exum enters the game for R. O'Neale
8:57.0,,,4-1,,J. Crowder misses 2-pt shot from 3 ft
8:54.0,Defensive rebound by T. Ariza,,4-1,,
8:48.0,C. Capela makes 2-pt shot from 1 ft (assist by C. Paul),2,6-1,,
8:36.0,,,6-1,,Turnover by J. Ingles (bad pass; steal by J. Harden)
8:34.0,,,6-1,,Personal foul by D. Exum (drawn by C. Paul)
8:20.0,C. Paul misses 2-pt shot from 15 ft,,6-1,,
8:17.0,,,6-1,,Defensive rebound by J. Ingles
8:12.0,,,6-3,2,R. Gobert makes 2-pt shot from 1 ft (assist by D. Mitchell)
7:48.0,J. Harden makes 2-pt shot from 10 ft,2,8-3,,
7:38.0,,,8-3,,D. Mitchell misses 3-pt shot from 28 ft
