time,Golden State,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. Z. Pachulia (R. Anderson gains possession),,,,Jump ball: C. Capela vs. Z. Pachulia (R. Anderson gains possession)
11:36.0,,,0-0,,E. Gordon misses 2-pt shot from 1 ft
11:36.0,,,0-0,,Offensive rebound by C. Capela
11:36.0,,,0-0,,Turnover by C. Capela (lost ball; steal by A. Iguodala)
11:28.0,Shooting foul by C. Capela (drawn by Z. Pachulia),,0-0,,
11:28.0,Z. Pachulia makes free throw 1 of 2,1,1-0,,
11:28.0,Z. Pachulia makes free throw 2 of 2,1,2-0,,
11:11.0,,,2-0,,C. Paul misses 3-pt shot from 25 ft
11:08.0,Defensive rebound by A. Iguodala,,2-0,,
11:00.0,S. Curry misses 3-pt shot from 22 ft,,2-0,,
10:57.0,,,2-0,,Defensive rebound by C. Capela
10:47.0,,,2-2,2,C. Capela makes 2-pt shot from 7 ft (assist by E. Gordon)
10:35.0,A. Iguodala makes 2-pt shot from 1 ft,2,4-2,,
10:13.0,,,4-2,,T. Ariza misses 3-pt shot from 23 ft
10:09.0,Defensive rebound by D. Green,,4-2,,
10:06.0,K. Thompson makes 3-pt shot from 24 ft (assist by A. Iguodala),3,7-2,,
9:52.0,,,7-2,,T. Ariza misses 3-pt shot from 23 ft
9:49.0,Defensive rebound by K. Thompson,,7-2,,
9:43.0,D. Green misses 3-pt shot from 25 ft,,7-2,,
9:41.0,,,7-2,,Defensive rebound by E. Gordon
9:35.0,,,7-4,2,E. Gordon makes 2-pt shot from 1 ft
9:17.0,K. Thompson misses 2-pt shot from 2 ft,,7-4,,
9:12.0,,,7-4,,Defensive rebound by C. Capela
9:08.0,,,7-6,2,E. Gordon makes 2-pt shot from 1 ft (assist by R. Anderson)
9:08.0,,,7-6,,Shooting foul by Z. Pachulia (drawn by E. Gordon)
9:08.0,,,7-6,,E. Gordon misses free throw 1 of 1
9:04.0,Defensive rebound by D. Green,,7-6,,
8:50.0,S. Curry makes 3-pt shot from 24 ft (assist by D. Green),3,10-6,,
8:35.0,,,10-8,2,R. Anderson makes 2-pt shot from 15 ft
8:23.0,D. Green makes 2-pt shot from 1 ft (assist by K. Thompson),2,12-8,,
8:02.0,,,12-8,,R. Anderson misses 3-pt shot from 26 ft
8:02.0,Defensive rebound by Team,,12-8,,
7:56.0,Z. Pachulia misses 2-pt shot from 2 ft,,12-8,,
7:54.0,,,12-8,,Defensive rebound by C. Capela
7:51.0,,,12-8,,Turnover by C. Paul (bad pass; steal by S. Curry)
7:46.0,Z. Pachulia makes 2-pt shot at rim (assist by S. Curry),2,14-8,,
7:32.0,,,14-10,2,C. Capela makes 2-pt shot at rim (assist by E. Gordon)
7:29.0,,,14-10,,Personal foul by T. Ariza (drawn by A. Iguodala)
7:18.0,A. Iguodala makes 2-pt shot from 17 ft,2,16-10,,
7:05.0,,,16-12,2,C. Capela makes 2-pt shot at rim (assist by C. Paul)
6:53.0,S. Curry misses 2-pt shot from 21 ft,,16-12,,
6:47.0,Offensive rebound by D. Green,,16-12,,
6:46.0,D. Green misses 2-pt shot at rim,,16-12,,
6:46.0,,,16-12,,Defensive rebound by R. Anderson
6:38.0,,,16-12,,T. Ariza misses 3-pt shot from 23 ft
6:35.0,Defensive rebound by S. Curry,,16-12,,
6:33.0,K. Thompson misses 3-pt shot from 26 ft,,16-12,,
6:33.0,,,16-12,,Defensive rebound by T. Ariza
6:23.0,,,16-12,,E. Gordon misses 3-pt shot from 27 ft
6:23.0,Defensive rebound by S. Curry,,16-12,,
6:15.0,Turnover by S. Curry (bad pass; steal by T. Ariza),,16-12,,
6:08.0,,,16-15,3,R. Anderson makes 3-pt shot from 22 ft (assist by C. Paul)
6:06.0,Golden State full timeout,,16-15,,
6:06.0,,,16-15,,G. Green enters the game for C. Capela
6:06.0,,,16-15,,P. Tucker enters the game for E. Gordon
6:06.0,J. Bell enters the game for Z. Pachulia,,16-15,,
5:54.0,S. Curry makes 2-pt shot from 1 ft (assist by D. Green),2,18-15,,
5:35.0,,,18-17,2,C. Paul makes 2-pt shot from 16 ft
5:35.0,,,18-17,,Shooting foul by J. Bell (drawn by C. Paul)
5:35.0,P. McCaw enters the game for D. Green,,18-17,,
5:35.0,,,18-18,1,C. Paul makes free throw 1 of 1
5:20.0,A. Iguodala makes 2-pt shot from 1 ft (assist by S. Curry),2,20-18,,
4:57.0,,,20-20,2,C. Paul makes 2-pt shot from 12 ft
4:48.0,,,20-20,,Personal foul by C. Paul (drawn by S. Curry)
4:36.0,P. McCaw misses 2-pt shot from 10 ft,,20-20,,
4:36.0,,,20-20,,Defensive rebound by Team
4:36.0,,,20-20,,T. Black enters the game for R. Anderson
4:21.0,,,20-20,,G. Green misses 3-pt shot from 24 ft
4:15.0,Defensive rebound by P. McCaw,,20-20,,
3:56.0,K. Thompson makes 2-pt shot from 16 ft (assist by P. McCaw),2,22-20,,
3:43.0,,,22-20,,Shooting foul by K. Thompson (drawn by T. Black)
3:43.0,,,22-20,,T. Black misses free throw 1 of 2
3:43.0,,,22-20,,Offensive rebound by Team
3:43.0,,,22-20,,B. Weber enters the game for T. Ariza
3:43.0,,,22-20,,E. Gordon enters the game for C. Paul
3:43.0,D. Green enters the game for A. Iguodala,,22-20,,
3:43.0,N. Young enters the game for K. Thompson,,22-20,,
3:43.0,,,22-21,1,T. Black makes free throw 2 of 2
3:23.0,D. Green misses 3-pt shot from 25 ft,,22-21,,
