time,Chicago,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. R. Lopez (I. Smith gains possession),,,,Jump ball: A. Drummond vs. R. Lopez (I. Smith gains possession)
11:40.0,,,0-0,,A. Drummond misses 2-pt shot from 5 ft
11:38.0,Defensive rebound by Z. LaVine,,0-0,,
11:20.0,Turnover by J. Holiday (bad pass; steal by J. Ennis),,0-0,,
11:07.0,,,0-0,,A. Drummond misses 2-pt shot from 2 ft
11:04.0,,,0-0,,Offensive rebound by J. Ennis
11:03.0,,,0-0,,J. Ennis misses 2-pt shot at rim
11:03.0,Defensive rebound by J. Holiday,,0-0,,
10:55.0,J. Holiday misses 2-pt shot from 2 ft,,0-0,,
10:51.0,Offensive rebound by L. Markkanen,,0-0,,
10:51.0,L. Markkanen makes 2-pt shot at rim,2,2-0,,
10:38.0,,,2-2,2,R. Bullock makes 2-pt shot from 19 ft (assist by B. Griffin)
10:20.0,R. Lopez makes 2-pt shot at rim (assist by L. Markkanen),2,4-2,,
10:04.0,,,4-2,,Turnover by R. Bullock (bad pass; steal by Z. LaVine)
9:56.0,Z. LaVine makes 2-pt shot at rim (assist by K. Dunn),2,6-2,,
9:43.0,,,6-2,,I. Smith misses 2-pt shot from 18 ft
9:40.0,Defensive rebound by R. Lopez,,6-2,,
9:34.0,Z. LaVine misses 3-pt shot from 26 ft,,6-2,,
9:31.0,,,6-2,,Defensive rebound by B. Griffin
9:27.0,,,6-2,,Turnover by B. Griffin (bad pass; steal by K. Dunn)
9:22.0,Z. LaVine makes 2-pt shot from 1 ft (assist by K. Dunn),2,8-2,,
9:16.0,,,8-2,,Detroit full timeout
9:02.0,,,8-4,2,J. Ennis makes 2-pt shot from 2 ft (assist by B. Griffin)
8:46.0,L. Markkanen misses 3-pt shot from 28 ft,,8-4,,
8:43.0,,,8-4,,Defensive rebound by Team
8:29.0,,,8-4,,B. Griffin misses 2-pt shot from 21 ft
8:25.0,Defensive rebound by Z. LaVine,,8-4,,
8:16.0,J. Holiday makes 3-pt shot from 23 ft (assist by L. Markkanen),3,11-4,,
7:51.0,,,11-4,,Shooting foul by K. Dunn (drawn by B. Griffin)
7:51.0,,,11-5,1,B. Griffin makes free throw 1 of 2
7:51.0,,,11-6,1,B. Griffin makes free throw 2 of 2
7:33.0,Z. LaVine misses 3-pt shot from 25 ft,,11-6,,
7:29.0,,,11-6,,Defensive rebound by I. Smith
7:16.0,,,11-6,,A. Drummond misses 2-pt shot from 2 ft
7:14.0,Defensive rebound by R. Lopez,,11-6,,
7:14.0,K. Dunn makes 2-pt shot from 1 ft,2,13-6,,
6:59.0,,,13-6,,Shooting foul by R. Lopez (drawn by A. Drummond)
6:59.0,,,13-6,,A. Drummond misses free throw 1 of 2
6:59.0,,,13-6,,Offensive rebound by Team
6:59.0,,,13-7,1,A. Drummond makes free throw 2 of 2
6:48.0,Shooting foul by B. Griffin (drawn by Z. LaVine),,13-7,,
6:48.0,Z. LaVine misses free throw 1 of 2,,13-7,,
6:48.0,Offensive rebound by Team,,13-7,,
6:48.0,Z. LaVine makes free throw 2 of 2,1,14-7,,
6:31.0,,,14-10,3,B. Griffin makes 3-pt shot from 26 ft
6:17.0,J. Holiday misses 3-pt shot from 22 ft,,14-10,,
6:14.0,Offensive rebound by Team,,14-10,,
6:08.0,Z. LaVine misses 2-pt shot from 1 ft,,14-10,,
6:05.0,,,14-10,,Defensive rebound by R. Bullock
5:55.0,,,14-10,,B. Griffin misses 3-pt shot from 29 ft
5:50.0,Defensive rebound by K. Dunn,,14-10,,
5:45.0,L. Markkanen misses 2-pt shot from 11 ft,,14-10,,
5:41.0,,,14-10,,Defensive rebound by B. Griffin
5:34.0,,,14-10,,Turnover by I. Smith (bad pass; steal by Z. LaVine)
5:23.0,Z. LaVine misses 2-pt shot from 9 ft,,14-10,,
5:19.0,,,14-10,,Defensive rebound by A. Drummond
5:19.0,D. Valentine enters the game for Z. LaVine,,14-10,,
5:01.0,,,14-12,2,A. Drummond makes 2-pt shot from 4 ft
4:48.0,R. Lopez makes 3-pt shot from 26 ft (assist by K. Dunn),3,17-12,,
4:24.0,,,17-14,2,B. Griffin makes 2-pt shot from 2 ft
4:17.0,J. Holiday misses 3-pt shot from 24 ft,,17-14,,
4:15.0,,,17-14,,Defensive rebound by A. Drummond
4:11.0,,,17-14,,I. Smith misses 2-pt shot from 17 ft
4:07.0,Defensive rebound by L. Markkanen,,17-14,,
4:01.0,K. Dunn makes 2-pt shot from 12 ft,2,19-14,,
3:37.0,Personal foul by D. Valentine (drawn by R. Bullock),,19-14,,
3:37.0,,,19-14,,E. Moreland enters the game for A. Drummond
3:30.0,,,19-14,,I. Smith misses 2-pt shot from 15 ft
3:27.0,,,19-14,,Offensive rebound by J. Ennis
3:26.0,,,19-14,,J. Ennis misses 2-pt shot from 3 ft
3:26.0,Defensive rebound by J. Holiday,,19-14,,
3:08.0,L. Markkanen misses 2-pt shot from 13 ft (block by E. Moreland),,19-14,,
3:02.0,,,19-14,,Defensive rebound by R. Bullock
2:50.0,,,19-16,2,B. Griffin makes 2-pt shot from 5 ft
2:42.0,Chicago full timeout,,19-16,,
2:42.0,,,19-16,,L. Kennard enters the game for I. Smith
2:42.0,,,19-16,,J. Nelson enters the game for J. Ennis
2:42.0,B. Portis enters the game for L. Markkanen,,19-16,,
2:36.0,R. Lopez makes 2-pt shot from 12 ft (assist by D. Valentine),2,21-16,,
2:20.0,,,21-19,3,R. Bullock makes 3-pt shot from 25 ft (assist by E. Moreland)
2:06.0,J. Holiday makes 3-pt shot from 26 ft (assist by D. Valentine),3,24-19,,
1:42.0,,,24-19,,Turnover by E. Moreland (bad pass)
1:42.0,C. Payne enters the game for K. Dunn,,24-19,,
1:36.0,R. Lopez makes 2-pt shot from 8 ft (assist by D. Valentine),2,26-19,,
1:18.0,,,26-19,,Turnover by J. Nelson (lost ball; steal by B. Portis)
1:16.0,B. Portis misses 2-pt shot from 2 ft (block by J. Nelson),,26-19,,
