time,Brooklyn,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Henson vs. T. Zeller (G. Antetokounmpo gains possession),,,,Jump ball: J. Henson vs. T. Zeller (G. Antetokounmpo gains possession)
11:45.0,,,0-2,2,G. Antetokounmpo makes 2-pt shot from 19 ft (assist by J. Henson)
11:28.0,T. Zeller misses 2-pt shot from 1 ft,,0-2,,
11:26.0,,,0-2,,Defensive rebound by J. Henson
11:17.0,,,0-4,2,J. Henson makes 2-pt shot from 6 ft (assist by E. Bledsoe)
10:54.0,S. Dinwiddie misses 3-pt shot from 27 ft,,0-4,,
10:51.0,,,0-4,,Defensive rebound by G. Antetokounmpo
10:49.0,,,0-4,,Shooting foul by R. Hollis-Jefferson (drawn by G. Antetokounmpo)
10:49.0,,,0-5,1,G. Antetokounmpo makes free throw 1 of 2
10:49.0,,,0-6,1,G. Antetokounmpo makes free throw 2 of 2
10:29.0,R. Hollis-Jefferson misses 3-pt shot from 25 ft,,0-6,,
10:26.0,,,0-6,,Defensive rebound by J. Henson
10:11.0,,,0-6,,G. Antetokounmpo misses 2-pt shot from 12 ft
10:09.0,Defensive rebound by D. Carroll,,0-6,,
10:01.0,Turnover by R. Hollis-Jefferson (lost ball; steal by G. Antetokounmpo),,0-6,,
9:43.0,,,0-6,,E. Bledsoe misses 2-pt shot from 14 ft
9:40.0,Defensive rebound by D. Carroll,,0-6,,
9:33.0,A. Crabbe misses 3-pt shot from 25 ft,,0-6,,
9:29.0,,,0-6,,Defensive rebound by G. Antetokounmpo
9:18.0,,,0-8,2,K. Middleton makes 2-pt shot from 16 ft
9:02.0,A. Crabbe makes 2-pt shot at rim,2,2-8,,
8:44.0,,,2-11,3,G. Antetokounmpo makes 3-pt shot from 26 ft (assist by J. Henson)
8:26.0,D. Carroll misses 3-pt shot from 26 ft,,2-11,,
8:22.0,,,2-11,,Defensive rebound by K. Middleton
8:20.0,,,2-11,,K. Middleton misses 2-pt shot from 2 ft
8:20.0,Defensive rebound by S. Dinwiddie,,2-11,,
8:14.0,R. Hollis-Jefferson misses 2-pt shot from 1 ft (block by G. Antetokounmpo),,2-11,,
8:14.0,Offensive rebound by T. Zeller,,2-11,,
8:05.0,T. Zeller misses 3-pt shot from 24 ft,,2-11,,
8:02.0,,,2-11,,Defensive rebound by G. Antetokounmpo
7:55.0,,,2-11,,E. Bledsoe misses 2-pt shot from 19 ft
7:53.0,Defensive rebound by R. Hollis-Jefferson,,2-11,,
7:45.0,D. Carroll misses 3-pt shot from 25 ft,,2-11,,
7:42.0,,,2-11,,Defensive rebound by J. Henson
7:31.0,,,2-13,2,G. Antetokounmpo makes 2-pt shot from 1 ft
7:31.0,Brooklyn full timeout,,2-13,,
7:20.0,Turnover by A. Crabbe (bad pass; steal by K. Middleton),,2-13,,
7:14.0,,,2-16,3,T. Snell makes 3-pt shot from 22 ft (assist by K. Middleton)
6:56.0,A. Crabbe makes 3-pt shot from 27 ft (assist by R. Hollis-Jefferson),3,5-16,,
6:38.0,,,5-16,,Shooting foul by A. Crabbe (drawn by J. Henson)
6:38.0,,,5-17,1,J. Henson makes free throw 1 of 2
6:38.0,J. Allen enters the game for T. Zeller,,5-17,,
6:38.0,J. Harris enters the game for A. Crabbe,,5-17,,
6:38.0,,,5-17,,J. Henson misses free throw 2 of 2
6:35.0,Defensive rebound by Team,,5-17,,
6:25.0,,,5-17,,Def 3 sec tech foul by J. Henson
6:25.0,S. Dinwiddie makes technical free throw,1,6-17,,
6:25.0,,,6-17,,S. Brown enters the game for G. Antetokounmpo
6:12.0,Shooting foul by E. Bledsoe (drawn by S. Dinwiddie),,6-17,,
6:12.0,S. Dinwiddie misses free throw 1 of 3,,6-17,,
6:12.0,Offensive rebound by Team,,6-17,,
6:12.0,S. Dinwiddie makes free throw 2 of 3,1,7-17,,
6:12.0,Q. Acy enters the game for R. Hollis-Jefferson,,7-17,,
6:12.0,S. Dinwiddie makes free throw 3 of 3,1,8-17,,
6:00.0,,,8-17,,J. Henson misses 2-pt shot from 2 ft
5:57.0,Defensive rebound by D. Carroll,,8-17,,
5:55.0,J. Allen makes 2-pt shot at rim (assist by D. Carroll),2,10-17,,
5:42.0,,,10-20,3,K. Middleton makes 3-pt shot from 27 ft
5:28.0,S. Dinwiddie misses 3-pt shot from 27 ft,,10-20,,
5:25.0,,,10-20,,Defensive rebound by T. Snell
5:14.0,,,10-20,,T. Snell misses 2-pt shot from 20 ft
5:11.0,Defensive rebound by J. Allen,,10-20,,
5:01.0,,,10-20,,Personal foul by K. Middleton (drawn by D. Carroll)
5:01.0,,,10-20,,T. Maker enters the game for E. Bledsoe
