time,Oklahoma City,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Valanciunas vs. S. Adams (J. Valanciunas gains possession),,,,Jump ball: J. Valanciunas vs. S. Adams (J. Valanciunas gains possession)
11:42.0,,,0-3,3,S. Ibaka makes 3-pt shot from 25 ft (assist by K. Lowry)
11:28.0,Offensive charge foul by S. Adams (drawn by O. Anunoby),,0-3,,
11:28.0,Turnover by S. Adams (offensive foul),,0-3,,
11:12.0,,,0-3,,J. Valanciunas misses 2-pt shot from 3 ft
11:12.0,Defensive rebound by Team,,0-3,,
10:56.0,S. Adams makes 2-pt shot from 6 ft (assist by R. Westbrook),2,2-3,,
10:42.0,,,2-5,2,S. Ibaka makes 2-pt shot from 12 ft
10:35.0,Turnover by R. Westbrook (bad pass),,2-5,,
10:16.0,,,2-5,,Turnover by O. Anunoby (lost ball; steal by C. Brewer)
10:12.0,P. George makes 2-pt shot at rim,2,4-5,,
9:52.0,,,4-5,,Shooting foul by C. Brewer (drawn by D. DeRozan)
9:52.0,,,4-6,1,D. DeRozan makes free throw 1 of 2
9:52.0,,,4-7,1,D. DeRozan makes free throw 2 of 2
9:43.0,,,4-7,,Personal foul by O. Anunoby (drawn by P. George)
9:28.0,C. Brewer makes 3-pt shot from 23 ft (assist by C. Anthony),3,7-7,,
9:09.0,,,7-9,2,J. Valanciunas makes 2-pt shot from 5 ft (assist by K. Lowry)
8:57.0,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook),2,9-9,,
8:47.0,,,9-9,,D. DeRozan misses 3-pt shot from 25 ft
8:44.0,Defensive rebound by P. George,,9-9,,
8:37.0,R. Westbrook makes 2-pt shot from 1 ft (assist by S. Adams),2,11-9,,
8:20.0,,,11-11,2,D. DeRozan makes 2-pt shot from 11 ft
8:07.0,P. George misses 2-pt shot from 20 ft,,11-11,,
8:04.0,,,11-11,,Defensive rebound by S. Ibaka
7:58.0,,,11-11,,S. Ibaka misses 3-pt shot from 28 ft
7:55.0,Defensive rebound by R. Westbrook,,11-11,,
7:53.0,C. Anthony makes 3-pt shot from 25 ft (assist by R. Westbrook),3,14-11,,
7:34.0,,,14-11,,S. Ibaka misses 2-pt shot from 4 ft
7:32.0,Defensive rebound by C. Brewer,,14-11,,
7:29.0,Offensive charge foul by C. Brewer (drawn by K. Lowry),,14-11,,
7:29.0,Turnover by C. Brewer (offensive foul),,14-11,,
7:19.0,,,14-14,3,K. Lowry makes 3-pt shot from 28 ft
6:59.0,C. Anthony makes 2-pt shot from 16 ft,2,16-14,,
6:50.0,,,16-14,,D. DeRozan misses 3-pt shot from 26 ft
6:47.0,,,16-14,,Offensive rebound by J. Valanciunas
6:46.0,,,16-16,2,J. Valanciunas makes 2-pt shot at rim
6:34.0,S. Adams makes 2-pt shot at rim (assist by P. George),2,18-16,,
6:22.0,,,18-16,,Turnover by J. Valanciunas (traveling)
6:22.0,,,18-16,,Toronto full timeout
6:22.0,J. Huestis enters the game for C. Brewer,,18-16,,
6:13.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,20-16,,
5:51.0,,,20-16,,Turnover by S. Ibaka (bad pass; steal by P. George)
5:47.0,Turnover by R. Westbrook (bad pass),,20-16,,
5:32.0,,,20-19,3,K. Lowry makes 3-pt shot from 29 ft (assist by J. Valanciunas)
5:25.0,,,20-19,,Personal foul by S. Ibaka (drawn by S. Adams)
5:11.0,J. Huestis misses 3-pt shot from 22 ft,,20-19,,
5:08.0,Offensive rebound by S. Adams,,20-19,,
5:06.0,J. Huestis misses 2-pt shot from 3 ft,,20-19,,
5:02.0,Offensive rebound by J. Huestis,,20-19,,
5:02.0,J. Huestis misses 2-pt shot at rim,,20-19,,
5:01.0,,,20-19,,Defensive rebound by D. DeRozan
4:43.0,,,20-22,3,O. Anunoby makes 3-pt shot from 22 ft (assist by K. Lowry)
4:31.0,P. George makes 2-pt shot from 11 ft (assist by C. Anthony),2,22-22,,
4:31.0,Shooting foul by O. Anunoby (drawn by P. George),,22-22,,
4:31.0,,,22-22,,N. Powell enters the game for O. Anunoby
4:31.0,P. George makes free throw 1 of 1,1,23-22,,
4:21.0,Personal block foul by J. Huestis (drawn by K. Lowry),,23-22,,
4:17.0,Personal foul by C. Anthony (drawn by D. DeRozan),,23-22,,
4:15.0,,,23-25,2,D. DeRozan makes 3-pt shot from 22 ft (assist by S. Ibaka)
4:05.0,R. Westbrook makes 2-pt shot at rim,2,25-25,,
3:50.0,,,25-27,2,J. Valanciunas makes 2-pt shot from 3 ft (assist by K. Lowry)
3:35.0,S. Adams makes 2-pt shot from 1 ft,2,27-27,,
3:28.0,,,27-27,,Turnover by K. Lowry (lost ball; steal by R. Westbrook)
3:28.0,,,27-27,,Personal foul by N. Powell (drawn by R. Westbrook)
3:28.0,,,27-27,,J. Poeltl enters the game for J. Valanciunas
3:12.0,C. Anthony makes 2-pt shot from 19 ft,2,29-27,,
2:52.0,,,29-27,,D. DeRozan misses 2-pt shot from 13 ft
2:50.0,Defensive rebound by S. Adams,,29-27,,
2:45.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,31-27,,
2:43.0,,,31-27,,Toronto full timeout
2:43.0,,,31-27,,D. Wright enters the game for K. Lowry
2:43.0,,,31-27,,P. Siakam enters the game for S. Ibaka
2:30.0,,,31-27,,D. DeRozan misses 2-pt shot from 10 ft
2:26.0,,,31-27,,Offensive rebound by J. Poeltl
2:23.0,,,31-27,,Turnover by N. Powell (bad pass; steal by P. George)
2:20.0,R. Westbrook makes 2-pt shot from 1 ft,2,33-27,,
1:51.0,,,33-29,2,P. Siakam makes 2-pt shot from 4 ft (assist by D. Wright)
1:29.0,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook),2,35-29,,
1:13.0,,,35-29,,D. DeRozan misses 2-pt shot from 19 ft
1:10.0,,,35-29,,Offensive rebound by J. Poeltl
1:10.0,,,35-29,,Turnover by D. Wright (turnover)
1:10.0,,,35-29,,C. Miles enters the game for D. DeRozan
1:10.0,R. Felton enters the game for R. Westbrook,,35-29,,
1:10.0,J. Grant enters the game for C. Anthony,,35-29,,
1:10.0,P. Patterson enters the game for S. Adams,,35-29,,
1:00.0,J. Grant makes 2-pt shot from 1 ft,2,37-29,,
0:46.0,,,37-31,2,D. Wright makes 2-pt shot from 2 ft
0:37.0,Shooting foul by J. Poeltl (drawn by J. Grant),,37-31,,
0:37.0,J. Grant makes free throw 1 of 2,1,38-31,,
0:37.0,J. Grant misses free throw 2 of 2,,38-31,,
0:36.0,Offensive rebound by Team,,38-31,,
0:31.0,P. George makes 2-pt shot at rim (assist by P. Patterson),2,40-31,,
0:07.0,,,40-34,3,N. Powell makes 3-pt shot from 29 ft (assist by D. Wright)
0:01.0,R. Felton misses 3-pt shot from 31 ft,,40-34,,
0:01.0,Offensive rebound by J. Huestis,,40-34,,
0:00.0,J. Huestis misses 2-pt shot from 1 ft,,40-34,,
0:00.0,Offensive rebound by Team,,40-34,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,P. George misses 2-pt shot from 2 ft,,40-34,,
11:40.0,,,40-34,,Defensive rebound by L. Nogueira
11:25.0,,,40-37,3,C. Miles makes 3-pt shot from 26 ft (assist by N. Powell)
11:05.0,Turnover by P. George (lost ball; steal by D. Wright),,40-37,,
10:53.0,,,40-39,2,N. Powell makes 2-pt shot at rim
10:53.0,,,40-39,,Shooting foul by P. Patterson (drawn by N. Powell)
10:53.0,,,40-40,1,N. Powell makes free throw 1 of 1
10:42.0,P. Patterson makes 3-pt shot from 26 ft (assist by R. Felton),3,43-40,,
10:21.0,,,43-40,,C. Miles misses 3-pt shot from 28 ft
10:18.0,Defensive rebound by P. Patterson,,43-40,,
10:07.0,Turnover by R. Felton (bad pass; steal by P. Siakam),,43-40,,
10:01.0,,,43-40,,C. Miles misses 3-pt shot from 27 ft
9:57.0,Defensive rebound by R. Felton,,43-40,,
9:51.0,Turnover by P. Patterson (traveling),,43-40,,
9:51.0,C. Brewer enters the game for P. George,,43-40,,
9:40.0,,,43-42,2,P. Siakam makes 2-pt shot from 1 ft (assist by D. Wright)
9:23.0,P. Patterson misses 2-pt shot from 5 ft,,43-42,,
9:22.0,,,43-42,,Defensive rebound by L. Nogueira
9:16.0,,,43-45,3,D. Wright makes 3-pt shot from 25 ft (assist by N. Powell)
9:14.0,Oklahoma City full timeout,,43-45,,
8:52.0,C. Brewer misses 2-pt shot from 5 ft,,43-45,,
8:50.0,,,43-45,,Defensive rebound by L. Nogueira
8:46.0,,,43-45,,Offensive charge foul by P. Siakam (drawn by J. Grant)
8:46.0,,,43-45,,Turnover by P. Siakam (bad pass)
8:46.0,Turnover by J. Grant (bad pass),,43-45,,
8:28.0,,,43-45,,C. Miles misses 3-pt shot from 25 ft
8:25.0,Defensive rebound by J. Grant,,43-45,,
8:18.0,Shooting foul by C. Miles (drawn by J. Grant),,43-45,,
8:18.0,J. Grant misses free throw 1 of 2,,43-45,,
8:18.0,Offensive rebound by Team,,43-45,,
8:18.0,R. Westbrook enters the game for C. Brewer,,43-45,,
8:18.0,J. Grant makes free throw 2 of 2,1,44-45,,
8:09.0,Personal block foul by T. Ferguson (drawn by N. Powell),,44-45,,
8:01.0,,,44-45,,Turnover by P. Siakam (bad pass; steal by R. Westbrook)
7:59.0,Turnover by R. Westbrook (bad pass),,44-45,,
7:54.0,,,44-45,,C. Miles misses 3-pt shot from 26 ft
7:51.0,Defensive rebound by P. Patterson,,44-45,,
7:46.0,R. Westbrook misses 2-pt shot from 16 ft,,44-45,,
7:43.0,,,44-45,,Defensive rebound by L. Nogueira
7:37.0,,,44-47,2,L. Nogueira makes 2-pt shot from 1 ft (assist by D. Wright)
7:22.0,R. Felton misses 3-pt shot from 25 ft,,44-47,,
7:19.0,,,44-47,,Defensive rebound by L. Nogueira
7:07.0,,,44-47,,N. Powell misses 2-pt shot from 6 ft
