time,San Antonio,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. P. Gasol (K. Walker gains possession),,,,Jump ball: D. Howard vs. P. Gasol (K. Walker gains possession)
11:43.0,,,0-0,,M. Kidd-Gilchrist misses 2-pt shot from 1 ft (block by D. Green)
11:39.0,,,0-0,,Offensive rebound by N. Batum
11:37.0,,,0-0,,N. Batum misses 3-pt shot from 25 ft
11:35.0,Defensive rebound by P. Mills,,0-0,,
11:21.0,P. Gasol misses 2-pt shot from 2 ft (block by M. Kidd-Gilchrist),,0-0,,
11:18.0,,,0-0,,Defensive rebound by M. Williams
11:17.0,,,0-2,2,D. Howard makes 2-pt shot at rim (assist by N. Batum)
11:17.0,,,0-2,,Shooting foul by L. Aldridge (drawn by D. Howard)
11:17.0,,,0-2,,D. Howard misses free throw 1 of 1
11:14.0,Defensive rebound by D. Green,,0-2,,
10:52.0,D. Green misses 2-pt shot from 21 ft,,0-2,,
10:48.0,,,0-2,,Defensive rebound by D. Howard
10:34.0,,,0-2,,M. Kidd-Gilchrist misses 2-pt shot from 17 ft
10:32.0,Defensive rebound by P. Mills,,0-2,,
10:23.0,P. Gasol misses 3-pt shot from 27 ft,,0-2,,
10:23.0,,,0-2,,Defensive rebound by Team
10:08.0,,,0-2,,D. Howard misses 2-pt shot from 2 ft (block by P. Gasol)
10:08.0,Defensive rebound by P. Gasol,,0-2,,
9:54.0,L. Aldridge misses 2-pt shot from 9 ft,,0-2,,
9:52.0,,,0-2,,Defensive rebound by M. Williams
9:42.0,,,0-2,,D. Howard misses 2-pt shot from 1 ft
9:40.0,Defensive rebound by D. Green,,0-2,,
9:21.0,P. Gasol makes 3-pt shot from 26 ft (assist by L. Aldridge),3,3-2,,
9:10.0,,,3-2,,K. Walker misses 3-pt shot from 25 ft
9:08.0,Defensive rebound by K. Anderson,,3-2,,
8:49.0,Shooting foul by M. Kidd-Gilchrist (drawn by P. Gasol),,3-2,,
8:49.0,P. Gasol misses free throw 1 of 2,,3-2,,
8:49.0,Offensive rebound by Team,,3-2,,
8:49.0,P. Gasol makes free throw 2 of 2,1,4-2,,
8:38.0,,,4-2,,M. Kidd-Gilchrist misses 2-pt shot from 13 ft
8:35.0,Defensive rebound by P. Gasol,,4-2,,
8:25.0,P. Mills misses 3-pt shot from 27 ft,,4-2,,
8:23.0,,,4-2,,Defensive rebound by D. Howard
8:13.0,,,4-2,,M. Williams misses 2-pt shot from 9 ft
8:12.0,Defensive rebound by L. Aldridge,,4-2,,
7:53.0,K. Anderson misses 2-pt shot from 3 ft,,4-2,,
7:51.0,,,4-2,,Defensive rebound by K. Walker
7:45.0,,,4-5,3,M. Williams makes 3-pt shot from 25 ft (assist by K. Walker)
7:27.0,P. Gasol misses 3-pt shot from 28 ft,,4-5,,
7:25.0,,,4-5,,Defensive rebound by Team
7:25.0,Loose ball foul by P. Mills (drawn by N. Batum),,4-5,,
7:07.0,,,4-5,,N. Batum misses 3-pt shot from 25 ft
7:07.0,Defensive rebound by Team,,4-5,,
6:57.0,,,4-5,,Personal foul by M. Williams (drawn by L. Aldridge)
6:57.0,,,4-5,,Charlotte full timeout
6:49.0,Turnover by P. Gasol (bad pass; steal by D. Howard),,4-5,,
6:45.0,,,4-5,,M. Williams misses 2-pt shot from 1 ft (block by P. Gasol)
6:42.0,,,4-5,,Offensive rebound by M. Kidd-Gilchrist
6:41.0,,,4-5,,N. Batum misses 3-pt shot from 26 ft
6:41.0,,,4-5,,Offensive rebound by M. Kidd-Gilchrist
6:32.0,,,4-7,2,K. Walker makes 2-pt shot from 12 ft
6:12.0,L. Aldridge misses 2-pt shot from 20 ft,,4-7,,
6:09.0,,,4-7,,Defensive rebound by N. Batum
6:02.0,,,4-7,,M. Kidd-Gilchrist misses 2-pt shot from 3 ft
5:59.0,Defensive rebound by P. Gasol,,4-7,,
5:38.0,P. Mills misses 3-pt shot from 26 ft,,4-7,,
5:36.0,,,4-7,,Defensive rebound by D. Howard
5:25.0,Def 3 sec tech foul by L. Aldridge,,4-7,,
5:25.0,,,4-8,1,N. Batum makes technical free throw
5:25.0,R. Gay enters the game for P. Gasol,,4-8,,
5:25.0,D. Murray enters the game for P. Mills,,4-8,,
5:09.0,,,4-8,,Turnover by K. Walker (lost ball; steal by K. Anderson)
5:00.0,L. Aldridge makes 2-pt shot from 4 ft (assist by R. Gay),2,6-8,,
4:51.0,,,6-11,3,K. Walker makes 3-pt shot from 25 ft
4:27.0,D. Green makes 2-pt shot from 3 ft (assist by L. Aldridge),2,8-11,,
