time,Portland,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. J. Nurkic (D. Lillard gains possession),,,,Jump ball: R. Gobert vs. J. Nurkic (D. Lillard gains possession)
11:47.0,A. Aminu makes 3-pt shot from 26 ft (assist by J. Nurkic),3,3-0,,
11:30.0,,,3-2,2,R. Gobert makes 2-pt shot from 1 ft
11:06.0,C. McCollum makes 3-pt shot from 25 ft,3,6-2,,
10:48.0,,,6-2,,Turnover by D. Mitchell (lost ball; steal by M. Harkless)
10:44.0,Turnover by M. Harkless (traveling),,6-2,,
10:26.0,,,6-4,2,R. Gobert makes 2-pt shot at rim (assist by D. Favors)
10:12.0,J. Nurkic misses 2-pt shot from 11 ft,,6-4,,
10:03.0,Offensive rebound by A. Aminu,,6-4,,
10:03.0,A. Aminu makes 2-pt shot at rim,2,8-4,,
9:55.0,,,8-4,,R. Rubio misses 2-pt shot from 3 ft
9:53.0,Defensive rebound by J. Nurkic,,8-4,,
9:42.0,J. Nurkic misses 2-pt shot from 4 ft (block by R. Gobert),,8-4,,
9:42.0,Offensive rebound by Team,,8-4,,
9:30.0,J. Nurkic makes 2-pt shot from 19 ft,2,10-4,,
9:24.0,Personal foul by C. McCollum (drawn by J. Ingles),,10-4,,
9:18.0,,,10-4,,D. Favors misses 2-pt shot from 2 ft
9:16.0,Defensive rebound by A. Aminu,,10-4,,
9:10.0,Offensive foul by J. Nurkic (drawn by J. Ingles),,10-4,,
9:10.0,Turnover by J. Nurkic (offensive foul),,10-4,,
8:54.0,,,10-4,,Turnover by R. Rubio (lost ball; steal by M. Harkless)
8:47.0,C. McCollum misses 3-pt shot from 26 ft,,10-4,,
8:45.0,,,10-4,,Defensive rebound by R. Rubio
8:39.0,,,10-6,2,J. Ingles makes 2-pt shot from 8 ft
8:24.0,D. Lillard makes 3-pt shot from 26 ft,3,13-6,,
8:23.0,,,13-6,,Utah full timeout
8:13.0,,,13-6,,D. Mitchell misses 3-pt shot from 26 ft
8:08.0,Defensive rebound by C. McCollum,,13-6,,
7:50.0,J. Nurkic makes 2-pt shot from 10 ft (assist by D. Lillard),2,15-6,,
7:27.0,,,15-9,3,J. Ingles makes 3-pt shot from 25 ft (assist by D. Favors)
7:10.0,Turnover by D. Lillard (bad pass),,15-9,,
7:10.0,,,15-9,,R. O'Neale enters the game for R. Rubio
6:53.0,,,15-9,,D. Favors misses 3-pt shot from 23 ft
6:50.0,Defensive rebound by D. Lillard,,15-9,,
6:43.0,D. Lillard misses 3-pt shot from 25 ft,,15-9,,
6:41.0,,,15-9,,Defensive rebound by R. Gobert
6:25.0,,,15-11,2,D. Favors makes 2-pt shot from 8 ft (assist by R. Gobert)
6:07.0,C. McCollum makes 2-pt shot from 19 ft,2,17-11,,
5:51.0,,,17-11,,Turnover by J. Ingles (bad pass; steal by A. Aminu)
5:44.0,A. Aminu makes 2-pt shot from 7 ft,2,19-11,,
5:18.0,,,19-11,,Turnover by J. Ingles (bad pass; steal by M. Harkless)
5:18.0,,,19-11,,Personal foul by D. Mitchell (drawn by M. Harkless)
5:18.0,M. Harkless makes clear path free throw 1 of 2,1,20-11,,
5:18.0,M. Harkless makes clear path free throw 2 of 2,1,21-11,,
5:18.0,,,21-11,,J. Crowder enters the game for J. Ingles
5:08.0,C. McCollum misses 2-pt shot from 15 ft,,21-11,,
5:06.0,,,21-11,,Defensive rebound by R. Gobert
4:56.0,,,21-13,2,D. Mitchell makes 2-pt shot from 11 ft (assist by R. O'Neale)
4:34.0,D. Lillard misses 3-pt shot from 23 ft,,21-13,,
4:31.0,,,21-13,,Defensive rebound by R. Gobert
4:20.0,,,21-13,,Turnover by D. Mitchell (bad pass; steal by M. Harkless)
4:15.0,M. Harkless makes 2-pt shot from 2 ft,2,23-13,,
3:59.0,,,23-16,3,D. Mitchell makes 3-pt shot from 25 ft
3:37.0,J. Nurkic misses 2-pt shot from 7 ft (block by R. Gobert),,23-16,,
3:33.0,,,23-16,,Defensive rebound by D. Favors
3:23.0,Personal foul by M. Harkless (drawn by J. Crowder),,23-16,,
3:23.0,,,23-16,,J. Jerebko enters the game for D. Favors
3:23.0,E. Turner enters the game for C. McCollum,,23-16,,
3:23.0,P. Connaughton enters the game for M. Harkless,,23-16,,
3:23.0,E. Davis enters the game for J. Nurkic,,23-16,,
3:16.0,,,23-19,3,D. Mitchell makes 3-pt shot from 25 ft
3:14.0,Portland full timeout,,23-19,,
3:05.0,,,23-19,,Personal foul by R. O'Neale (drawn by D. Lillard)
2:52.0,Turnover by D. Lillard (bad pass; steal by D. Mitchell),,23-19,,
2:52.0,Personal foul by A. Aminu (drawn by D. Mitchell),,23-19,,
2:52.0,Z. Collins enters the game for A. Aminu,,23-19,,
2:41.0,,,23-21,2,R. Gobert makes 2-pt shot from 6 ft (assist by D. Mitchell)
2:25.0,Turnover by E. Turner (bad pass; steal by J. Jerebko),,23-21,,
2:22.0,,,23-21,,Shooting foul by Z. Collins (drawn by J. Jerebko)
2:22.0,,,23-22,1,J. Jerebko makes free throw 1 of 2
2:22.0,,,23-22,,J. Ingles enters the game for R. Gobert
2:22.0,,,23-22,,D. Favors enters the game for D. Mitchell
2:22.0,,,23-23,1,J. Jerebko makes free throw 2 of 2
1:59.0,P. Connaughton misses 2-pt shot from 7 ft,,23-23,,
1:56.0,,,23-23,,Defensive rebound by D. Favors
1:41.0,,,23-23,,J. Jerebko misses 3-pt shot from 25 ft
1:38.0,Defensive rebound by E. Davis,,23-23,,
1:35.0,Shooting foul by D. Favors (drawn by E. Turner),,23-23,,
1:35.0,E. Turner makes free throw 1 of 2,1,24-23,,
1:35.0,E. Turner makes free throw 2 of 2,1,25-23,,
1:29.0,Personal foul by E. Turner (drawn by J. Ingles),,25-23,,
1:29.0,,,25-24,1,J. Ingles makes free throw 1 of 2
1:29.0,,,25-25,1,J. Ingles makes free throw 2 of 2
1:18.0,,,25-25,,Personal foul by D. Favors (drawn by D. Lillard)
1:18.0,D. Lillard makes free throw 1 of 2,1,26-25,,
1:18.0,,,26-25,,E. Udoh enters the game for D. Favors
1:18.0,D. Lillard makes free throw 2 of 2,1,27-25,,
1:05.0,,,27-27,2,J. Crowder makes 2-pt shot from 12 ft (assist by E. Udoh)
0:49.0,D. Lillard makes 3-pt shot from 27 ft (assist by E. Turner),3,30-27,,
0:28.0,,,30-30,3,J. Ingles makes 3-pt shot from 25 ft
0:10.0,,,30-30,,Def 3 sec tech foul by E. Udoh
0:10.0,D. Lillard makes technical free throw,1,31-30,,
0:10.0,C. McCollum enters the game for Z. Collins,,31-30,,
0:10.0,,,31-30,,D. Mitchell enters the game for J. Jerebko
0:04.0,D. Lillard misses 2-pt shot from 21 ft,,31-30,,
0:00.0,,,31-30,,Defensive rebound by E. Udoh
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,31-30,,J. Jerebko misses 3-pt shot from 26 ft
11:39.0,Defensive rebound by E. Davis,,31-30,,
11:29.0,C. McCollum misses 2-pt shot from 7 ft,,31-30,,
11:24.0,,,31-30,,Defensive rebound by A. Burks
11:22.0,Personal foul by E. Turner (drawn by A. Burks),,31-30,,
11:16.0,,,31-30,,Turnover by J. Crowder (turnover)
10:58.0,Z. Collins makes 2-pt shot from 7 ft,2,33-30,,
10:42.0,,,33-32,2,J. Crowder makes 2-pt shot from 19 ft
10:20.0,Turnover by C. McCollum (bad pass; steal by E. Udoh),,33-32,,
10:15.0,,,33-32,,A. Burks misses 3-pt shot from 25 ft
10:11.0,Defensive rebound by Z. Collins,,33-32,,
9:55.0,E. Davis makes 2-pt shot from 2 ft (assist by S. Napier),2,35-32,,
9:40.0,,,35-32,,Turnover by R. Rubio (bad pass; steal by E. Davis)
9:25.0,E. Turner misses 3-pt shot from 22 ft,,35-32,,
9:22.0,,,35-32,,Defensive rebound by J. Jerebko
9:15.0,,,35-32,,R. Rubio misses 2-pt shot from 16 ft
9:13.0,Defensive rebound by E. Davis,,35-32,,
9:04.0,S. Napier misses 2-pt shot from 14 ft,,35-32,,
9:02.0,,,35-32,,Defensive rebound by J. Crowder
8:58.0,,,35-32,,Turnover by E. Udoh (traveling)
8:48.0,S. Napier makes 2-pt shot from 2 ft (assist by Z. Collins),2,37-32,,
8:47.0,,,37-32,,Utah full timeout
8:47.0,,,37-32,,R. Gobert enters the game for E. Udoh
8:47.0,,,37-32,,D. Mitchell enters the game for J. Crowder
8:30.0,,,37-32,,Turnover by R. Gobert (lost ball; steal by S. Napier)
8:20.0,E. Turner misses 2-pt shot from 3 ft,,37-32,,
8:14.0,Offensive rebound by E. Davis,,37-32,,
8:14.0,E. Davis misses 2-pt shot at rim,,37-32,,
8:13.0,,,37-32,,Defensive rebound by R. Rubio
8:09.0,,,37-35,3,D. Mitchell makes 3-pt shot from 26 ft
7:50.0,C. McCollum makes 2-pt shot from 7 ft,2,39-35,,
7:34.0,,,39-35,,Shooting foul by E. Davis (drawn by R. Gobert)
7:34.0,,,39-35,,R. Gobert misses free throw 1 of 2
7:34.0,,,39-35,,Offensive rebound by Team
7:34.0,,,39-35,,R. O'Neale enters the game for J. Jerebko
7:34.0,,,39-35,,D. Favors enters the game for A. Burks
7:34.0,M. Harkless enters the game for E. Turner,,39-35,,
7:34.0,,,39-36,1,R. Gobert makes free throw 2 of 2
7:22.0,C. McCollum makes 3-pt shot from 25 ft,3,42-36,,
7:15.0,,,42-36,,R. O'Neale misses 3-pt shot from 24 ft
7:12.0,Defensive rebound by Z. Collins,,42-36,,
7:05.0,C. McCollum misses 3-pt shot from 25 ft,,42-36,,
7:01.0,,,42-36,,Defensive rebound by R. O'Neale
6:52.0,,,42-36,,R. Rubio misses 2-pt shot from 19 ft
6:51.0,Defensive rebound by C. McCollum,,42-36,,
6:47.0,S. Napier misses 2-pt shot from 8 ft (block by R. Gobert),,42-36,,
6:39.0,,,42-36,,Defensive rebound by R. Rubio
6:38.0,,,42-38,2,R. Rubio makes 2-pt shot from 18 ft (assist by R. O'Neale)
6:22.0,M. Harkless misses 3-pt shot from 25 ft,,42-38,,
6:18.0,Offensive rebound by Z. Collins,,42-38,,
6:16.0,Turnover by Z. Collins (lost ball; steal by R. O'Neale),,42-38,,
6:16.0,,,42-38,,J. Ingles enters the game for R. Rubio
6:03.0,Personal foul by C. McCollum (drawn by D. Mitchell),,42-38,,
6:03.0,J. Nurkic enters the game for E. Davis,,42-38,,
6:03.0,A. Aminu enters the game for Z. Collins,,42-38,,
5:50.0,,,42-38,,D. Mitchell misses 3-pt shot from 25 ft
5:43.0,Defensive rebound by A. Aminu,,42-38,,
5:37.0,Turnover by A. Aminu (traveling),,42-38,,
5:19.0,,,42-38,,J. Ingles misses 2-pt shot from 23 ft
5:17.0,,,42-38,,Offensive rebound by D. Mitchell
5:13.0,,,42-38,,Turnover by R. O'Neale (lost ball; steal by S. Napier)
5:05.0,S. Napier makes 3-pt shot from 26 ft,3,45-38,,
4:51.0,Personal foul by J. Nurkic (drawn by R. Gobert),,45-38,,
4:51.0,,,45-38,,J. Crowder enters the game for D. Favors
4:51.0,D. Lillard enters the game for C. McCollum,,45-38,,
4:45.0,,,45-38,,J. Crowder misses 3-pt shot from 25 ft
4:41.0,Defensive rebound by S. Napier,,45-38,,
4:34.0,S. Napier misses 2-pt shot from 11 ft (block by R. Gobert),,45-38,,
4:34.0,Offensive rebound by Team,,45-38,,
4:34.0,,,45-38,,Loose ball foul by R. Gobert (drawn by J. Nurkic)
4:27.0,D. Lillard misses 3-pt shot from 25 ft,,45-38,,
4:22.0,Offensive rebound by M. Harkless,,45-38,,
4:22.0,M. Harkless makes 2-pt shot at rim,2,47-38,,
4:07.0,,,47-38,,J. Ingles misses 3-pt shot from 25 ft
4:04.0,Defensive rebound by J. Nurkic,,47-38,,
4:01.0,,,47-38,,Personal foul by J. Ingles (drawn by D. Lillard)
3:49.0,J. Nurkic makes 2-pt shot from 5 ft,2,49-38,,
3:27.0,,,49-40,2,R. Gobert makes 2-pt shot from 6 ft (assist by J. Ingles)
3:13.0,J. Nurkic makes 2-pt shot from 20 ft (assist by D. Lillard),2,51-40,,
2:52.0,,,51-40,,R. Gobert misses 2-pt shot from 5 ft (block by J. Nurkic)
2:50.0,Defensive rebound by M. Harkless,,51-40,,
2:45.0,Offensive foul by J. Nurkic (drawn by D. Mitchell),,51-40,,
2:45.0,Turnover by J. Nurkic (offensive foul),,51-40,,
2:45.0,Portland full timeout,,51-40,,
2:45.0,E. Davis enters the game for J. Nurkic,,51-40,,
2:34.0,,,51-40,,Shooting foul by M. Harkless (drawn by R. Gobert)
2:34.0,,,51-41,1,R. Gobert makes free throw 1 of 2
2:34.0,,,51-42,1,R. Gobert makes free throw 2 of 2
2:20.0,Turnover by S. Napier (bad pass; steal by R. Gobert),,51-42,,
2:03.0,,,51-42,,Turnover by J. Crowder (step out of bounds)
1:50.0,D. Lillard misses 2-pt shot from 14 ft,,51-42,,
1:48.0,,,51-42,,Defensive rebound by J. Ingles
1:37.0,,,51-45,3,D. Mitchell makes 3-pt shot from 25 ft
1:10.0,S. Napier misses 3-pt shot from 26 ft,,51-45,,
