time,Indiana,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Nurkic vs. D. Sabonis (D. Lillard gains possession),,,,Jump ball: J. Nurkic vs. D. Sabonis (D. Lillard gains possession)
11:42.0,,,0-0,,C. McCollum misses 3-pt shot from 28 ft
11:39.0,Defensive rebound by B. Bogdanovic,,0-0,,
11:23.0,D. Sabonis misses 2-pt shot from 3 ft,,0-0,,
11:21.0,,,0-0,,Defensive rebound by D. Lillard
11:16.0,,,0-0,,D. Lillard misses 3-pt shot from 25 ft
11:12.0,Defensive rebound by V. Oladipo,,0-0,,
11:04.0,D. Collison makes 2-pt shot from 19 ft,2,2-0,,
10:38.0,,,2-2,2,J. Nurkic makes 2-pt shot from 8 ft (assist by E. Turner)
10:27.0,V. Oladipo misses 2-pt shot from 19 ft,,2-2,,
10:24.0,,,2-2,,Defensive rebound by C. McCollum
10:16.0,,,2-4,2,A. Aminu makes 2-pt shot at rim
10:01.0,Shooting foul by E. Turner (drawn by B. Bogdanovic),,2-4,,
10:01.0,B. Bogdanovic misses free throw 1 of 2,,2-4,,
10:01.0,Offensive rebound by Team,,2-4,,
10:01.0,B. Bogdanovic makes free throw 2 of 2,1,3-4,,
9:41.0,,,3-7,3,A. Aminu makes 3-pt shot from 23 ft (assist by D. Lillard)
9:26.0,B. Bogdanovic makes 3-pt shot from 23 ft (assist by D. Sabonis),3,6-7,,
9:15.0,,,6-9,2,J. Nurkic makes 2-pt shot from 5 ft (assist by D. Lillard)
8:48.0,V. Oladipo misses 2-pt shot from 22 ft,,6-9,,
8:45.0,,,6-9,,Defensive rebound by J. Nurkic
8:33.0,,,6-11,2,E. Turner makes 2-pt shot from 11 ft
8:19.0,V. Oladipo misses 2-pt shot from 13 ft,,6-11,,
8:16.0,Jump ball: J. Nurkic vs. V. Oladipo (C. McCollum gains possession),,,,Jump ball: J. Nurkic vs. V. Oladipo (C. McCollum gains possession)
8:16.0,,,6-11,,Offensive rebound by Team
8:01.0,,,6-11,,Shooting foul by T. Young (drawn by A. Aminu)
8:01.0,,,6-12,1,A. Aminu makes free throw 1 of 2
8:01.0,,,6-13,1,A. Aminu makes free throw 2 of 2
7:51.0,B. Bogdanovic misses 3-pt shot from 28 ft,,6-13,,
7:48.0,,,6-13,,Defensive rebound by C. McCollum
7:45.0,,,6-15,2,J. Nurkic makes 2-pt shot from 1 ft (assist by C. McCollum)
7:44.0,Indiana full timeout,,6-15,,
7:33.0,V. Oladipo makes 2-pt shot from 17 ft,2,8-15,,
7:15.0,Personal foul by B. Bogdanovic (drawn by J. Nurkic),,8-15,,
7:09.0,,,8-15,,D. Lillard misses 3-pt shot from 25 ft
7:05.0,Defensive rebound by T. Young,,8-15,,
6:57.0,D. Sabonis misses 2-pt shot from 2 ft,,8-15,,
6:55.0,,,8-15,,Defensive rebound by J. Nurkic
6:51.0,,,8-15,,A. Aminu misses 3-pt shot from 23 ft
6:51.0,Defensive rebound by D. Sabonis,,8-15,,
6:36.0,T. Young makes 2-pt shot from 1 ft,2,10-15,,
6:21.0,,,10-18,3,C. McCollum makes 3-pt shot from 25 ft (assist by D. Lillard)
6:01.0,D. Sabonis misses 2-pt shot from 3 ft (block by A. Aminu),,10-18,,
5:59.0,,,10-18,,Defensive rebound by J. Nurkic
5:54.0,,,10-20,2,A. Aminu makes 2-pt shot from 5 ft (assist by D. Lillard)
5:38.0,B. Bogdanovic misses 2-pt shot from 12 ft,,10-20,,
5:38.0,,,10-20,,Defensive rebound by J. Nurkic
5:27.0,,,10-20,,D. Lillard misses 3-pt shot from 22 ft
5:27.0,Defensive rebound by D. Sabonis,,10-20,,
5:21.0,V. Oladipo makes 2-pt shot from 1 ft,2,12-20,,
5:02.0,,,12-20,,C. McCollum misses 2-pt shot from 2 ft (block by V. Oladipo)
5:02.0,,,12-20,,Offensive rebound by Team
5:02.0,,,12-20,,P. Connaughton enters the game for E. Turner
5:02.0,C. Joseph enters the game for B. Bogdanovic,,12-20,,
5:00.0,,,12-22,2,J. Nurkic makes 2-pt shot from 17 ft (assist by P. Connaughton)
4:39.0,V. Oladipo misses 3-pt shot from 26 ft,,12-22,,
4:36.0,Offensive rebound by T. Young,,12-22,,
4:35.0,T. Young makes 2-pt shot at rim,2,14-22,,
4:19.0,,,14-22,,C. McCollum misses 2-pt shot from 9 ft (block by D. Sabonis)
4:16.0,Defensive rebound by D. Sabonis,,14-22,,
4:09.0,D. Sabonis makes 2-pt shot from 18 ft (assist by D. Collison),2,16-22,,
4:06.0,,,16-22,,Portland full timeout
4:06.0,,,16-22,,E. Davis enters the game for C. McCollum
4:06.0,,,16-22,,S. Napier enters the game for A. Aminu
4:06.0,,,16-22,,Z. Collins enters the game for J. Nurkic
3:48.0,,,16-22,,P. Connaughton misses 2-pt shot from 16 ft
3:48.0,,,16-22,,Offensive rebound by Team
3:48.0,Loose ball foul by D. Sabonis (drawn by Z. Collins),,16-22,,
3:48.0,A. Jefferson enters the game for D. Sabonis,,16-22,,
3:31.0,,,16-24,2,D. Lillard makes 2-pt shot from 1 ft
3:15.0,T. Young makes 2-pt shot from 1 ft,2,18-24,,
2:50.0,,,18-24,,S. Napier misses 2-pt shot from 11 ft
2:48.0,Defensive rebound by V. Oladipo,,18-24,,
2:41.0,D. Collison makes 2-pt shot from 22 ft (assist by A. Jefferson),2,20-24,,
2:14.0,,,20-24,,Turnover by S. Napier (lost ball; steal by T. Young)
2:10.0,D. Collison makes 3-pt shot from 27 ft (assist by V. Oladipo),3,23-24,,
1:48.0,,,23-24,,E. Davis misses 2-pt shot from 8 ft
1:45.0,,,23-24,,Offensive rebound by P. Connaughton
1:45.0,,,23-24,,P. Connaughton misses 2-pt shot at rim
1:44.0,Defensive rebound by V. Oladipo,,23-24,,
1:27.0,V. Oladipo makes 2-pt shot from 18 ft,2,25-24,,
1:03.0,,,25-26,2,P. Connaughton makes 2-pt shot from 10 ft (assist by Z. Collins)
0:48.0,D. Collison misses 2-pt shot from 18 ft,,25-26,,
0:46.0,,,25-26,,Defensive rebound by D. Lillard
0:38.0,,,25-26,,D. Lillard misses 2-pt shot from 19 ft
0:36.0,,,25-26,,Offensive rebound by Z. Collins
0:32.0,,,25-26,,S. Napier misses 3-pt shot from 26 ft
0:32.0,Defensive rebound by A. Jefferson,,25-26,,
0:16.0,,,25-26,,Personal foul by P. Connaughton (drawn by V. Oladipo)
0:16.0,L. Stephenson enters the game for D. Collison,,25-26,,
0:16.0,T. Leaf enters the game for T. Young,,25-26,,
0:04.0,V. Oladipo makes 2-pt shot from 2 ft,2,27-26,,
0:04.0,Shooting foul by E. Davis (drawn by V. Oladipo),,27-26,,
0:04.0,V. Oladipo makes free throw 1 of 1,1,28-26,,
0:01.0,Personal foul by T. Leaf (drawn by D. Lillard),,28-26,,
0:01.0,,,28-26,,C. McCollum enters the game for E. Davis
0:01.0,J. Young enters the game for V. Oladipo,,28-26,,
0:01.0,T. Young enters the game for A. Jefferson,,28-26,,
0:00.0,,,28-29,3,C. McCollum makes 3-pt shot from 23 ft (assist by S. Napier)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,A. Jefferson makes 2-pt shot from 10 ft,2,30-29,,
11:23.0,,,30-29,,P. Connaughton misses 3-pt shot from 25 ft
11:21.0,Defensive rebound by A. Jefferson,,30-29,,
11:15.0,,,30-29,,Personal foul by S. Napier (drawn by C. Joseph)
11:11.0,C. Joseph makes 2-pt shot from 20 ft,2,32-29,,
10:46.0,,,32-29,,S. Napier misses 2-pt shot from 17 ft
