time,Minnesota,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. K. Towns (T. Gibson gains possession),,,,Jump ball: C. Capela vs. K. Towns (T. Gibson gains possession)
11:40.0,K. Towns misses 2-pt shot from 6 ft,,0-0,,
11:37.0,,,0-0,,Defensive rebound by T. Ariza
11:34.0,,,0-2,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
11:18.0,T. Gibson misses 2-pt shot from 16 ft,,0-2,,
11:15.0,,,0-2,,Defensive rebound by C. Paul
11:07.0,,,0-5,3,T. Ariza makes 3-pt shot from 22 ft (assist by J. Harden)
10:48.0,K. Towns makes 3-pt shot from 25 ft (assist by J. Teague),3,3-5,,
10:28.0,,,3-5,,J. Harden misses 2-pt shot from 7 ft
10:26.0,Defensive rebound by J. Teague,,3-5,,
10:17.0,Shooting foul by T. Ariza (drawn by T. Gibson),,3-5,,
10:17.0,T. Gibson makes free throw 1 of 2,1,4-5,,
10:17.0,T. Gibson misses free throw 2 of 2,,4-5,,
10:13.0,Offensive rebound by J. Butler,,4-5,,
10:11.0,J. Butler makes 2-pt shot from 1 ft,2,6-5,,
9:56.0,,,6-5,,Turnover by C. Capela (traveling)
9:44.0,A. Wiggins makes 2-pt shot from 1 ft (assist by K. Towns),2,8-5,,
9:29.0,,,8-5,,Shooting foul by A. Wiggins (drawn by C. Capela)
9:29.0,,,8-5,,C. Capela misses free throw 1 of 2
9:29.0,,,8-5,,Offensive rebound by Team
9:29.0,,,8-6,1,C. Capela makes free throw 2 of 2
9:14.0,A. Wiggins makes 2-pt shot from 12 ft,2,10-6,,
9:04.0,,,10-6,,C. Paul misses 3-pt shot from 26 ft
9:00.0,Defensive rebound by K. Towns,,10-6,,
8:53.0,J. Butler makes 3-pt shot from 25 ft,3,13-6,,
8:38.0,,,13-6,,J. Harden misses 2-pt shot from 4 ft (block by K. Towns)
8:38.0,,,13-6,,Offensive rebound by Team
8:31.0,,,13-6,,Shooting foul by J. Butler (drawn by J. Harden)
8:31.0,,,13-7,1,J. Harden makes free throw 1 of 2
8:31.0,,,13-8,1,J. Harden makes free throw 2 of 2
8:21.0,J. Butler makes 2-pt shot from 16 ft,2,15-8,,
8:10.0,,,15-8,,J. Harden misses 3-pt shot from 28 ft
8:06.0,,,15-8,,Offensive rebound by P. Tucker
7:50.0,,,15-8,,T. Ariza misses 3-pt shot from 25 ft
7:49.0,,,15-8,,Offensive rebound by C. Capela
7:43.0,,,15-8,,Turnover by Team (shot clock)
7:27.0,J. Butler misses 2-pt shot from 15 ft,,15-8,,
7:24.0,,,15-8,,Defensive rebound by P. Tucker
7:19.0,,,15-10,2,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden)
7:07.0,A. Wiggins misses 2-pt shot from 7 ft,,15-10,,
7:07.0,Offensive rebound by K. Towns,,15-10,,
7:02.0,K. Towns makes 2-pt shot at rim,2,17-10,,
6:53.0,,,17-10,,J. Harden misses 3-pt shot from 26 ft
6:50.0,Defensive rebound by K. Towns,,17-10,,
6:47.0,J. Teague makes 2-pt shot from 1 ft,2,19-10,,
6:47.0,,,19-10,,Violation by C. Capela (def goaltending)
6:47.0,,,19-10,,Houston full timeout
6:47.0,,,19-10,,J. Johnson enters the game for T. Ariza
6:47.0,,,19-10,,L. Mbah a Moute enters the game for C. Paul
6:34.0,,,19-13,3,J. Harden makes 3-pt shot from 23 ft (assist by C. Capela)
6:19.0,T. Jones enters the game for J. Teague,,19-13,,
6:15.0,K. Towns misses 2-pt shot from 12 ft,,19-13,,
6:09.0,,,19-13,,Defensive rebound by J. Harden
6:00.0,,,19-13,,L. Mbah a Moute misses 2-pt shot from 2 ft
5:56.0,Defensive rebound by T. Gibson,,19-13,,
5:47.0,A. Wiggins makes 3-pt shot from 22 ft (assist by J. Butler),3,22-13,,
5:37.0,,,22-15,2,J. Harden makes 2-pt shot from 1 ft
5:16.0,,,22-15,,Personal foul by P. Tucker (drawn by A. Wiggins)
5:16.0,,,22-15,,R. Anderson enters the game for P. Tucker
5:03.0,,,22-15,,Def 3 sec tech foul by L. Mbah a Moute
5:03.0,J. Butler makes technical free throw,1,23-15,,
4:51.0,J. Butler misses 2-pt shot from 1 ft,,23-15,,
4:48.0,,,23-15,,Defensive rebound by C. Capela
4:35.0,,,23-15,,Shooting foul by T. Jones (drawn by J. Harden)
4:35.0,,,23-16,1,J. Harden makes free throw 1 of 2
4:35.0,,,23-16,,N. Hilario enters the game for C. Capela
4:35.0,G. Dieng enters the game for A. Wiggins,,23-16,,
4:35.0,J. Crawford enters the game for K. Towns,,23-16,,
4:35.0,,,23-17,1,J. Harden makes free throw 2 of 2
4:18.0,J. Butler misses 2-pt shot from 10 ft,,23-17,,
4:15.0,Offensive rebound by G. Dieng,,23-17,,
4:10.0,J. Butler misses 2-pt shot from 22 ft,,23-17,,
4:10.0,Offensive rebound by J. Butler,,23-17,,
3:55.0,J. Crawford misses 2-pt shot from 17 ft,,23-17,,
3:55.0,Offensive rebound by G. Dieng,,23-17,,
3:46.0,J. Crawford makes 3-pt shot from 26 ft (assist by T. Gibson),3,26-17,,
3:30.0,,,26-19,2,N. Hilario makes 2-pt shot from 6 ft
3:14.0,T. Jones misses 2-pt shot from 18 ft,,26-19,,
3:12.0,,,26-19,,Defensive rebound by R. Anderson
3:07.0,,,26-21,2,J. Harden makes 2-pt shot from 2 ft
2:39.0,T. Jones misses 3-pt shot from 23 ft,,26-21,,
2:36.0,,,26-21,,Defensive rebound by L. Mbah a Moute
2:32.0,Personal foul by J. Crawford (drawn by J. Harden),,26-21,,
2:32.0,Minnesota full timeout,,26-21,,
2:15.0,,,26-21,,J. Harden misses 2-pt shot from 12 ft
2:11.0,Defensive rebound by J. Butler,,26-21,,
1:52.0,J. Butler makes 2-pt shot from 1 ft,2,28-21,,
1:41.0,,,28-24,3,R. Anderson makes 3-pt shot from 26 ft (assist by J. Harden)
1:17.0,T. Gibson makes 2-pt shot from 1 ft (assist by T. Jones),2,30-24,,
1:07.0,,,30-24,,J. Johnson misses 3-pt shot from 23 ft
1:07.0,,,30-24,,Offensive rebound by R. Anderson
1:01.0,Personal foul by T. Gibson (drawn by J. Harden),,30-24,,
1:01.0,,,30-25,1,J. Harden makes free throw 1 of 2
1:01.0,J. Teague enters the game for J. Butler,,30-25,,
1:01.0,,,30-26,1,J. Harden makes free throw 2 of 2
0:41.0,J. Teague makes 2-pt shot from 9 ft,2,32-26,,
0:30.0,,,32-26,,R. Anderson misses 3-pt shot from 28 ft
0:27.0,Defensive rebound by J. Crawford,,32-26,,
0:06.0,J. Crawford misses 2-pt shot from 16 ft,,32-26,,
0:04.0,,,32-26,,Defensive rebound by J. Harden
0:01.0,,,32-26,,Turnover by J. Harden (lost ball; steal by T. Jones)
0:00.0,J. Crawford misses 3-pt shot from 31 ft,,32-26,,
0:00.0,Offensive rebound by Team,,32-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,32-26,,Shooting foul by G. Dieng (drawn by N. Hilario)
11:40.0,,,32-27,1,N. Hilario makes free throw 1 of 2
11:40.0,A. Wiggins enters the game for T. Jones,,32-27,,
11:40.0,,,32-27,,N. Hilario misses free throw 2 of 2
11:40.0,Defensive rebound by N. Bjelica,,32-27,,
11:25.0,J. Crawford makes 2-pt shot from 20 ft,2,34-27,,
11:03.0,,,34-27,,R. Anderson misses 2-pt shot from 9 ft
11:01.0,Defensive rebound by G. Dieng,,34-27,,
10:55.0,J. Teague misses 3-pt shot from 25 ft,,34-27,,
10:54.0,,,34-27,,Defensive rebound by R. Anderson
10:44.0,,,34-27,,Shooting foul by G. Dieng (drawn by N. Hilario)
10:44.0,,,34-28,1,N. Hilario makes free throw 1 of 2
10:44.0,,,34-28,,T. Ariza enters the game for J. Johnson
10:44.0,,,34-28,,G. Green enters the game for L. Mbah a Moute
10:44.0,,,34-29,1,N. Hilario makes free throw 2 of 2
10:31.0,,,34-29,,Personal block foul by T. Ariza (drawn by A. Wiggins)
10:20.0,J. Crawford misses 3-pt shot from 25 ft,,34-29,,
10:19.0,,,34-29,,Defensive rebound by G. Green
10:09.0,,,34-32,3,G. Green makes 3-pt shot from 25 ft (assist by C. Paul)
9:54.0,,,34-32,,Personal foul by R. Anderson (drawn by J. Teague)
9:54.0,K. Towns enters the game for G. Dieng,,34-32,,
9:40.0,J. Crawford misses 2-pt shot from 10 ft,,34-32,,
9:39.0,Offensive rebound by J. Crawford,,34-32,,
9:38.0,Offensive foul by K. Towns (drawn by N. Hilario),,34-32,,
