time,Houston,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Towns vs. C. Capela (P. Tucker gains possession),,,,Jump ball: K. Towns vs. C. Capela (P. Tucker gains possession)
11:53.0,T. Ariza misses 3-pt shot from 23 ft,,0-0,,
11:51.0,,,0-0,,Defensive rebound by K. Towns
11:21.0,,,0-2,2,K. Towns makes 2-pt shot from 6 ft
11:06.0,P. Tucker misses 3-pt shot from 22 ft,,0-2,,
11:03.0,,,0-2,,Defensive rebound by K. Towns
10:46.0,,,0-2,,T. Gibson misses 3-pt shot from 24 ft
10:43.0,,,0-2,,Offensive rebound by K. Towns
10:43.0,,,0-2,,K. Towns misses 2-pt shot from 1 ft (block by C. Capela)
10:43.0,,,0-2,,Offensive rebound by Team
10:39.0,,,0-2,,Turnover by Team (shot clock)
10:33.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,2-2,,
10:11.0,,,2-2,,J. Teague misses 3-pt shot from 23 ft
10:08.0,Defensive rebound by C. Capela,,2-2,,
9:58.0,Shooting foul by A. Wiggins (drawn by C. Capela),,2-2,,
9:58.0,C. Capela misses free throw 1 of 2,,2-2,,
9:58.0,Offensive rebound by Team,,2-2,,
9:58.0,C. Capela misses free throw 2 of 2,,2-2,,
9:56.0,,,2-2,,Defensive rebound by K. Towns
9:39.0,,,2-4,2,A. Wiggins makes 2-pt shot from 12 ft
9:24.0,J. Harden misses 3-pt shot from 24 ft,,2-4,,
9:21.0,,,2-4,,Defensive rebound by A. Wiggins
9:17.0,,,2-4,,Turnover by J. Teague (bad pass; steal by J. Harden)
9:13.0,T. Ariza misses 3-pt shot from 22 ft,,2-4,,
9:10.0,,,2-4,,Defensive rebound by N. Bjelica
8:58.0,,,2-4,,T. Gibson misses 2-pt shot from 7 ft (block by P. Tucker)
8:56.0,Defensive rebound by C. Capela,,2-4,,
8:51.0,T. Ariza makes 3-pt shot from 22 ft (assist by J. Harden),3,5-4,,
8:28.0,,,5-7,3,J. Teague makes 3-pt shot from 22 ft (assist by N. Bjelica)
8:03.0,J. Harden makes 2-pt shot from 11 ft,2,7-7,,
7:51.0,,,7-9,2,K. Towns makes 2-pt shot from 16 ft (assist by J. Teague)
7:44.0,P. Tucker makes 3-pt shot from 23 ft (assist by T. Ariza),3,10-9,,
7:36.0,,,10-9,,Minnesota full timeout
7:28.0,,,10-9,,K. Towns misses 2-pt shot from 17 ft
7:26.0,Defensive rebound by Team,,10-9,,
7:26.0,,,10-9,,Loose ball foul by T. Gibson (drawn by C. Paul)
7:10.0,P. Tucker makes 3-pt shot from 22 ft (assist by J. Harden),3,13-9,,
6:49.0,,,13-9,,A. Wiggins misses 2-pt shot from 11 ft
6:47.0,Defensive rebound by C. Capela,,13-9,,
6:43.0,T. Ariza misses 3-pt shot from 22 ft,,13-9,,
6:40.0,Offensive rebound by C. Capela,,13-9,,
6:34.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,15-9,,
6:29.0,,,15-9,,Offensive foul by T. Gibson (drawn by J. Harden)
6:29.0,,,15-9,,Turnover by T. Gibson (offensive foul)
6:29.0,,,15-9,,T. Jones enters the game for T. Gibson
6:29.0,,,15-9,,J. Crawford enters the game for J. Teague
6:29.0,L. Mbah a Moute enters the game for C. Paul,,15-9,,
6:29.0,E. Gordon enters the game for P. Tucker,,15-9,,
6:07.0,T. Ariza makes 2-pt shot from 1 ft,2,17-9,,
5:45.0,,,17-11,2,A. Wiggins makes 2-pt shot from 2 ft
5:35.0,Offensive foul by L. Mbah a Moute (drawn by A. Wiggins),,17-11,,
5:35.0,Turnover by L. Mbah a Moute (offensive foul),,17-11,,
5:27.0,Personal foul by C. Capela (drawn by K. Towns),,17-11,,
5:27.0,R. Anderson enters the game for C. Capela,,17-11,,
5:11.0,,,17-11,,T. Jones misses 3-pt shot from 26 ft
5:10.0,Defensive rebound by L. Mbah a Moute,,17-11,,
4:59.0,R. Anderson makes 3-pt shot from 25 ft (assist by J. Harden),3,20-11,,
4:40.0,,,20-14,3,A. Wiggins makes 3-pt shot from 25 ft (assist by T. Jones)
4:15.0,T. Ariza misses 2-pt shot from 2 ft,,20-14,,
4:14.0,,,20-14,,Defensive rebound by N. Bjelica
4:06.0,,,20-17,3,J. Crawford makes 3-pt shot from 25 ft (assist by N. Bjelica)
3:53.0,,,20-17,,Shooting block foul by J. Crawford (drawn by J. Harden)
3:53.0,J. Harden makes free throw 1 of 2,1,21-17,,
3:53.0,,,21-17,,G. Dieng enters the game for K. Towns
3:53.0,G. Green enters the game for T. Ariza,,21-17,,
3:53.0,J. Harden makes free throw 2 of 2,1,22-17,,
