time,Memphis,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Love vs. M. Gasol (T. Evans gains possession),,,,Jump ball: K. Love vs. M. Gasol (T. Evans gains possession)
11:36.0,M. Gasol makes 2-pt shot from 11 ft (assist by B. McLemore),2,2-0,,
11:19.0,,,2-2,2,K. Love makes 2-pt shot from 6 ft (assist by L. James)
11:05.0,T. Evans makes 3-pt shot from 26 ft,3,5-2,,
10:45.0,,,5-5,3,K. Love makes 3-pt shot from 25 ft (assist by L. James)
10:45.0,,,5-5,,Shooting foul by B. McLemore (drawn by K. Love)
10:45.0,,,5-6,1,K. Love makes free throw 1 of 1
10:28.0,T. Evans makes 3-pt shot from 27 ft (assist by M. Gasol),3,8-6,,
10:08.0,,,8-6,,K. Love misses 2-pt shot from 12 ft
10:08.0,Defensive rebound by D. Brooks,,8-6,,
10:01.0,B. McLemore makes 2-pt shot from 5 ft (assist by T. Evans),2,10-6,,
9:39.0,,,10-9,3,J. Smith makes 3-pt shot from 23 ft (assist by K. Love)
9:19.0,M. Gasol makes 2-pt shot from 12 ft (assist by B. McLemore),2,12-9,,
9:05.0,Personal foul by D. Brooks (drawn by L. James),,12-9,,
8:57.0,,,12-9,,Turnover by L. James (bad pass)
8:46.0,T. Evans misses 2-pt shot from 3 ft (block by L. James),,12-9,,
8:46.0,Offensive rebound by Team,,12-9,,
8:31.0,J. Green misses 2-pt shot from 2 ft,,12-9,,
8:28.0,Offensive rebound by J. Green,,12-9,,
8:26.0,J. Green makes 2-pt shot at rim,2,14-9,,
8:10.0,,,14-9,,L. James misses 3-pt shot from 24 ft
8:07.0,Defensive rebound by J. Green,,14-9,,
8:00.0,T. Evans makes 2-pt shot from 20 ft,2,16-9,,
7:57.0,,,16-9,,Cleveland full timeout
7:33.0,,,16-9,,Turnover by Team (shot clock)
7:18.0,Turnover by M. Gasol (bad pass; steal by J. Crowder),,16-9,,
7:16.0,,,16-9,,Shooting foul by M. Gasol (drawn by J. Crowder)
7:16.0,,,16-10,1,J. Crowder makes free throw 1 of 2
7:16.0,J. Martin enters the game for J. Green,,16-10,,
7:16.0,,,16-11,1,J. Crowder makes free throw 2 of 2
7:04.0,,,16-11,,Personal foul by K. Love (drawn by M. Gasol)
7:00.0,D. Brooks makes 2-pt shot at rim (assist by M. Gasol),2,18-11,,
6:42.0,,,18-11,,J. Calderon misses 3-pt shot from 25 ft
6:38.0,Defensive rebound by B. McLemore,,18-11,,
6:27.0,M. Gasol makes 2-pt shot from 14 ft (assist by B. McLemore),2,20-11,,
6:09.0,,,20-11,,K. Love misses 2-pt shot from 6 ft
6:06.0,Defensive rebound by M. Gasol,,20-11,,
6:00.0,T. Evans misses 2-pt shot from 2 ft,,20-11,,
6:00.0,,,20-11,,Defensive rebound by Team
5:59.0,M. Chalmers enters the game for B. McLemore,,20-11,,
5:59.0,J. Ennis enters the game for D. Brooks,,20-11,,
5:39.0,,,20-11,,J. Smith misses 2-pt shot from 5 ft
5:34.0,Defensive rebound by T. Evans,,20-11,,
5:28.0,J. Martin misses 3-pt shot from 23 ft,,20-11,,
5:23.0,,,20-11,,Defensive rebound by K. Love
5:13.0,,,20-13,2,L. James makes 2-pt shot from 1 ft
4:54.0,M. Gasol makes 2-pt shot from 12 ft,2,22-13,,
4:39.0,,,22-13,,J. Crowder misses 3-pt shot from 26 ft
4:36.0,Defensive rebound by J. Martin,,22-13,,
4:26.0,M. Gasol makes 2-pt shot from 19 ft (assist by T. Evans),2,24-13,,
4:24.0,,,24-13,,Cleveland full timeout
4:24.0,,,24-13,,D. Wade enters the game for J. Calderon
4:24.0,J. Green enters the game for M. Gasol,,24-13,,
4:07.0,,,24-15,2,K. Love makes 2-pt shot from 6 ft (assist by L. James)
3:46.0,J. Green makes 2-pt shot from 19 ft (assist by T. Evans),2,26-15,,
3:31.0,,,26-15,,Shooting foul by J. Martin (drawn by D. Wade)
3:31.0,,,26-15,,J. Green enters the game for K. Love
3:31.0,,,26-16,1,D. Wade makes free throw 1 of 2
3:31.0,,,26-16,,D. Wade misses free throw 2 of 2
3:29.0,Defensive rebound by J. Green,,26-16,,
3:13.0,M. Chalmers makes 2-pt shot from 1 ft (assist by T. Evans),2,28-16,,
3:00.0,,,28-19,3,J. Smith makes 3-pt shot from 23 ft (assist by L. James)
2:37.0,T. Evans misses 2-pt shot from 11 ft (block by D. Wade),,28-19,,
2:33.0,Offensive rebound by Team,,28-19,,
2:33.0,Turnover by Team (shot clock),,28-19,,
2:33.0,,,28-19,,K. Korver enters the game for J. Crowder
2:21.0,,,28-21,2,L. James makes 2-pt shot at rim (assist by J. Smith)
2:14.0,Memphis full timeout,,28-21,,
2:14.0,M. Gasol enters the game for J. Green,,28-21,,
2:14.0,B. McLemore enters the game for T. Evans,,28-21,,
2:06.0,Turnover by J. Martin (bad pass; steal by J. Green),,28-21,,
1:59.0,,,28-23,2,J. Green makes 2-pt shot at rim (assist by L. James)
1:42.0,J. Martin makes 2-pt shot from 1 ft,2,30-23,,
1:33.0,,,30-23,,L. James misses 2-pt shot from 4 ft
1:33.0,Defensive rebound by B. McLemore,,30-23,,
1:29.0,,,30-23,,Personal foul by K. Korver (drawn by J. Martin)
1:29.0,,,30-23,,C. Frye enters the game for L. James
1:16.0,M. Chalmers misses 2-pt shot from 15 ft,,30-23,,
1:09.0,Offensive rebound by J. Ennis,,30-23,,
1:09.0,J. Ennis misses 2-pt shot at rim,,30-23,,
1:08.0,,,30-23,,Defensive rebound by D. Wade
0:49.0,,,30-23,,Shooting foul by M. Gasol (drawn by D. Wade)
0:49.0,,,30-24,1,D. Wade makes free throw 1 of 2
0:49.0,,,30-25,1,D. Wade makes free throw 2 of 2
0:29.0,M. Gasol misses 2-pt shot from 13 ft,,30-25,,
0:26.0,,,30-25,,Defensive rebound by K. Korver
0:10.0,,,30-27,2,J. Green makes 2-pt shot at rim
0:10.0,,,30-27,,Shooting foul by M. Chalmers (drawn by J. Green)
0:10.0,,,30-28,1,J. Green makes free throw 1 of 1
0:00.0,M. Chalmers makes 2-pt shot from 8 ft (assist by M. Gasol),2,32-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,,,32-28,,Turnover by D. Wade (bad pass; steal by M. Gasol)
11:32.0,J. Martin makes 2-pt shot at rim (assist by M. Chalmers),2,34-28,,
11:20.0,,,34-28,,C. Frye misses 3-pt shot from 24 ft
11:18.0,Defensive rebound by Team,,34-28,,
11:06.0,M. Gasol misses 2-pt shot from 20 ft,,34-28,,
11:06.0,,,34-28,,Defensive rebound by C. Osman
10:57.0,,,34-28,,C. Osman misses 2-pt shot from 2 ft (block by M. Gasol)
10:52.0,Defensive rebound by M. Gasol,,34-28,,
10:47.0,M. Chalmers misses 2-pt shot from 11 ft,,34-28,,
10:44.0,,,34-28,,Defensive rebound by J. Green
10:37.0,,,34-28,,J. Green misses 2-pt shot from 14 ft
10:37.0,,,34-28,,Offensive rebound by Team
10:37.0,Personal foul by B. McLemore (drawn by C. Frye),,34-28,,
10:30.0,,,34-30,2,C. Frye makes 2-pt shot from 21 ft (assist by K. Korver)
10:06.0,M. Gasol makes 2-pt shot from 9 ft (assist by B. McLemore),2,36-30,,
9:48.0,,,36-33,3,K. Korver makes 3-pt shot from 25 ft (assist by D. Wade)
9:30.0,M. Gasol misses 2-pt shot from 20 ft,,36-33,,
9:27.0,,,36-33,,Defensive rebound by C. Frye
