time,Detroit,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. A. Drummond (B. Griffin gains possession),,,,Jump ball: C. Capela vs. A. Drummond (B. Griffin gains possession)
11:41.0,Turnover by S. Johnson (step out of bounds),,0-0,,
11:33.0,,,0-0,,Shooting foul by A. Drummond (drawn by J. Harden)
11:33.0,,,0-0,,J. Harden misses free throw 1 of 2
11:33.0,,,0-0,,Offensive rebound by Team
11:33.0,,,0-1,1,J. Harden makes free throw 2 of 2
11:14.0,A. Drummond makes 2-pt shot from 10 ft (assist by R. Bullock),2,2-1,,
10:53.0,,,2-1,,T. Ariza misses 3-pt shot from 24 ft
10:50.0,Defensive rebound by A. Drummond,,2-1,,
10:45.0,R. Jackson makes 2-pt shot from 10 ft,2,4-1,,
10:26.0,,,4-1,,E. Gordon misses 2-pt shot from 12 ft
10:25.0,,,4-1,,Offensive rebound by Team
10:17.0,,,4-1,,J. Harden misses 2-pt shot from 13 ft
10:12.0,Defensive rebound by B. Griffin,,4-1,,
10:07.0,B. Griffin misses 3-pt shot from 25 ft,,4-1,,
10:05.0,,,4-1,,Defensive rebound by E. Gordon
9:58.0,,,4-1,,Shooting foul by S. Johnson (drawn by C. Capela)
9:58.0,,,4-1,,C. Capela misses free throw 1 of 2
9:58.0,,,4-1,,Offensive rebound by Team
9:58.0,,,4-1,,C. Capela misses free throw 2 of 2
9:58.0,Defensive rebound by A. Drummond,,4-1,,
9:45.0,S. Johnson misses 3-pt shot from 23 ft,,4-1,,
9:43.0,,,4-1,,Defensive rebound by T. Ariza
9:36.0,Personal foul by S. Johnson (drawn by C. Capela),,4-1,,
9:36.0,J. Ennis enters the game for S. Johnson,,4-1,,
9:24.0,,,4-4,3,P. Tucker makes 3-pt shot from 23 ft (assist by E. Gordon)
9:05.0,Turnover by A. Drummond (bad pass; steal by T. Ariza),,4-4,,
8:58.0,,,4-4,,P. Tucker misses 3-pt shot from 23 ft
8:56.0,Defensive rebound by R. Bullock,,4-4,,
8:47.0,R. Bullock makes 2-pt shot from 22 ft (assist by B. Griffin),2,6-4,,
8:33.0,,,6-4,,T. Ariza misses 3-pt shot from 25 ft
8:32.0,,,6-4,,Offensive rebound by Team
8:25.0,,,6-4,,J. Harden misses 3-pt shot from 23 ft
8:22.0,Defensive rebound by A. Drummond,,6-4,,
8:19.0,,,6-4,,Personal foul by T. Ariza (drawn by J. Ennis)
8:07.0,R. Jackson makes 2-pt shot from 22 ft,2,8-4,,
7:47.0,,,8-4,,E. Gordon misses 3-pt shot from 26 ft
7:44.0,Defensive rebound by A. Drummond,,8-4,,
7:37.0,R. Bullock misses 3-pt shot from 28 ft,,8-4,,
7:35.0,,,8-4,,Defensive rebound by C. Capela
7:22.0,,,8-6,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
7:10.0,R. Jackson misses 3-pt shot from 25 ft,,8-6,,
7:08.0,,,8-6,,Defensive rebound by J. Harden
7:03.0,,,8-8,2,C. Capela makes 2-pt shot at rim (assist by T. Ariza)
6:55.0,Detroit full timeout,,8-8,,
6:55.0,,,8-8,,L. Mbah a Moute enters the game for E. Gordon
6:55.0,I. Smith enters the game for R. Jackson,,8-8,,
6:50.0,R. Bullock makes 3-pt shot from 25 ft (assist by B. Griffin),3,11-8,,
6:28.0,,,11-11,3,L. Mbah a Moute makes 3-pt shot from 24 ft (assist by C. Capela)
6:16.0,R. Bullock makes 2-pt shot at rim (assist by B. Griffin),2,13-11,,
6:05.0,,,13-11,,Turnover by J. Harden (bad pass; steal by B. Griffin)
5:59.0,Jump ball: J. Harden vs. R. Bullock (L. Mbah a Moute gains possession),,,,Jump ball: J. Harden vs. R. Bullock (L. Mbah a Moute gains possession)
5:59.0,Turnover by R. Bullock (turnover; steal by J. Harden),,13-11,,
5:50.0,,,13-11,,Turnover by P. Tucker (bad pass; steal by A. Drummond)
5:46.0,I. Smith makes 2-pt shot at rim (assist by R. Bullock),2,15-11,,
5:32.0,,,15-13,2,L. Mbah a Moute makes 2-pt shot at rim (assist by J. Harden)
5:11.0,B. Griffin misses 2-pt shot from 13 ft,,15-13,,
5:10.0,,,15-13,,Defensive rebound by C. Capela
4:51.0,,,15-15,2,L. Mbah a Moute makes 2-pt shot at rim (assist by J. Harden)
4:31.0,B. Griffin makes 2-pt shot from 7 ft,2,17-15,,
4:14.0,,,17-15,,P. Tucker misses 2-pt shot from 1 ft
4:14.0,,,17-15,,Offensive rebound by C. Capela
4:12.0,,,17-15,,C. Capela misses 2-pt shot at rim
4:09.0,Defensive rebound by R. Bullock,,17-15,,
4:06.0,,,17-15,,Personal foul by L. Mbah a Moute (drawn by B. Griffin)
4:06.0,,,17-15,,J. Johnson enters the game for T. Ariza
4:06.0,,,17-15,,R. Anderson enters the game for P. Tucker
4:06.0,,,17-15,,G. Green enters the game for C. Capela
4:06.0,A. Tolliver enters the game for A. Drummond,,17-15,,
3:51.0,A. Tolliver misses 3-pt shot from 23 ft,,17-15,,
3:43.0,Offensive rebound by J. Ennis,,17-15,,
3:43.0,J. Ennis misses 2-pt shot at rim,,17-15,,
3:42.0,,,17-15,,Defensive rebound by R. Anderson
3:38.0,,,17-15,,L. Mbah a Moute misses 3-pt shot from 23 ft
3:35.0,Defensive rebound by B. Griffin,,17-15,,
3:28.0,J. Ennis misses 3-pt shot from 25 ft,,17-15,,
3:25.0,,,17-15,,Defensive rebound by L. Mbah a Moute
3:12.0,,,17-15,,J. Harden misses 3-pt shot from 24 ft
3:10.0,Defensive rebound by R. Bullock,,17-15,,
3:05.0,B. Griffin makes 2-pt shot from 3 ft (assist by I. Smith),2,19-15,,
3:05.0,Shooting foul by R. Anderson (drawn by B. Griffin),,19-15,,
3:05.0,B. Griffin misses free throw 1 of 1,,19-15,,
3:05.0,,,19-15,,Defensive rebound by J. Harden
2:40.0,,,19-15,,J. Johnson misses 2-pt shot from 7 ft
2:36.0,,,19-15,,Offensive rebound by R. Anderson
2:36.0,,,19-17,2,R. Anderson makes 2-pt shot at rim
2:17.0,J. Ennis makes 2-pt shot from 1 ft (assist by B. Griffin),2,21-17,,
2:09.0,,,21-17,,R. Anderson misses 3-pt shot from 26 ft
2:07.0,Defensive rebound by A. Tolliver,,21-17,,
2:02.0,,,21-17,,Personal foul by J. Johnson (drawn by I. Smith)
2:02.0,,,21-17,,Houston full timeout
2:02.0,,,21-17,,E. Gordon enters the game for J. Harden
1:47.0,B. Griffin makes 2-pt shot at rim,2,23-17,,
1:27.0,,,23-17,,G. Green misses 3-pt shot from 25 ft (block by R. Bullock)
1:25.0,Defensive rebound by A. Tolliver,,23-17,,
1:24.0,J. Ennis makes 2-pt shot from 1 ft (assist by I. Smith),2,25-17,,
1:24.0,Shooting foul by G. Green (drawn by J. Ennis),,25-17,,
1:24.0,L. Kennard enters the game for R. Bullock,,25-17,,
1:24.0,J. Ennis misses free throw 1 of 1,,25-17,,
1:24.0,,,25-17,,Defensive rebound by J. Johnson
1:13.0,,,25-19,2,E. Gordon makes 2-pt shot at rim
0:58.0,J. Ennis misses 3-pt shot from 25 ft,,25-19,,
0:58.0,,,25-19,,Defensive rebound by J. Johnson
0:49.0,,,25-19,,G. Green misses 3-pt shot from 24 ft
0:47.0,Defensive rebound by I. Smith,,25-19,,
0:40.0,I. Smith makes 2-pt shot from 7 ft,2,27-19,,
0:29.0,Jump ball: E. Gordon vs. B. Griffin (A. Tolliver gains possession),,,,Jump ball: E. Gordon vs. B. Griffin (A. Tolliver gains possession)
0:29.0,,,27-19,,Turnover by E. Gordon (turnover; steal by B. Griffin)
0:04.0,Turnover by Team (shot clock),,27-19,,
0:00.0,,,27-21,2,E. Gordon makes 2-pt shot from 11 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
