time,Chicago,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. R. Lopez (J. Green gains possession),,,,Jump ball: M. Gasol vs. R. Lopez (J. Green gains possession)
11:40.0,,,0-0,,T. Evans misses 2-pt shot from 9 ft
11:38.0,,,0-0,,Offensive rebound by J. Martin
11:36.0,,,0-2,2,J. Martin makes 2-pt shot at rim
11:23.0,Turnover by K. Dunn (bad pass; steal by T. Evans),,0-2,,
11:18.0,,,0-5,3,J. Martin makes 3-pt shot from 24 ft (assist by T. Evans)
10:55.0,D. Nwaba misses 2-pt shot from 6 ft,,0-5,,
10:53.0,Offensive rebound by N. Vonleh,,0-5,,
10:53.0,N. Vonleh misses 2-pt shot at rim,,0-5,,
10:53.0,Offensive rebound by Team,,0-5,,
10:47.0,R. Lopez makes 3-pt shot from 25 ft (assist by Z. LaVine),3,3-5,,
10:22.0,,,3-5,,J. Green misses 3-pt shot from 23 ft
10:18.0,Defensive rebound by D. Nwaba,,3-5,,
10:06.0,Turnover by R. Lopez (lost ball; steal by D. Brooks),,3-5,,
9:59.0,,,3-5,,D. Brooks misses 2-pt shot from 5 ft (block by Z. LaVine)
9:53.0,,,3-5,,Offensive rebound by D. Brooks
9:52.0,,,3-7,2,D. Brooks makes 2-pt shot from 5 ft
9:46.0,K. Dunn misses 2-pt shot from 4 ft (block by M. Gasol),,3-7,,
9:46.0,,,3-7,,Defensive rebound by Team
9:35.0,,,3-10,3,D. Brooks makes 3-pt shot from 26 ft (assist by T. Evans)
9:24.0,K. Dunn misses 3-pt shot from 24 ft,,3-10,,
9:20.0,Offensive rebound by Z. LaVine,,3-10,,
9:20.0,Turnover by Z. LaVine (bad pass),,3-10,,
9:04.0,,,3-13,3,T. Evans makes 3-pt shot from 26 ft (assist by M. Gasol)
9:03.0,Chicago full timeout,,3-13,,
8:48.0,,,3-13,,Personal foul by M. Gasol (drawn by R. Lopez)
8:42.0,R. Lopez makes 2-pt shot from 5 ft (assist by Z. LaVine),2,5-13,,
8:32.0,,,5-13,,Turnover by M. Gasol (bad pass; steal by K. Dunn)
8:28.0,Z. LaVine makes 2-pt shot at rim (assist by K. Dunn),2,7-13,,
8:09.0,,,7-13,,T. Evans misses 3-pt shot from 26 ft
8:07.0,Defensive rebound by N. Vonleh,,7-13,,
7:58.0,N. Vonleh makes 2-pt shot from 2 ft (assist by Z. LaVine),2,9-13,,
7:58.0,,,9-13,,Memphis full timeout
7:41.0,,,9-16,3,D. Brooks makes 3-pt shot from 24 ft (assist by T. Evans)
7:24.0,D. Nwaba makes 2-pt shot from 1 ft (assist by R. Lopez),2,11-16,,
7:05.0,,,11-18,2,D. Brooks makes 2-pt shot from 3 ft
6:48.0,Z. LaVine misses 3-pt shot from 22 ft,,11-18,,
6:46.0,,,11-18,,Defensive rebound by M. Gasol
6:33.0,,,11-18,,J. Martin misses 2-pt shot from 5 ft
6:30.0,,,11-18,,Offensive rebound by J. Green
6:29.0,,,11-18,,D. Brooks misses 3-pt shot from 24 ft
6:27.0,Defensive rebound by D. Nwaba,,11-18,,
6:22.0,D. Nwaba makes 2-pt shot from 3 ft,2,13-18,,
6:06.0,,,13-18,,J. Green misses 3-pt shot from 22 ft
