time,Brooklyn,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Nurkic vs. T. Mozgov (D. Lillard gains possession),,,,Jump ball: J. Nurkic vs. T. Mozgov (D. Lillard gains possession)
11:43.0,,,0-2,2,M. Harkless makes 2-pt shot from 2 ft (assist by J. Nurkic)
11:21.0,T. Mozgov makes 2-pt shot at rim (assist by D. Russell),2,2-2,,
11:01.0,,,2-2,,C. McCollum misses 2-pt shot from 22 ft
10:59.0,,,2-2,,Offensive rebound by J. Nurkic
10:57.0,,,2-2,,J. Nurkic misses 2-pt shot from 2 ft (block by D. Carroll)
10:52.0,Defensive rebound by D. Russell,,2-2,,
10:47.0,R. Hollis-Jefferson misses 2-pt shot from 19 ft,,2-2,,
10:47.0,Offensive rebound by T. Mozgov,,2-2,,
10:46.0,T. Mozgov misses 2-pt shot at rim,,2-2,,
10:46.0,,,2-2,,Defensive rebound by Team
10:35.0,,,2-4,2,D. Lillard makes 2-pt shot from 18 ft (assist by C. McCollum)
10:24.0,Shooting foul by M. Harkless (drawn by D. Carroll),,2-4,,
10:24.0,D. Carroll makes free throw 1 of 3,1,3-4,,
10:24.0,D. Carroll makes free throw 2 of 3,1,4-4,,
10:24.0,D. Carroll makes free throw 3 of 3,1,5-4,,
10:09.0,,,5-6,2,J. Nurkic makes 2-pt shot from 1 ft (assist by D. Lillard)
9:55.0,D. Carroll makes 3-pt shot from 24 ft (assist by R. Hollis-Jefferson),3,8-6,,
9:39.0,,,8-8,2,J. Nurkic makes 2-pt shot from 14 ft (assist by C. McCollum)
9:30.0,Turnover by D. Russell (palming),,8-8,,
9:19.0,,,8-8,,D. Lillard misses 3-pt shot from 25 ft
9:18.0,Defensive rebound by T. Mozgov,,8-8,,
9:10.0,A. Crabbe misses 2-pt shot from 15 ft (block by C. McCollum),,8-8,,
9:07.0,,,8-8,,Defensive rebound by N. Vonleh
8:57.0,,,8-8,,C. McCollum misses 2-pt shot from 1 ft (block by R. Hollis-Jefferson)
8:51.0,,,8-8,,Offensive rebound by N. Vonleh
8:51.0,,,8-10,2,N. Vonleh makes 2-pt shot at rim
8:47.0,A. Crabbe misses 3-pt shot from 24 ft,,8-10,,
8:45.0,,,8-10,,Defensive rebound by J. Nurkic
8:37.0,,,8-10,,J. Nurkic misses 2-pt shot from 20 ft
8:35.0,Defensive rebound by R. Hollis-Jefferson,,8-10,,
8:26.0,D. Russell misses 3-pt shot from 24 ft,,8-10,,
8:25.0,,,8-10,,Defensive rebound by Team
8:17.0,,,8-10,,Shooting foul by R. Hollis-Jefferson (drawn by D. Lillard)
8:17.0,,,8-11,1,D. Lillard makes free throw 1 of 2
8:17.0,,,8-12,1,D. Lillard makes free throw 2 of 2
8:08.0,A. Crabbe makes 3-pt shot from 24 ft (assist by R. Hollis-Jefferson),3,11-12,,
7:55.0,,,11-14,2,J. Nurkic makes 2-pt shot from 3 ft (assist by D. Lillard)
7:40.0,D. Carroll makes 3-pt shot from 25 ft (assist by D. Russell),3,14-14,,
7:21.0,,,14-14,,N. Vonleh misses 2-pt shot from 22 ft
7:18.0,Defensive rebound by A. Crabbe,,14-14,,
7:13.0,D. Russell misses 3-pt shot from 25 ft,,14-14,,
7:11.0,,,14-14,,Defensive rebound by J. Nurkic
6:51.0,,,14-14,,Turnover by M. Harkless (bad pass; steal by A. Crabbe)
6:46.0,A. Crabbe makes 2-pt shot from 22 ft (assist by D. Russell),2,16-14,,
6:46.0,,,16-14,,Portland full timeout
6:36.0,,,16-16,2,M. Harkless makes 2-pt shot from 1 ft (assist by D. Lillard)
6:18.0,D. Russell misses 2-pt shot from 20 ft,,16-16,,
6:14.0,,,16-16,,Defensive rebound by N. Vonleh
5:57.0,,,16-18,2,J. Nurkic makes 2-pt shot from 21 ft
5:44.0,Offensive foul by T. Mozgov (drawn by D. Lillard),,16-18,,
5:44.0,Turnover by T. Mozgov (offensive foul),,16-18,,
5:44.0,,,16-18,,E. Turner enters the game for M. Harkless
5:44.0,,,16-18,,P. Connaughton enters the game for C. McCollum
5:44.0,Q. Acy enters the game for T. Mozgov,,16-18,,
5:44.0,S. Dinwiddie enters the game for D. Russell,,16-18,,
5:30.0,Def 3 sec tech foul by A. Crabbe,,16-18,,
5:30.0,,,16-18,,D. Lillard misses technical free throw
5:30.0,,,16-18,,Offensive rebound by Team
5:25.0,,,16-18,,Shooting foul by Q. Acy (drawn by J. Nurkic)
5:25.0,,,16-18,,J. Nurkic misses free throw 1 of 2
5:25.0,,,16-18,,Offensive rebound by Team
5:25.0,,,16-19,1,J. Nurkic makes free throw 2 of 2
5:18.0,A. Crabbe makes 3-pt shot from 24 ft (assist by S. Dinwiddie),3,19-19,,
5:04.0,,,19-21,2,E. Turner makes 2-pt shot from 10 ft
4:56.0,D. Carroll misses 2-pt shot from 11 ft,,19-21,,
4:54.0,,,19-21,,Defensive rebound by D. Lillard
4:51.0,,,19-21,,P. Connaughton misses 3-pt shot from 24 ft
4:48.0,Defensive rebound by S. Dinwiddie,,19-21,,
4:28.0,,,19-21,,Personal foul by E. Turner (drawn by D. Carroll)
4:28.0,,,19-21,,C. Swanigan enters the game for N. Vonleh
4:28.0,J. Harris enters the game for R. Hollis-Jefferson,,19-21,,
4:13.0,S. Dinwiddie misses 2-pt shot at rim,,19-21,,
4:11.0,,,19-21,,Defensive rebound by C. Swanigan
3:53.0,,,19-21,,C. Swanigan misses 2-pt shot from 8 ft
3:52.0,Defensive rebound by D. Carroll,,19-21,,
3:36.0,A. Crabbe misses 3-pt shot from 26 ft,,19-21,,
3:32.0,,,19-21,,Defensive rebound by C. Swanigan
3:25.0,,,19-21,,D. Lillard misses 2-pt shot at rim
3:23.0,Defensive rebound by A. Crabbe,,19-21,,
3:17.0,Q. Acy misses 3-pt shot from 22 ft,,19-21,,
3:13.0,Offensive rebound by D. Carroll,,19-21,,
3:11.0,J. Harris misses 3-pt shot from 25 ft,,19-21,,
3:08.0,,,19-21,,Defensive rebound by D. Lillard
2:47.0,,,19-21,,J. Nurkic misses 2-pt shot from 1 ft
2:45.0,Defensive rebound by Q. Acy,,19-21,,
2:35.0,J. Harris misses 3-pt shot from 22 ft,,19-21,,
2:32.0,,,19-21,,Defensive rebound by J. Nurkic
2:17.0,,,19-23,2,J. Nurkic makes 2-pt shot from 19 ft (assist by P. Connaughton)
2:16.0,Brooklyn full timeout,,19-23,,
2:16.0,,,19-23,,E. Davis enters the game for D. Lillard
2:16.0,,,19-23,,C. McCollum enters the game for J. Nurkic
2:16.0,C. LeVert enters the game for D. Carroll,,19-23,,
2:16.0,J. Wiley enters the game for A. Crabbe,,19-23,,
1:57.0,J. Harris makes 2-pt shot at rim (assist by J. Wiley),2,21-23,,
1:41.0,,,21-23,,Turnover by P. Connaughton (bad pass; steal by Q. Acy)
1:25.0,Turnover by C. LeVert (bad pass; steal by E. Davis),,21-23,,
1:14.0,,,21-25,2,C. Swanigan makes 2-pt shot from 1 ft (assist by P. Connaughton)
0:52.0,S. Dinwiddie misses 3-pt shot from 24 ft,,21-25,,
0:50.0,,,21-25,,Defensive rebound by Team
0:32.0,,,21-25,,C. McCollum misses 2-pt shot from 17 ft
0:30.0,Defensive rebound by Q. Acy,,21-25,,
0:21.0,C. LeVert misses 3-pt shot from 25 ft,,21-25,,
0:19.0,,,21-25,,Defensive rebound by P. Connaughton
0:00.0,,,21-28,3,P. Connaughton makes 3-pt shot from 24 ft (assist by C. McCollum)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,S. Dinwiddie misses 2-pt shot from 2 ft,,21-28,,
11:44.0,Offensive rebound by S. Dinwiddie,,21-28,,
11:44.0,S. Dinwiddie makes 2-pt shot at rim,2,23-28,,
11:31.0,,,23-28,,E. Davis misses 2-pt shot from 2 ft
11:27.0,,,23-28,,Offensive rebound by C. Swanigan
11:27.0,,,23-28,,C. Swanigan misses 2-pt shot at rim
11:26.0,Defensive rebound by J. Harris,,23-28,,
11:14.0,Turnover by T. Mozgov (lost ball; steal by E. Davis),,23-28,,
11:07.0,,,23-31,3,C. McCollum makes 3-pt shot from 25 ft
10:52.0,Shooting foul by C. Swanigan (drawn by T. Mozgov),,23-31,,
10:52.0,T. Mozgov makes free throw 1 of 2,1,24-31,,
10:52.0,,,24-31,,S. Napier enters the game for C. Swanigan
10:52.0,T. Mozgov misses free throw 2 of 2,,24-31,,
10:50.0,,,24-31,,Defensive rebound by E. Davis
10:38.0,,,24-34,3,P. Connaughton makes 3-pt shot from 25 ft (assist by S. Napier)
10:16.0,J. Harris makes 2-pt shot from 1 ft (assist by S. Dinwiddie),2,26-34,,
9:54.0,,,26-34,,S. Napier misses 2-pt shot from 19 ft
9:52.0,Defensive rebound by J. Harris,,26-34,,
9:41.0,T. Mozgov makes 2-pt shot at rim (assist by J. Harris),2,28-34,,
9:28.0,,,28-34,,C. McCollum misses 3-pt shot from 25 ft
9:26.0,Defensive rebound by C. LeVert,,28-34,,
9:17.0,C. LeVert makes 2-pt shot from 12 ft,2,30-34,,
9:17.0,,,30-34,,Portland full timeout
9:17.0,R. Hollis-Jefferson enters the game for J. Wiley,,30-34,,
8:57.0,Personal foul by S. Dinwiddie (drawn by E. Davis),,30-34,,
8:49.0,,,30-34,,C. McCollum misses 2-pt shot from 2 ft
8:46.0,Defensive rebound by C. LeVert,,30-34,,
8:41.0,C. LeVert misses 2-pt shot from 13 ft,,30-34,,
8:39.0,,,30-34,,Defensive rebound by E. Turner
8:23.0,,,30-34,,P. Connaughton misses 3-pt shot from 24 ft
8:23.0,Defensive rebound by Team,,30-34,,
