time,Charlotte,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Turner vs. D. Howard (K. Walker gains possession),,,,Jump ball: M. Turner vs. D. Howard (K. Walker gains possession)
11:44.0,Turnover by N. Batum (traveling),,0-0,,
11:20.0,,,0-3,3,D. Collison makes 3-pt shot from 25 ft
11:06.0,K. Walker misses 3-pt shot from 23 ft,,0-3,,
11:03.0,,,0-3,,Defensive rebound by L. Stephenson
10:59.0,,,0-6,3,D. Collison makes 3-pt shot from 24 ft (assist by L. Stephenson)
10:46.0,N. Batum makes 3-pt shot from 26 ft (assist by K. Walker),3,3-6,,
10:28.0,,,3-8,2,L. Stephenson makes 2-pt shot from 14 ft
10:09.0,D. Howard makes 2-pt shot from 19 ft (assist by K. Walker),2,5-8,,
9:44.0,,,5-8,,T. Booker misses 2-pt shot from 11 ft
9:40.0,Defensive rebound by D. Howard,,5-8,,
9:31.0,M. Kidd-Gilchrist misses 2-pt shot from 18 ft,,5-8,,
9:28.0,,,5-8,,Defensive rebound by G. Robinson
9:25.0,,,5-11,3,L. Stephenson makes 3-pt shot from 25 ft (assist by D. Collison)
9:10.0,D. Howard misses 2-pt shot from 1 ft,,5-11,,
9:08.0,Offensive rebound by N. Batum,,5-11,,
9:06.0,D. Howard makes 2-pt shot from 1 ft (assist by N. Batum),2,7-11,,
8:49.0,,,7-11,,T. Booker misses 3-pt shot from 27 ft
8:47.0,Defensive rebound by D. Howard,,7-11,,
8:41.0,M. Williams makes 3-pt shot from 27 ft (assist by N. Batum),3,10-11,,
8:26.0,,,10-13,2,T. Booker makes 2-pt shot from 9 ft (assist by L. Stephenson)
8:13.0,M. Williams misses 3-pt shot from 23 ft,,10-13,,
8:09.0,,,10-13,,Defensive rebound by L. Stephenson
8:03.0,,,10-13,,L. Stephenson misses 3-pt shot from 27 ft
8:01.0,,,10-13,,Offensive rebound by T. Booker
7:59.0,,,10-13,,T. Booker misses 2-pt shot at rim (block by M. Williams)
7:59.0,,,10-13,,Offensive rebound by T. Booker
7:54.0,,,10-13,,M. Turner misses 3-pt shot from 27 ft
7:51.0,Defensive rebound by M. Williams,,10-13,,
7:45.0,M. Williams makes 3-pt shot from 26 ft (assist by N. Batum),3,13-13,,
7:19.0,,,13-13,,D. Collison misses 3-pt shot from 24 ft
7:16.0,Defensive rebound by N. Batum,,13-13,,
7:12.0,K. Walker makes 2-pt shot from 1 ft (assist by N. Batum),2,15-13,,
6:45.0,,,15-13,,M. Turner misses 2-pt shot from 12 ft
6:42.0,Defensive rebound by D. Howard,,15-13,,
6:40.0,,,15-13,,Violation by D. Collison (kicked ball)
6:40.0,,,15-13,,Indiana full timeout
6:35.0,Shooting foul by M. Turner (drawn by D. Howard),,15-13,,
6:35.0,D. Howard misses free throw 1 of 2,,15-13,,
6:35.0,Offensive rebound by Team,,15-13,,
6:35.0,D. Howard makes free throw 2 of 2,1,16-13,,
6:20.0,,,16-15,2,M. Turner makes 2-pt shot at rim (assist by D. Collison)
6:04.0,M. Williams makes 3-pt shot from 25 ft (assist by N. Batum),3,19-15,,
5:50.0,,,19-15,,D. Collison misses 2-pt shot from 17 ft
