time,Minnesota,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Kleber vs. K. Towns (A. Wiggins gains possession),,,,Jump ball: M. Kleber vs. K. Towns (A. Wiggins gains possession)
11:32.0,J. Butler misses 2-pt shot from 22 ft,,0-0,,
11:30.0,,,0-0,,Defensive rebound by H. Barnes
11:17.0,,,0-2,2,H. Barnes makes 2-pt shot from 5 ft (assist by D. Nowitzki)
10:53.0,J. Butler misses 2-pt shot from 2 ft,,0-2,,
10:52.0,,,0-2,,Defensive rebound by D. Nowitzki
10:46.0,,,0-5,3,W. Matthews makes 3-pt shot from 25 ft
10:32.0,A. Wiggins makes 2-pt shot from 14 ft (assist by J. Teague),2,2-5,,
10:16.0,,,2-5,,H. Barnes misses 2-pt shot from 18 ft
10:14.0,Defensive rebound by T. Gibson,,2-5,,
10:07.0,A. Wiggins misses 2-pt shot from 8 ft,,2-5,,
10:04.0,,,2-5,,Defensive rebound by D. Nowitzki
9:54.0,,,2-5,,H. Barnes misses 2-pt shot from 18 ft
9:52.0,Defensive rebound by J. Teague,,2-5,,
9:49.0,J. Butler makes 2-pt shot at rim (assist by J. Teague),2,4-5,,
9:33.0,,,4-8,3,W. Matthews makes 3-pt shot from 23 ft (assist by D. Smith)
9:21.0,K. Towns makes 2-pt shot at rim (assist by J. Teague),2,6-8,,
9:21.0,Shooting foul by D. Nowitzki (drawn by K. Towns),,6-8,,
9:21.0,K. Towns makes free throw 1 of 1,1,7-8,,
8:57.0,,,7-8,,D. Smith misses 2-pt shot from 1 ft
8:54.0,,,7-8,,Offensive rebound by H. Barnes
8:53.0,,,7-8,,H. Barnes misses 2-pt shot from 2 ft
8:53.0,,,7-8,,Offensive rebound by D. Smith
8:41.0,,,7-8,,D. Nowitzki misses 3-pt shot from 25 ft
8:40.0,Defensive rebound by Team,,7-8,,
8:29.0,K. Towns makes 2-pt shot from 17 ft (assist by J. Butler),2,9-8,,
8:11.0,,,9-8,,M. Kleber misses 3-pt shot from 23 ft
8:08.0,Defensive rebound by J. Butler,,9-8,,
8:02.0,J. Butler makes 2-pt shot from 16 ft,2,11-8,,
7:45.0,,,11-8,,D. Smith misses 3-pt shot from 22 ft
7:45.0,,,11-8,,Offensive rebound by H. Barnes
7:43.0,,,11-10,2,H. Barnes makes 2-pt shot from 1 ft
7:29.0,T. Gibson misses 2-pt shot from 4 ft,,11-10,,
7:27.0,,,11-10,,Defensive rebound by W. Matthews
7:23.0,,,11-10,,Shooting foul by A. Wiggins (drawn by H. Barnes)
7:23.0,,,11-11,1,H. Barnes makes free throw 1 of 2
7:23.0,,,11-12,1,H. Barnes makes free throw 2 of 2
7:15.0,A. Wiggins makes 2-pt shot from 20 ft (assist by K. Towns),2,13-12,,
6:53.0,,,13-14,2,D. Nowitzki makes 2-pt shot from 2 ft
6:36.0,J. Teague misses 2-pt shot from 9 ft,,13-14,,
6:36.0,,,13-14,,Defensive rebound by H. Barnes
6:27.0,,,13-16,2,D. Smith makes 2-pt shot from 1 ft
6:08.0,K. Towns misses 2-pt shot from 13 ft,,13-16,,
6:08.0,,,13-16,,Defensive rebound by D. Nowitzki
5:59.0,,,13-18,2,H. Barnes makes 2-pt shot from 1 ft (assist by D. Smith)
5:51.0,Minnesota full timeout,,13-18,,
5:51.0,,,13-18,,Y. Ferrell enters the game for H. Barnes
5:51.0,,,13-18,,S. Mejri enters the game for D. Nowitzki
5:35.0,T. Gibson misses 2-pt shot from 9 ft,,13-18,,
5:32.0,Offensive rebound by T. Gibson,,13-18,,
5:23.0,J. Butler misses 2-pt shot from 19 ft,,13-18,,
5:20.0,,,13-18,,Defensive rebound by S. Mejri
4:59.0,,,13-20,2,D. Smith makes 2-pt shot from 15 ft (assist by S. Mejri)
4:38.0,J. Teague misses 3-pt shot from 24 ft,,13-20,,
4:36.0,,,13-20,,Defensive rebound by D. Smith
4:28.0,,,13-20,,M. Kleber misses 3-pt shot from 25 ft
4:24.0,Defensive rebound by T. Gibson,,13-20,,
4:15.0,Shooting foul by S. Mejri (drawn by T. Gibson),,13-20,,
4:15.0,T. Gibson makes free throw 1 of 2,1,14-20,,
4:15.0,T. Gibson makes free throw 2 of 2,1,15-20,,
3:52.0,,,15-20,,Y. Ferrell misses 3-pt shot from 22 ft
3:50.0,Defensive rebound by K. Towns,,15-20,,
3:38.0,Turnover by J. Teague (bad pass; steal by S. Mejri),,15-20,,
3:36.0,,,15-22,2,Y. Ferrell makes 2-pt shot at rim
3:36.0,,,15-22,,Shooting foul by J. Butler (drawn by Y. Ferrell)
3:36.0,T. Jones enters the game for J. Teague,,15-22,,
3:36.0,N. Bjelica enters the game for T. Gibson,,15-22,,
3:36.0,,,15-22,,Y. Ferrell misses free throw 1 of 1
3:34.0,,,15-22,,Offensive rebound by S. Mejri
3:32.0,,,15-25,3,Y. Ferrell makes 3-pt shot from 25 ft (assist by S. Mejri)
3:17.0,Turnover by A. Wiggins (lost ball; steal by D. Smith),,15-25,,
2:57.0,,,15-25,,W. Matthews misses 3-pt shot from 25 ft
2:53.0,Defensive rebound by K. Towns,,15-25,,
2:47.0,N. Bjelica makes 2-pt shot from 12 ft (assist by T. Jones),2,17-25,,
2:46.0,,,17-25,,Dallas full timeout
2:46.0,,,17-25,,D. Harris enters the game for D. Smith
2:46.0,,,17-25,,H. Barnes enters the game for W. Matthews
2:46.0,,,17-25,,J. Barea enters the game for M. Kleber
2:46.0,J. Crawford enters the game for J. Butler,,17-25,,
2:46.0,G. Dieng enters the game for K. Towns,,17-25,,
2:22.0,,,17-27,2,D. Harris makes 2-pt shot from 1 ft
1:59.0,G. Dieng misses 2-pt shot from 13 ft,,17-27,,
1:56.0,Offensive rebound by N. Bjelica,,17-27,,
1:56.0,N. Bjelica makes 2-pt shot at rim,2,19-27,,
1:38.0,,,19-27,,D. Harris misses 3-pt shot from 27 ft
1:36.0,Defensive rebound by N. Bjelica,,19-27,,
1:27.0,,,19-27,,Shooting block foul by Y. Ferrell (drawn by G. Dieng)
1:27.0,G. Dieng makes free throw 1 of 2,1,20-27,,
1:27.0,G. Dieng makes free throw 2 of 2,1,21-27,,
1:05.0,,,21-29,2,S. Mejri makes 2-pt shot at rim (assist by D. Harris)
0:47.0,J. Crawford makes 3-pt shot from 23 ft (assist by T. Jones),3,24-29,,
0:34.0,Personal foul by N. Bjelica (drawn by H. Barnes),,24-29,,
0:32.0,,,24-29,,H. Barnes misses 3-pt shot from 25 ft
0:30.0,Defensive rebound by A. Wiggins,,24-29,,
0:07.0,A. Wiggins misses 2-pt shot from 7 ft,,24-29,,
0:04.0,Offensive rebound by G. Dieng,,24-29,,
0:04.0,G. Dieng misses 2-pt shot at rim,,24-29,,
0:03.0,,,24-29,,Defensive rebound by Y. Ferrell
0:00.0,,,24-29,,J. Barea misses 3-pt shot from 30 ft
0:00.0,,,24-29,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,24-31,2,D. Nowitzki makes 2-pt shot from 19 ft (assist by D. Harris)
11:28.0,J. Crawford makes 2-pt shot from 18 ft,2,26-31,,
11:18.0,,,26-31,,Shooting foul by T. Jones (drawn by J. Barea)
11:18.0,,,26-32,1,J. Barea makes free throw 1 of 2
11:18.0,,,26-33,1,J. Barea makes free throw 2 of 2
11:05.0,J. Crawford misses 3-pt shot from 24 ft,,26-33,,
11:03.0,,,26-33,,Defensive rebound by Team
11:03.0,Loose ball foul by G. Dieng (drawn by D. Nowitzki),,26-33,,
10:50.0,,,26-33,,D. Nowitzki misses 3-pt shot from 25 ft
10:46.0,,,26-33,,Offensive rebound by D. Harris
10:44.0,,,26-35,2,D. Powell makes 2-pt shot from 1 ft (assist by D. Harris)
10:36.0,T. Jones misses 2-pt shot from 11 ft,,26-35,,
10:33.0,,,26-35,,Defensive rebound by D. Nowitzki
10:27.0,,,26-35,,D. Harris misses 2-pt shot from 3 ft
10:25.0,Defensive rebound by N. Bjelica,,26-35,,
10:12.0,T. Jones misses 3-pt shot from 24 ft,,26-35,,
10:12.0,,,26-35,,Defensive rebound by D. Harris
10:12.0,Loose ball foul by S. Muhammad (drawn by D. Harris),,26-35,,
10:12.0,J. Butler enters the game for N. Bjelica,,26-35,,
10:00.0,,,26-38,3,D. Nowitzki makes 3-pt shot from 25 ft (assist by D. Harris)
9:42.0,J. Butler misses 2-pt shot from 9 ft,,26-38,,
9:40.0,Offensive rebound by S. Muhammad,,26-38,,
9:40.0,Shooting foul by D. Nowitzki (drawn by S. Muhammad),,26-38,,
9:40.0,S. Muhammad misses free throw 1 of 2,,26-38,,
9:40.0,Offensive rebound by Team,,26-38,,
9:40.0,S. Muhammad makes free throw 2 of 2,1,27-38,,
9:24.0,,,27-38,,Turnover by Y. Ferrell (bad pass; steal by J. Butler)
9:13.0,G. Dieng misses 3-pt shot from 23 ft,,27-38,,
9:09.0,,,27-38,,Defensive rebound by D. Nowitzki
9:03.0,Personal foul by T. Jones (drawn by D. Nowitzki),,27-38,,
9:03.0,J. Teague enters the game for T. Jones,,27-38,,
9:03.0,K. Towns enters the game for G. Dieng,,27-38,,
8:50.0,,,27-38,,D. Harris misses 3-pt shot from 22 ft
8:46.0,Defensive rebound by K. Towns,,27-38,,
8:41.0,Turnover by J. Crawford (bad pass),,27-38,,
8:32.0,,,27-40,2,D. Harris makes 2-pt shot from 1 ft (assist by J. Barea)
8:19.0,S. Muhammad misses 3-pt shot from 26 ft,,27-40,,
8:19.0,,,27-40,,Defensive rebound by Y. Ferrell
8:09.0,,,27-40,,Turnover by J. Barea (bad pass)
8:09.0,,,27-40,,H. Barnes enters the game for D. Powell
8:09.0,A. Wiggins enters the game for J. Crawford,,27-40,,
8:09.0,T. Gibson enters the game for S. Muhammad,,27-40,,
7:54.0,J. Teague misses 2-pt shot from 11 ft,,27-40,,
7:53.0,Offensive rebound by Team,,27-40,,
7:53.0,,,27-40,,W. Matthews enters the game for D. Harris
7:53.0,,,27-40,,M. Kleber enters the game for D. Nowitzki
7:44.0,J. Teague misses 3-pt shot from 24 ft,,27-40,,
7:41.0,,,27-40,,Defensive rebound by Y. Ferrell
7:36.0,,,27-40,,Y. Ferrell misses 2-pt shot from 16 ft
7:34.0,Defensive rebound by Team,,27-40,,
7:22.0,K. Towns makes 2-pt shot from 4 ft (assist by J. Teague),2,29-40,,
7:20.0,,,29-40,,Dallas full timeout
7:20.0,,,29-40,,D. Smith enters the game for Y. Ferrell
7:06.0,,,29-43,3,H. Barnes makes 3-pt shot from 25 ft (assist by J. Barea)
6:51.0,,,29-43,,Personal foul by M. Kleber (drawn by K. Towns)
6:39.0,A. Wiggins misses 3-pt shot from 23 ft,,29-43,,
6:35.0,,,29-43,,Defensive rebound by M. Kleber
6:27.0,,,29-43,,W. Matthews misses 2-pt shot from 9 ft
6:24.0,,,29-43,,Offensive rebound by M. Kleber
6:24.0,,,29-43,,M. Kleber misses 2-pt shot at rim
6:23.0,Defensive rebound by T. Gibson,,29-43,,
6:23.0,,,29-43,,Personal foul by W. Matthews (drawn by A. Wiggins)
6:08.0,K. Towns misses 3-pt shot from 26 ft,,29-43,,
6:06.0,,,29-43,,Defensive rebound by Team
5:46.0,,,29-43,,J. Barea misses 3-pt shot from 25 ft
5:44.0,Defensive rebound by Team,,29-43,,
5:31.0,Shooting foul by J. Barea (drawn by T. Gibson),,29-43,,
5:31.0,T. Gibson makes free throw 1 of 2,1,30-43,,
5:31.0,,,30-43,,D. Harris enters the game for J. Barea
5:31.0,T. Gibson makes free throw 2 of 2,1,31-43,,
5:17.0,,,31-43,,Turnover by D. Smith (lost ball; steal by A. Wiggins)
5:05.0,K. Towns misses 3-pt shot from 24 ft,,31-43,,
5:03.0,Offensive rebound by A. Wiggins,,31-43,,
5:03.0,,,31-43,,Personal foul by D. Harris (drawn by A. Wiggins)
5:03.0,A. Wiggins makes free throw 1 of 2,1,32-43,,
5:03.0,A. Wiggins makes free throw 2 of 2,1,33-43,,
4:48.0,,,33-43,,D. Smith misses 2-pt shot from 14 ft
4:46.0,,,33-43,,Offensive rebound by D. Harris
4:46.0,Personal foul by A. Wiggins (drawn by D. Harris),,33-43,,
4:46.0,,,33-44,1,D. Harris makes free throw 1 of 2
4:46.0,,,33-45,1,D. Harris makes free throw 2 of 2
4:25.0,Turnover by T. Gibson (out of bounds lost ball),,33-45,,
4:03.0,,,33-45,,D. Smith misses 3-pt shot from 25 ft
4:00.0,Defensive rebound by T. Gibson,,33-45,,
3:52.0,J. Butler misses 2-pt shot from 10 ft,,33-45,,
3:50.0,,,33-45,,Defensive rebound by D. Smith
3:48.0,Personal block foul by J. Teague (drawn by D. Smith),,33-45,,
3:48.0,,,33-46,1,D. Smith makes free throw 1 of 2
3:48.0,,,33-47,1,D. Smith makes free throw 2 of 2
3:26.0,J. Butler makes 2-pt shot from 13 ft,2,35-47,,
3:11.0,,,35-47,,H. Barnes misses 3-pt shot from 25 ft
3:07.0,Defensive rebound by A. Wiggins,,35-47,,
3:01.0,A. Wiggins misses 2-pt shot from 18 ft,,35-47,,
3:00.0,Offensive rebound by T. Gibson,,35-47,,
3:00.0,,,35-47,,Loose ball foul by D. Harris (drawn by T. Gibson)
3:00.0,T. Gibson makes free throw 1 of 2,1,36-47,,
3:00.0,,,36-47,,D. Nowitzki enters the game for D. Harris
3:00.0,T. Gibson makes free throw 2 of 2,1,37-47,,
2:43.0,,,37-47,,Shooting foul by K. Towns (drawn by H. Barnes)
2:43.0,Minnesota full timeout,,37-47,,
2:43.0,,,37-48,1,H. Barnes makes free throw 1 of 2
2:43.0,,,37-49,1,H. Barnes makes free throw 2 of 2
2:32.0,A. Wiggins misses 2-pt shot from 18 ft,,37-49,,
2:28.0,,,37-49,,Defensive rebound by M. Kleber
2:15.0,,,37-49,,Turnover by M. Kleber (bad pass; steal by A. Wiggins)
2:07.0,J. Butler makes 3-pt shot from 23 ft (assist by J. Teague),3,40-49,,
1:44.0,,,40-49,,W. Matthews misses 2-pt shot from 13 ft
1:37.0,Defensive rebound by J. Butler,,40-49,,
1:23.0,J. Teague makes 3-pt shot from 25 ft (assist by J. Butler),3,43-49,,
1:21.0,,,43-49,,Dallas full timeout
1:06.0,,,43-51,2,H. Barnes makes 2-pt shot from 8 ft
0:43.0,J. Butler misses 3-pt shot from 24 ft,,43-51,,
0:41.0,,,43-51,,Defensive rebound by W. Matthews
0:32.0,,,43-51,,D. Smith misses 2-pt shot at rim
0:32.0,,,43-51,,Offensive rebound by D. Smith
0:32.0,,,43-53,2,D. Smith makes 2-pt shot at rim
0:20.0,Jump ball: D. Smith vs. T. Gibson (J. Teague gains possession),,,,Jump ball: D. Smith vs. T. Gibson (J. Teague gains possession)
0:12.0,A. Wiggins misses 3-pt shot from 24 ft,,43-53,,
0:08.0,Offensive rebound by J. Teague,,43-53,,
0:07.0,J. Teague misses 3-pt shot from 25 ft,,43-53,,
0:07.0,,,43-53,,Defensive rebound by D. Nowitzki
0:05.0,Loose ball foul by K. Towns (drawn by D. Nowitzki),,43-53,,
0:05.0,,,43-54,1,D. Nowitzki makes free throw 1 of 2
0:05.0,,,43-55,1,D. Nowitzki makes free throw 2 of 2
0:00.0,J. Butler misses 3-pt shot from 25 ft,,43-55,,
0:00.0,Offensive rebound by Team,,43-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,43-55,,D. Smith misses 2-pt shot from 2 ft
11:37.0,,,43-55,,Offensive rebound by Team
11:21.0,,,43-55,,W. Matthews misses 2-pt shot from 14 ft
11:21.0,,,43-55,,Offensive rebound by Team
11:16.0,,,43-57,2,D. Nowitzki makes 2-pt shot from 21 ft (assist by D. Smith)
10:54.0,A. Wiggins makes 2-pt shot from 22 ft,2,45-57,,
10:38.0,,,45-57,,D. Nowitzki misses 2-pt shot from 21 ft
10:34.0,Defensive rebound by K. Towns,,45-57,,
10:27.0,Turnover by J. Teague (bad pass),,45-57,,
10:16.0,,,45-57,,W. Matthews misses 3-pt shot from 24 ft
10:14.0,Defensive rebound by T. Gibson,,45-57,,
10:00.0,Turnover by J. Butler (traveling),,45-57,,
9:42.0,,,45-57,,H. Barnes misses 2-pt shot from 14 ft
9:40.0,Defensive rebound by J. Butler,,45-57,,
9:34.0,K. Towns makes 3-pt shot from 26 ft (assist by J. Butler),3,48-57,,
9:24.0,,,48-57,,Turnover by D. Smith (out of bounds lost ball)
9:10.0,T. Gibson misses 2-pt shot from 4 ft,,48-57,,
9:08.0,Offensive rebound by T. Gibson,,48-57,,
9:08.0,T. Gibson makes 2-pt shot at rim,2,50-57,,
8:44.0,,,50-57,,D. Smith misses 3-pt shot from 25 ft
8:35.0,Defensive rebound by A. Wiggins,,50-57,,
8:28.0,A. Wiggins misses 3-pt shot from 25 ft,,50-57,,
8:28.0,,,50-57,,Defensive rebound by D. Smith
8:06.0,,,50-59,2,D. Nowitzki makes 2-pt shot from 10 ft (assist by W. Matthews)
7:53.0,J. Teague makes 2-pt shot from 16 ft (assist by T. Gibson),2,52-59,,
7:34.0,,,52-59,,Turnover by D. Smith (lost ball; steal by J. Butler)
7:28.0,A. Wiggins makes 3-pt shot from 27 ft (assist by J. Teague),3,55-59,,
7:26.0,,,55-59,,Dallas full timeout
7:03.0,,,55-59,,H. Barnes misses 2-pt shot from 17 ft
7:00.0,Defensive rebound by K. Towns,,55-59,,
6:52.0,A. Wiggins makes 2-pt shot from 1 ft,2,57-59,,
6:40.0,,,57-61,2,W. Matthews makes 2-pt shot from 17 ft
6:28.0,J. Teague makes 2-pt shot from 2 ft,2,59-61,,
6:11.0,,,59-61,,W. Matthews misses 3-pt shot from 24 ft
6:08.0,Defensive rebound by J. Butler,,59-61,,
5:50.0,J. Teague makes 3-pt shot from 24 ft (assist by T. Gibson),3,62-61,,
5:26.0,,,62-61,,D. Smith misses 3-pt shot from 26 ft
5:22.0,Defensive rebound by T. Gibson,,62-61,,
5:16.0,,,62-61,,Personal foul by D. Smith (drawn by J. Teague)
5:16.0,,,62-61,,J. Barea enters the game for D. Smith
5:16.0,,,62-61,,D. Harris enters the game for D. Nowitzki
5:00.0,T. Gibson makes 2-pt shot from 10 ft (assist by J. Teague),2,64-61,,
4:41.0,,,64-63,2,H. Barnes makes 2-pt shot at rim
4:26.0,J. Teague makes 2-pt shot from 18 ft,2,66-63,,
4:06.0,,,66-63,,Turnover by H. Barnes (lost ball; steal by K. Towns)
3:56.0,J. Butler makes 3-pt shot from 25 ft (assist by K. Towns),3,69-63,,
3:56.0,Shooting foul by W. Matthews (drawn by J. Butler),,69-63,,
3:56.0,,,69-63,,S. Mejri enters the game for M. Kleber
3:56.0,J. Butler makes free throw 1 of 1,1,70-63,,
3:43.0,,,70-66,3,J. Barea makes 3-pt shot from 24 ft (assist by W. Matthews)
3:29.0,K. Towns misses 3-pt shot from 25 ft,,70-66,,
3:26.0,,,70-66,,Defensive rebound by H. Barnes
3:09.0,,,70-66,,Offensive foul by D. Harris (drawn by J. Teague)
3:09.0,,,70-66,,Turnover by D. Harris (offensive foul)
2:58.0,K. Towns misses 2-pt shot from 1 ft (block by S. Mejri),,70-66,,
2:57.0,,,70-66,,Defensive rebound by Team
2:57.0,Loose ball foul by K. Towns (drawn by J. Barea),,70-66,,
2:57.0,Minnesota full timeout,,70-66,,
2:43.0,,,70-69,3,D. Harris makes 3-pt shot from 25 ft (assist by J. Barea)
2:25.0,A. Wiggins misses 2-pt shot from 16 ft,,70-69,,
2:23.0,Offensive rebound by K. Towns,,70-69,,
2:23.0,Shooting foul by H. Barnes (drawn by K. Towns),,70-69,,
2:23.0,K. Towns makes free throw 1 of 2,1,71-69,,
2:23.0,T. Jones enters the game for J. Teague,,71-69,,
2:23.0,K. Towns makes free throw 2 of 2,1,72-69,,
2:00.0,Shooting block foul by J. Butler (drawn by H. Barnes),,72-69,,
2:00.0,,,72-69,,H. Barnes misses free throw 1 of 2
2:00.0,,,72-69,,Offensive rebound by Team
2:00.0,G. Dieng enters the game for K. Towns,,72-69,,
2:00.0,,,72-70,1,H. Barnes makes free throw 2 of 2
1:44.0,A. Wiggins makes 2-pt shot from 1 ft (assist by G. Dieng),2,74-70,,
1:38.0,,,74-70,,Offensive charge foul by D. Harris (drawn by T. Jones)
1:38.0,,,74-70,,Turnover by D. Harris (offensive foul)
1:38.0,,,74-70,,Y. Ferrell enters the game for D. Harris
1:19.0,J. Butler misses 2-pt shot from 18 ft (block by W. Matthews),,74-70,,
1:16.0,,,74-70,,Defensive rebound by S. Mejri
1:07.0,,,74-70,,W. Matthews misses 3-pt shot from 23 ft
1:03.0,Defensive rebound by J. Butler,,74-70,,
0:52.0,Offensive foul by G. Dieng (drawn by W. Matthews),,74-70,,
0:52.0,Turnover by G. Dieng (offensive foul),,74-70,,
0:31.0,,,74-70,,H. Barnes misses 3-pt shot from 26 ft
0:29.0,Defensive rebound by T. Gibson,,74-70,,
0:12.0,J. Butler misses 2-pt shot from 9 ft,,74-70,,
0:11.0,,,74-70,,Defensive rebound by S. Mejri
0:11.0,Personal foul by G. Dieng (drawn by S. Mejri),,74-70,,
0:11.0,,,74-71,1,S. Mejri makes free throw 1 of 2
0:11.0,K. Towns enters the game for G. Dieng,,74-71,,
0:11.0,,,74-72,1,S. Mejri makes free throw 2 of 2
0:05.0,,,74-72,,Personal take foul by J. Barea (drawn by A. Wiggins)
0:05.0,,,74-72,,A. Cleveland enters the game for J. Barea
0:00.0,J. Butler misses 2-pt shot from 20 ft,,74-72,,
0:00.0,Offensive rebound by Team,,74-72,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
