time,New York,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Turner vs. E. Kanter (M. Beasley gains possession),,,,Jump ball: M. Turner vs. E. Kanter (M. Beasley gains possession)
11:44.0,E. Kanter misses 2-pt shot at rim,,0-0,,
11:41.0,Offensive rebound by E. Kanter,,0-0,,
11:41.0,E. Kanter misses 2-pt shot from 2 ft (block by D. Collison),,0-0,,
11:41.0,,,0-0,,Defensive rebound by D. Collison
11:37.0,,,0-0,,B. Bogdanovic misses 2-pt shot from 2 ft (block by D. Dotson)
11:37.0,,,0-0,,Offensive rebound by Team
11:16.0,,,0-2,2,B. Bogdanovic makes 2-pt shot from 15 ft
11:03.0,C. Lee makes 2-pt shot from 10 ft (assist by D. Dotson),2,2-2,,
10:49.0,,,2-4,2,M. Turner makes 2-pt shot from 19 ft (assist by D. Collison)
10:37.0,E. Kanter makes 2-pt shot from 1 ft (assist by J. Jack),2,4-4,,
10:20.0,,,4-7,3,T. Young makes 3-pt shot from 23 ft (assist by B. Bogdanovic)
10:04.0,,,4-7,,Personal foul by D. Collison (drawn by J. Jack)
9:53.0,M. Beasley makes 2-pt shot from 6 ft,2,6-7,,
9:41.0,,,6-7,,Turnover by M. Turner (bad pass)
9:23.0,Turnover by M. Beasley (traveling),,6-7,,
9:07.0,,,6-9,2,D. Collison makes 2-pt shot from 19 ft
8:50.0,Turnover by M. Beasley (bad pass; steal by M. Turner),,6-9,,
8:44.0,,,6-11,2,T. Young makes 2-pt shot from 1 ft (assist by B. Bogdanovic)
8:22.0,E. Kanter misses 2-pt shot from 7 ft (block by M. Turner),,6-11,,
8:20.0,Offensive rebound by E. Kanter,,6-11,,
8:19.0,M. Beasley misses 2-pt shot from 19 ft,,6-11,,
8:15.0,,,6-11,,Defensive rebound by M. Turner
8:05.0,,,6-13,2,T. Young makes 2-pt shot from 7 ft (assist by D. Collison)
7:58.0,New York full timeout,,6-13,,
7:50.0,M. Beasley makes 2-pt shot from 9 ft (assist by J. Jack),2,8-13,,
7:50.0,Shooting foul by M. Turner (drawn by M. Beasley),,8-13,,
7:50.0,M. Beasley makes free throw 1 of 1,1,9-13,,
7:27.0,,,9-13,,D. Collison misses 2-pt shot at rim
7:26.0,Defensive rebound by E. Kanter,,9-13,,
7:19.0,J. Jack misses 2-pt shot from 5 ft,,9-13,,
7:16.0,Offensive rebound by E. Kanter,,9-13,,
7:14.0,E. Kanter makes 2-pt shot from 1 ft,2,11-13,,
7:09.0,,,11-13,,V. Oladipo misses 2-pt shot from 9 ft
7:09.0,Defensive rebound by E. Kanter,,11-13,,
6:58.0,,,11-13,,Personal block foul by T. Young (drawn by M. Beasley)
6:58.0,D. McDermott enters the game for D. Dotson,,11-13,,
6:52.0,M. Beasley makes 2-pt shot from 1 ft (assist by J. Jack),2,13-13,,
6:41.0,,,13-13,,Shooting foul by M. Beasley (drawn by B. Bogdanovic)
6:41.0,,,13-14,1,B. Bogdanovic makes free throw 1 of 2
6:41.0,,,13-15,1,B. Bogdanovic makes free throw 2 of 2
6:33.0,Turnover by M. Beasley (bad pass),,13-15,,
6:26.0,Personal foul by C. Lee (drawn by M. Turner),,13-15,,
6:22.0,,,13-18,3,V. Oladipo makes 3-pt shot from 25 ft (assist by D. Collison)
6:01.0,D. McDermott misses 2-pt shot from 20 ft,,13-18,,
5:58.0,,,13-18,,Defensive rebound by D. Collison
5:43.0,,,13-20,2,M. Turner makes 2-pt shot from 1 ft
5:33.0,E. Kanter misses 2-pt shot at rim (block by V. Oladipo),,13-20,,
5:30.0,,,13-20,,Defensive rebound by V. Oladipo
5:29.0,,,13-20,,Turnover by V. Oladipo (bad pass)
5:20.0,C. Lee makes 2-pt shot from 11 ft (assist by J. Jack),2,15-20,,
5:00.0,,,15-22,2,T. Young makes 2-pt shot from 10 ft
4:41.0,M. Beasley makes 2-pt shot from 4 ft,2,17-22,,
4:21.0,,,17-22,,D. Collison misses 3-pt shot from 27 ft
4:18.0,,,17-22,,Offensive rebound by T. Young
4:15.0,,,17-25,3,V. Oladipo makes 3-pt shot from 26 ft (assist by D. Collison)
4:01.0,J. Jack misses 2-pt shot from 17 ft,,17-25,,
3:58.0,,,17-25,,Defensive rebound by M. Turner
3:50.0,,,17-27,2,M. Turner makes 2-pt shot from 1 ft (assist by V. Oladipo)
3:32.0,E. Kanter misses 2-pt shot from 1 ft,,17-27,,
3:30.0,,,17-27,,Defensive rebound by D. Collison
3:27.0,,,17-30,3,B. Bogdanovic makes 3-pt shot from 23 ft (assist by D. Collison)
3:25.0,New York full timeout,,17-30,,
3:25.0,,,17-30,,C. Joseph enters the game for T. Young
3:25.0,,,17-30,,D. Sabonis enters the game for B. Bogdanovic
3:25.0,K. O'Quinn enters the game for E. Kanter,,17-30,,
3:25.0,F. Ntilikina enters the game for J. Jack,,17-30,,
3:11.0,K. O'Quinn misses 2-pt shot from 12 ft,,17-30,,
3:09.0,,,17-30,,Defensive rebound by D. Sabonis
2:51.0,,,17-30,,M. Turner misses 3-pt shot from 23 ft
2:48.0,Defensive rebound by F. Ntilikina,,17-30,,
2:38.0,C. Lee misses 3-pt shot from 26 ft,,17-30,,
2:36.0,,,17-30,,Defensive rebound by D. Sabonis
2:31.0,,,17-30,,D. Collison misses 2-pt shot from 2 ft (block by D. McDermott)
2:30.0,,,17-30,,Offensive rebound by Team
2:30.0,,,17-30,,L. Stephenson enters the game for D. Collison
2:30.0,L. Thomas enters the game for C. Lee,,17-30,,
2:30.0,D. Dotson enters the game for M. Beasley,,17-30,,
2:21.0,,,17-30,,V. Oladipo misses 2-pt shot from 18 ft
2:17.0,Defensive rebound by K. O'Quinn,,17-30,,
2:00.0,D. McDermott makes 2-pt shot at rim (assist by K. O'Quinn),2,19-30,,
1:51.0,,,19-30,,Offensive charge foul by V. Oladipo (drawn by L. Thomas)
1:51.0,,,19-30,,Turnover by V. Oladipo (offensive foul)
1:51.0,,,19-30,,T. Leaf enters the game for M. Turner
1:32.0,K. O'Quinn misses 3-pt shot from 25 ft,,19-30,,
1:29.0,Offensive rebound by D. Dotson,,19-30,,
1:28.0,D. Dotson misses 3-pt shot from 27 ft,,19-30,,
1:23.0,Offensive rebound by K. O'Quinn,,19-30,,
1:23.0,K. O'Quinn misses 2-pt shot at rim,,19-30,,
1:23.0,,,19-30,,Defensive rebound by D. Sabonis
1:21.0,,,19-30,,Shooting foul by F. Ntilikina (drawn by V. Oladipo)
1:21.0,,,19-31,1,V. Oladipo makes free throw 1 of 2
1:21.0,,,19-31,,V. Oladipo misses free throw 2 of 2
1:19.0,Defensive rebound by K. O'Quinn,,19-31,,
1:03.0,Turnover by D. McDermott (lost ball; steal by L. Stephenson),,19-31,,
0:54.0,,,19-31,,T. Leaf misses 3-pt shot from 25 ft
0:51.0,Defensive rebound by Team,,19-31,,
0:36.0,D. McDermott misses 3-pt shot from 26 ft,,19-31,,
0:33.0,,,19-31,,Defensive rebound by L. Stephenson
0:26.0,,,19-31,,Turnover by L. Stephenson (bad pass; steal by L. Thomas)
0:04.0,F. Ntilikina misses 2-pt shot from 18 ft,,19-31,,
0:01.0,,,19-31,,Defensive rebound by V. Oladipo
0:00.0,,,19-31,,D. Sabonis misses 2-pt shot from 20 ft
0:00.0,,,19-31,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,Personal foul by F. Ntilikina (drawn by D. Sabonis),,19-31,,
11:38.0,,,19-33,2,D. Sabonis makes 2-pt shot from 3 ft (assist by C. Joseph)
11:19.0,D. Dotson misses 3-pt shot from 25 ft,,19-33,,
11:16.0,,,19-33,,Defensive rebound by T. Leaf
11:03.0,,,19-36,3,C. Joseph makes 3-pt shot from 25 ft (assist by D. Sabonis)
10:43.0,K. O'Quinn makes 2-pt shot at rim (assist by F. Ntilikina),2,21-36,,
10:37.0,,,21-38,2,B. Bogdanovic makes 2-pt shot from 9 ft
10:15.0,L. Thomas misses 2-pt shot from 9 ft,,21-38,,
10:10.0,,,21-38,,Defensive rebound by D. Sabonis
10:04.0,,,21-38,,Shooting foul by L. Thomas (drawn by L. Stephenson)
10:04.0,,,21-39,1,L. Stephenson makes free throw 1 of 2
10:04.0,M. Beasley enters the game for F. Ntilikina,,21-39,,
10:04.0,J. Jack enters the game for D. McDermott,,21-39,,
10:04.0,,,21-39,,T. Young enters the game for T. Leaf
10:04.0,,,21-40,1,L. Stephenson makes free throw 2 of 2
9:46.0,L. Thomas misses 2-pt shot from 18 ft,,21-40,,
9:44.0,Offensive rebound by K. O'Quinn,,21-40,,
9:42.0,K. O'Quinn misses 2-pt shot from 1 ft,,21-40,,
9:37.0,Offensive rebound by M. Beasley,,21-40,,
9:37.0,M. Beasley makes 2-pt shot at rim,2,23-40,,
9:15.0,,,23-40,,L. Stephenson misses 2-pt shot from 22 ft
9:11.0,Defensive rebound by J. Jack,,23-40,,
9:03.0,M. Beasley misses 2-pt shot from 1 ft,,23-40,,
9:01.0,Offensive rebound by K. O'Quinn,,23-40,,
9:01.0,K. O'Quinn makes 2-pt shot from 1 ft,2,25-40,,
8:39.0,,,25-40,,Offensive charge foul by D. Sabonis (drawn by D. Dotson)
8:39.0,,,25-40,,Turnover by D. Sabonis (offensive foul)
8:24.0,M. Beasley makes 2-pt shot from 1 ft (assist by J. Jack),2,27-40,,
8:10.0,Personal foul by M. Beasley (drawn by D. Sabonis),,27-40,,
8:03.0,,,27-40,,C. Joseph misses 3-pt shot from 24 ft
7:59.0,Defensive rebound by K. O'Quinn,,27-40,,
7:51.0,,,27-40,,Personal foul by D. Sabonis (drawn by K. O'Quinn)
7:51.0,E. Kanter enters the game for K. O'Quinn,,27-40,,
7:48.0,Offensive foul by M. Beasley (drawn by C. Joseph),,27-40,,
7:48.0,Turnover by M. Beasley (offensive foul),,27-40,,
7:48.0,C. Lee enters the game for M. Beasley,,27-40,,
7:36.0,,,27-40,,L. Stephenson misses 2-pt shot from 19 ft
7:32.0,,,27-40,,Offensive rebound by D. Sabonis
7:30.0,,,27-43,3,C. Joseph makes 3-pt shot from 25 ft (assist by D. Sabonis)
7:12.0,Shooting foul by L. Stephenson (drawn by D. Dotson),,27-43,,
7:12.0,D. Dotson makes free throw 1 of 2,1,28-43,,
7:12.0,,,28-43,,M. Turner enters the game for D. Sabonis
7:12.0,,,28-43,,D. Collison enters the game for B. Bogdanovic
7:12.0,D. Dotson misses free throw 2 of 2,,28-43,,
7:09.0,,,28-43,,Defensive rebound by M. Turner
6:52.0,,,28-45,2,T. Young makes 2-pt shot at rim (assist by L. Stephenson)
6:28.0,J. Jack makes 2-pt shot from 20 ft,2,30-45,,
6:13.0,,,30-45,,Turnover by L. Stephenson (lost ball; steal by D. Dotson)
6:06.0,L. Thomas misses 3-pt shot from 26 ft,,30-45,,
6:03.0,,,30-45,,Defensive rebound by T. Young
5:41.0,,,30-47,2,T. Young makes 2-pt shot from 1 ft
5:31.0,New York full timeout,,30-47,,
5:31.0,,,30-47,,V. Oladipo enters the game for C. Joseph
5:31.0,D. McDermott enters the game for D. Dotson,,30-47,,
5:25.0,C. Lee makes 2-pt shot at rim (assist by E. Kanter),2,32-47,,
5:06.0,,,32-49,2,M. Turner makes 2-pt shot at rim (assist by T. Young)
4:50.0,E. Kanter makes 2-pt shot at rim,2,34-49,,
4:34.0,,,34-49,,T. Young misses 2-pt shot from 7 ft
4:31.0,Defensive rebound by J. Jack,,34-49,,
4:27.0,Turnover by C. Lee (bad pass; steal by D. Collison),,34-49,,
4:23.0,,,34-51,2,V. Oladipo makes 2-pt shot from 1 ft (assist by D. Collison)
4:10.0,,,34-51,,Personal foul by M. Turner (drawn by E. Kanter)
4:10.0,W. Hernangomez enters the game for L. Thomas,,34-51,,
4:10.0,F. Ntilikina enters the game for J. Jack,,34-51,,
3:56.0,Turnover by Team (shot clock),,34-51,,
3:35.0,,,34-54,3,L. Stephenson makes 3-pt shot from 23 ft (assist by M. Turner)
3:13.0,Turnover by C. Lee (bad pass; steal by T. Young),,34-54,,
3:09.0,,,34-54,,D. Collison misses 2-pt shot at rim
3:07.0,Defensive rebound by E. Kanter,,34-54,,
3:02.0,Turnover by C. Lee (bad pass; steal by V. Oladipo),,34-54,,
2:59.0,,,34-56,2,D. Collison makes 2-pt shot at rim (assist by V. Oladipo)
2:43.0,Turnover by W. Hernangomez (traveling),,34-56,,
2:43.0,,,34-56,,Indiana full timeout
2:31.0,,,34-59,3,V. Oladipo makes 3-pt shot from 26 ft
2:18.0,C. Lee misses 3-pt shot from 26 ft,,34-59,,
2:15.0,,,34-59,,Defensive rebound by M. Turner
2:00.0,,,34-61,2,L. Stephenson makes 2-pt shot at rim
1:48.0,F. Ntilikina misses 2-pt shot from 16 ft,,34-61,,
1:44.0,,,34-61,,Defensive rebound by T. Young
1:20.0,,,34-63,2,M. Turner makes 2-pt shot from 20 ft (assist by D. Collison)
1:01.0,Turnover by D. McDermott (lost ball; steal by T. Young),,34-63,,
0:56.0,,,34-63,,Turnover by T. Young (bad pass)
0:56.0,,,34-63,,B. Bogdanovic enters the game for M. Turner
0:41.0,D. McDermott makes 3-pt shot from 26 ft (assist by C. Lee),3,37-63,,
0:40.0,,,37-63,,Away from play foul by T. Young (drawn by E. Kanter)
0:40.0,,,37-63,,Turnover by T. Young (turnover)
0:40.0,D. Dotson enters the game for W. Hernangomez,,37-63,,
0:40.0,E. Kanter makes free throw 1 of 1,1,38-63,,
0:32.0,,,38-66,3,T. Young makes 3-pt shot from 27 ft (assist by D. Collison)
0:13.0,C. Lee makes 2-pt shot at rim,2,40-66,,
0:01.0,,,40-66,,D. Collison misses 3-pt shot from 26 ft
0:01.0,,,40-66,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,,,40-66,,B. Bogdanovic misses 3-pt shot from 27 ft
11:33.0,Defensive rebound by M. Beasley,,40-66,,
11:21.0,Turnover by M. Beasley (bad pass; steal by D. Collison),,40-66,,
11:19.0,,,40-68,2,D. Collison makes 2-pt shot at rim
11:07.0,M. Beasley misses 3-pt shot from 27 ft,,40-68,,
11:04.0,,,40-68,,Defensive rebound by M. Turner
10:51.0,,,40-68,,Turnover by M. Turner (lost ball; steal by D. Dotson)
10:45.0,D. Dotson misses 3-pt shot from 27 ft,,40-68,,
10:39.0,,,40-68,,Defensive rebound by V. Oladipo
10:26.0,,,40-70,2,T. Young makes 2-pt shot from 2 ft
10:26.0,,,40-70,,Shooting foul by E. Kanter (drawn by T. Young)
10:26.0,,,40-70,,T. Young misses free throw 1 of 1
10:23.0,Defensive rebound by M. Beasley,,40-70,,
10:13.0,M. Beasley misses 2-pt shot from 14 ft,,40-70,,
10:10.0,,,40-70,,Defensive rebound by B. Bogdanovic
9:57.0,,,40-72,2,M. Turner makes 2-pt shot from 18 ft
9:36.0,C. Lee misses 2-pt shot at rim (block by V. Oladipo),,40-72,,
9:33.0,,,40-72,,Defensive rebound by V. Oladipo
9:32.0,,,40-72,,Shooting foul by J. Jack (drawn by D. Collison)
9:32.0,,,40-73,1,D. Collison makes free throw 1 of 2
