time,Atlanta,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Henson vs. D. Dedmon (G. Antetokounmpo gains possession),,,,Jump ball: J. Henson vs. D. Dedmon (G. Antetokounmpo gains possession)
11:45.0,,,0-0,,Turnover by E. Bledsoe (bad pass; steal by D. Dedmon)
11:31.0,D. Schroder makes 2-pt shot from 14 ft (assist by D. Dedmon),2,2-0,,
11:18.0,,,2-0,,Turnover by G. Antetokounmpo (traveling)
11:03.0,D. Dedmon misses 2-pt shot from 2 ft,,2-0,,
11:01.0,,,2-0,,Defensive rebound by T. Snell
10:55.0,,,2-0,,G. Antetokounmpo misses 2-pt shot from 17 ft
10:52.0,Defensive rebound by D. Schroder,,2-0,,
10:45.0,T. Waller-Prince misses 3-pt shot from 28 ft,,2-0,,
10:43.0,,,2-0,,Defensive rebound by K. Middleton
10:33.0,,,2-2,2,T. Snell makes 2-pt shot from 11 ft
10:15.0,T. Waller-Prince makes 3-pt shot from 26 ft (assist by T. Dorsey),3,5-2,,
9:59.0,,,5-2,,Shooting foul by J. Collins (drawn by G. Antetokounmpo)
9:59.0,,,5-3,1,G. Antetokounmpo makes free throw 1 of 2
9:59.0,,,5-4,1,G. Antetokounmpo makes free throw 2 of 2
9:39.0,T. Dorsey makes 3-pt shot from 26 ft (assist by D. Schroder),3,8-4,,
9:21.0,,,8-7,3,G. Antetokounmpo makes 3-pt shot from 23 ft (assist by E. Bledsoe)
8:55.0,D. Schroder makes 2-pt shot from 8 ft,2,10-7,,
8:43.0,,,10-7,,Turnover by J. Henson (bad pass; steal by T. Dorsey)
8:39.0,,,10-7,,Personal block foul by K. Middleton (drawn by T. Waller-Prince)
8:18.0,T. Waller-Prince misses 2-pt shot from 18 ft,,10-7,,
8:15.0,Offensive rebound by J. Collins,,10-7,,
8:13.0,D. Schroder misses 3-pt shot from 26 ft,,10-7,,
8:10.0,,,10-7,,Defensive rebound by G. Antetokounmpo
8:04.0,,,10-7,,K. Middleton misses 3-pt shot from 26 ft
8:01.0,Defensive rebound by J. Collins,,10-7,,
7:51.0,J. Collins makes 2-pt shot at rim (assist by D. Dedmon),2,12-7,,
7:51.0,,,12-7,,Milwaukee full timeout
7:51.0,M. Muscala enters the game for J. Collins,,12-7,,
7:35.0,,,12-7,,K. Middleton misses 2-pt shot from 8 ft
7:33.0,,,12-7,,Offensive rebound by J. Henson
7:31.0,,,12-7,,T. Snell misses 3-pt shot from 26 ft
7:28.0,Defensive rebound by D. Dedmon,,12-7,,
7:07.0,D. Schroder misses 2-pt shot from 4 ft (block by E. Bledsoe),,12-7,,
7:07.0,Offensive rebound by Team,,12-7,,
7:05.0,M. Muscala misses 2-pt shot from 13 ft,,12-7,,
7:02.0,,,12-7,,Defensive rebound by T. Snell
