time,Dallas,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. D. Powell (R. Rondo gains possession),,,,Jump ball: A. Davis vs. D. Powell (R. Rondo gains possession)
11:47.0,,,0-0,,Offensive foul by E. Okafor (drawn by D. Powell)
11:47.0,,,0-0,,Turnover by E. Okafor (offensive foul)
11:31.0,J. Barea makes 2-pt shot from 5 ft (assist by D. Powell),2,2-0,,
11:09.0,,,2-2,2,A. Davis makes 2-pt shot from 1 ft (assist by R. Rondo)
10:54.0,H. Barnes makes 2-pt shot from 19 ft,2,4-2,,
10:39.0,,,4-4,2,R. Rondo makes 2-pt shot from 1 ft
10:31.0,Turnover by J. Barea (lost ball; steal by R. Rondo),,4-4,,
10:23.0,,,4-4,,R. Rondo misses 3-pt shot from 23 ft
10:18.0,,,4-4,,Offensive rebound by E. Okafor
10:12.0,,,4-6,2,S. Hill makes 2-pt shot from 17 ft
9:45.0,Turnover by H. Barnes (bad pass; steal by E. Okafor),,4-6,,
9:40.0,,,4-6,,E. Moore misses 2-pt shot from 2 ft
9:36.0,Defensive rebound by D. Powell,,4-6,,
9:21.0,D. Nowitzki misses 2-pt shot from 13 ft,,4-6,,
9:16.0,,,4-6,,Defensive rebound by R. Rondo
9:13.0,,,4-6,,A. Davis misses 2-pt shot from 14 ft
9:06.0,Defensive rebound by D. Powell,,4-6,,
9:00.0,D. Nowitzki misses 3-pt shot from 26 ft,,4-6,,
8:55.0,Offensive rebound by D. Powell,,4-6,,
8:53.0,H. Barnes misses 3-pt shot from 31 ft,,4-6,,
8:50.0,,,4-6,,Defensive rebound by A. Davis
8:39.0,,,4-6,,S. Hill misses 3-pt shot from 26 ft
8:35.0,Defensive rebound by D. Finney-Smith,,4-6,,
8:20.0,D. Finney-Smith misses 3-pt shot from 25 ft,,4-6,,
8:15.0,Offensive rebound by D. Powell,,4-6,,
8:15.0,D. Powell makes 2-pt shot at rim,2,6-6,,
8:06.0,,,6-8,2,A. Davis makes 2-pt shot at rim (assist by R. Rondo)
7:49.0,D. Nowitzki makes 2-pt shot from 10 ft,2,8-8,,
7:30.0,,,8-8,,A. Davis misses 3-pt shot from 25 ft
7:27.0,Defensive rebound by H. Barnes,,8-8,,
7:21.0,Turnover by H. Barnes (bad pass; steal by R. Rondo),,8-8,,
7:19.0,,,8-10,2,R. Rondo makes 2-pt shot at rim
6:58.0,D. Powell makes 3-pt shot from 26 ft (assist by H. Barnes),3,11-10,,
6:49.0,,,11-10,,Shooting foul by D. Powell (drawn by A. Davis)
6:49.0,,,11-10,,New Orleans full timeout
6:49.0,,,11-10,,N. Mirotic enters the game for S. Hill
6:49.0,,,11-10,,D. Miller enters the game for E. Okafor
6:49.0,Y. Ferrell enters the game for D. Powell,,11-10,,
6:49.0,D. McDermott enters the game for D. Nowitzki,,11-10,,
6:49.0,N. Noel enters the game for J. Barea,,11-10,,
6:49.0,,,11-10,,A. Davis misses free throw 1 of 2
6:49.0,,,11-10,,Offensive rebound by Team
6:49.0,,,11-11,1,A. Davis makes free throw 2 of 2
6:27.0,N. Noel makes 2-pt shot from 8 ft (assist by Y. Ferrell),2,13-11,,
6:12.0,,,13-14,3,E. Moore makes 3-pt shot from 26 ft (assist by N. Mirotic)
5:51.0,H. Barnes makes 2-pt shot from 19 ft,2,15-14,,
5:43.0,,,15-16,2,R. Rondo makes 2-pt shot from 3 ft
5:28.0,D. McDermott makes 2-pt shot from 1 ft (assist by Y. Ferrell),2,17-16,,
5:13.0,,,17-16,,Turnover by R. Rondo (bad pass)
5:01.0,D. McDermott makes 3-pt shot from 25 ft (assist by N. Noel),3,20-16,,
4:47.0,,,20-16,,D. Miller misses 3-pt shot from 23 ft
4:47.0,,,20-16,,Offensive rebound by Team
4:47.0,Personal foul by Y. Ferrell (drawn by A. Davis),,20-16,,
4:47.0,,,20-16,,I. Clark enters the game for E. Moore
