time,Orlando,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. N. Vucevic (J. Wall gains possession),,,,Jump ball: M. Gortat vs. N. Vucevic (J. Wall gains possession)
11:49.0,,,0-2,2,M. Gortat makes 2-pt shot from 5 ft (assist by O. Porter)
11:49.0,,,0-2,,Shooting foul by N. Vucevic (drawn by M. Gortat)
11:49.0,,,0-3,1,M. Gortat makes free throw 1 of 1
11:27.0,J. Simmons misses 3-pt shot from 26 ft,,0-3,,
11:23.0,,,0-3,,Defensive rebound by B. Beal
11:09.0,,,0-3,,Turnover by J. Wall (bad pass)
10:46.0,M. Hezonja makes 2-pt shot from 20 ft,2,2-3,,
10:33.0,,,2-5,2,M. Morris makes 2-pt shot from 8 ft
10:24.0,W. Iwundu misses 2-pt shot from 6 ft (block by O. Porter),,2-5,,
10:22.0,,,2-5,,Defensive rebound by J. Wall
10:19.0,,,2-5,,O. Porter misses 3-pt shot from 26 ft
10:15.0,,,2-5,,Offensive rebound by M. Gortat
10:14.0,,,2-5,,J. Wall misses 3-pt shot from 24 ft
10:14.0,Defensive rebound by W. Iwundu,,2-5,,
10:10.0,,,2-5,,Technical foul by M. Morris
10:10.0,N. Vucevic misses technical free throw,,2-5,,
10:10.0,Offensive rebound by Team,,2-5,,
10:03.0,,,2-5,,Personal foul by M. Gortat (drawn by E. Payton)
9:54.0,N. Vucevic misses 2-pt shot from 16 ft,,2-5,,
9:52.0,,,2-5,,Defensive rebound by J. Wall
9:41.0,,,2-7,2,M. Morris makes 2-pt shot from 1 ft (assist by J. Wall)
9:25.0,J. Simmons makes 3-pt shot from 23 ft (assist by E. Payton),3,5-7,,
9:13.0,Personal foul by W. Iwundu (drawn by M. Morris),,5-7,,
9:09.0,,,5-7,,Shooting foul by J. Simmons (drawn by B. Beal)
9:09.0,,,5-8,1,B. Beal makes free throw 1 of 2
9:09.0,,,5-9,1,B. Beal makes free throw 2 of 2
8:59.0,M. Hezonja makes 2-pt shot from 1 ft (assist by E. Payton),2,7-9,,
8:41.0,,,7-9,,Offensive foul by M. Gortat (drawn by W. Iwundu)
8:41.0,,,7-9,,Turnover by M. Gortat (offensive foul)
8:41.0,,,7-9,,I. Mahinmi enters the game for M. Gortat
8:22.0,Turnover by N. Vucevic (bad pass; steal by O. Porter),,7-9,,
8:17.0,,,7-11,2,O. Porter makes 2-pt shot at rim (assist by J. Wall)
8:04.0,J. Simmons makes 2-pt shot from 13 ft,2,9-11,,
7:54.0,,,9-13,2,M. Morris makes 2-pt shot from 5 ft (assist by J. Wall)
7:41.0,J. Simmons makes 2-pt shot from 10 ft (assist by N. Vucevic),2,11-13,,
7:27.0,,,11-15,2,I. Mahinmi makes 2-pt shot from 6 ft (assist by M. Morris)
7:02.0,Orlando full timeout,,11-15,,
7:02.0,,,11-15,,Technical foul by J. Wall
7:02.0,N. Vucevic makes technical free throw,1,12-15,,
6:57.0,Orlando full timeout,,12-15,,
6:57.0,B. Biyombo enters the game for N. Vucevic,,12-15,,
6:51.0,Turnover by J. Simmons (lost ball; steal by I. Mahinmi),,12-15,,
6:46.0,,,12-15,,Turnover by I. Mahinmi (bad pass; steal by M. Hezonja)
6:38.0,J. Simmons makes 2-pt shot from 18 ft,2,14-15,,
6:17.0,Personal foul by B. Biyombo (drawn by I. Mahinmi),,14-15,,
6:07.0,,,14-15,,O. Porter misses 2-pt shot from 19 ft
6:06.0,,,14-15,,Offensive rebound by Team
6:06.0,Personal foul by W. Iwundu (drawn by M. Morris),,14-15,,
6:06.0,,,14-16,1,M. Morris makes free throw 1 of 2
6:06.0,A. Afflalo enters the game for W. Iwundu,,14-16,,
6:06.0,,,14-17,1,M. Morris makes free throw 2 of 2
5:59.0,J. Simmons makes 2-pt shot from 18 ft,2,16-17,,
5:38.0,,,16-17,,J. Wall misses 2-pt shot from 8 ft
5:35.0,,,16-17,,Offensive rebound by I. Mahinmi
5:34.0,,,16-19,2,I. Mahinmi makes 2-pt shot from 1 ft
5:24.0,E. Payton makes 2-pt shot from 1 ft,2,18-19,,
5:13.0,,,18-19,,J. Wall misses 2-pt shot from 1 ft
5:12.0,Defensive rebound by M. Hezonja,,18-19,,
5:06.0,M. Hezonja makes 2-pt shot from 23 ft,2,20-19,,
4:53.0,Personal foul by M. Hezonja (drawn by M. Morris),,20-19,,
4:53.0,,,20-19,,M. Morris misses free throw 1 of 2
4:53.0,,,20-19,,Offensive rebound by Team
4:53.0,,,20-20,1,M. Morris makes free throw 2 of 2
4:53.0,,,20-20,,K. Oubre enters the game for O. Porter
4:53.0,J. Artis enters the game for M. Hezonja,,20-20,,
4:39.0,J. Simmons misses 2-pt shot from 19 ft,,20-20,,
4:37.0,,,20-20,,Defensive rebound by Team
4:28.0,Personal foul by J. Simmons (drawn by B. Beal),,20-20,,
4:28.0,,,20-21,1,B. Beal makes free throw 1 of 2
4:28.0,,,20-22,1,B. Beal makes free throw 2 of 2
4:28.0,A. Payne enters the game for J. Simmons,,20-22,,
4:13.0,A. Payne makes 3-pt shot from 23 ft (assist by E. Payton),3,23-22,,
3:56.0,,,23-24,2,B. Beal makes 2-pt shot from 20 ft
3:44.0,Turnover by E. Payton (traveling),,23-24,,
3:44.0,,,23-24,,M. Scott enters the game for M. Morris
3:28.0,,,23-24,,Turnover by I. Mahinmi (turnover)
3:07.0,A. Afflalo misses 2-pt shot from 19 ft,,23-24,,
3:03.0,Offensive rebound by A. Payne,,23-24,,
3:03.0,A. Payne makes 2-pt shot from 2 ft,2,25-24,,
2:38.0,,,25-26,2,M. Scott makes 2-pt shot from 3 ft (assist by B. Beal)
2:26.0,E. Payton misses 2-pt shot from 11 ft,,25-26,,
2:24.0,,,25-26,,Defensive rebound by I. Mahinmi
2:15.0,,,25-26,,Turnover by M. Scott (lost ball; steal by E. Payton)
2:11.0,E. Payton misses 2-pt shot from 2 ft,,25-26,,
2:05.0,,,25-26,,Defensive rebound by K. Oubre
2:01.0,,,25-29,3,K. Oubre makes 3-pt shot from 25 ft
1:53.0,B. Biyombo makes 2-pt shot from 3 ft (assist by E. Payton),2,27-29,,
1:51.0,,,27-29,,Washington full timeout
1:51.0,,,27-29,,J. Meeks enters the game for B. Beal
1:31.0,,,27-31,2,M. Scott makes 2-pt shot from 1 ft (assist by J. Wall)
1:16.0,J. Artis misses 3-pt shot from 25 ft,,27-31,,
1:12.0,,,27-31,,Defensive rebound by J. Meeks
0:58.0,,,27-34,3,J. Wall makes 3-pt shot from 26 ft
0:38.0,A. Afflalo misses 2-pt shot from 14 ft,,27-34,,
0:37.0,Offensive rebound by Team,,27-34,,
0:37.0,,,27-34,,Loose ball foul by I. Mahinmi (drawn by A. Payne)
0:29.0,A. Afflalo misses 2-pt shot from 1 ft,,27-34,,
0:27.0,,,27-34,,Defensive rebound by M. Scott
0:07.0,,,27-37,3,M. Scott makes 3-pt shot from 25 ft (assist by J. Wall)
0:02.0,E. Payton makes 2-pt shot from 2 ft,2,29-37,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,A. Afflalo misses 3-pt shot from 24 ft,,29-37,,
11:33.0,Offensive rebound by B. Biyombo,,29-37,,
11:25.0,D. Augustin makes 2-pt shot from 13 ft,2,31-37,,
11:08.0,,,31-37,,K. Oubre misses 3-pt shot from 25 ft
11:05.0,Defensive rebound by B. Biyombo,,31-37,,
11:01.0,,,31-37,,Personal foul by I. Mahinmi (drawn by D. Augustin)
10:50.0,J. Simmons misses 3-pt shot from 26 ft,,31-37,,
10:45.0,,,31-37,,Defensive rebound by T. Satoransky
10:39.0,,,31-39,2,K. Oubre makes 2-pt shot from 4 ft
10:21.0,Turnover by J. Simmons (lost ball; steal by T. Satoransky),,31-39,,
10:15.0,,,31-39,,K. Oubre misses 3-pt shot from 25 ft
10:11.0,,,31-39,,Offensive rebound by T. Satoransky
10:11.0,,,31-42,3,J. Meeks makes 3-pt shot from 26 ft (assist by T. Satoransky)
10:08.0,Orlando full timeout,,31-42,,
9:51.0,D. Augustin misses 3-pt shot from 25 ft,,31-42,,
9:49.0,,,31-42,,Defensive rebound by J. Meeks
9:24.0,W. Iwundu enters the game for A. Afflalo,,31-42,,
9:22.0,,,31-44,2,T. Satoransky makes 2-pt shot from 16 ft (assist by K. Oubre)
9:10.0,A. Payne makes 2-pt shot from 4 ft (assist by D. Augustin),2,33-44,,
8:53.0,,,33-46,2,M. Scott makes 2-pt shot from 12 ft (assist by K. Oubre)
8:53.0,,,33-46,,Shooting foul by J. Simmons (drawn by M. Scott)
8:53.0,M. Hezonja enters the game for J. Simmons,,33-46,,
8:53.0,,,33-47,1,M. Scott makes free throw 1 of 1
8:31.0,Turnover by M. Hezonja (turnover),,33-47,,
8:31.0,Violation by M. Hezonja (kicked ball),,33-47,,
8:20.0,,,33-47,,T. Satoransky misses 3-pt shot from 23 ft
8:17.0,,,33-47,,Offensive rebound by J. Meeks
8:14.0,,,33-49,2,J. Meeks makes 2-pt shot from 9 ft
7:56.0,M. Hezonja makes 2-pt shot from 17 ft,2,35-49,,
7:41.0,,,35-49,,I. Mahinmi misses 2-pt shot from 8 ft
7:39.0,Defensive rebound by A. Payne,,35-49,,
7:39.0,,,35-49,,Personal foul by T. Satoransky (drawn by D. Augustin)
7:31.0,M. Hezonja misses 2-pt shot from 22 ft,,35-49,,
7:31.0,,,35-49,,Defensive rebound by Team
7:15.0,,,35-49,,M. Scott misses 2-pt shot from 12 ft
7:10.0,,,35-49,,Offensive rebound by I. Mahinmi
7:10.0,,,35-51,2,I. Mahinmi makes 2-pt shot from 1 ft
6:50.0,B. Biyombo makes 2-pt shot from 1 ft (assist by D. Augustin),2,37-51,,
6:50.0,Shooting foul by M. Scott (drawn by B. Biyombo),,37-51,,
6:50.0,,,37-51,,B. Beal enters the game for I. Mahinmi
6:50.0,,,37-51,,J. Wall enters the game for M. Scott
6:50.0,,,37-51,,M. Morris enters the game for T. Satoransky
6:50.0,J. Artis enters the game for A. Payne,,37-51,,
6:50.0,B. Biyombo misses free throw 1 of 1,,37-51,,
6:37.0,,,37-51,,Defensive rebound by K. Oubre
6:37.0,,,37-51,,Shooting foul by M. Hezonja (drawn by J. Meeks)
6:37.0,M. Speights enters the game for B. Biyombo,,37-51,,
6:37.0,,,37-52,1,J. Meeks makes free throw 1 of 2
6:37.0,,,37-53,1,J. Meeks makes free throw 2 of 2
6:29.0,D. Augustin makes 3-pt shot from 26 ft,3,40-53,,
6:15.0,,,40-53,,J. Meeks misses 2-pt shot from 17 ft
6:12.0,Defensive rebound by M. Speights,,40-53,,
6:07.0,M. Hezonja misses 2-pt shot from 9 ft (block by J. Wall),,40-53,,
6:02.0,,,40-53,,Defensive rebound by J. Meeks
5:53.0,,,40-56,3,M. Morris makes 3-pt shot from 25 ft (assist by J. Wall)
5:32.0,D. Augustin makes 2-pt shot from 2 ft,2,42-56,,
5:25.0,,,42-58,2,K. Oubre makes 2-pt shot from 1 ft (assist by J. Wall)
5:25.0,,,42-58,,Shooting foul by W. Iwundu (drawn by K. Oubre)
5:25.0,,,42-58,,O. Porter enters the game for J. Meeks
5:25.0,E. Payton enters the game for W. Iwundu,,42-58,,
5:25.0,,,42-59,1,K. Oubre makes free throw 1 of 1
5:15.0,D. Augustin makes 2-pt shot from 3 ft,2,44-59,,
5:05.0,,,44-62,3,B. Beal makes 3-pt shot from 26 ft (assist by J. Wall)
5:03.0,Orlando full timeout,,44-62,,
