time,Dallas,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. M. Kleber (C. Anthony gains possession),,,,Jump ball: S. Adams vs. M. Kleber (C. Anthony gains possession)
11:42.0,,,0-0,,S. Adams misses 2-pt shot from 6 ft
11:40.0,,,0-0,,Offensive rebound by S. Adams
11:39.0,,,0-0,,S. Adams misses 2-pt shot at rim
11:39.0,,,0-0,,Offensive rebound by R. Westbrook
11:35.0,,,0-2,2,R. Westbrook makes 2-pt shot at rim
11:23.0,M. Kleber misses 2-pt shot from 17 ft,,0-2,,
11:20.0,,,0-2,,Defensive rebound by R. Westbrook
11:16.0,,,0-4,2,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook)
10:55.0,H. Barnes makes 2-pt shot from 17 ft (assist by W. Matthews),2,2-4,,
10:36.0,,,2-6,2,C. Anthony makes 2-pt shot from 13 ft
10:25.0,W. Matthews misses 3-pt shot from 26 ft (block by P. George),,2-6,,
10:23.0,,,2-6,,Defensive rebound by R. Westbrook
10:18.0,,,2-8,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
10:18.0,Dallas full timeout,,2-8,,
9:59.0,H. Barnes misses 2-pt shot from 18 ft,,2-8,,
9:56.0,,,2-8,,Defensive rebound by R. Westbrook
9:38.0,,,2-8,,R. Westbrook misses 2-pt shot from 10 ft
9:35.0,Defensive rebound by M. Kleber,,2-8,,
9:24.0,,,2-8,,Personal foul by P. George (drawn by D. Smith)
9:10.0,H. Barnes makes 3-pt shot from 25 ft,3,5-8,,
8:53.0,,,5-11,3,C. Anthony makes 3-pt shot from 24 ft (assist by P. George)
8:29.0,W. Matthews misses 3-pt shot from 23 ft,,5-11,,
8:25.0,Offensive rebound by M. Kleber,,5-11,,
8:20.0,D. Smith makes 2-pt shot from 1 ft,2,7-11,,
8:20.0,Shooting foul by C. Anthony (drawn by D. Smith),,7-11,,
8:20.0,D. Smith makes free throw 1 of 1,1,8-11,,
8:09.0,,,8-11,,C. Anthony misses 3-pt shot from 24 ft
8:06.0,,,8-11,,Offensive rebound by Team
8:06.0,S. Mejri enters the game for D. Nowitzki,,8-11,,
8:05.0,,,8-13,2,P. George makes 2-pt shot from 1 ft (assist by R. Westbrook)
7:47.0,H. Barnes makes 2-pt shot from 18 ft,2,10-13,,
7:33.0,,,10-13,,P. George misses 3-pt shot from 25 ft
7:33.0,Defensive rebound by D. Smith,,10-13,,
7:26.0,,,10-13,,Violation by R. Westbrook (kicked ball)
7:20.0,Shooting foul by S. Adams (drawn by S. Mejri),,10-13,,
7:20.0,S. Mejri misses free throw 1 of 2,,10-13,,
7:20.0,Offensive rebound by Team,,10-13,,
7:20.0,S. Mejri misses free throw 2 of 2,,10-13,,
7:19.0,,,10-13,,Defensive rebound by R. Westbrook
7:06.0,,,10-13,,C. Anthony misses 2-pt shot from 11 ft
7:04.0,Defensive rebound by Team,,10-13,,
6:58.0,,,10-13,,Personal foul by R. Westbrook (drawn by D. Smith)
6:47.0,Turnover by W. Matthews (bad pass; steal by P. George),,10-13,,
6:46.0,Personal foul by W. Matthews (drawn by P. George),,10-13,,
6:37.0,,,10-13,,P. George misses 2-pt shot from 9 ft (block by W. Matthews)
6:35.0,Defensive rebound by M. Kleber,,10-13,,
6:25.0,W. Matthews makes 2-pt shot from 13 ft (assist by D. Smith),2,12-13,,
6:13.0,,,12-13,,R. Westbrook misses 2-pt shot from 19 ft
6:11.0,,,12-13,,Offensive rebound by Team
6:11.0,,,12-13,,A. Abrines enters the game for P. George
6:05.0,,,12-15,2,R. Westbrook makes 2-pt shot from 19 ft (assist by C. Anthony)
5:45.0,W. Matthews makes 2-pt shot from 10 ft,2,14-15,,
5:34.0,,,14-17,2,R. Westbrook makes 2-pt shot from 14 ft
5:23.0,D. Smith makes 3-pt shot from 27 ft (assist by W. Matthews),3,17-17,,
5:11.0,D. Harris enters the game for W. Matthews,,17-17,,
5:07.0,,,17-17,,C. Anthony misses 2-pt shot from 17 ft
5:00.0,,,17-17,,Offensive rebound by S. Adams
5:00.0,,,17-17,,S. Adams misses 2-pt shot at rim
5:00.0,Defensive rebound by D. Smith,,17-17,,
4:52.0,,,17-17,,Personal foul by A. Abrines (drawn by S. Mejri)
4:52.0,S. Mejri misses free throw 1 of 2,,17-17,,
4:52.0,Offensive rebound by Team,,17-17,,
4:52.0,J. Barea enters the game for D. Smith,,17-17,,
4:52.0,S. Mejri makes free throw 2 of 2,1,18-17,,
4:40.0,,,18-20,3,A. Abrines makes 3-pt shot from 24 ft (assist by R. Westbrook)
4:20.0,H. Barnes makes 3-pt shot from 24 ft (assist by J. Barea),3,21-20,,
4:07.0,,,21-22,2,R. Westbrook makes 2-pt shot at rim
4:07.0,,,21-22,,Shooting foul by D. Harris (drawn by R. Westbrook)
4:07.0,,,21-23,1,R. Westbrook makes free throw 1 of 1
3:49.0,S. Mejri makes 2-pt shot from 1 ft (assist by J. Barea),2,23-23,,
3:41.0,,,23-23,,C. Anthony misses 3-pt shot from 24 ft
3:40.0,,,23-23,,Offensive rebound by Team
3:40.0,Loose ball foul by S. Mejri (drawn by S. Adams),,23-23,,
3:40.0,,,23-23,,P. George enters the game for J. Huestis
3:40.0,W. Matthews enters the game for M. Kleber,,23-23,,
3:29.0,,,23-23,,Turnover by C. Anthony (discontinued dribble)
3:11.0,S. Mejri misses 2-pt shot from 2 ft,,23-23,,
3:06.0,,,23-23,,Defensive rebound by C. Anthony
3:01.0,,,23-25,2,R. Westbrook makes 2-pt shot at rim (assist by C. Anthony)
2:51.0,J. Barea makes 3-pt shot from 25 ft,3,26-25,,
2:41.0,Personal foul by D. Harris (drawn by R. Westbrook),,26-25,,
2:41.0,,,26-25,,Oklahoma City full timeout
2:41.0,,,26-25,,R. Felton enters the game for R. Westbrook
2:41.0,,,26-25,,J. Grant enters the game for C. Anthony
2:41.0,D. Powell enters the game for H. Barnes,,26-25,,
2:41.0,D. Nowitzki enters the game for S. Mejri,,26-25,,
2:26.0,,,26-28,3,P. George makes 3-pt shot from 26 ft (assist by R. Felton)
2:10.0,D. Harris misses 2-pt shot from 6 ft,,26-28,,
2:06.0,,,26-28,,Defensive rebound by S. Adams
1:57.0,,,26-30,2,R. Felton makes 2-pt shot from 11 ft
1:37.0,D. Harris makes 2-pt shot at rim,2,28-30,,
1:25.0,,,28-30,,Shooting foul by D. Nowitzki (drawn by P. George)
1:25.0,,,28-31,1,P. George makes free throw 1 of 2
1:25.0,,,28-31,,P. Patterson enters the game for S. Adams
1:25.0,,,28-32,1,P. George makes free throw 2 of 2
1:14.0,,,28-32,,Personal foul by A. Abrines (drawn by D. Harris)
1:14.0,D. Harris makes free throw 1 of 2,1,29-32,,
1:14.0,D. Harris misses free throw 2 of 2,,29-32,,
1:11.0,,,29-32,,Defensive rebound by J. Grant
1:01.0,,,29-32,,P. George misses 3-pt shot from 25 ft
0:59.0,Defensive rebound by D. Powell,,29-32,,
0:51.0,W. Matthews misses 3-pt shot from 26 ft,,29-32,,
0:48.0,Offensive rebound by D. Powell,,29-32,,
0:47.0,D. Nowitzki makes 2-pt shot from 13 ft,2,31-32,,
0:43.0,,,31-32,,R. Felton misses 3-pt shot from 24 ft
0:41.0,Defensive rebound by Team,,31-32,,
0:24.0,D. Powell makes 2-pt shot from 1 ft (assist by W. Matthews),2,33-32,,
0:11.0,,,33-32,,P. Patterson misses 3-pt shot from 23 ft
0:08.0,Defensive rebound by J. Barea,,33-32,,
0:01.0,J. Barea makes 2-pt shot from 4 ft,2,35-32,,
0:00.0,,,35-32,,R. Felton misses 3-pt shot from 58 ft
0:00.0,,,35-32,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,D. Powell makes 2-pt shot at rim (assist by J. Barea),2,37-32,,
11:25.0,,,37-34,2,R. Felton makes 2-pt shot from 16 ft
11:13.0,Turnover by J. Barea (traveling),,37-34,,
10:57.0,,,37-34,,Shooting foul by W. Matthews (drawn by P. George)
10:57.0,,,37-35,1,P. George makes free throw 1 of 2
10:57.0,,,37-36,1,P. George makes free throw 2 of 2
10:35.0,W. Matthews misses 3-pt shot from 22 ft,,37-36,,
10:33.0,,,37-36,,Defensive rebound by R. Felton
10:25.0,,,37-36,,J. Grant misses 2-pt shot from 14 ft
10:22.0,Defensive rebound by J. Barea,,37-36,,
10:12.0,D. Nowitzki makes 2-pt shot from 1 ft (assist by J. Barea),2,39-36,,
9:45.0,,,39-36,,A. Abrines misses 2-pt shot from 8 ft (block by D. Powell)
9:43.0,,,39-36,,Offensive rebound by A. Abrines
9:43.0,,,39-36,,A. Abrines misses 2-pt shot from 7 ft
9:42.0,Defensive rebound by D. Nowitzki,,39-36,,
9:28.0,,,39-36,,Personal foul by A. Abrines (drawn by D. Nowitzki)
9:28.0,,,39-36,,T. Ferguson enters the game for A. Abrines
9:15.0,J. Barea misses 2-pt shot from 23 ft,,39-36,,
9:11.0,Offensive rebound by D. Nowitzki,,39-36,,
9:09.0,J. Barea makes 3-pt shot from 24 ft (assist by W. Matthews),3,42-36,,
9:07.0,,,42-36,,Oklahoma City full timeout
9:07.0,D. Harris enters the game for W. Matthews,,42-36,,
8:44.0,,,42-36,,R. Felton misses 2-pt shot from 9 ft
8:41.0,Defensive rebound by Y. Ferrell,,42-36,,
8:31.0,D. Harris misses 2-pt shot from 1 ft,,42-36,,
8:28.0,,,42-36,,Defensive rebound by J. Grant
8:19.0,,,42-39,3,P. George makes 3-pt shot from 24 ft (assist by P. Patterson)
8:03.0,D. Harris misses 3-pt shot from 25 ft,,42-39,,
7:59.0,Offensive rebound by D. Powell,,42-39,,
7:59.0,D. Powell misses 2-pt shot at rim,,42-39,,
7:58.0,,,42-39,,Defensive rebound by J. Grant
7:53.0,,,42-39,,P. George misses 2-pt shot from 21 ft
7:53.0,Defensive rebound by J. Barea,,42-39,,
7:34.0,D. Nowitzki misses 2-pt shot from 5 ft,,42-39,,
7:30.0,,,42-39,,Defensive rebound by R. Felton
7:30.0,,,42-39,,Turnover by R. Felton (lost ball; steal by D. Powell)
7:24.0,D. Nowitzki misses 2-pt shot from 14 ft,,42-39,,
7:20.0,,,42-39,,Defensive rebound by R. Felton
7:11.0,,,42-41,2,P. George makes 2-pt shot from 13 ft
6:50.0,J. Barea misses 3-pt shot from 25 ft,,42-41,,
6:48.0,,,42-41,,Defensive rebound by R. Felton
6:40.0,Personal foul by Y. Ferrell (drawn by P. George),,42-41,,
