time,Philadelphia,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Turner vs. J. Embiid (B. Simmons gains possession),,,,Jump ball: M. Turner vs. J. Embiid (B. Simmons gains possession)
11:35.0,D. Saric misses 2-pt shot from 16 ft,,0-0,,
11:32.0,,,0-0,,Defensive rebound by B. Bogdanovic
11:19.0,,,0-0,,V. Oladipo misses 2-pt shot from 19 ft
11:16.0,Defensive rebound by J. Embiid,,0-0,,
11:06.0,J. Redick misses 3-pt shot from 26 ft,,0-0,,
11:03.0,,,0-0,,Defensive rebound by M. Turner
10:57.0,,,0-0,,M. Turner misses 3-pt shot from 28 ft
10:53.0,Defensive rebound by R. Covington,,0-0,,
10:46.0,B. Simmons misses 2-pt shot from 2 ft,,0-0,,
10:44.0,,,0-0,,Defensive rebound by M. Turner
10:39.0,,,0-2,2,B. Bogdanovic makes 2-pt shot at rim (assist by D. Collison)
10:39.0,Violation by J. Embiid (def goaltending),,0-2,,
10:25.0,D. Saric makes 2-pt shot from 1 ft,2,2-2,,
10:16.0,,,2-4,2,V. Oladipo makes 2-pt shot from 16 ft
9:55.0,B. Simmons makes 2-pt shot from 9 ft,2,4-4,,
9:47.0,,,4-4,,Turnover by T. Young (out of bounds lost ball)
9:27.0,J. Embiid makes 2-pt shot from 8 ft,2,6-4,,
9:27.0,Shooting foul by M. Turner (drawn by J. Embiid),,6-4,,
9:27.0,J. Embiid misses free throw 1 of 1,,6-4,,
9:25.0,,,6-4,,Defensive rebound by B. Bogdanovic
9:05.0,,,6-6,2,T. Young makes 2-pt shot from 15 ft (assist by B. Bogdanovic)
8:52.0,B. Simmons misses 2-pt shot from 7 ft,,6-6,,
8:50.0,Offensive rebound by B. Simmons,,6-6,,
8:50.0,B. Simmons misses 2-pt shot at rim,,6-6,,
8:50.0,Offensive rebound by J. Embiid,,6-6,,
8:50.0,Shooting foul by M. Turner (drawn by J. Embiid),,6-6,,
8:50.0,J. Embiid misses free throw 1 of 2,,6-6,,
8:50.0,Offensive rebound by Team,,6-6,,
8:50.0,,,6-6,,D. Sabonis enters the game for M. Turner
8:50.0,J. Embiid misses free throw 2 of 2,,6-6,,
8:46.0,Offensive rebound by B. Simmons,,6-6,,
8:44.0,J. Redick misses 3-pt shot from 26 ft,,6-6,,
8:41.0,,,6-6,,Defensive rebound by V. Oladipo
8:34.0,,,6-9,3,B. Bogdanovic makes 3-pt shot from 24 ft (assist by D. Sabonis)
8:17.0,B. Simmons makes 2-pt shot from 1 ft (assist by J. Embiid),2,8-9,,
8:01.0,,,8-9,,Shooting foul by R. Covington (drawn by B. Bogdanovic)
8:01.0,,,8-10,1,B. Bogdanovic makes free throw 1 of 2
8:01.0,J. Bayless enters the game for J. Redick,,8-10,,
8:01.0,,,8-11,1,B. Bogdanovic makes free throw 2 of 2
7:53.0,,,8-11,,Personal foul by D. Sabonis (drawn by J. Embiid)
7:39.0,B. Simmons misses 2-pt shot from 5 ft,,8-11,,
7:36.0,Offensive rebound by J. Embiid,,8-11,,
7:35.0,J. Embiid misses 2-pt shot from 5 ft,,8-11,,
7:35.0,,,8-11,,Defensive rebound by V. Oladipo
7:35.0,Loose ball foul by D. Saric (drawn by V. Oladipo),,8-11,,
7:13.0,,,8-13,2,T. Young makes 2-pt shot from 1 ft (assist by D. Sabonis)
6:57.0,R. Covington makes 2-pt shot from 1 ft (assist by B. Simmons),2,10-13,,
6:37.0,,,10-13,,D. Sabonis misses 2-pt shot from 11 ft
6:35.0,Defensive rebound by J. Embiid,,10-13,,
6:28.0,J. Bayless misses 3-pt shot from 24 ft,,10-13,,
6:23.0,Offensive rebound by J. Bayless,,10-13,,
6:21.0,D. Saric misses 2-pt shot from 2 ft,,10-13,,
6:19.0,,,10-13,,Defensive rebound by D. Sabonis
6:15.0,,,10-13,,V. Oladipo misses 2-pt shot at rim (block by J. Embiid)
6:14.0,,,10-13,,Offensive rebound by D. Sabonis
6:14.0,,,10-13,,Shooting foul by J. Bayless (drawn by D. Sabonis)
6:14.0,,,10-13,,Indiana full timeout
6:14.0,A. Johnson enters the game for J. Embiid,,10-13,,
6:14.0,,,10-14,1,D. Sabonis makes free throw 1 of 2
6:14.0,,,10-15,1,D. Sabonis makes free throw 2 of 2
5:51.0,R. Covington makes 3-pt shot from 26 ft (assist by D. Saric),3,13-15,,
5:51.0,Shooting foul by D. Collison (drawn by R. Covington),,13-15,,
5:51.0,R. Covington makes free throw 1 of 1,1,14-15,,
5:45.0,Personal foul by A. Johnson (drawn by D. Sabonis),,14-15,,
5:34.0,,,14-17,2,D. Collison makes 2-pt shot from 19 ft
5:25.0,A. Johnson makes 2-pt shot from 1 ft (assist by B. Simmons),2,16-17,,
5:01.0,,,16-19,2,T. Young makes 2-pt shot at rim (assist by V. Oladipo)
4:55.0,Philadelphia full timeout,,16-19,,
4:49.0,R. Covington misses 2-pt shot from 7 ft,,16-19,,
4:46.0,,,16-19,,Defensive rebound by B. Bogdanovic
4:31.0,,,16-19,,V. Oladipo misses 2-pt shot from 20 ft
4:29.0,Defensive rebound by R. Covington,,16-19,,
4:20.0,D. Saric misses 2-pt shot from 16 ft,,16-19,,
4:16.0,Offensive rebound by R. Covington,,16-19,,
4:12.0,R. Covington makes 3-pt shot from 25 ft (assist by B. Simmons),3,19-19,,
3:51.0,,,19-22,3,B. Bogdanovic makes 3-pt shot from 23 ft (assist by V. Oladipo)
3:26.0,,,19-22,,Personal block foul by B. Bogdanovic (drawn by B. Simmons)
3:26.0,B. Simmons makes free throw 1 of 2,1,20-22,,
3:26.0,,,20-22,,C. Joseph enters the game for D. Collison
3:26.0,,,20-22,,L. Stephenson enters the game for B. Bogdanovic
3:26.0,J. Anderson enters the game for J. Bayless,,20-22,,
3:26.0,J. Redick enters the game for D. Saric,,20-22,,
3:26.0,J. Embiid enters the game for R. Covington,,20-22,,
3:26.0,T. Booker enters the game for A. Johnson,,20-22,,
3:26.0,B. Simmons misses free throw 2 of 2,,20-22,,
3:25.0,,,20-22,,Defensive rebound by D. Sabonis
3:08.0,,,20-24,2,V. Oladipo makes 2-pt shot from 19 ft (assist by C. Joseph)
2:54.0,J. Embiid makes 2-pt shot from 1 ft (assist by J. Redick),2,22-24,,
2:46.0,,,22-27,3,C. Joseph makes 3-pt shot from 26 ft (assist by V. Oladipo)
2:25.0,J. Redick misses 2-pt shot from 20 ft,,22-27,,
2:23.0,,,22-27,,Defensive rebound by C. Joseph
2:16.0,,,22-27,,L. Stephenson misses 3-pt shot from 26 ft
2:13.0,Defensive rebound by J. Redick,,22-27,,
2:01.0,J. Anderson misses 3-pt shot from 29 ft,,22-27,,
1:59.0,,,22-27,,Defensive rebound by V. Oladipo
1:58.0,Personal take foul by J. Redick (drawn by V. Oladipo),,22-27,,
1:58.0,,,22-28,1,V. Oladipo makes free throw 1 of 2
1:58.0,,,22-28,,A. Jefferson enters the game for T. Young
1:58.0,T. McConnell enters the game for B. Simmons,,22-28,,
1:58.0,,,22-29,1,V. Oladipo makes free throw 2 of 2
1:39.0,J. Embiid makes 2-pt shot from 21 ft (assist by J. Redick),2,24-29,,
1:25.0,,,24-31,2,V. Oladipo makes 2-pt shot from 18 ft
1:03.0,T. McConnell makes 3-pt shot from 22 ft (assist by J. Embiid),3,27-31,,
0:47.0,,,27-31,,V. Oladipo misses 3-pt shot from 25 ft
0:45.0,Defensive rebound by J. Embiid,,27-31,,
0:36.0,J. Embiid misses 3-pt shot from 28 ft,,27-31,,
0:32.0,,,27-31,,Defensive rebound by Team
0:15.0,,,27-33,2,C. Joseph makes 2-pt shot from 8 ft
0:04.0,T. McConnell misses 2-pt shot from 13 ft (block by L. Stephenson),,27-33,,
0:02.0,,,27-33,,Defensive rebound by C. Joseph
