time,Houston,pts.away,score,pts.home,Boston
3:08.0,Defensive rebound by P. Tucker,,92-91,,
2:45.0,J. Harden misses 3-pt shot from 25 ft,,92-91,,
2:42.0,,,92-91,,Defensive rebound by T. Rozier
2:40.0,,,92-91,,Boston full timeout
2:27.0,,,92-91,,Turnover by A. Horford (bad pass; steal by E. Gordon)
2:03.0,J. Harden makes 3-pt shot from 26 ft,3,95-91,,
1:48.0,,,95-93,2,K. Irving makes 2-pt shot from 8 ft
1:34.0,J. Harden misses 2-pt shot from 3 ft,,95-93,,
1:34.0,,,95-93,,Defensive rebound by Team
1:21.0,,,95-93,,K. Irving misses 2-pt shot from 1 ft (block by R. Anderson)
1:20.0,Defensive rebound by P. Tucker,,95-93,,
0:58.0,J. Harden misses 3-pt shot from 26 ft (block by J. Tatum),,95-93,,
0:57.0,,,95-93,,Defensive rebound by A. Horford
0:43.0,,,95-93,,M. Smart misses 3-pt shot from 26 ft
0:38.0,Defensive rebound by J. Harden,,95-93,,
0:29.0,J. Harden misses 3-pt shot from 33 ft,,95-93,,
0:25.0,,,95-93,,Defensive rebound by J. Tatum
0:18.0,,,95-93,,Turnover by K. Irving (lost ball; steal by T. Ariza)
0:18.0,,,95-93,,Personal foul by K. Irving (drawn by P. Tucker)
0:18.0,P. Tucker makes free throw 1 of 2,1,96-93,,
0:18.0,,,96-93,,A. Baynes enters the game for T. Rozier
0:18.0,T. Black enters the game for R. Anderson,,96-93,,
0:18.0,P. Tucker misses free throw 2 of 2,,96-93,,
0:18.0,,,96-93,,Defensive rebound by M. Smart
0:18.0,,,96-93,,Boston full timeout
0:18.0,,,96-93,,T. Rozier enters the game for A. Baynes
0:13.0,,,96-95,2,M. Smart makes 2-pt shot from 1 ft
0:13.0,Houston full timeout,,96-95,,
0:13.0,R. Anderson enters the game for T. Black,,96-95,,
0:13.0,Houston full timeout,,96-95,,
0:11.0,,,96-95,,Personal foul by A. Horford (drawn by J. Harden)
0:11.0,J. Harden makes free throw 1 of 2,1,97-95,,
0:11.0,,,97-95,,A. Baynes enters the game for T. Rozier
0:11.0,J. Harden makes free throw 2 of 2,1,98-95,,
0:11.0,,,98-95,,Boston full timeout
0:11.0,,,98-95,,T. Rozier enters the game for A. Baynes
0:11.0,T. Black enters the game for R. Anderson,,98-95,,
0:07.0,,,98-97,2,J. Tatum makes 2-pt shot at rim (assist by M. Smart)
0:07.0,Offensive foul by J. Harden (drawn by M. Smart),,98-97,,
0:07.0,Turnover by J. Harden (offensive foul),,98-97,,
0:03.0,,,98-99,2,A. Horford makes 2-pt shot from 4 ft
0:03.0,Offensive foul by J. Harden (drawn by M. Smart),,98-99,,
0:03.0,Turnover by J. Harden (offensive foul),,98-99,,
0:02.0,Personal foul by T. Black (drawn by A. Horford),,98-99,,
0:02.0,,,98-99,,A. Horford misses free throw 1 of 2
0:02.0,,,98-99,,Offensive rebound by Team
0:02.0,,,98-99,,A. Horford misses free throw 2 of 2
0:00.0,Defensive rebound by E. Gordon,,98-99,,
0:00.0,E. Gordon misses 3-pt shot from 59 ft,,98-99,,
0:00.0,Offensive rebound by Team,,98-99,,
