time,Houston,pts.away,score,pts.home,Boston
1:48.0,,,28-12,,T. Rozier misses 3-pt shot from 26 ft
1:46.0,Defensive rebound by J. Harden,,28-12,,
1:37.0,G. Green misses 2-pt shot at rim,,28-12,,
1:36.0,,,28-12,,Defensive rebound by D. Theis
1:23.0,,,28-12,,M. Morris misses 2-pt shot from 11 ft
1:23.0,Defensive rebound by P. Tucker,,28-12,,
1:05.0,J. Harden makes 3-pt shot from 27 ft,3,31-12,,
0:44.0,,,31-12,,M. Morris misses 3-pt shot from 24 ft
0:41.0,Defensive rebound by Team,,31-12,,
0:41.0,E. Gordon enters the game for B. Weber,,31-12,,
0:32.0,E. Gordon misses 2-pt shot from 2 ft,,31-12,,
0:31.0,Offensive rebound by T. Black,,31-12,,
0:31.0,Shooting foul by T. Rozier (drawn by T. Black),,31-12,,
0:31.0,T. Black misses free throw 1 of 2,,31-12,,
0:31.0,Offensive rebound by Team,,31-12,,
0:31.0,T. Black makes free throw 2 of 2,1,32-12,,
0:15.0,,,32-12,,D. Theis misses 2-pt shot from 7 ft
0:11.0,Defensive rebound by P. Tucker,,32-12,,
0:01.0,Turnover by J. Harden (out of bounds lost ball),,32-12,,
0:01.0,,,32-12,,M. Morris misses 3-pt shot from 59 ft
0:01.0,,,32-12,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,,,32-14,2,S. Larkin makes 2-pt shot from 1 ft
11:31.0,Turnover by T. Black (out of bounds lost ball),,32-14,,
11:16.0,,,32-14,,Shooting foul by G. Green (drawn by J. Tatum)
11:16.0,,,32-14,,J. Tatum misses free throw 1 of 2
11:16.0,,,32-14,,Offensive rebound by Team
11:16.0,T. Ariza enters the game for G. Green,,32-14,,
11:16.0,R. Anderson enters the game for T. Black,,32-14,,
11:16.0,,,32-15,1,J. Tatum makes free throw 2 of 2
11:04.0,E. Gordon misses 3-pt shot from 28 ft,,32-15,,
11:00.0,,,32-15,,Defensive rebound by M. Morris
10:46.0,,,32-15,,A. Horford misses 2-pt shot from 3 ft
10:44.0,Defensive rebound by R. Anderson,,32-15,,
10:21.0,E. Gordon makes 2-pt shot from 1 ft,2,34-15,,
10:07.0,,,34-15,,M. Smart misses 2-pt shot from 8 ft
10:04.0,Defensive rebound by R. Anderson,,34-15,,
9:54.0,E. Gordon makes 2-pt shot from 4 ft,2,36-15,,
9:26.0,,,36-15,,M. Morris misses 2-pt shot from 2 ft
9:24.0,Defensive rebound by B. Weber,,36-15,,
9:22.0,E. Gordon makes 3-pt shot from 27 ft (assist by B. Weber),3,39-15,,
9:21.0,,,39-15,,Boston full timeout
9:21.0,,,39-15,,K. Irving enters the game for M. Smart
9:01.0,,,39-15,,S. Larkin misses 3-pt shot from 24 ft
8:59.0,Defensive rebound by P. Tucker,,39-15,,
8:46.0,R. Anderson makes 2-pt shot from 16 ft,2,41-15,,
8:29.0,,,41-15,,Offensive charge foul by M. Morris (drawn by P. Tucker)
8:29.0,,,41-15,,Turnover by M. Morris (offensive foul)
8:29.0,,,41-15,,A. Nader enters the game for M. Morris
8:14.0,Turnover by P. Tucker (out of bounds lost ball),,41-15,,
8:06.0,,,41-17,2,K. Irving makes 2-pt shot from 8 ft
7:52.0,P. Tucker misses 3-pt shot from 26 ft,,41-17,,
7:47.0,,,41-17,,Defensive rebound by A. Nader
7:45.0,Personal foul by P. Tucker (drawn by A. Horford),,41-17,,
7:39.0,,,41-19,2,K. Irving makes 2-pt shot from 2 ft (assist by A. Horford)
7:26.0,T. Ariza makes 3-pt shot from 25 ft (assist by R. Anderson),3,44-19,,
7:09.0,,,44-21,2,J. Tatum makes 2-pt shot from 2 ft (assist by K. Irving)
6:52.0,E. Gordon makes 2-pt shot from 14 ft,2,46-21,,
6:29.0,,,46-24,3,A. Nader makes 3-pt shot from 23 ft (assist by S. Larkin)
6:09.0,E. Gordon misses 3-pt shot from 25 ft,,46-24,,
6:09.0,,,46-24,,Defensive rebound by S. Larkin
5:59.0,,,46-24,,A. Horford misses 2-pt shot from 3 ft
5:57.0,Defensive rebound by P. Tucker,,46-24,,
5:51.0,E. Gordon misses 3-pt shot from 28 ft,,46-24,,
5:47.0,Offensive rebound by B. Weber,,46-24,,
5:47.0,,,46-24,,Personal foul by S. Larkin (drawn by B. Weber)
5:47.0,J. Harden enters the game for B. Weber,,46-24,,
5:32.0,E. Gordon makes 3-pt shot from 23 ft (assist by J. Harden),3,49-24,,
5:13.0,,,49-24,,Shooting foul by J. Harden (drawn by J. Tatum)
