time,New York,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Henson vs. K. Porzingis (E. Kanter gains possession),,,,Jump ball: J. Henson vs. K. Porzingis (E. Kanter gains possession)
11:44.0,K. Porzingis misses 2-pt shot from 2 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by J. Henson
11:24.0,,,0-0,,G. Antetokounmpo misses 2-pt shot from 1 ft
11:22.0,Defensive rebound by K. Porzingis,,0-0,,
11:18.0,J. Jack misses 2-pt shot from 15 ft,,0-0,,
11:14.0,Offensive rebound by E. Kanter,,0-0,,
11:13.0,,,0-0,,Personal foul by K. Middleton (drawn by C. Lee)
11:03.0,Turnover by E. Kanter (traveling),,0-0,,
10:53.0,,,0-2,2,E. Bledsoe makes 2-pt shot from 20 ft (assist by J. Henson)
10:28.0,Offensive charge foul by K. Porzingis (drawn by E. Bledsoe),,0-2,,
10:28.0,Turnover by K. Porzingis (offensive foul),,0-2,,
10:16.0,,,0-2,,E. Bledsoe misses 2-pt shot from 8 ft
10:14.0,Defensive rebound by K. Porzingis,,0-2,,
10:00.0,J. Jack makes 3-pt shot from 26 ft (assist by C. Lee),3,3-2,,
9:43.0,,,3-4,2,G. Antetokounmpo makes 2-pt shot at rim
9:20.0,E. Kanter misses 2-pt shot from 4 ft,,3-4,,
9:17.0,,,3-4,,Defensive rebound by G. Antetokounmpo
9:07.0,,,3-6,2,K. Middleton makes 2-pt shot from 18 ft
8:55.0,C. Lee makes 2-pt shot from 14 ft (assist by E. Kanter),2,5-6,,
8:35.0,,,5-8,2,G. Antetokounmpo makes 2-pt shot from 10 ft
8:24.0,K. Porzingis makes 3-pt shot from 27 ft (assist by J. Jack),3,8-8,,
8:08.0,,,8-8,,G. Antetokounmpo misses 2-pt shot from 2 ft
8:05.0,Defensive rebound by J. Jack,,8-8,,
8:02.0,Turnover by J. Jack (lost ball; steal by E. Bledsoe),,8-8,,
7:57.0,,,8-10,2,E. Bledsoe makes 2-pt shot at rim
7:45.0,K. Porzingis makes 2-pt shot from 2 ft (assist by J. Jack),2,10-10,,
7:45.0,,,10-10,,Violation by J. Henson (def goaltending)
7:25.0,,,10-10,,Turnover by K. Middleton (lost ball; steal by J. Jack)
7:20.0,T. Hardaway makes 2-pt shot from 1 ft (assist by J. Jack),2,12-10,,
7:08.0,,,12-10,,T. Snell misses 2-pt shot from 10 ft
7:05.0,Defensive rebound by E. Kanter,,12-10,,
7:00.0,E. Kanter makes 2-pt shot from 1 ft (assist by J. Jack),2,14-10,,
7:00.0,Shooting foul by G. Antetokounmpo (drawn by E. Kanter),,14-10,,
7:00.0,E. Kanter makes free throw 1 of 1,1,15-10,,
6:47.0,,,15-12,2,T. Snell makes 2-pt shot from 1 ft (assist by E. Bledsoe)
6:25.0,T. Hardaway misses 2-pt shot from 17 ft,,15-12,,
