time,New York,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Chriss vs. K. Porzingis (E. Kanter gains possession),,,,Jump ball: M. Chriss vs. K. Porzingis (E. Kanter gains possession)
11:45.0,Shooting foul by M. Chriss (drawn by K. Porzingis),,0-0,,
11:45.0,K. Porzingis makes free throw 1 of 2,1,1-0,,
11:45.0,K. Porzingis makes free throw 2 of 2,1,2-0,,
11:32.0,,,2-0,,G. Monroe misses 2-pt shot from 1 ft (block by K. Porzingis)
11:29.0,Defensive rebound by K. Porzingis,,2-0,,
11:20.0,E. Kanter makes 2-pt shot from 1 ft,2,4-0,,
11:20.0,Shooting foul by T. Warren (drawn by E. Kanter),,4-0,,
11:20.0,E. Kanter makes free throw 1 of 1,1,5-0,,
10:58.0,,,5-0,,M. Chriss misses 2-pt shot from 1 ft
10:56.0,Defensive rebound by T. Hardaway,,5-0,,
10:52.0,E. Kanter makes 2-pt shot at rim (assist by C. Lee),2,7-0,,
10:32.0,,,7-3,3,M. Chriss makes 3-pt shot from 22 ft (assist by D. Booker)
10:19.0,J. Jack makes 2-pt shot at rim,2,9-3,,
9:58.0,,,9-3,,M. Chriss misses 3-pt shot from 26 ft
9:55.0,Defensive rebound by J. Jack,,9-3,,
9:50.0,E. Kanter makes 2-pt shot from 1 ft (assist by J. Jack),2,11-3,,
9:38.0,,,11-3,,T. Daniels misses 3-pt shot from 26 ft
9:35.0,,,11-3,,Offensive rebound by M. Chriss
9:34.0,,,11-3,,M. Chriss misses 2-pt shot at rim
9:30.0,,,11-3,,Offensive rebound by D. Booker
9:30.0,,,11-5,2,D. Booker makes 2-pt shot at rim
9:19.0,E. Kanter makes 2-pt shot at rim (assist by J. Jack),2,13-5,,
9:19.0,Shooting foul by G. Monroe (drawn by E. Kanter),,13-5,,
9:19.0,E. Kanter makes free throw 1 of 1,1,14-5,,
9:08.0,,,14-5,,D. Booker misses 2-pt shot at rim
9:06.0,Defensive rebound by K. Porzingis,,14-5,,
9:03.0,Turnover by C. Lee (bad pass),,14-5,,
