time,Brooklyn,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Valanciunas vs. T. Zeller (O. Anunoby gains possession),,,,Jump ball: J. Valanciunas vs. T. Zeller (O. Anunoby gains possession)
11:45.0,,,0-2,2,D. DeRozan makes 2-pt shot from 11 ft
11:29.0,R. Hollis-Jefferson misses 2-pt shot from 16 ft,,0-2,,
11:27.0,,,0-2,,Defensive rebound by K. Lowry
11:19.0,,,0-2,,Turnover by S. Ibaka (bad pass)
11:04.0,C. LeVert misses 2-pt shot from 18 ft,,0-2,,
11:01.0,,,0-2,,Defensive rebound by K. Lowry
10:58.0,,,0-2,,Turnover by K. Lowry (bad pass)
10:49.0,S. Dinwiddie misses 3-pt shot from 26 ft,,0-2,,
10:47.0,,,0-2,,Defensive rebound by S. Ibaka
10:40.0,,,0-4,2,D. DeRozan makes 2-pt shot from 14 ft
10:25.0,J. Harris makes 2-pt shot from 1 ft (assist by S. Dinwiddie),2,2-4,,
10:10.0,,,2-6,2,J. Valanciunas makes 2-pt shot from 20 ft (assist by S. Ibaka)
9:54.0,T. Zeller misses 2-pt shot from 1 ft,,2-6,,
9:49.0,Offensive rebound by R. Hollis-Jefferson,,2-6,,
9:49.0,R. Hollis-Jefferson makes 2-pt shot at rim,2,4-6,,
9:41.0,,,4-6,,J. Valanciunas misses 2-pt shot from 1 ft
9:39.0,Defensive rebound by S. Dinwiddie,,4-6,,
9:37.0,J. Harris makes 2-pt shot from 1 ft (assist by S. Dinwiddie),2,6-6,,
9:21.0,Personal foul by S. Dinwiddie (drawn by K. Lowry),,6-6,,
9:12.0,,,6-8,2,D. DeRozan makes 2-pt shot from 15 ft
8:58.0,R. Hollis-Jefferson makes 2-pt shot from 1 ft (assist by C. LeVert),2,8-8,,
8:42.0,,,8-8,,J. Valanciunas misses 2-pt shot from 4 ft
8:39.0,Defensive rebound by T. Zeller,,8-8,,
8:33.0,T. Zeller misses 2-pt shot from 2 ft (block by J. Valanciunas),,8-8,,
8:31.0,,,8-8,,Defensive rebound by S. Ibaka
8:24.0,,,8-10,2,S. Ibaka makes 2-pt shot from 19 ft (assist by D. DeRozan)
8:05.0,Turnover by C. LeVert (bad pass; steal by K. Lowry),,8-10,,
