time,Utah,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: H. Whiteside vs. D. Favors (G. Dragic gains possession),,,,Jump ball: H. Whiteside vs. D. Favors (G. Dragic gains possession)
11:44.0,,,0-2,2,K. Olynyk makes 2-pt shot at rim (assist by J. Richardson)
11:32.0,D. Mitchell misses 2-pt shot from 2 ft,,0-2,,
11:30.0,,,0-2,,Defensive rebound by Team
11:06.0,,,0-2,,T. Johnson misses 2-pt shot from 9 ft
11:04.0,Defensive rebound by J. Ingles,,0-2,,
10:50.0,D. Favors makes 2-pt shot from 6 ft (assist by R. Rubio),2,2-2,,
10:41.0,,,2-2,,Shooting foul by J. Ingles (drawn by J. Richardson)
10:41.0,,,2-3,1,J. Richardson makes free throw 1 of 2
10:41.0,,,2-3,,J. Richardson misses free throw 2 of 2
10:38.0,Defensive rebound by D. Favors,,2-3,,
10:18.0,T. Sefolosha makes 3-pt shot from 22 ft,3,5-3,,
10:01.0,,,5-5,2,J. Richardson makes 2-pt shot from 20 ft
9:46.0,D. Favors misses 2-pt shot from 1 ft (block by H. Whiteside),,5-5,,
9:46.0,Offensive rebound by Team,,5-5,,
9:40.0,D. Mitchell misses 3-pt shot from 25 ft,,5-5,,
9:37.0,,,5-5,,Defensive rebound by H. Whiteside
9:16.0,,,5-8,3,T. Johnson makes 3-pt shot from 26 ft (assist by K. Olynyk)
8:53.0,D. Favors misses 2-pt shot from 12 ft (block by H. Whiteside),,5-8,,
8:50.0,Offensive rebound by D. Favors,,5-8,,
8:48.0,R. Rubio misses 3-pt shot from 24 ft,,5-8,,
8:45.0,Offensive rebound by T. Sefolosha,,5-8,,
8:43.0,,,5-8,,Violation by H. Whiteside (kicked ball)
8:33.0,J. Ingles misses 2-pt shot from 9 ft,,5-8,,
8:31.0,Offensive rebound by J. Ingles,,5-8,,
8:23.0,Turnover by R. Rubio (bad pass),,5-8,,
8:11.0,,,5-10,2,T. Johnson makes 2-pt shot from 8 ft (assist by G. Dragic)
7:56.0,D. Mitchell misses 2-pt shot from 16 ft,,5-10,,
7:55.0,Offensive rebound by D. Favors,,5-10,,
7:55.0,D. Favors makes 2-pt shot at rim,2,7-10,,
7:27.0,,,7-10,,G. Dragic misses 2-pt shot from 7 ft
7:24.0,,,7-10,,Offensive rebound by H. Whiteside
7:24.0,,,7-12,2,H. Whiteside makes 2-pt shot at rim
7:16.0,D. Favors misses 2-pt shot from 1 ft,,7-12,,
7:16.0,,,7-12,,Defensive rebound by J. Richardson
7:05.0,Personal foul by R. Rubio (drawn by J. Richardson),,7-12,,
6:57.0,,,7-14,2,H. Whiteside makes 2-pt shot from 6 ft
6:44.0,D. Mitchell misses 3-pt shot from 25 ft,,7-14,,
6:42.0,,,7-14,,Defensive rebound by H. Whiteside
6:33.0,,,7-14,,G. Dragic misses 2-pt shot from 7 ft
6:30.0,Defensive rebound by D. Favors,,7-14,,
6:25.0,D. Favors makes 2-pt shot from 1 ft (assist by T. Sefolosha),2,9-14,,
6:09.0,,,9-16,2,J. Richardson makes 2-pt shot from 12 ft (assist by G. Dragic)
6:09.0,Utah full timeout,,9-16,,
6:09.0,,,9-16,,W. Ellington enters the game for J. Richardson
6:09.0,R. Hood enters the game for R. Rubio,,9-16,,
5:55.0,D. Mitchell misses 2-pt shot from 1 ft (block by H. Whiteside),,9-16,,
5:51.0,Offensive rebound by T. Sefolosha,,9-16,,
5:49.0,Turnover by T. Sefolosha (lost ball; steal by K. Olynyk),,9-16,,
5:46.0,J. Johnson enters the game for T. Sefolosha,,9-16,,
5:39.0,,,9-16,,G. Dragic misses 3-pt shot from 23 ft
5:35.0,Defensive rebound by J. Johnson,,9-16,,
5:26.0,R. Hood makes 2-pt shot from 10 ft,2,11-16,,
5:08.0,,,11-16,,Turnover by G. Dragic (bad pass; steal by J. Ingles)
5:03.0,J. Ingles makes 3-pt shot from 25 ft,3,14-16,,
4:48.0,,,14-16,,T. Johnson misses 3-pt shot from 26 ft
4:46.0,Defensive rebound by J. Johnson,,14-16,,
4:27.0,D. Mitchell makes 3-pt shot from 27 ft (assist by R. Hood),3,17-16,,
4:26.0,,,17-16,,Miami full timeout
4:26.0,,,17-16,,J. Johnson enters the game for H. Whiteside
4:12.0,,,17-16,,Turnover by W. Ellington (bad pass; steal by D. Mitchell)
3:58.0,R. Hood misses 2-pt shot from 17 ft,,17-16,,
3:57.0,,,17-16,,Defensive rebound by J. Johnson
3:41.0,,,17-16,,J. Johnson misses 3-pt shot from 23 ft
3:39.0,Defensive rebound by J. Johnson,,17-16,,
3:30.0,D. Mitchell misses 3-pt shot from 23 ft,,17-16,,
3:30.0,,,17-16,,Defensive rebound by W. Ellington
3:11.0,,,17-18,2,G. Dragic makes 2-pt shot from 1 ft
2:47.0,D. Favors misses 2-pt shot from 21 ft,,17-18,,
2:44.0,,,17-18,,Defensive rebound by J. Johnson
2:37.0,,,17-21,3,W. Ellington makes 3-pt shot from 25 ft (assist by J. Johnson)
2:25.0,,,17-21,,Personal foul by J. Johnson (drawn by D. Favors)
2:25.0,,,17-21,,J. Richardson enters the game for G. Dragic
2:25.0,R. Rubio enters the game for J. Ingles,,17-21,,
2:25.0,E. Udoh enters the game for D. Favors,,17-21,,
2:25.0,A. Burks enters the game for D. Mitchell,,17-21,,
2:17.0,J. Johnson makes 3-pt shot from 25 ft (assist by R. Rubio),3,20-21,,
1:51.0,,,20-21,,K. Olynyk misses 2-pt shot from 12 ft
1:48.0,Defensive rebound by J. Johnson,,20-21,,
1:34.0,J. Johnson makes 2-pt shot from 9 ft,2,22-21,,
1:14.0,,,22-21,,J. Johnson misses 2-pt shot from 1 ft (block by J. Johnson)
1:14.0,,,22-21,,Offensive rebound by Team
1:07.0,,,22-23,2,K. Olynyk makes 2-pt shot from 2 ft
0:44.0,A. Burks misses 3-pt shot from 24 ft,,22-23,,
0:43.0,,,22-23,,Defensive rebound by J. Johnson
0:27.0,,,22-25,2,J. Johnson makes 2-pt shot from 1 ft
0:08.0,R. Hood misses 3-pt shot from 26 ft,,22-25,,
0:08.0,,,22-25,,Defensive rebound by T. Johnson
0:02.0,,,22-27,2,T. Johnson makes 2-pt shot at rim
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,R. Hood makes 2-pt shot from 11 ft,2,24-27,,
11:43.0,Shooting foul by W. Ellington (drawn by R. Hood),,24-27,,
11:43.0,R. Hood misses free throw 1 of 1,,24-27,,
11:39.0,,,24-27,,Defensive rebound by J. Johnson
11:22.0,,,24-27,,J. Richardson misses 2-pt shot from 17 ft
11:20.0,Defensive rebound by R. Hood,,24-27,,
11:08.0,R. Rubio misses 2-pt shot from 1 ft,,24-27,,
11:06.0,,,24-27,,Defensive rebound by J. Johnson
10:49.0,,,24-27,,J. Richardson misses 3-pt shot from 25 ft
10:47.0,,,24-27,,Offensive rebound by B. Adebayo
10:37.0,,,24-29,2,J. Johnson makes 2-pt shot from 1 ft (assist by J. Richardson)
10:20.0,J. Johnson misses 3-pt shot from 24 ft,,24-29,,
10:18.0,,,24-29,,Defensive rebound by D. Jones
10:00.0,,,24-31,2,D. Jones makes 2-pt shot from 6 ft
9:43.0,Shooting foul by W. Ellington (drawn by A. Burks),,24-31,,
9:43.0,A. Burks makes free throw 2 of 2,1,25-31,,
9:43.0,A. Burks makes free throw 1 of 2,1,26-31,,
9:43.0,T. Sefolosha enters the game for J. Johnson,,26-31,,
9:30.0,,,26-34,3,D. Jones makes 3-pt shot from 23 ft (assist by J. Johnson)
9:11.0,A. Burks makes 2-pt shot from 1 ft (assist by R. Rubio),2,28-34,,
8:45.0,,,28-34,,Turnover by J. Richardson (bad pass; steal by T. Sefolosha)
8:41.0,,,28-34,,Shooting block foul by D. Jones (drawn by R. Rubio)
8:41.0,R. Rubio makes free throw 1 of 2,1,29-34,,
8:41.0,R. Rubio makes free throw 2 of 2,1,30-34,,
8:26.0,,,30-37,3,W. Ellington makes 3-pt shot from 25 ft (assist by J. Richardson)
8:10.0,R. Rubio misses 2-pt shot from 19 ft,,30-37,,
8:06.0,,,30-37,,Defensive rebound by B. Adebayo
7:56.0,,,30-37,,Shooting foul by E. Udoh (drawn by B. Adebayo)
7:56.0,,,30-38,1,B. Adebayo makes free throw 1 of 2
7:56.0,D. Mitchell enters the game for R. Rubio,,30-38,,
7:56.0,,,30-39,1,B. Adebayo makes free throw 2 of 2
7:42.0,R. Hood misses 3-pt shot from 25 ft,,30-39,,
7:39.0,,,30-39,,Defensive rebound by J. Johnson
7:37.0,Personal foul by A. Burks (drawn by B. Adebayo),,30-39,,
7:37.0,J. Ingles enters the game for R. Hood,,30-39,,
7:31.0,,,30-39,,Offensive charge foul by B. Adebayo (drawn by E. Udoh)
7:31.0,,,30-39,,Turnover by B. Adebayo (offensive foul)
7:06.0,A. Burks misses 3-pt shot from 25 ft,,30-39,,
7:04.0,,,30-39,,Defensive rebound by Team
6:54.0,,,30-39,,W. Ellington misses 3-pt shot from 24 ft
6:52.0,Defensive rebound by T. Sefolosha,,30-39,,
6:42.0,,,30-39,,Violation by J. Johnson (kicked ball)
6:42.0,,,30-39,,Miami full timeout
6:42.0,R. Rubio enters the game for A. Burks,,30-39,,
6:42.0,D. Favors enters the game for E. Udoh,,30-39,,
6:32.0,D. Mitchell makes 2-pt shot from 11 ft,2,32-39,,
6:20.0,,,32-39,,Turnover by J. Johnson (bad pass; steal by T. Sefolosha)
6:13.0,T. Sefolosha makes 2-pt shot from 1 ft,2,34-39,,
5:56.0,,,34-39,,J. Johnson misses 2-pt shot from 20 ft
5:54.0,Defensive rebound by D. Favors,,34-39,,
5:41.0,D. Mitchell makes 3-pt shot from 25 ft,3,37-39,,
5:23.0,,,37-41,2,B. Adebayo makes 2-pt shot at rim (assist by J. Richardson)
5:23.0,,,37-41,,Shooting foul by J. Ingles (drawn by B. Adebayo)
5:23.0,,,37-41,,G. Dragic enters the game for J. Richardson
5:23.0,,,37-41,,T. Johnson enters the game for D. Jones
5:23.0,,,37-41,,B. Adebayo misses free throw 1 of 1
5:18.0,Defensive rebound by T. Sefolosha,,37-41,,
5:11.0,J. Ingles makes 3-pt shot from 25 ft (assist by R. Rubio),3,40-41,,
4:57.0,,,40-43,2,J. Johnson makes 2-pt shot from 1 ft
4:44.0,Turnover by R. Rubio (bad pass; steal by W. Ellington),,40-43,,
4:42.0,Personal foul by T. Sefolosha (drawn by W. Ellington),,40-43,,
4:42.0,,,40-43,,H. Whiteside enters the game for B. Adebayo
4:42.0,R. Hood enters the game for R. Rubio,,40-43,,
4:26.0,,,40-45,2,H. Whiteside makes 2-pt shot at rim (assist by J. Johnson)
4:01.0,J. Ingles misses 3-pt shot from 27 ft,,40-45,,
4:01.0,,,40-45,,Defensive rebound by Team
3:48.0,,,40-45,,H. Whiteside misses 2-pt shot from 17 ft
3:46.0,Defensive rebound by R. Hood,,40-45,,
3:30.0,D. Mitchell misses 3-pt shot from 25 ft,,40-45,,
3:30.0,,,40-45,,Defensive rebound by G. Dragic
3:16.0,,,40-45,,G. Dragic misses 3-pt shot from 25 ft
3:14.0,Defensive rebound by D. Favors,,40-45,,
3:09.0,Utah full timeout,,40-45,,
3:09.0,,,40-45,,K. Olynyk enters the game for J. Johnson
3:09.0,J. Johnson enters the game for T. Sefolosha,,40-45,,
2:53.0,J. Ingles makes 3-pt shot from 25 ft (assist by D. Mitchell),3,43-45,,
2:35.0,,,43-45,,H. Whiteside misses 2-pt shot from 8 ft
2:32.0,Defensive rebound by D. Favors,,43-45,,
2:17.0,Turnover by J. Johnson (bad pass; steal by W. Ellington),,43-45,,
2:02.0,,,43-47,2,K. Olynyk makes 2-pt shot from 1 ft
2:02.0,Violation by D. Favors (def goaltending),,43-47,,
1:45.0,D. Mitchell misses 2-pt shot from 14 ft,,43-47,,
1:44.0,Offensive rebound by D. Favors,,43-47,,
1:39.0,J. Ingles misses 3-pt shot from 25 ft,,43-47,,
1:37.0,Offensive rebound by D. Favors,,43-47,,
1:25.0,R. Hood makes 2-pt shot from 5 ft,2,45-47,,
1:10.0,,,45-47,,W. Ellington misses 2-pt shot from 19 ft
1:08.0,Defensive rebound by R. Hood,,45-47,,
0:56.0,D. Favors makes 2-pt shot from 2 ft (assist by R. Hood),2,47-47,,
0:45.0,,,47-47,,Turnover by G. Dragic (bad pass; steal by D. Favors)
0:26.0,D. Mitchell misses 2-pt shot from 1 ft (block by H. Whiteside),,47-47,,
0:26.0,Offensive rebound by Team,,47-47,,
0:26.0,,,47-47,,J. Richardson enters the game for W. Ellington
0:26.0,Turnover by J. Johnson (step out of bounds),,47-47,,
0:03.0,,,47-47,,K. Olynyk misses 2-pt shot from 1 ft (block by D. Favors)
0:03.0,,,47-47,,Offensive rebound by H. Whiteside
0:02.0,,,47-47,,Shooting foul by D. Mitchell (drawn by H. Whiteside)
0:02.0,,,47-48,1,H. Whiteside makes free throw 1 of 2
0:02.0,,,47-48,,J. Johnson enters the game for K. Olynyk
0:02.0,,,47-49,1,H. Whiteside makes free throw 2 of 2
0:01.0,D. Favors misses 3-pt shot from 43 ft,,47-49,,
0:00.0,Offensive rebound by Team,,47-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,D. Mitchell makes 2-pt shot at rim (assist by R. Rubio),2,49-49,,
11:17.0,,,49-51,2,J. Richardson makes 2-pt shot from 19 ft (assist by K. Olynyk)
11:04.0,D. Mitchell makes 2-pt shot from 17 ft,2,51-51,,
10:42.0,,,51-54,3,G. Dragic makes 3-pt shot from 24 ft (assist by T. Johnson)
10:32.0,Turnover by T. Sefolosha (bad pass; steal by J. Richardson),,51-54,,
10:24.0,,,51-54,,J. Richardson misses 2-pt shot from 17 ft
10:21.0,Defensive rebound by D. Mitchell,,51-54,,
10:19.0,D. Mitchell makes 2-pt shot from 1 ft,2,53-54,,
10:04.0,,,53-54,,H. Whiteside misses 2-pt shot from 1 ft (block by J. Ingles)
10:01.0,Defensive rebound by J. Ingles,,53-54,,
9:57.0,D. Mitchell makes 3-pt shot from 25 ft (assist by J. Ingles),3,56-54,,
9:43.0,,,56-54,,H. Whiteside misses 2-pt shot from 5 ft
9:39.0,Defensive rebound by D. Favors,,56-54,,
9:33.0,Turnover by D. Favors (lost ball; steal by J. Richardson),,56-54,,
9:30.0,Personal foul by D. Mitchell (drawn by G. Dragic),,56-54,,
9:19.0,,,56-56,2,G. Dragic makes 2-pt shot from 1 ft
9:19.0,,,56-56,,Shooting foul by R. Rubio (drawn by G. Dragic)
