time,Utah,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. R. Gobert (B. Griffin gains possession),,,,Jump ball: D. Jordan vs. R. Gobert (B. Griffin gains possession)
11:42.0,,,0-0,,D. Jordan misses 2-pt shot from 2 ft
11:39.0,Defensive rebound by R. Rubio,,0-0,,
11:34.0,R. Rubio makes 2-pt shot from 13 ft,2,2-0,,
11:20.0,,,2-0,,Turnover by P. Beverley (bad pass)
11:06.0,R. Rubio misses 2-pt shot from 16 ft,,2-0,,
11:04.0,,,2-0,,Defensive rebound by D. Jordan
10:57.0,,,2-2,2,A. Rivers makes 2-pt shot from 1 ft
10:57.0,,,2-2,,Shooting foul by D. Mitchell (drawn by A. Rivers)
10:57.0,,,2-2,,A. Rivers misses free throw 1 of 1
10:54.0,Defensive rebound by R. Gobert,,2-2,,
10:42.0,D. Mitchell misses 3-pt shot from 25 ft,,2-2,,
10:38.0,,,2-2,,Defensive rebound by D. Jordan
10:31.0,Personal foul by J. Ingles (drawn by D. Jordan),,2-2,,
10:27.0,,,2-2,,P. Beverley misses 2-pt shot from 1 ft
10:24.0,Defensive rebound by R. Gobert,,2-2,,
10:18.0,R. Rubio makes 2-pt shot from 10 ft,2,4-2,,
10:04.0,,,4-2,,D. Jordan misses 2-pt shot at rim
10:04.0,,,4-2,,Offensive rebound by D. Jordan
9:57.0,,,4-4,2,D. Jordan makes 2-pt shot at rim
9:35.0,D. Mitchell misses 3-pt shot from 27 ft,,4-4,,
9:32.0,,,4-4,,Defensive rebound by D. Gallinari
9:22.0,,,4-6,2,P. Beverley makes 2-pt shot from 8 ft
9:11.0,Turnover by J. Ingles (bad pass),,4-6,,
8:50.0,,,4-9,3,P. Beverley makes 3-pt shot from 25 ft (assist by A. Rivers)
8:25.0,D. Mitchell makes 2-pt shot from 1 ft (assist by J. Ingles),2,6-9,,
8:10.0,,,6-9,,A. Rivers misses 3-pt shot from 22 ft
8:08.0,Defensive rebound by D. Favors,,6-9,,
7:50.0,,,6-9,,Personal foul by B. Griffin (drawn by R. Rubio)
7:35.0,R. Rubio makes 2-pt shot from 20 ft,2,8-9,,
7:09.0,,,8-9,,D. Jordan misses 2-pt shot from 4 ft (block by R. Gobert)
7:05.0,Defensive rebound by D. Mitchell,,8-9,,
7:02.0,Turnover by D. Mitchell (bad pass; steal by D. Gallinari),,8-9,,
7:01.0,Personal foul by R. Rubio (drawn by B. Griffin),,8-9,,
6:52.0,,,8-9,,D. Gallinari misses 2-pt shot from 16 ft
6:49.0,Defensive rebound by R. Rubio,,8-9,,
6:45.0,R. Rubio makes 2-pt shot from 15 ft,2,10-9,,
6:28.0,,,10-9,,B. Griffin misses 3-pt shot from 26 ft
6:26.0,,,10-9,,Offensive rebound by D. Jordan
6:26.0,,,10-9,,Shooting foul by R. Gobert (drawn by D. Jordan)
6:26.0,,,10-9,,LA Clippers full timeout
6:26.0,A. Burks enters the game for D. Mitchell,,10-9,,
6:26.0,,,10-9,,D. Jordan misses free throw 1 of 1
6:26.0,,,10-9,,Offensive rebound by Team
6:26.0,,,10-9,,Turnover by P. Beverley (turnover)
6:08.0,J. Ingles makes 3-pt shot from 24 ft (assist by A. Burks),3,13-9,,
