time,Charlotte,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Plumlee vs. D. Howard (K. Walker gains possession),,,,Jump ball: M. Plumlee vs. D. Howard (K. Walker gains possession)
11:41.0,D. Howard makes 2-pt shot from 8 ft,2,2-0,,
11:22.0,,,2-0,,E. Ilyasova misses 2-pt shot from 22 ft
11:20.0,Defensive rebound by K. Walker,,2-0,,
11:14.0,F. Kaminsky misses 2-pt shot from 17 ft,,2-0,,
11:10.0,,,2-0,,Defensive rebound by K. Bazemore
10:48.0,,,2-0,,M. Plumlee misses 2-pt shot from 10 ft
10:48.0,,,2-0,,Offensive rebound by Team
10:48.0,,,2-0,,Turnover by Team (shot clock)
10:35.0,D. Howard makes 2-pt shot at rim (assist by N. Batum),2,4-0,,
10:19.0,,,4-2,2,D. Schroder makes 2-pt shot from 12 ft
10:00.0,M. Kidd-Gilchrist makes 2-pt shot from 14 ft,2,6-2,,
9:45.0,,,6-2,,D. Schroder misses 3-pt shot from 24 ft
9:43.0,Defensive rebound by D. Howard,,6-2,,
9:30.0,M. Kidd-Gilchrist misses 2-pt shot from 12 ft,,6-2,,
9:27.0,,,6-2,,Defensive rebound by E. Ilyasova
9:19.0,,,6-2,,T. Waller-Prince misses 3-pt shot from 22 ft
9:16.0,,,6-2,,Offensive rebound by E. Ilyasova
9:15.0,,,6-5,3,E. Ilyasova makes 3-pt shot from 25 ft
8:51.0,D. Howard misses 2-pt shot from 13 ft,,6-5,,
8:50.0,Offensive rebound by Team,,6-5,,
8:44.0,F. Kaminsky makes 2-pt shot from 1 ft (assist by K. Walker),2,8-5,,
8:20.0,,,8-7,2,E. Ilyasova makes 2-pt shot from 2 ft (assist by T. Waller-Prince)
8:20.0,Violation by D. Howard (def goaltending),,8-7,,
8:05.0,Shooting foul by M. Plumlee (drawn by D. Howard),,8-7,,
8:05.0,D. Howard makes free throw 1 of 2,1,9-7,,
8:05.0,D. Howard makes free throw 2 of 2,1,10-7,,
7:58.0,,,10-9,2,D. Schroder makes 2-pt shot from 10 ft (assist by M. Plumlee)
7:40.0,N. Batum makes 3-pt shot from 24 ft,3,13-9,,
7:40.0,Shooting foul by K. Bazemore (drawn by N. Batum),,13-9,,
7:40.0,N. Batum makes free throw 1 of 1,1,14-9,,
7:30.0,,,14-9,,K. Bazemore misses 2-pt shot from 17 ft
