time,Milwaukee,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,,,0-0,,Loose ball foul by A. Drummond (drawn by J. Henson)
11:46.0,Turnover by G. Antetokounmpo (lost ball; steal by T. Harris),,0-0,,
11:34.0,,,0-0,,S. Johnson misses 3-pt shot from 27 ft
11:29.0,Defensive rebound by J. Henson,,0-0,,
11:13.0,K. Middleton misses 3-pt shot from 25 ft,,0-0,,
11:10.0,,,0-0,,Defensive rebound by R. Jackson
10:52.0,,,0-0,,R. Jackson misses 3-pt shot from 28 ft
10:47.0,Defensive rebound by J. Henson,,0-0,,
10:40.0,G. Antetokounmpo makes 2-pt shot from 18 ft (assist by M. Brogdon),2,2-0,,
10:23.0,,,2-0,,Turnover by A. Bradley (bad pass)
10:12.0,T. Snell makes 2-pt shot at rim (assist by K. Middleton),2,4-0,,
9:48.0,,,4-0,,T. Harris misses 2-pt shot from 10 ft
9:48.0,Defensive rebound by J. Henson,,4-0,,
9:34.0,J. Henson makes 2-pt shot from 5 ft (assist by M. Brogdon),2,6-0,,
9:20.0,,,6-3,3,T. Harris makes 3-pt shot from 24 ft (assist by R. Jackson)
9:02.0,G. Antetokounmpo makes 2-pt shot from 8 ft (assist by M. Brogdon),2,8-3,,
8:40.0,,,8-6,3,A. Bradley makes 3-pt shot from 23 ft (assist by S. Johnson)
8:27.0,M. Brogdon makes 3-pt shot from 26 ft,3,11-6,,
8:06.0,,,11-6,,A. Bradley misses 3-pt shot from 22 ft
8:04.0,Defensive rebound by T. Snell,,11-6,,
7:53.0,K. Middleton makes 2-pt shot from 1 ft (assist by G. Antetokounmpo),2,13-6,,
7:45.0,,,13-6,,Detroit full timeout
7:38.0,,,13-9,3,T. Harris makes 3-pt shot from 25 ft (assist by R. Jackson)
7:13.0,M. Brogdon misses 3-pt shot from 26 ft,,13-9,,
7:10.0,Offensive rebound by G. Antetokounmpo,,13-9,,
7:08.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,15-9,,
6:44.0,,,15-9,,T. Harris misses 2-pt shot from 1 ft (block by T. Snell)
6:42.0,Defensive rebound by T. Snell,,15-9,,
6:42.0,,,15-9,,Personal foul by A. Drummond (drawn by G. Antetokounmpo)
6:42.0,,,15-9,,E. Moreland enters the game for A. Drummond
6:42.0,D. Liggins enters the game for T. Snell,,15-9,,
6:30.0,M. Brogdon makes 3-pt shot from 25 ft (assist by K. Middleton),3,18-9,,
6:07.0,,,18-9,,Shooting foul by D. Liggins (drawn by A. Bradley)
6:07.0,,,18-10,1,A. Bradley makes free throw 1 of 3
6:07.0,,,18-11,1,A. Bradley makes free throw 2 of 3
6:07.0,,,18-12,1,A. Bradley makes free throw 3 of 3
