time,Indiana,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Plumlee vs. M. Turner (T. Young gains possession),,,,Jump ball: M. Plumlee vs. M. Turner (T. Young gains possession)
11:45.0,T. Young misses 2-pt shot from 11 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by M. Plumlee
11:29.0,,,0-0,,K. Bazemore misses 3-pt shot from 24 ft
11:25.0,Defensive rebound by M. Turner,,0-0,,
11:20.0,Offensive foul by M. Turner (drawn by T. Waller-Prince),,0-0,,
11:20.0,Turnover by M. Turner (offensive foul),,0-0,,
11:07.0,,,0-0,,D. Schroder misses 3-pt shot from 23 ft
11:05.0,Defensive rebound by T. Young,,0-0,,
10:53.0,Turnover by B. Bogdanovic (bad pass; steal by K. Bazemore),,0-0,,
10:39.0,,,0-2,2,D. Schroder makes 2-pt shot from 1 ft
10:18.0,M. Turner misses 2-pt shot from 1 ft (block by M. Plumlee),,0-2,,
10:15.0,,,0-2,,Defensive rebound by T. Waller-Prince
10:11.0,,,0-4,2,E. Ilyasova makes 2-pt shot from 13 ft (assist by T. Waller-Prince)
9:50.0,D. Collison makes 2-pt shot from 2 ft (assist by M. Turner),2,2-4,,
9:50.0,Shooting foul by D. Schroder (drawn by D. Collison),,2-4,,
9:50.0,D. Collison makes free throw 1 of 1,1,3-4,,
9:36.0,,,3-4,,Turnover by T. Waller-Prince (bad pass)
9:25.0,V. Oladipo makes 2-pt shot from 12 ft,2,5-4,,
9:12.0,Personal foul by D. Collison (drawn by D. Schroder),,5-4,,
9:06.0,,,5-6,2,M. Plumlee makes 2-pt shot from 1 ft (assist by D. Schroder)
8:42.0,M. Turner misses 2-pt shot from 18 ft,,5-6,,
8:40.0,,,5-6,,Defensive rebound by T. Waller-Prince
8:27.0,,,5-8,2,M. Plumlee makes 2-pt shot at rim (assist by E. Ilyasova)
8:10.0,D. Collison makes 2-pt shot from 17 ft (assist by V. Oladipo),2,7-8,,
7:56.0,,,7-11,3,T. Waller-Prince makes 3-pt shot from 24 ft (assist by D. Schroder)
7:43.0,B. Bogdanovic misses 2-pt shot from 15 ft (block by T. Waller-Prince),,7-11,,
7:43.0,,,7-11,,Defensive rebound by K. Bazemore
7:37.0,,,7-11,,T. Waller-Prince misses 3-pt shot from 25 ft
7:34.0,,,7-11,,Offensive rebound by E. Ilyasova
7:25.0,,,7-13,2,E. Ilyasova makes 2-pt shot from 1 ft (assist by D. Schroder)
7:25.0,Indiana full timeout,,7-13,,
7:03.0,B. Bogdanovic makes 2-pt shot from 1 ft,2,9-13,,
6:48.0,,,9-16,3,K. Bazemore makes 3-pt shot from 23 ft (assist by T. Waller-Prince)
6:29.0,,,9-16,,Personal foul by M. Plumlee (drawn by M. Turner)
6:29.0,,,9-16,,J. Collins enters the game for M. Plumlee
6:16.0,V. Oladipo misses 2-pt shot from 13 ft,,9-16,,
6:13.0,,,9-16,,Defensive rebound by J. Collins
6:04.0,,,9-18,2,J. Collins makes 2-pt shot from 1 ft (assist by D. Schroder)
5:48.0,M. Turner misses 3-pt shot from 24 ft,,9-18,,
