time,New Orleans,pts.away,score,pts.home,Washington
1:39.0,D. Cousins misses 3-pt shot from 26 ft,,15-32,,
1:36.0,,,15-32,,Defensive rebound by J. Wall
1:24.0,,,15-34,2,M. Scott makes 2-pt shot from 6 ft
1:06.0,D. Cousins makes 2-pt shot from 1 ft (assist by E. Moore),2,17-34,,
0:53.0,,,17-36,2,M. Gortat makes 2-pt shot from 2 ft (assist by J. Wall)
0:36.0,D. Cousins makes 2-pt shot from 12 ft,2,19-36,,
0:29.0,,,19-36,,J. Wall misses 3-pt shot from 25 ft
0:27.0,Defensive rebound by D. Miller,,19-36,,
0:11.0,,,19-36,,Personal take foul by T. Satoransky (drawn by J. Nelson)
0:11.0,A. Davis enters the game for D. Cousins,,19-36,,
0:01.0,D. Miller misses 2-pt shot from 14 ft,,19-36,,
0:01.0,Offensive rebound by A. Davis,,19-36,,
0:00.0,A. Davis misses 2-pt shot at rim,,19-36,,
0:00.0,Offensive rebound by Team,,19-36,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,19-38,2,T. Satoransky makes 2-pt shot from 1 ft (assist by I. Mahinmi)
11:35.0,,,19-38,,Personal foul by I. Mahinmi (drawn by A. Davis)
11:26.0,Turnover by J. Nelson (lost ball; steal by T. Frazier),,19-38,,
11:12.0,,,19-38,,Turnover by T. Frazier (bad pass; steal by J. Nelson)
11:07.0,E. Moore misses 3-pt shot from 25 ft,,19-38,,
11:02.0,,,19-38,,Defensive rebound by M. Scott
10:48.0,,,19-40,2,M. Scott makes 2-pt shot from 12 ft (assist by T. Satoransky)
10:35.0,E. Moore makes 2-pt shot from 1 ft (assist by A. Davis),2,21-40,,
10:14.0,,,21-42,2,M. Scott makes 2-pt shot from 8 ft (assist by I. Mahinmi)
10:01.0,A. Davis misses 2-pt shot from 8 ft,,21-42,,
10:00.0,Offensive rebound by A. Davis,,21-42,,
9:59.0,A. Davis makes 2-pt shot from 3 ft,2,23-42,,
9:50.0,,,23-45,3,M. Scott makes 3-pt shot from 25 ft (assist by T. Frazier)
9:30.0,E. Moore makes 2-pt shot from 2 ft (assist by J. Nelson),2,25-45,,
9:21.0,Personal block foul by J. Nelson (drawn by T. Frazier),,25-45,,
9:16.0,,,25-45,,T. Frazier misses 3-pt shot from 25 ft
9:13.0,,,25-45,,Offensive rebound by Team
9:13.0,Loose ball foul by D. Miller (drawn by I. Mahinmi),,25-45,,
9:08.0,Personal foul by D. Cunningham (drawn by I. Mahinmi),,25-45,,
9:01.0,,,25-47,2,T. Frazier makes 2-pt shot from 19 ft (assist by I. Mahinmi)
8:50.0,A. Davis makes 2-pt shot from 20 ft (assist by J. Nelson),2,27-47,,
8:29.0,,,27-47,,T. Frazier misses 3-pt shot from 24 ft
8:26.0,Defensive rebound by A. Davis,,27-47,,
8:21.0,Shooting foul by T. Frazier (drawn by J. Nelson),,27-47,,
8:21.0,J. Nelson misses free throw 1 of 2,,27-47,,
8:21.0,Offensive rebound by Team,,27-47,,
8:21.0,,,27-47,,B. Beal enters the game for T. Frazier
8:21.0,J. Holiday enters the game for D. Miller,,27-47,,
8:21.0,J. Nelson makes free throw 2 of 2,1,28-47,,
8:10.0,,,28-47,,J. Meeks misses 3-pt shot from 27 ft
8:05.0,Defensive rebound by A. Davis,,28-47,,
8:00.0,J. Nelson makes 3-pt shot from 26 ft (assist by J. Holiday),3,31-47,,
7:43.0,,,31-49,2,T. Satoransky makes 2-pt shot from 13 ft (assist by J. Meeks)
7:35.0,Shooting foul by M. Scott (drawn by A. Davis),,31-49,,
7:35.0,A. Davis makes free throw 1 of 2,1,32-49,,
7:35.0,A. Davis makes free throw 2 of 2,1,33-49,,
7:19.0,,,33-52,3,M. Scott makes 3-pt shot from 25 ft (assist by B. Beal)
7:09.0,A. Davis misses 3-pt shot from 26 ft,,33-52,,
7:05.0,Offensive rebound by A. Davis,,33-52,,
7:03.0,A. Davis misses 2-pt shot from 8 ft,,33-52,,
7:01.0,,,33-52,,Defensive rebound by M. Scott
6:53.0,,,33-55,3,J. Meeks makes 3-pt shot from 26 ft (assist by T. Satoransky)
6:47.0,New Orleans full timeout,,33-55,,
6:47.0,D. Cousins enters the game for J. Nelson,,33-55,,
6:38.0,J. Holiday misses 2-pt shot from 2 ft,,33-55,,
6:36.0,,,33-55,,Defensive rebound by T. Satoransky
6:36.0,,,33-55,,Technical foul by Team
6:36.0,,,33-56,1,B. Beal makes technical free throw
