time,New Orleans,pts.away,score,pts.home,Washington
3:54.0,A. Davis makes 3-pt shot from 24 ft (assist by D. Cousins),3,94-111,,
3:54.0,,,94-111,,Away from play foul by J. Smith (drawn by D. Cousins)
3:54.0,,,94-111,,Turnover by J. Smith (turnover)
3:54.0,,,94-111,,M. Morris enters the game for I. Mahinmi
3:54.0,,,94-111,,M. Gortat enters the game for J. Smith
3:54.0,I. Clark enters the game for J. Holiday,,94-111,,
3:54.0,C. Cooke enters the game for A. Davis,,94-111,,
3:54.0,C. Diallo enters the game for E. Moore,,94-111,,
3:54.0,D. Cousins makes free throw 1 of 1,1,95-111,,
3:43.0,,,95-111,,B. Beal misses 3-pt shot from 26 ft
3:42.0,Defensive rebound by Team,,95-111,,
3:42.0,O. Asik enters the game for D. Cousins,,95-111,,
3:28.0,D. Miller misses 2-pt shot from 17 ft,,95-111,,
3:24.0,,,95-111,,Defensive rebound by B. Beal
3:13.0,,,95-111,,J. Wall misses 2-pt shot from 1 ft
3:13.0,Defensive rebound by O. Asik,,95-111,,
3:10.0,C. Diallo makes 2-pt shot from 1 ft,2,97-111,,
3:10.0,Shooting foul by M. Morris (drawn by C. Diallo),,97-111,,
3:10.0,C. Diallo misses free throw 1 of 1,,97-111,,
3:09.0,,,97-111,,Defensive rebound by M. Morris
2:45.0,,,97-113,2,M. Morris makes 2-pt shot from 2 ft
2:32.0,C. Diallo misses 2-pt shot from 4 ft,,97-113,,
2:31.0,Offensive rebound by O. Asik,,97-113,,
2:30.0,O. Asik misses 2-pt shot from 2 ft (block by M. Gortat),,97-113,,
2:30.0,,,97-113,,Defensive rebound by B. Beal
2:14.0,,,97-116,3,B. Beal makes 3-pt shot from 26 ft (assist by M. Morris)
1:54.0,C. Cooke makes 3-pt shot from 23 ft (assist by D. Miller),3,100-116,,
1:49.0,,,100-116,,J. Wall misses 3-pt shot from 28 ft
1:46.0,Defensive rebound by C. Diallo,,100-116,,
1:43.0,,,100-116,,Personal take foul by B. Beal (drawn by C. Cooke)
1:43.0,C. Cooke misses free throw 1 of 2,,100-116,,
1:43.0,Offensive rebound by Team,,100-116,,
1:43.0,,,100-116,,C. McCullough enters the game for J. Wall
1:43.0,,,100-116,,T. Satoransky enters the game for B. Beal
1:43.0,,,100-116,,J. Smith enters the game for M. Morris
1:43.0,,,100-116,,T. Frazier enters the game for M. Gortat
1:43.0,C. Cooke makes free throw 2 of 2,1,101-116,,
1:30.0,,,101-116,,K. Oubre misses 2-pt shot at rim
1:27.0,Defensive rebound by O. Asik,,101-116,,
1:22.0,I. Clark misses 3-pt shot from 29 ft,,101-116,,
1:21.0,Offensive rebound by Team,,101-116,,
1:21.0,,,101-116,,Technical foul by K. Oubre
1:21.0,I. Clark makes technical free throw,1,102-116,,
1:21.0,,,102-116,,J. Meeks enters the game for K. Oubre
1:12.0,,,102-116,,Personal foul by T. Frazier (drawn by O. Asik)
1:12.0,O. Asik makes free throw 1 of 2,1,103-116,,
1:12.0,O. Asik makes free throw 2 of 2,1,104-116,,
0:58.0,,,104-116,,J. Smith misses 2-pt shot from 15 ft
0:53.0,Defensive rebound by C. Diallo,,104-116,,
0:48.0,I. Clark misses 2-pt shot from 18 ft,,104-116,,
0:48.0,,,104-116,,Defensive rebound by T. Satoransky
0:42.0,,,104-116,,C. McCullough misses 2-pt shot from 1 ft
0:42.0,,,104-116,,Offensive rebound by Team
0:34.0,,,104-116,,J. Smith misses 3-pt shot from 23 ft
0:26.0,,,104-116,,Offensive rebound by C. McCullough
0:26.0,,,104-116,,C. McCullough misses 2-pt shot at rim
0:25.0,,,104-116,,Offensive rebound by T. Satoransky
0:24.0,,,104-116,,C. McCullough misses 2-pt shot from 2 ft
0:22.0,Defensive rebound by C. Diallo,,104-116,,
0:17.0,D. Miller makes 2-pt shot from 17 ft,2,106-116,,
