time,Golden State,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Cousins vs. J. McGee (D. Cunningham gains possession),,,,Jump ball: D. Cousins vs. J. McGee (D. Cunningham gains possession)
11:43.0,,,0-2,2,D. Cunningham makes 2-pt shot from 3 ft (assist by R. Rondo)
11:32.0,,,0-2,,Personal foul by D. Cousins (drawn by J. McGee)
11:28.0,K. Thompson misses 3-pt shot from 24 ft,,0-2,,
11:25.0,,,0-2,,Defensive rebound by R. Rondo
11:13.0,,,0-5,3,D. Cousins makes 3-pt shot from 25 ft (assist by J. Holiday)
10:54.0,D. Green misses 2-pt shot from 1 ft,,0-5,,
10:52.0,,,0-5,,Defensive rebound by D. Cousins
10:48.0,,,0-8,3,E. Moore makes 3-pt shot from 23 ft (assist by D. Cousins)
10:34.0,Turnover by K. Durant (bad pass; steal by D. Cousins),,0-8,,
10:28.0,,,0-8,,E. Moore misses 3-pt shot from 23 ft
10:23.0,Defensive rebound by K. Durant,,0-8,,
10:12.0,S. Curry makes 3-pt shot from 25 ft (assist by K. Durant),3,3-8,,
9:57.0,Def 3 sec tech foul by K. Durant,,3-8,,
9:57.0,,,3-8,,E. Moore misses technical free throw
9:57.0,,,3-8,,Offensive rebound by Team
9:52.0,Personal foul by J. McGee (drawn by D. Cousins),,3-8,,
9:42.0,Personal foul by J. McGee (drawn by D. Cousins),,3-8,,
9:37.0,,,3-8,,J. Holiday misses 3-pt shot from 24 ft
9:34.0,Defensive rebound by D. Green,,3-8,,
9:29.0,,,3-8,,Personal foul by R. Rondo (drawn by K. Durant)
9:15.0,J. McGee misses 2-pt shot from 1 ft,,3-8,,
9:12.0,Offensive rebound by J. McGee,,3-8,,
9:10.0,K. Thompson makes 2-pt shot from 19 ft (assist by S. Curry),2,5-8,,
8:55.0,,,5-8,,Turnover by E. Moore (bad pass)
8:51.0,K. Durant misses 3-pt shot from 25 ft,,5-8,,
8:44.0,Jump ball: D. Cousins vs. J. McGee (S. Curry gains possession),,,,Jump ball: D. Cousins vs. J. McGee (S. Curry gains possession)
8:44.0,Defensive rebound by Team,,5-8,,
8:44.0,,,5-8,,Personal foul by E. Moore (drawn by K. Durant)
8:33.0,S. Curry misses 3-pt shot from 23 ft,,5-8,,
8:30.0,,,5-8,,Defensive rebound by J. Holiday
8:16.0,,,5-8,,Turnover by D. Cousins (lost ball; steal by K. Durant)
8:12.0,J. McGee makes 2-pt shot at rim (assist by K. Thompson),2,7-8,,
8:12.0,Shooting foul by D. Cunningham (drawn by J. McGee),,7-8,,
8:12.0,J. McGee makes free throw 1 of 1,1,8-8,,
8:03.0,,,8-8,,D. Cousins misses 2-pt shot from 1 ft
8:01.0,,,8-8,,Offensive rebound by D. Cunningham
7:59.0,,,8-8,,R. Rondo misses 3-pt shot from 23 ft
7:59.0,Defensive rebound by S. Curry,,8-8,,
7:46.0,Turnover by D. Green (bad pass; steal by D. Cunningham),,8-8,,
7:42.0,,,8-8,,R. Rondo misses 2-pt shot from 1 ft
7:35.0,,,8-8,,Offensive rebound by D. Cunningham
7:35.0,,,8-10,2,D. Cunningham makes 2-pt shot at rim
7:33.0,D. Green misses 2-pt shot from 1 ft (block by D. Cousins),,8-10,,
7:33.0,Offensive rebound by J. McGee,,8-10,,
7:32.0,J. McGee makes 2-pt shot at rim,2,10-10,,
7:32.0,Technical foul by D. Green,,10-10,,
7:32.0,,,10-11,1,J. Holiday makes technical free throw
7:14.0,,,10-13,2,J. Holiday makes 2-pt shot from 6 ft (assist by D. Cousins)
7:04.0,K. Durant misses 2-pt shot from 18 ft,,10-13,,
7:04.0,,,10-13,,Defensive rebound by D. Cousins
6:55.0,,,10-13,,D. Cousins misses 2-pt shot from 3 ft (block by J. McGee)
6:55.0,Defensive rebound by K. Durant,,10-13,,
6:48.0,K. Durant makes 3-pt shot from 25 ft,3,13-13,,
6:35.0,,,13-15,2,D. Cousins makes 2-pt shot at rim (assist by R. Rondo)
6:35.0,Golden State full timeout,,13-15,,
6:35.0,J. Bell enters the game for J. McGee,,13-15,,
6:27.0,Offensive foul by K. Durant,,13-15,,
6:27.0,Turnover by K. Durant (offensive foul),,13-15,,
6:27.0,Technical foul by K. Durant,,13-15,,
6:27.0,,,13-15,,J. Holiday misses technical free throw
6:27.0,,,13-15,,Offensive rebound by Team
6:12.0,,,13-17,2,D. Cunningham makes 2-pt shot from 15 ft (assist by R. Rondo)
5:53.0,K. Durant misses 2-pt shot from 8 ft,,13-17,,
5:51.0,,,13-17,,Defensive rebound by D. Cousins
5:48.0,,,13-17,,Turnover by D. Cousins (bad pass; steal by D. Green)
5:45.0,D. Green makes 2-pt shot at rim,2,15-17,,
5:23.0,,,15-17,,Shooting foul by S. Curry (drawn by J. Holiday)
5:23.0,,,15-18,1,J. Holiday makes free throw 1 of 2
5:23.0,A. Iguodala enters the game for D. Green,,15-18,,
5:23.0,,,15-18,,D. Miller enters the game for D. Cousins
5:23.0,,,15-19,1,J. Holiday makes free throw 2 of 2
5:11.0,Turnover by J. Bell (bad pass; steal by R. Rondo),,15-19,,
5:06.0,,,15-21,2,E. Moore makes 2-pt shot from 1 ft (assist by R. Rondo)
5:04.0,Golden State full timeout,,15-21,,
4:54.0,Turnover by J. Bell (offensive goaltending),,15-21,,
4:36.0,,,15-21,,R. Rondo misses 3-pt shot from 22 ft
4:33.0,,,15-21,,Offensive rebound by D. Cunningham
4:28.0,,,15-23,2,D. Cunningham makes 2-pt shot from 1 ft (assist by R. Rondo)
4:21.0,K. Durant misses 2-pt shot from 15 ft,,15-23,,
4:15.0,Offensive rebound by J. Bell,,15-23,,
4:15.0,J. Bell makes 2-pt shot at rim,2,17-23,,
4:07.0,,,17-23,,D. Cunningham misses 2-pt shot from 13 ft
4:07.0,Defensive rebound by A. Iguodala,,17-23,,
3:55.0,K. Thompson misses 2-pt shot from 11 ft,,17-23,,
3:55.0,,,17-23,,Defensive rebound by R. Rondo
3:47.0,,,17-25,2,J. Holiday makes 2-pt shot from 1 ft (assist by R. Rondo)
3:32.0,S. Curry misses 3-pt shot from 25 ft,,17-25,,
3:30.0,,,17-25,,Defensive rebound by Team
3:30.0,,,17-25,,J. Nelson enters the game for R. Rondo
3:30.0,O. Casspi enters the game for K. Thompson,,17-25,,
3:18.0,,,17-27,2,J. Holiday makes 2-pt shot from 6 ft (assist by J. Nelson)
2:58.0,A. Iguodala misses 2-pt shot from 7 ft,,17-27,,
2:55.0,,,17-27,,Defensive rebound by D. Cunningham
2:47.0,,,17-27,,Away from play foul by D. Cunningham (drawn by S. Curry)
2:47.0,,,17-27,,Turnover by D. Cunningham (turnover)
2:47.0,,,17-27,,D. Cousins enters the game for E. Moore
2:39.0,K. Durant makes 2-pt shot from 6 ft (assist by O. Casspi),2,19-27,,
2:39.0,Shooting foul by J. Nelson (drawn by K. Durant),,19-27,,
2:39.0,,,19-27,,T. Allen enters the game for D. Cunningham
2:39.0,K. Durant makes free throw 1 of 1,1,20-27,,
2:29.0,,,20-27,,Offensive charge foul by D. Cousins (drawn by J. Bell)
2:29.0,,,20-27,,Turnover by D. Cousins (offensive foul)
2:15.0,S. Curry misses 3-pt shot from 27 ft,,20-27,,
2:12.0,,,20-27,,Defensive rebound by D. Miller
2:02.0,Violation by S. Curry (kicked ball),,20-27,,
2:02.0,D. Green enters the game for K. Durant,,20-27,,
1:59.0,Personal foul by J. Bell (drawn by D. Cousins),,20-27,,
1:43.0,,,20-27,,Turnover by D. Cousins (bad pass; steal by J. Bell)
1:38.0,Turnover by D. Green (bad pass; steal by D. Cousins),,20-27,,
1:34.0,,,20-29,2,J. Holiday makes 2-pt shot at rim (assist by D. Cousins)
1:19.0,Turnover by A. Iguodala (bad pass; steal by J. Holiday),,20-29,,
1:11.0,,,20-29,,T. Allen misses 2-pt shot from 1 ft
1:07.0,,,20-29,,Offensive rebound by J. Holiday
1:06.0,,,20-32,3,D. Cousins makes 3-pt shot from 25 ft (assist by J. Holiday)
0:54.0,O. Casspi misses 3-pt shot from 23 ft,,20-32,,
0:48.0,,,20-32,,Defensive rebound by D. Miller
0:37.0,,,20-32,,T. Allen misses 2-pt shot from 1 ft
0:36.0,,,20-32,,Offensive rebound by T. Allen
0:36.0,,,20-32,,Shooting foul by S. Curry (drawn by T. Allen)
0:36.0,,,20-33,1,T. Allen makes free throw 1 of 2
0:36.0,,,20-33,,C. Diallo enters the game for D. Cousins
0:36.0,,,20-33,,T. Allen misses free throw 2 of 2
0:34.0,Defensive rebound by A. Iguodala,,20-33,,
