time,Dallas,pts.away,score,pts.home,LA Clippers
7:59.0,H. Barnes makes 3-pt shot from 23 ft (assist by W. Matthews),3,15-10,,
7:46.0,,,15-10,,Turnover by B. Griffin (bad pass; steal by H. Barnes)
7:39.0,D. Harris makes 3-pt shot from 26 ft (assist by W. Matthews),3,18-10,,
7:37.0,,,18-10,,LA Clippers full timeout
7:26.0,,,18-13,3,P. Beverley makes 3-pt shot from 23 ft (assist by B. Griffin)
7:08.0,D. Smith makes 3-pt shot from 26 ft (assist by D. Nowitzki),3,21-13,,
7:00.0,,,21-13,,B. Griffin misses 2-pt shot from 20 ft
6:55.0,Defensive rebound by D. Nowitzki,,21-13,,
6:52.0,D. Harris misses 2-pt shot from 1 ft (block by D. Jordan),,21-13,,
6:49.0,,,21-13,,Defensive rebound by D. Gallinari
6:29.0,,,21-13,,D. Gallinari misses 2-pt shot from 18 ft
6:27.0,,,21-13,,Offensive rebound by D. Jordan
6:21.0,,,21-15,2,A. Rivers makes 2-pt shot from 1 ft
6:10.0,Turnover by D. Smith (bad pass),,21-15,,
6:10.0,Y. Ferrell enters the game for D. Nowitzki,,21-15,,
6:10.0,N. Noel enters the game for D. Harris,,21-15,,
6:01.0,,,21-17,2,B. Griffin makes 2-pt shot from 3 ft
5:49.0,H. Barnes misses 2-pt shot from 19 ft,,21-17,,
5:48.0,Offensive rebound by Team,,21-17,,
5:37.0,D. Smith misses 2-pt shot from 1 ft,,21-17,,
5:35.0,,,21-17,,Defensive rebound by B. Griffin
5:30.0,Dallas full timeout,,21-17,,
5:30.0,J. Barea enters the game for D. Smith,,21-17,,
5:29.0,,,21-19,2,B. Griffin makes 2-pt shot from 1 ft
5:22.0,,,21-19,,Personal foul by P. Beverley
5:22.0,,,21-19,,Technical foul by P. Beverley
5:22.0,W. Matthews makes technical free throw,1,22-19,,
5:11.0,W. Matthews misses 3-pt shot from 25 ft,,22-19,,
5:08.0,,,22-19,,Defensive rebound by D. Jordan
5:01.0,Personal foul by W. Matthews (drawn by D. Gallinari),,22-19,,
4:56.0,,,22-21,2,A. Rivers makes 2-pt shot at rim
4:56.0,,,22-21,,Shooting foul by Y. Ferrell (drawn by A. Rivers)
4:56.0,,,22-22,1,A. Rivers makes free throw 1 of 1
4:43.0,N. Noel makes 2-pt shot from 1 ft (assist by W. Matthews),2,24-22,,
4:30.0,Def 3 sec tech foul by J. Barea,,24-22,,
4:30.0,,,24-23,1,D. Gallinari makes technical free throw
4:30.0,,,24-23,,W. Johnson enters the game for D. Gallinari
4:30.0,M. Kleber enters the game for W. Matthews,,24-23,,
4:18.0,,,24-25,2,B. Griffin makes 2-pt shot from 6 ft
3:54.0,Y. Ferrell misses 2-pt shot from 11 ft,,24-25,,
3:48.0,Offensive rebound by M. Kleber,,24-25,,
3:48.0,M. Kleber makes 2-pt shot at rim,2,26-25,,
3:38.0,Personal foul by N. Noel (drawn by D. Jordan),,26-25,,
3:38.0,,,26-25,,W. Reed enters the game for D. Jordan
3:26.0,,,26-25,,Turnover by A. Rivers (out of bounds lost ball)
3:05.0,J. Barea misses 2-pt shot from 10 ft,,26-25,,
3:00.0,,,26-25,,Defensive rebound by W. Reed
2:57.0,,,26-25,,Shooting foul by Y. Ferrell (drawn by A. Rivers)
2:57.0,,,26-26,1,A. Rivers makes free throw 1 of 2
2:57.0,,,26-26,,L. Williams enters the game for P. Beverley
2:57.0,,,26-27,1,A. Rivers makes free throw 2 of 2
2:40.0,Shooting foul by W. Reed (drawn by H. Barnes),,26-27,,
2:40.0,H. Barnes makes free throw 1 of 2,1,27-27,,
2:40.0,,,27-27,,S. Thornwell enters the game for A. Rivers
2:40.0,D. Smith enters the game for Y. Ferrell,,27-27,,
2:40.0,H. Barnes misses free throw 2 of 2,,27-27,,
2:35.0,Offensive rebound by N. Noel,,27-27,,
2:27.0,H. Barnes makes 2-pt shot from 2 ft,2,29-27,,
2:07.0,Personal foul by M. Kleber (drawn by B. Griffin),,29-27,,
2:07.0,,,29-28,1,B. Griffin makes free throw 1 of 2
2:07.0,,,29-29,1,B. Griffin makes free throw 2 of 2
1:43.0,J. Barea misses 2-pt shot from 13 ft,,29-29,,
1:40.0,,,29-29,,Defensive rebound by W. Reed
1:32.0,,,29-29,,B. Griffin misses 2-pt shot from 4 ft
1:29.0,Defensive rebound by H. Barnes,,29-29,,
1:21.0,D. Smith misses 2-pt shot from 17 ft,,29-29,,
1:17.0,,,29-29,,Defensive rebound by B. Griffin
1:10.0,,,29-29,,L. Williams misses 2-pt shot from 2 ft
1:07.0,Defensive rebound by M. Kleber,,29-29,,
1:00.0,J. Barea misses 2-pt shot from 2 ft (block by W. Reed),,29-29,,
0:57.0,,,29-29,,Defensive rebound by W. Reed
0:55.0,,,29-29,,Shooting foul by H. Barnes (drawn by S. Thornwell)
0:55.0,,,29-29,,S. Thornwell misses free throw 1 of 2
0:55.0,,,29-29,,Offensive rebound by Team
