time,Utah,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. E. Udoh (J. Johnson gains possession),,,,Jump ball: C. Capela vs. E. Udoh (J. Johnson gains possession)
11:41.0,J. Johnson makes 2-pt shot from 19 ft,2,2-0,,
11:26.0,,,2-2,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
11:10.0,J. Ingles misses 3-pt shot from 26 ft,,2-2,,
11:06.0,,,2-2,,Defensive rebound by R. Anderson
11:00.0,,,2-4,2,C. Capela makes 2-pt shot from 1 ft (assist by C. Paul)
10:40.0,J. Johnson makes 2-pt shot from 1 ft,2,4-4,,
10:29.0,,,4-4,,R. Anderson misses 2-pt shot from 2 ft (block by E. Udoh)
10:28.0,,,4-4,,Offensive rebound by R. Anderson
10:26.0,,,4-4,,Turnover by R. Anderson (lost ball; steal by R. Rubio)
10:14.0,R. Rubio misses 2-pt shot from 15 ft,,4-4,,
10:13.0,,,4-4,,Defensive rebound by J. Harden
10:05.0,Personal foul by R. Rubio (drawn by C. Capela),,4-4,,
9:59.0,,,4-4,,Turnover by C. Capela (bad pass; steal by D. Mitchell)
9:54.0,D. Mitchell makes 2-pt shot at rim,2,6-4,,
9:35.0,,,6-4,,Shooting foul by J. Johnson (drawn by C. Capela)
9:35.0,,,6-5,1,C. Capela makes free throw 1 of 2
9:35.0,,,6-6,1,C. Capela makes free throw 2 of 2
9:23.0,E. Udoh misses 2-pt shot from 2 ft,,6-6,,
9:20.0,Offensive rebound by E. Udoh,,6-6,,
9:16.0,E. Udoh misses 2-pt shot at rim,,6-6,,
9:14.0,,,6-6,,Defensive rebound by C. Capela
9:00.0,,,6-6,,Turnover by R. Anderson (bad pass; steal by D. Mitchell)
8:48.0,E. Udoh misses 2-pt shot from 8 ft,,6-6,,
8:46.0,,,6-6,,Defensive rebound by C. Capela
8:44.0,,,6-6,,Turnover by C. Paul (bad pass; steal by E. Udoh)
8:36.0,J. Ingles misses 3-pt shot from 26 ft,,6-6,,
8:33.0,,,6-6,,Defensive rebound by J. Harden
8:25.0,,,6-9,3,J. Harden makes 3-pt shot from 26 ft
8:09.0,D. Mitchell misses 2-pt shot from 11 ft (block by C. Capela),,6-9,,
8:09.0,Offensive rebound by Team,,6-9,,
8:00.0,J. Johnson misses 3-pt shot from 23 ft,,6-9,,
7:57.0,,,6-9,,Defensive rebound by C. Paul
7:49.0,Personal foul by E. Udoh (drawn by T. Ariza),,6-9,,
7:35.0,,,6-9,,J. Harden misses 3-pt shot from 25 ft
7:32.0,Defensive rebound by E. Udoh,,6-9,,
7:24.0,R. Rubio misses 2-pt shot from 18 ft,,6-9,,
7:21.0,,,6-9,,Defensive rebound by C. Capela
7:12.0,,,6-11,2,C. Capela makes 2-pt shot from 1 ft (assist by C. Paul)
6:54.0,J. Johnson makes 2-pt shot from 10 ft,2,8-11,,
6:44.0,,,8-14,3,J. Harden makes 3-pt shot from 25 ft
6:16.0,J. Ingles makes 2-pt shot from 1 ft,2,10-14,,
6:02.0,,,10-17,3,C. Paul makes 3-pt shot from 26 ft
6:01.0,Utah full timeout,,10-17,,
6:01.0,,,10-17,,E. Gordon enters the game for R. Anderson
6:01.0,,,10-17,,P. Tucker enters the game for C. Paul
6:01.0,R. Hood enters the game for R. Rubio,,10-17,,
5:39.0,D. Mitchell makes 2-pt shot from 1 ft (assist by J. Ingles),2,12-17,,
5:29.0,Violation by D. Mitchell (kicked ball),,12-17,,
5:29.0,,,12-17,,T. Black enters the game for C. Capela
5:29.0,T. Sefolosha enters the game for J. Johnson,,12-17,,
5:17.0,,,12-17,,Turnover by T. Black (out of bounds lost ball)
5:17.0,J. Jerebko enters the game for E. Udoh,,12-17,,
4:51.0,Turnover by T. Sefolosha (lost ball; steal by J. Harden),,12-17,,
4:49.0,Personal foul by J. Jerebko (drawn by J. Harden),,12-17,,
4:43.0,,,12-17,,J. Harden misses 3-pt shot from 25 ft
4:41.0,Defensive rebound by D. Mitchell,,12-17,,
4:34.0,Turnover by T. Sefolosha (bad pass),,12-17,,
4:19.0,,,12-17,,E. Gordon misses 3-pt shot from 24 ft
4:14.0,Defensive rebound by J. Ingles,,12-17,,
4:01.0,T. Sefolosha misses 2-pt shot from 14 ft (block by E. Gordon),,12-17,,
3:58.0,Offensive rebound by T. Sefolosha,,12-17,,
3:57.0,J. Ingles makes 2-pt shot at rim,2,14-17,,
3:51.0,,,14-17,,Shooting foul by D. Mitchell (drawn by E. Gordon)
3:51.0,,,14-18,1,E. Gordon makes free throw 1 of 2
3:51.0,A. Burks enters the game for J. Ingles,,14-18,,
3:51.0,,,14-19,1,E. Gordon makes free throw 2 of 2
3:37.0,T. Sefolosha misses 2-pt shot from 11 ft,,14-19,,
3:35.0,,,14-19,,Defensive rebound by J. Harden
3:25.0,,,14-19,,J. Harden misses 2-pt shot from 4 ft
3:22.0,Defensive rebound by R. Hood,,14-19,,
3:20.0,R. Hood makes 2-pt shot from 6 ft,2,16-19,,
3:20.0,Shooting foul by T. Ariza (drawn by R. Hood),,16-19,,
3:20.0,R. Rubio enters the game for D. Mitchell,,16-19,,
3:20.0,R. Hood makes free throw 1 of 1,1,17-19,,
3:01.0,,,17-21,2,E. Gordon makes 2-pt shot from 1 ft
2:49.0,R. Rubio makes 2-pt shot from 1 ft,2,19-21,,
2:38.0,,,19-21,,Turnover by J. Harden (bad pass; steal by J. Jerebko)
2:17.0,R. Hood makes 2-pt shot from 10 ft,2,21-21,,
2:00.0,,,21-21,,Turnover by T. Black (traveling)
2:00.0,,,21-21,,Houston full timeout
2:00.0,,,21-21,,R. Anderson enters the game for T. Ariza
2:00.0,,,21-21,,C. Paul enters the game for T. Black
1:38.0,Jump ball: R. Anderson vs. A. Burks (P. Tucker gains possession),,,,Jump ball: R. Anderson vs. A. Burks (P. Tucker gains possession)
1:38.0,Turnover by A. Burks (turnover; steal by R. Anderson),,21-21,,
1:24.0,,,21-23,2,J. Harden makes 2-pt shot from 18 ft
1:08.0,R. Hood makes 2-pt shot from 13 ft,2,23-23,,
0:49.0,,,23-23,,Shooting foul by J. Jerebko (drawn by C. Paul)
0:49.0,,,23-23,,C. Paul misses free throw 1 of 3
0:49.0,,,23-23,,Offensive rebound by Team
0:49.0,,,23-24,1,C. Paul makes free throw 2 of 3
0:49.0,,,23-25,1,C. Paul makes free throw 3 of 3
0:32.0,R. Hood misses 3-pt shot from 28 ft,,23-25,,
0:30.0,,,23-25,,Defensive rebound by J. Harden
0:26.0,,,23-25,,J. Harden misses 3-pt shot from 26 ft
0:24.0,Defensive rebound by R. Rubio,,23-25,,
0:04.0,,,23-25,,Personal foul by C. Paul (drawn by R. Hood)
0:04.0,E. Udoh enters the game for J. Jerebko,,23-25,,
0:02.0,R. Hood makes 3-pt shot from 26 ft (assist by R. Rubio),3,26-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,26-27,2,E. Gordon makes 2-pt shot from 1 ft (assist by R. Anderson)
11:28.0,Shooting foul by E. Gordon (drawn by A. Burks),,26-27,,
11:28.0,A. Burks makes free throw 1 of 2,1,27-27,,
11:28.0,A. Burks makes free throw 2 of 2,1,28-27,,
11:16.0,,,28-29,2,E. Gordon makes 2-pt shot from 21 ft (assist by R. Anderson)
11:03.0,R. Hood makes 3-pt shot from 28 ft (assist by R. Rubio),2,31-29,,
10:43.0,,,31-29,,E. Gordon misses 3-pt shot from 25 ft
10:39.0,Defensive rebound by T. Sefolosha,,31-29,,
10:31.0,R. Hood misses 3-pt shot from 25 ft,,31-29,,
10:28.0,,,31-29,,Defensive rebound by P. Tucker
10:21.0,,,31-29,,C. Paul misses 3-pt shot from 25 ft
10:19.0,Defensive rebound by E. Udoh,,31-29,,
10:13.0,A. Burks makes 2-pt shot from 1 ft,2,33-29,,
9:51.0,,,33-29,,R. Anderson misses 3-pt shot from 29 ft
9:49.0,Defensive rebound by A. Burks,,33-29,,
9:33.0,R. Hood misses 2-pt shot from 11 ft,,33-29,,
9:33.0,,,33-29,,Defensive rebound by P. Tucker
9:33.0,Personal foul by T. Sefolosha (drawn by P. Tucker),,33-29,,
9:33.0,J. Ingles enters the game for R. Rubio,,33-29,,
9:33.0,J. Johnson enters the game for T. Sefolosha,,33-29,,
9:23.0,,,33-29,,T. Ariza misses 2-pt shot from 3 ft
9:20.0,,,33-29,,Offensive rebound by T. Ariza
9:18.0,,,33-29,,T. Ariza misses 2-pt shot from 2 ft
9:18.0,,,33-29,,Offensive rebound by T. Ariza
9:14.0,,,33-29,,C. Paul misses 2-pt shot from 8 ft
9:14.0,Defensive rebound by J. Johnson,,33-29,,
9:03.0,J. Johnson makes 2-pt shot from 15 ft,2,35-29,,
8:50.0,,,35-31,2,C. Paul makes 2-pt shot from 3 ft
8:24.0,J. Johnson makes 2-pt shot from 18 ft,2,37-31,,
8:09.0,,,37-31,,P. Tucker misses 3-pt shot from 22 ft
8:07.0,Defensive rebound by R. Hood,,37-31,,
8:00.0,A. Burks misses 2-pt shot from 11 ft,,37-31,,
7:59.0,Offensive rebound by A. Burks,,37-31,,
7:58.0,A. Burks makes 2-pt shot from 1 ft,2,39-31,,
7:47.0,Violation by E. Udoh (kicked ball),,39-31,,
7:47.0,,,39-31,,C. Capela enters the game for R. Anderson
7:41.0,,,39-33,2,T. Ariza makes 2-pt shot from 1 ft (assist by C. Capela)
7:22.0,A. Burks misses 2-pt shot from 11 ft,,39-33,,
7:20.0,,,39-33,,Defensive rebound by P. Tucker
7:14.0,,,39-35,2,C. Paul makes 2-pt shot from 19 ft
7:13.0,Utah full timeout,,39-35,,
