time,Dallas,pts.away,score,pts.home,Boston
2:01.0,Turnover by D. Smith (lost ball; steal by A. Horford),,85-92,,
2:00.0,Personal foul by D. Harris (drawn by T. Rozier),,85-92,,
2:00.0,,,85-92,,T. Rozier misses free throw 1 of 2
2:00.0,,,85-92,,Offensive rebound by Team
2:00.0,Y. Ferrell enters the game for D. Smith,,85-92,,
2:00.0,,,85-93,1,T. Rozier makes free throw 2 of 2
2:00.0,Dallas full timeout,,85-93,,
1:46.0,W. Matthews makes 2-pt shot from 15 ft (assist by D. Harris),2,87-93,,
1:22.0,,,87-95,2,K. Irving makes 2-pt shot from 15 ft
1:13.0,D. Nowitzki misses 3-pt shot from 26 ft,,87-95,,
1:08.0,,,87-95,,Defensive rebound by K. Irving
1:05.0,,,87-97,2,T. Rozier makes 2-pt shot from 1 ft (assist by K. Irving)
1:05.0,,,87-97,,Shooting foul by D. Nowitzki (drawn by T. Rozier)
1:05.0,M. Kleber enters the game for D. Nowitzki,,87-97,,
1:05.0,,,87-97,,T. Rozier misses free throw 1 of 1
1:05.0,Defensive rebound by H. Barnes,,87-97,,
0:58.0,H. Barnes misses 3-pt shot from 26 ft,,87-97,,
0:56.0,,,87-97,,Defensive rebound by T. Rozier
0:37.0,,,87-97,,Turnover by K. Irving (traveling)
0:37.0,Dallas full timeout,,87-97,,
0:37.0,,,87-97,,S. Ojeleye enters the game for K. Irving
0:31.0,W. Matthews misses 3-pt shot from 27 ft,,87-97,,
0:28.0,,,87-97,,Defensive rebound by T. Rozier
0:05.0,,,87-97,,Turnover by Team (shot clock)
0:00.0,W. Matthews makes 3-pt shot from 24 ft (assist by D. Harris),3,90-97,,
