time,Dallas,pts.away,score,pts.home,Boston
6:37.0,D. Smith makes free throw 1 of 2,1,10-14,,
6:37.0,D. Smith makes free throw 2 of 2,1,11-14,,
6:24.0,,,11-14,,Turnover by D. Theis (bad pass; steal by M. Kleber)
6:21.0,Shooting foul by D. Theis (drawn by M. Kleber),,11-14,,
6:21.0,M. Kleber misses free throw 1 of 2,,11-14,,
6:21.0,Offensive rebound by Team,,11-14,,
6:21.0,,,11-14,,S. Ojeleye enters the game for D. Theis
6:21.0,M. Kleber makes free throw 2 of 2,1,12-14,,
6:06.0,,,12-16,2,K. Irving makes 2-pt shot from 1 ft
5:48.0,Y. Ferrell misses 3-pt shot from 26 ft,,12-16,,
5:44.0,,,12-16,,Defensive rebound by J. Tatum
5:35.0,,,12-16,,K. Irving misses 2-pt shot from 13 ft
5:32.0,Defensive rebound by Y. Ferrell,,12-16,,
5:29.0,Y. Ferrell misses 2-pt shot from 2 ft (block by A. Horford),,12-16,,
5:29.0,Offensive rebound by H. Barnes,,12-16,,
5:22.0,H. Barnes makes 2-pt shot from 5 ft,2,14-16,,
5:19.0,,,14-16,,Turnover by M. Smart (bad pass)
5:01.0,H. Barnes misses 2-pt shot from 9 ft,,14-16,,
4:57.0,,,14-16,,Defensive rebound by S. Ojeleye
4:49.0,,,14-16,,Turnover by M. Smart (lost ball; steal by D. Smith)
4:42.0,Y. Ferrell makes 2-pt shot from 2 ft,2,16-16,,
4:27.0,,,16-16,,M. Smart misses 2-pt shot from 4 ft
4:26.0,Defensive rebound by Y. Ferrell,,16-16,,
4:24.0,Shooting foul by K. Irving (drawn by D. Smith),,16-16,,
4:24.0,Technical foul by D. Smith,,16-16,,
4:24.0,,,16-16,,Technical foul by K. Irving
4:24.0,D. Smith misses free throw 1 of 2,,16-16,,
4:24.0,Offensive rebound by Team,,16-16,,
4:24.0,,,16-16,,T. Rozier enters the game for M. Smart
4:24.0,D. Smith makes free throw 2 of 2,1,17-16,,
4:07.0,,,17-16,,Shooting foul by W. Matthews (drawn by J. Tatum)
4:07.0,Technical foul by W. Matthews,,17-16,,
4:07.0,,,17-17,1,J. Tatum makes free throw 1 of 2
4:07.0,,,17-18,1,K. Irving makes technical free throw
4:07.0,,,17-19,1,J. Tatum makes free throw 2 of 2
3:55.0,H. Barnes misses 2-pt shot from 21 ft,,17-19,,
3:50.0,,,17-19,,Defensive rebound by J. Tatum
3:44.0,,,17-19,,J. Tatum misses 2-pt shot from 9 ft
3:44.0,Defensive rebound by H. Barnes,,17-19,,
3:27.0,Shooting foul by T. Rozier (drawn by H. Barnes),,17-19,,
3:27.0,H. Barnes makes free throw 1 of 2,1,18-19,,
3:27.0,,,18-19,,S. Larkin enters the game for K. Irving
3:27.0,J. Barea enters the game for D. Smith,,18-19,,
3:27.0,D. Powell enters the game for W. Matthews,,18-19,,
3:27.0,D. Harris enters the game for M. Kleber,,18-19,,
3:27.0,H. Barnes misses free throw 2 of 2,,18-19,,
3:23.0,,,18-19,,Defensive rebound by A. Horford
3:13.0,,,18-19,,T. Rozier misses 3-pt shot from 24 ft
3:12.0,,,18-19,,Offensive rebound by J. Tatum
