time,LA Clippers,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Chriss vs. D. Jordan (T. Harris gains possession),,,,Jump ball: M. Chriss vs. D. Jordan (T. Harris gains possession)
11:38.0,T. Wallace makes 2-pt shot at rim (assist by T. Harris),2,2-0,,
11:22.0,,,2-0,,D. Bender misses 3-pt shot from 25 ft
11:19.0,,,2-0,,Offensive rebound by M. Chriss
11:18.0,,,2-2,2,M. Chriss makes 2-pt shot at rim
10:58.0,T. Harris misses 2-pt shot from 21 ft,,2-2,,
10:55.0,,,2-2,,Defensive rebound by M. Chriss
10:52.0,,,2-5,3,T. Daniels makes 3-pt shot from 22 ft (assist by J. Jackson)
10:31.0,Turnover by W. Johnson (bad pass),,2-5,,
10:16.0,,,2-7,2,D. Bender makes 2-pt shot at rim
10:03.0,A. Rivers misses 2-pt shot from 11 ft,,2-7,,
9:58.0,Offensive rebound by D. Jordan,,2-7,,
9:55.0,T. Harris makes 2-pt shot from 1 ft (assist by D. Jordan),2,4-7,,
9:41.0,,,4-9,2,T. Ulis makes 2-pt shot from 19 ft
9:31.0,Turnover by T. Wallace (bad pass),,4-9,,
9:23.0,,,4-9,,M. Chriss misses 3-pt shot from 26 ft
9:19.0,Defensive rebound by T. Harris,,4-9,,
9:10.0,T. Wallace makes 2-pt shot from 1 ft (assist by T. Harris),2,6-9,,
9:01.0,,,6-9,,T. Ulis misses 2-pt shot from 9 ft
8:59.0,Defensive rebound by D. Jordan,,6-9,,
8:56.0,,,6-9,,Personal foul by M. Chriss (drawn by T. Wallace)
8:39.0,W. Johnson misses 3-pt shot from 22 ft,,6-9,,
8:35.0,,,6-9,,Defensive rebound by T. Daniels
8:33.0,,,6-9,,Turnover by J. Jackson (bad pass)
8:19.0,T. Harris makes 3-pt shot from 24 ft (assist by A. Rivers),3,9-9,,
8:03.0,,,9-9,,Shooting foul by D. Jordan (drawn by J. Jackson)
8:03.0,,,9-10,1,J. Jackson makes free throw 1 of 2
8:03.0,,,9-10,,J. Jackson misses free throw 2 of 2
8:01.0,Defensive rebound by T. Wallace,,9-10,,
7:41.0,T. Harris misses 2-pt shot from 1 ft,,9-10,,
7:39.0,,,9-10,,Defensive rebound by M. Chriss
7:29.0,,,9-12,2,T. Ulis makes 2-pt shot from 11 ft
7:11.0,T. Harris makes 3-pt shot from 24 ft (assist by D. Jordan),3,12-12,,
6:59.0,,,12-14,2,J. Jackson makes 2-pt shot at rim
6:40.0,D. Jordan makes 2-pt shot at rim (assist by W. Johnson),2,14-14,,
6:40.0,,,14-14,,Phoenix full timeout
