time,Chicago,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Turner vs. R. Lopez (L. Markkanen gains possession),,,,Jump ball: M. Turner vs. R. Lopez (L. Markkanen gains possession)
11:44.0,L. Markkanen misses 2-pt shot from 17 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by V. Oladipo
11:28.0,,,0-0,,Turnover by M. Turner (traveling)
11:15.0,K. Dunn makes 2-pt shot from 12 ft,2,2-0,,
10:54.0,,,2-0,,Turnover by V. Oladipo (bad pass; steal by J. Holiday)
10:48.0,R. Lopez makes 2-pt shot from 1 ft (assist by K. Dunn),2,4-0,,
10:31.0,,,4-0,,M. Turner misses 2-pt shot from 17 ft
10:29.0,Defensive rebound by J. Holiday,,4-0,,
10:21.0,K. Dunn misses 2-pt shot from 1 ft (block by M. Turner),,4-0,,
10:21.0,,,4-0,,Defensive rebound by D. Collison
10:13.0,,,4-0,,V. Oladipo misses 3-pt shot from 24 ft
10:09.0,Defensive rebound by D. Valentine,,4-0,,
9:59.0,J. Holiday misses 2-pt shot from 17 ft,,4-0,,
9:56.0,,,4-0,,Defensive rebound by V. Oladipo
9:50.0,,,4-0,,D. Collison misses 2-pt shot from 17 ft
9:47.0,,,4-0,,Offensive rebound by T. Young
9:47.0,,,4-2,2,T. Young makes 2-pt shot from 6 ft
9:35.0,J. Holiday misses 3-pt shot from 27 ft,,4-2,,
9:32.0,,,4-2,,Defensive rebound by M. Turner
9:25.0,,,4-2,,Turnover by V. Oladipo (bad pass; steal by K. Dunn)
9:18.0,,,4-2,,Personal foul by T. Young (drawn by L. Markkanen)
9:03.0,L. Markkanen misses 3-pt shot from 25 ft,,4-2,,
8:59.0,Offensive rebound by R. Lopez,,4-2,,
8:59.0,R. Lopez misses 2-pt shot at rim,,4-2,,
8:59.0,Offensive rebound by R. Lopez,,4-2,,
8:56.0,R. Lopez makes 2-pt shot at rim,2,6-2,,
8:37.0,,,6-2,,T. Young misses 2-pt shot from 6 ft
8:34.0,Defensive rebound by R. Lopez,,6-2,,
8:25.0,R. Lopez makes 2-pt shot from 1 ft (assist by K. Dunn),2,8-2,,
8:10.0,,,8-2,,M. Turner misses 2-pt shot from 20 ft
8:06.0,,,8-2,,Offensive rebound by T. Young
8:05.0,Personal foul by K. Dunn (drawn by D. Collison),,8-2,,
7:55.0,,,8-4,2,M. Turner makes 2-pt shot at rim (assist by D. Collison)
7:45.0,D. Valentine makes 3-pt shot from 23 ft (assist by K. Dunn),3,11-4,,
7:38.0,,,11-4,,Indiana full timeout
7:29.0,,,11-4,,M. Turner misses 3-pt shot from 27 ft
7:27.0,Defensive rebound by J. Holiday,,11-4,,
7:15.0,Turnover by L. Markkanen (traveling),,11-4,,
7:03.0,,,11-4,,B. Bogdanovic misses 2-pt shot from 1 ft (block by D. Valentine)
7:02.0,Defensive rebound by Team,,11-4,,
6:46.0,D. Valentine makes 2-pt shot from 8 ft,2,13-4,,
6:32.0,,,13-7,3,T. Young makes 3-pt shot from 23 ft (assist by M. Turner)
6:17.0,L. Markkanen misses 2-pt shot at rim,,13-7,,
6:15.0,,,13-7,,Defensive rebound by T. Young
6:09.0,,,13-10,3,B. Bogdanovic makes 3-pt shot from 23 ft (assist by M. Turner)
6:08.0,Chicago full timeout,,13-10,,
5:50.0,Turnover by R. Lopez (turnover),,13-10,,
5:40.0,,,13-12,2,V. Oladipo makes 2-pt shot from 19 ft
5:29.0,R. Lopez makes 2-pt shot from 16 ft (assist by K. Dunn),2,15-12,,
5:15.0,,,15-12,,M. Turner misses 2-pt shot from 4 ft
5:13.0,Defensive rebound by L. Markkanen,,15-12,,
5:05.0,K. Dunn makes 3-pt shot from 27 ft (assist by L. Markkanen),3,18-12,,
4:45.0,,,18-12,,D. Collison misses 3-pt shot from 26 ft
4:42.0,Defensive rebound by J. Holiday,,18-12,,
4:37.0,,,18-12,,Personal foul by D. Collison (drawn by K. Dunn)
4:37.0,,,18-12,,C. Joseph enters the game for B. Bogdanovic
4:32.0,K. Dunn misses 2-pt shot from 1 ft (block by M. Turner),,18-12,,
4:30.0,,,18-12,,Defensive rebound by T. Young
4:23.0,,,18-12,,Shooting foul by D. Valentine (drawn by M. Turner)
4:23.0,,,18-13,1,M. Turner makes free throw 1 of 2
4:23.0,D. Nwaba enters the game for D. Valentine,,18-13,,
4:23.0,,,18-13,,M. Turner misses free throw 2 of 2
4:21.0,Defensive rebound by L. Markkanen,,18-13,,
4:08.0,Turnover by L. Markkanen (turnover),,18-13,,
4:08.0,,,18-13,,D. Sabonis enters the game for T. Young
3:58.0,,,18-13,,Turnover by V. Oladipo (out of bounds lost ball)
3:58.0,B. Portis enters the game for L. Markkanen,,18-13,,
3:45.0,Shooting foul by D. Collison (drawn by D. Nwaba),,18-13,,
3:45.0,D. Nwaba makes free throw 1 of 2,1,19-13,,
3:45.0,,,19-13,,L. Stephenson enters the game for D. Collison
3:45.0,D. Nwaba misses free throw 2 of 2,,19-13,,
3:43.0,,,19-13,,Defensive rebound by D. Sabonis
3:31.0,,,19-13,,V. Oladipo misses 2-pt shot at rim
3:29.0,Defensive rebound by R. Lopez,,19-13,,
3:22.0,K. Dunn makes 2-pt shot at rim,2,21-13,,
3:22.0,Shooting foul by M. Turner (drawn by K. Dunn),,21-13,,
3:22.0,K. Dunn makes free throw 1 of 1,1,22-13,,
3:06.0,,,22-13,,L. Stephenson misses 2-pt shot from 19 ft
3:06.0,Defensive rebound by K. Dunn,,22-13,,
2:59.0,R. Lopez misses 2-pt shot from 20 ft,,22-13,,
2:59.0,,,22-13,,Defensive rebound by L. Stephenson
2:46.0,,,22-16,3,V. Oladipo makes 3-pt shot from 28 ft
2:26.0,D. Nwaba misses 2-pt shot from 1 ft,,22-16,,
2:26.0,,,22-16,,Defensive rebound by Team
2:26.0,,,22-16,,T. Leaf enters the game for M. Turner
2:14.0,,,22-18,2,V. Oladipo makes 2-pt shot from 20 ft
1:51.0,B. Portis makes 3-pt shot from 27 ft (assist by K. Dunn),3,25-18,,
1:38.0,,,25-18,,Turnover by D. Sabonis (traveling)
1:38.0,J. Grant enters the game for K. Dunn,,25-18,,
1:24.0,D. Nwaba makes 2-pt shot from 4 ft,2,27-18,,
1:12.0,,,27-18,,D. Sabonis misses 2-pt shot from 20 ft
1:12.0,Defensive rebound by Team,,27-18,,
0:58.0,Shooting foul by T. Leaf (drawn by B. Portis),,27-18,,
0:58.0,B. Portis misses free throw 1 of 2,,27-18,,
0:58.0,Offensive rebound by Team,,27-18,,
0:58.0,P. Zipser enters the game for R. Lopez,,27-18,,
0:58.0,B. Portis makes free throw 2 of 2,1,28-18,,
0:42.0,,,28-18,,L. Stephenson misses 3-pt shot from 23 ft
0:40.0,Defensive rebound by P. Zipser,,28-18,,
0:32.0,Turnover by P. Zipser (traveling),,28-18,,
0:19.0,,,28-20,2,L. Stephenson makes 2-pt shot from 18 ft (assist by D. Sabonis)
0:03.0,,,28-20,,Personal foul by V. Oladipo (drawn by J. Holiday)
0:03.0,J. Holiday makes free throw 1 of 2,1,29-20,,
0:03.0,J. Holiday makes free throw 2 of 2,1,30-20,,
0:01.0,Personal take foul by J. Holiday (drawn by V. Oladipo),,30-20,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,,,30-22,2,D. Sabonis makes 2-pt shot from 17 ft (assist by C. Joseph)
11:22.0,B. Portis misses 2-pt shot from 19 ft,,30-22,,
11:21.0,,,30-22,,Defensive rebound by B. Bogdanovic
11:15.0,,,30-24,2,B. Bogdanovic makes 2-pt shot from 11 ft
10:57.0,B. Portis makes 2-pt shot from 1 ft (assist by D. Valentine),2,32-24,,
10:44.0,,,32-24,,B. Bogdanovic misses 2-pt shot from 9 ft
10:41.0,Defensive rebound by B. Portis,,32-24,,
10:36.0,B. Portis misses 3-pt shot from 26 ft,,32-24,,
10:33.0,,,32-24,,Defensive rebound by L. Stephenson
10:30.0,,,32-24,,Turnover by L. Stephenson (bad pass)
10:19.0,D. Nwaba makes 2-pt shot from 1 ft (assist by D. Valentine),2,34-24,,
10:00.0,,,34-24,,B. Bogdanovic misses 2-pt shot from 3 ft
9:57.0,Defensive rebound by B. Portis,,34-24,,
