time,Detroit,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Valanciunas vs. A. Drummond (B. Griffin gains possession),,,,Jump ball: J. Valanciunas vs. A. Drummond (B. Griffin gains possession)
11:48.0,S. Johnson misses 2-pt shot from 17 ft,,0-0,,
11:44.0,,,0-0,,Defensive rebound by J. Valanciunas
11:35.0,,,0-3,3,S. Ibaka makes 3-pt shot from 24 ft (assist by D. DeRozan)
11:05.0,A. Drummond makes 2-pt shot from 11 ft (assist by R. Bullock),2,2-3,,
10:49.0,,,2-5,2,D. DeRozan makes 2-pt shot from 2 ft
10:36.0,I. Smith makes 2-pt shot from 6 ft,2,4-5,,
10:22.0,,,4-5,,Turnover by D. DeRozan (step out of bounds)
10:16.0,I. Smith makes 2-pt shot from 16 ft,2,6-5,,
9:53.0,,,6-5,,S. Ibaka misses 2-pt shot from 9 ft
9:51.0,Defensive rebound by A. Drummond,,6-5,,
9:46.0,I. Smith misses 3-pt shot from 22 ft,,6-5,,
9:43.0,,,6-5,,Defensive rebound by S. Ibaka
9:27.0,,,6-5,,S. Ibaka misses 2-pt shot from 2 ft (block by A. Drummond)
9:27.0,,,6-5,,Offensive rebound by Team
9:24.0,,,6-5,,O. Anunoby misses 2-pt shot from 6 ft (block by A. Drummond)
9:21.0,Defensive rebound by R. Bullock,,6-5,,
9:20.0,S. Johnson misses 2-pt shot from 3 ft (block by D. DeRozan),,6-5,,
9:20.0,Offensive rebound by Team,,6-5,,
9:18.0,R. Bullock makes 2-pt shot from 14 ft (assist by I. Smith),2,8-5,,
9:06.0,,,8-8,3,K. Lowry makes 3-pt shot from 25 ft (assist by J. Valanciunas)
8:58.0,,,8-8,,Personal foul by S. Ibaka (drawn by B. Griffin)
8:50.0,I. Smith makes 2-pt shot from 4 ft,2,10-8,,
8:35.0,,,10-8,,Turnover by K. Lowry (bad pass; steal by R. Bullock)
8:28.0,,,10-8,,Personal foul by K. Lowry (drawn by A. Drummond)
8:13.0,B. Griffin makes 2-pt shot from 5 ft,2,12-8,,
7:51.0,,,12-8,,J. Valanciunas misses 2-pt shot from 21 ft
7:49.0,Defensive rebound by A. Drummond,,12-8,,
7:42.0,I. Smith misses 2-pt shot from 11 ft,,12-8,,
7:39.0,,,12-8,,Defensive rebound by S. Ibaka
7:33.0,,,12-8,,J. Valanciunas misses 2-pt shot from 10 ft
7:29.0,Defensive rebound by A. Drummond,,12-8,,
7:18.0,B. Griffin misses 3-pt shot from 25 ft,,12-8,,
7:16.0,,,12-8,,Defensive rebound by S. Ibaka
7:13.0,,,12-11,3,K. Lowry makes 3-pt shot from 25 ft
6:45.0,S. Johnson misses 2-pt shot from 10 ft,,12-11,,
6:42.0,,,12-11,,Defensive rebound by J. Valanciunas
6:34.0,,,12-11,,Turnover by D. DeRozan (lost ball; steal by A. Drummond)
6:31.0,S. Johnson makes 2-pt shot from 2 ft (assist by A. Drummond),2,14-11,,
6:31.0,,,14-11,,Toronto full timeout
6:15.0,Personal foul by A. Drummond (drawn by K. Lowry),,14-11,,
6:09.0,,,14-13,2,D. DeRozan makes 2-pt shot from 11 ft (assist by K. Lowry)
5:51.0,R. Bullock misses 2-pt shot from 13 ft,,14-13,,
5:49.0,,,14-13,,Defensive rebound by O. Anunoby
5:40.0,,,14-16,3,O. Anunoby makes 3-pt shot from 25 ft (assist by D. DeRozan)
5:28.0,R. Bullock makes 2-pt shot at rim (assist by I. Smith),2,16-16,,
5:02.0,,,16-16,,Turnover by J. Valanciunas (bad pass; steal by I. Smith)
4:59.0,I. Smith misses 2-pt shot from 1 ft,,16-16,,
4:55.0,,,16-16,,Defensive rebound by S. Ibaka
4:47.0,,,16-16,,D. DeRozan misses 3-pt shot from 22 ft
4:45.0,Defensive rebound by A. Drummond,,16-16,,
4:30.0,I. Smith misses 2-pt shot from 14 ft,,16-16,,
4:29.0,Offensive rebound by A. Drummond,,16-16,,
4:29.0,A. Drummond misses 2-pt shot at rim,,16-16,,
