time,LA Lakers,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: H. Whiteside vs. B. Lopez (J. Richardson gains possession),,,,Jump ball: H. Whiteside vs. B. Lopez (J. Richardson gains possession)
11:44.0,,,0-0,,Turnover by H. Whiteside (lost ball; steal by L. Ball)
11:38.0,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by B. Ingram),2,2-0,,
11:26.0,,,2-2,2,G. Dragic makes 2-pt shot from 6 ft
11:08.0,J. Randle misses 2-pt shot from 3 ft,,2-2,,
11:08.0,,,2-2,,Defensive rebound by H. Whiteside
10:52.0,,,2-2,,G. Dragic misses 3-pt shot from 23 ft
10:49.0,Defensive rebound by B. Ingram,,2-2,,
10:40.0,J. Randle makes 2-pt shot from 17 ft,2,4-2,,
10:16.0,,,4-2,,Shooting foul by J. Randle (drawn by H. Whiteside)
10:16.0,,,4-3,1,H. Whiteside makes free throw 1 of 2
10:16.0,,,4-4,1,H. Whiteside makes free throw 2 of 2
10:04.0,,,4-4,,Personal foul by K. Olynyk (drawn by B. Lopez)
9:59.0,B. Lopez makes 2-pt shot from 10 ft,2,6-4,,
9:43.0,,,6-4,,G. Dragic misses 3-pt shot from 23 ft
9:40.0,Defensive rebound by L. Ball,,6-4,,
9:34.0,B. Ingram makes 2-pt shot from 1 ft (assist by L. Ball),2,8-4,,
9:22.0,,,8-7,3,J. Richardson makes 3-pt shot from 25 ft (assist by G. Dragic)
9:07.0,J. Randle makes 2-pt shot from 3 ft (assist by L. Ball),2,10-7,,
9:07.0,Shooting foul by H. Whiteside (drawn by J. Randle),,10-7,,
9:07.0,J. Randle makes free throw 1 of 1,1,11-7,,
8:56.0,,,11-7,,Turnover by J. Winslow (bad pass; steal by L. Ball)
8:48.0,J. Randle makes 2-pt shot from 2 ft,2,13-7,,
8:34.0,,,13-7,,J. Richardson misses 3-pt shot from 26 ft
8:34.0,Defensive rebound by L. Ball,,13-7,,
