time,Phoenix,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Embiid vs. T. Chandler (M. Chriss gains possession),,,,Jump ball: J. Embiid vs. T. Chandler (M. Chriss gains possession)
11:44.0,M. Chriss misses 3-pt shot from 26 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by J. Embiid
11:33.0,,,0-0,,Turnover by J. Redick (traveling)
11:23.0,D. Booker makes 2-pt shot at rim (assist by T. Chandler),2,2-0,,
11:05.0,,,2-0,,J. Embiid misses 2-pt shot from 8 ft
11:03.0,Defensive rebound by D. Booker,,2-0,,
10:57.0,T. Ulis misses 2-pt shot from 15 ft,,2-0,,
10:53.0,,,2-0,,Defensive rebound by J. Redick
10:37.0,,,2-2,2,B. Simmons makes 2-pt shot from 8 ft (assist by R. Covington)
10:26.0,D. Booker misses 3-pt shot from 25 ft,,2-2,,
10:22.0,,,2-2,,Defensive rebound by B. Simmons
10:15.0,,,2-4,2,D. Saric makes 2-pt shot from 1 ft (assist by B. Simmons)
9:52.0,T. Ulis misses 3-pt shot from 25 ft,,2-4,,
9:50.0,Offensive rebound by T. Chandler,,2-4,,
9:46.0,T. Chandler makes 2-pt shot at rim (assist by T. Warren),2,4-4,,
9:30.0,,,4-6,2,B. Simmons makes 2-pt shot from 2 ft
9:20.0,T. Warren makes 2-pt shot from 14 ft (assist by T. Ulis),2,6-6,,
8:55.0,,,6-8,2,J. Embiid makes 2-pt shot from 10 ft
8:31.0,M. Chriss misses 2-pt shot from 3 ft,,6-8,,
8:31.0,,,6-8,,Defensive rebound by B. Simmons
8:23.0,,,6-8,,J. Redick misses 3-pt shot from 23 ft
8:21.0,Defensive rebound by T. Chandler,,6-8,,
8:16.0,D. Booker misses 2-pt shot from 3 ft,,6-8,,
8:11.0,Offensive rebound by M. Chriss,,6-8,,
8:11.0,M. Chriss misses 2-pt shot at rim,,6-8,,
8:11.0,,,6-8,,Defensive rebound by D. Saric
8:10.0,,,6-8,,R. Covington misses 2-pt shot from 14 ft
8:10.0,Defensive rebound by Team,,6-8,,
8:10.0,,,6-8,,Loose ball foul by D. Saric (drawn by T. Chandler)
8:10.0,,,6-8,,A. Johnson enters the game for J. Embiid
8:10.0,D. Bender enters the game for M. Chriss,,6-8,,
7:56.0,T. Warren makes 2-pt shot from 10 ft,2,8-8,,
7:46.0,,,8-10,2,B. Simmons makes 2-pt shot at rim
7:28.0,T. Warren makes 3-pt shot from 25 ft (assist by T. Ulis),3,11-10,,
7:08.0,,,11-10,,R. Covington misses 3-pt shot from 25 ft (block by D. Bender)
7:03.0,Defensive rebound by T. Warren,,11-10,,
6:57.0,Shooting foul by B. Simmons (drawn by T. Chandler),,11-10,,
6:57.0,,,11-10,,Philadelphia full timeout
6:57.0,,,11-10,,J. Bayless enters the game for D. Saric
6:57.0,,,11-10,,T. Luwawu-Cabarrot enters the game for J. Redick
6:57.0,J. Jackson enters the game for T. Warren,,11-10,,
6:57.0,T. Chandler misses free throw 1 of 2,,11-10,,
6:57.0,Offensive rebound by Team,,11-10,,
6:57.0,T. Chandler makes free throw 2 of 2,1,12-10,,
6:35.0,,,12-10,,Turnover by R. Covington (bad pass; steal by T. Chandler)
6:18.0,D. Booker misses 2-pt shot from 19 ft,,12-10,,
6:16.0,,,12-10,,Defensive rebound by B. Simmons
6:12.0,,,12-13,3,R. Covington makes 3-pt shot from 25 ft (assist by B. Simmons)
6:01.0,Turnover by T. Chandler (bad pass),,12-13,,
5:54.0,,,12-13,,Turnover by A. Johnson (bad pass; steal by J. Jackson)
5:49.0,J. Jackson misses 2-pt shot from 6 ft (block by A. Johnson),,12-13,,
5:45.0,,,12-13,,Defensive rebound by B. Simmons
5:42.0,,,12-13,,R. Covington misses 3-pt shot from 25 ft
5:42.0,Defensive rebound by J. Jackson,,12-13,,
5:27.0,T. Ulis makes 2-pt shot from 4 ft,2,14-13,,
5:13.0,,,14-15,2,B. Simmons makes 2-pt shot from 4 ft (assist by R. Covington)
5:05.0,D. Booker misses 2-pt shot from 4 ft,,14-15,,
5:03.0,,,14-15,,Defensive rebound by T. Luwawu-Cabarrot
4:57.0,,,14-15,,T. Luwawu-Cabarrot misses 2-pt shot from 17 ft
4:54.0,Defensive rebound by T. Chandler,,14-15,,
4:46.0,T. Ulis makes 2-pt shot from 9 ft (assist by T. Chandler),2,16-15,,
4:28.0,,,16-17,2,R. Covington makes 2-pt shot from 6 ft
4:23.0,,,16-17,,Personal foul by T. Luwawu-Cabarrot (drawn by D. Booker)
4:23.0,,,16-17,,J. Redick enters the game for A. Johnson
4:23.0,,,16-17,,D. Saric enters the game for B. Simmons
4:23.0,,,16-17,,J. Embiid enters the game for R. Covington
4:23.0,A. Len enters the game for T. Chandler,,16-17,,
4:14.0,D. Booker misses 2-pt shot from 10 ft,,16-17,,
4:13.0,Offensive rebound by A. Len,,16-17,,
4:11.0,A. Len makes 2-pt shot from 3 ft,2,18-17,,
3:57.0,,,18-17,,Turnover by J. Redick (bad pass; steal by D. Booker)
3:57.0,,,18-17,,Personal foul by J. Redick (drawn by J. Jackson)
3:41.0,A. Len makes 2-pt shot from 3 ft (assist by T. Ulis),2,20-17,,
3:41.0,Shooting foul by J. Bayless (drawn by A. Len),,20-17,,
3:41.0,A. Len makes free throw 1 of 1,1,21-17,,
3:26.0,Personal foul by A. Len (drawn by J. Embiid),,21-17,,
3:12.0,,,21-19,2,J. Embiid makes 2-pt shot from 5 ft
3:01.0,D. Booker misses 3-pt shot from 25 ft,,21-19,,
2:59.0,,,21-19,,Defensive rebound by D. Saric
2:52.0,,,21-19,,J. Embiid misses 2-pt shot from 20 ft
2:49.0,Defensive rebound by D. Booker,,21-19,,
2:47.0,D. Booker misses 3-pt shot from 25 ft,,21-19,,
2:43.0,,,21-19,,Defensive rebound by J. Embiid
2:35.0,,,21-19,,Offensive foul by J. Bayless (drawn by T. Ulis)
2:35.0,,,21-19,,Turnover by J. Bayless (offensive foul)
2:35.0,Phoenix full timeout,,21-19,,
2:35.0,T. Warren enters the game for T. Ulis,,21-19,,
2:20.0,J. Jackson makes 3-pt shot from 24 ft (assist by T. Warren),3,24-19,,
1:59.0,,,24-19,,J. Embiid misses 2-pt shot from 2 ft
1:57.0,,,24-19,,Offensive rebound by D. Saric
1:52.0,,,24-22,3,J. Bayless makes 3-pt shot from 26 ft (assist by D. Saric)
1:31.0,A. Len misses 2-pt shot from 4 ft (block by J. Embiid),,24-22,,
1:31.0,,,24-22,,Defensive rebound by Team
1:20.0,,,24-22,,Shooting foul by A. Len (drawn by J. Embiid)
1:20.0,,,24-23,1,J. Embiid makes free throw 1 of 2
1:20.0,,,24-23,,N. Stauskas enters the game for J. Bayless
1:20.0,T. Chandler enters the game for A. Len,,24-23,,
1:20.0,,,24-24,1,J. Embiid makes free throw 2 of 2
1:12.0,D. Booker misses 2-pt shot from 21 ft,,24-24,,
1:10.0,,,24-24,,Defensive rebound by J. Embiid
1:02.0,,,24-26,2,T. Luwawu-Cabarrot makes 2-pt shot from 1 ft (assist by J. Embiid)
