time,Phoenix,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. T. Chandler (B. Griffin gains possession),,,,Jump ball: D. Jordan vs. T. Chandler (B. Griffin gains possession)
11:41.0,,,0-0,,D. Gallinari misses 2-pt shot from 16 ft
11:39.0,Defensive rebound by T. Chandler,,0-0,,
11:18.0,Jump ball: P. Beverley vs. T. Warren (M. Teodosic gains possession),,,,Jump ball: P. Beverley vs. T. Warren (M. Teodosic gains possession)
11:18.0,Turnover by T. Warren (lost ball; steal by P. Beverley),,0-0,,
11:13.0,,,0-0,,P. Beverley misses 2-pt shot from 14 ft
11:11.0,Defensive rebound by E. Bledsoe,,0-0,,
10:58.0,T. Warren misses 2-pt shot from 14 ft,,0-0,,
10:54.0,,,0-0,,Defensive rebound by B. Griffin
10:48.0,,,0-0,,Turnover by D. Gallinari (bad pass; steal by J. Jackson)
10:43.0,Shooting foul by D. Jordan (drawn by J. Jackson),,0-0,,
10:43.0,J. Jackson misses free throw 1 of 2,,0-0,,
10:43.0,Offensive rebound by Team,,0-0,,
10:43.0,J. Jackson makes free throw 2 of 2,1,1-0,,
10:21.0,,,1-3,3,D. Gallinari makes 3-pt shot from 25 ft (assist by B. Griffin)
9:53.0,J. Jackson makes 2-pt shot from 2 ft (assist by T. Warren),2,3-3,,
9:44.0,,,3-5,2,M. Teodosic makes 2-pt shot from 10 ft
9:29.0,T. Chandler makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,5-5,,
9:18.0,,,5-5,,D. Gallinari misses 2-pt shot from 12 ft
9:10.0,,,5-5,,Offensive rebound by D. Gallinari
9:10.0,,,5-5,,D. Gallinari misses 2-pt shot at rim
9:10.0,Defensive rebound by T. Chandler,,5-5,,
9:08.0,T. Warren makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,7-5,,
8:42.0,,,7-5,,B. Griffin misses 3-pt shot from 25 ft
8:37.0,Defensive rebound by T. Chandler,,7-5,,
8:32.0,D. Booker misses 3-pt shot from 26 ft,,7-5,,
8:29.0,,,7-5,,Defensive rebound by D. Jordan
8:28.0,Personal foul by J. Jackson (drawn by B. Griffin),,7-5,,
8:15.0,,,7-8,3,B. Griffin makes 3-pt shot from 23 ft (assist by M. Teodosic)
7:56.0,T. Warren misses 2-pt shot from 15 ft,,7-8,,
7:53.0,,,7-8,,Defensive rebound by D. Jordan
7:50.0,,,7-11,3,P. Beverley makes 3-pt shot from 25 ft
7:29.0,Offensive foul by T. Chandler (drawn by P. Beverley),,7-11,,
7:29.0,Turnover by T. Chandler (offensive foul),,7-11,,
7:29.0,M. Chriss enters the game for J. Jackson,,7-11,,
7:20.0,,,7-11,,M. Teodosic misses 2-pt shot from 17 ft
7:18.0,Defensive rebound by T. Chandler,,7-11,,
7:18.0,,,7-11,,Personal foul by M. Teodosic (drawn by T. Chandler)
7:04.0,E. Bledsoe misses 3-pt shot from 24 ft,,7-11,,
7:02.0,,,7-11,,Defensive rebound by D. Jordan
6:55.0,,,7-11,,Turnover by M. Teodosic (bad pass; steal by M. Chriss)
6:48.0,D. Booker misses 3-pt shot from 26 ft,,7-11,,
6:45.0,,,7-11,,Defensive rebound by D. Jordan
6:36.0,,,7-11,,B. Griffin misses 2-pt shot from 16 ft
6:36.0,Defensive rebound by T. Warren,,7-11,,
6:29.0,T. Warren makes 2-pt shot from 17 ft,2,9-11,,
6:29.0,,,9-11,,LA Clippers full timeout
6:29.0,,,9-11,,A. Rivers enters the game for M. Teodosic
6:29.0,M. James enters the game for E. Bledsoe,,9-11,,
6:07.0,,,9-14,3,D. Gallinari makes 3-pt shot from 25 ft (assist by B. Griffin)
5:42.0,M. Chriss makes 3-pt shot from 22 ft (assist by T. Warren),3,12-14,,
5:38.0,Personal foul by M. Chriss (drawn by B. Griffin),,12-14,,
5:34.0,Personal foul by M. James (drawn by P. Beverley),,12-14,,
5:20.0,,,12-14,,B. Griffin misses 2-pt shot from 3 ft
5:15.0,Defensive rebound by D. Booker,,12-14,,
5:13.0,M. James misses 3-pt shot from 25 ft,,12-14,,
5:07.0,,,12-14,,Defensive rebound by D. Jordan
5:05.0,Personal foul by M. Chriss (drawn by B. Griffin),,12-14,,
4:53.0,,,12-16,2,P. Beverley makes 2-pt shot at rim
4:35.0,,,12-16,,Personal block foul by D. Gallinari (drawn by T. Warren)
4:26.0,M. Chriss misses 2-pt shot from 6 ft,,12-16,,
4:23.0,,,12-16,,Defensive rebound by D. Jordan
4:13.0,,,12-16,,Turnover by B. Griffin (traveling)
4:13.0,,,12-16,,L. Williams enters the game for D. Gallinari
4:13.0,,,12-16,,W. Johnson enters the game for P. Beverley
4:13.0,A. Len enters the game for T. Chandler,,12-16,,
3:55.0,,,12-16,,Personal foul by W. Johnson (drawn by D. Booker)
3:47.0,D. Booker makes 2-pt shot from 8 ft (assist by M. James),2,14-16,,
3:30.0,,,14-16,,B. Griffin misses 3-pt shot from 24 ft
