time,Denver,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. P. Millsap (M. Williams gains possession),,,,Jump ball: D. Howard vs. P. Millsap (M. Williams gains possession)
11:33.0,,,0-0,,J. Lamb misses 2-pt shot from 16 ft
11:29.0,Defensive rebound by P. Millsap,,0-0,,
11:26.0,J. Murray misses 3-pt shot from 24 ft,,0-0,,
11:22.0,Offensive rebound by N. Jokic,,0-0,,
11:16.0,G. Harris misses 3-pt shot from 25 ft,,0-0,,
11:11.0,,,0-0,,Defensive rebound by D. Howard
11:02.0,,,0-0,,M. Kidd-Gilchrist misses 2-pt shot from 2 ft
10:57.0,,,0-0,,Offensive rebound by D. Howard
10:57.0,,,0-2,2,D. Howard makes 2-pt shot at rim
10:43.0,Shooting foul by M. Williams (drawn by P. Millsap),,0-2,,
10:43.0,P. Millsap misses free throw 1 of 2,,0-2,,
10:43.0,Offensive rebound by Team,,0-2,,
10:43.0,P. Millsap makes free throw 2 of 2,1,1-2,,
10:34.0,,,1-4,2,M. Williams makes 2-pt shot from 1 ft (assist by K. Walker)
10:21.0,J. Murray makes 2-pt shot at rim,2,3-4,,
10:07.0,,,3-4,,Turnover by D. Howard (traveling)
9:50.0,,,3-4,,Personal foul by D. Howard (drawn by G. Harris)
9:39.0,J. Murray misses 2-pt shot from 1 ft,,3-4,,
9:35.0,,,3-4,,Defensive rebound by D. Howard
9:30.0,,,3-4,,K. Walker misses 3-pt shot from 25 ft
9:26.0,Defensive rebound by W. Chandler,,3-4,,
9:19.0,Turnover by N. Jokic (bad pass; steal by M. Williams),,3-4,,
9:10.0,,,3-4,,M. Kidd-Gilchrist misses 2-pt shot from 1 ft
9:07.0,Defensive rebound by N. Jokic,,3-4,,
9:00.0,P. Millsap makes 3-pt shot from 25 ft (assist by W. Chandler),3,6-4,,
8:39.0,,,6-4,,M. Kidd-Gilchrist misses 2-pt shot from 18 ft
8:37.0,Defensive rebound by P. Millsap,,6-4,,
8:16.0,J. Murray makes 2-pt shot from 1 ft,2,8-4,,
8:02.0,,,8-7,3,K. Walker makes 3-pt shot from 25 ft
7:44.0,J. Murray makes 2-pt shot from 8 ft,2,10-7,,
7:27.0,,,10-7,,Offensive foul by D. Howard (drawn by N. Jokic)
7:27.0,,,10-7,,Turnover by D. Howard (offensive foul)
7:27.0,,,10-7,,D. Bacon enters the game for M. Kidd-Gilchrist
7:10.0,J. Murray misses 2-pt shot from 10 ft,,10-7,,
7:07.0,Offensive rebound by Team,,10-7,,
7:01.0,P. Millsap misses 2-pt shot from 20 ft,,10-7,,
6:57.0,,,10-7,,Defensive rebound by D. Howard
6:52.0,,,10-7,,M. Williams misses 3-pt shot from 23 ft
6:45.0,,,10-7,,Offensive rebound by D. Howard
6:45.0,,,10-9,2,D. Howard makes 2-pt shot at rim
6:38.0,W. Chandler misses 3-pt shot from 26 ft,,10-9,,
6:38.0,,,10-9,,Defensive rebound by Team
6:38.0,Loose ball foul by P. Millsap (drawn by M. Williams),,10-9,,
6:38.0,,,10-9,,Charlotte full timeout
6:18.0,,,10-9,,D. Bacon misses 2-pt shot from 15 ft
6:16.0,,,10-9,,Offensive rebound by D. Howard
6:05.0,,,10-12,3,M. Williams makes 3-pt shot from 23 ft (assist by K. Walker)
5:42.0,N. Jokic makes 2-pt shot from 13 ft,2,12-12,,
5:23.0,,,12-12,,Shooting foul by W. Chandler (drawn by J. Lamb)
5:23.0,,,12-13,1,J. Lamb makes free throw 1 of 2
5:23.0,M. Plumlee enters the game for N. Jokic,,12-13,,
5:23.0,W. Barton enters the game for W. Chandler,,12-13,,
5:23.0,,,12-13,,J. Lamb misses free throw 2 of 2
5:20.0,Defensive rebound by P. Millsap,,12-13,,
5:03.0,Turnover by M. Plumlee (turnover),,12-13,,
5:03.0,,,12-13,,F. Kaminsky enters the game for M. Williams
4:49.0,,,12-13,,D. Howard misses 2-pt shot from 5 ft
4:45.0,Defensive rebound by P. Millsap,,12-13,,
4:34.0,G. Harris misses 3-pt shot from 27 ft,,12-13,,
4:31.0,,,12-13,,Defensive rebound by D. Howard
4:21.0,,,12-16,3,J. Lamb makes 3-pt shot from 25 ft (assist by K. Walker)
4:09.0,Turnover by G. Harris (traveling),,12-16,,
4:09.0,,,12-16,,M. Monk enters the game for D. Howard
4:09.0,,,12-16,,J. O'Bryant enters the game for K. Walker
4:09.0,E. Mudiay enters the game for J. Murray,,12-16,,
3:51.0,,,12-18,2,F. Kaminsky makes 2-pt shot from 8 ft
3:50.0,Denver full timeout,,12-18,,
3:37.0,Turnover by M. Plumlee (lost ball; steal by M. Monk),,12-18,,
3:34.0,,,12-20,2,M. Monk makes 2-pt shot from 1 ft
3:34.0,Violation by M. Plumlee (def goaltending),,12-20,,
3:13.0,M. Plumlee misses 2-pt shot from 7 ft,,12-20,,
3:10.0,,,12-20,,Defensive rebound by J. O'Bryant
3:05.0,,,12-23,3,J. O'Bryant makes 3-pt shot from 25 ft (assist by M. Monk)
2:47.0,P. Millsap makes 2-pt shot from 5 ft,2,14-23,,
2:26.0,,,14-23,,M. Monk misses 3-pt shot from 24 ft
2:23.0,Defensive rebound by E. Mudiay,,14-23,,
2:12.0,P. Millsap misses 2-pt shot from 7 ft,,14-23,,
2:09.0,,,14-23,,Defensive rebound by D. Bacon
2:07.0,Personal foul by W. Barton (drawn by D. Bacon),,14-23,,
2:07.0,,,14-23,,T. Graham enters the game for J. Lamb
2:07.0,N. Jokic enters the game for G. Harris,,14-23,,
2:07.0,W. Chandler enters the game for P. Millsap,,14-23,,
2:01.0,,,14-23,,M. Monk misses 3-pt shot from 25 ft
1:58.0,Defensive rebound by M. Plumlee,,14-23,,
1:50.0,W. Barton makes 2-pt shot from 2 ft,2,16-23,,
1:50.0,Shooting foul by M. Monk (drawn by W. Barton),,16-23,,
1:50.0,W. Barton makes free throw 1 of 1,1,17-23,,
1:35.0,,,17-25,2,J. O'Bryant makes 2-pt shot from 18 ft
