time,Toronto,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Porzingis vs. J. Valanciunas (D. DeRozan gains possession),,,,Jump ball: K. Porzingis vs. J. Valanciunas (D. DeRozan gains possession)
11:42.0,J. Valanciunas makes 2-pt shot from 8 ft,2,2-0,,
11:21.0,,,2-2,2,E. Kanter makes 2-pt shot from 1 ft (assist by T. Hardaway)
11:06.0,,,2-2,,Personal foul by E. Kanter (drawn by J. Valanciunas)
11:01.0,Shooting foul by K. Porzingis (drawn by D. DeRozan),,2-2,,
11:01.0,D. DeRozan misses free throw 1 of 2,,2-2,,
11:01.0,Offensive rebound by Team,,2-2,,
11:01.0,D. DeRozan makes free throw 2 of 2,1,3-2,,
10:46.0,,,3-4,2,C. Lee makes 2-pt shot from 3 ft
10:30.0,D. DeRozan misses 2-pt shot from 4 ft (block by K. Porzingis),,3-4,,
10:29.0,,,3-4,,Defensive rebound by T. Hardaway
10:25.0,,,3-6,2,K. Porzingis makes 2-pt shot at rim (assist by C. Lee)
10:08.0,O. Anunoby makes 3-pt shot from 23 ft (assist by J. Valanciunas),3,6-6,,
9:51.0,,,6-6,,T. Hardaway misses 2-pt shot from 13 ft
9:50.0,Defensive rebound by K. Lowry,,6-6,,
9:45.0,K. Lowry misses 3-pt shot from 26 ft,,6-6,,
9:44.0,,,6-6,,Defensive rebound by K. Porzingis
9:36.0,Personal foul by O. Anunoby (drawn by T. Hardaway),,6-6,,
9:32.0,,,6-6,,J. Jack misses 2-pt shot from 10 ft
9:31.0,Defensive rebound by K. Lowry,,6-6,,
9:26.0,S. Ibaka misses 2-pt shot from 16 ft,,6-6,,
9:22.0,Offensive rebound by J. Valanciunas,,6-6,,
9:22.0,J. Valanciunas misses 2-pt shot from 1 ft,,6-6,,
9:22.0,Offensive rebound by J. Valanciunas,,6-6,,
9:17.0,J. Valanciunas makes 2-pt shot at rim,2,8-6,,
8:59.0,,,8-8,2,J. Jack makes 2-pt shot from 15 ft
8:46.0,D. DeRozan makes 2-pt shot from 1 ft (assist by K. Lowry),2,10-8,,
8:25.0,,,10-8,,E. Kanter misses 2-pt shot from 5 ft (block by J. Valanciunas)
8:25.0,Defensive rebound by Team,,10-8,,
8:05.0,D. DeRozan makes 3-pt shot from 25 ft,3,13-8,,
7:42.0,,,13-11,3,T. Hardaway makes 3-pt shot from 25 ft
7:31.0,D. DeRozan misses 2-pt shot from 2 ft,,13-11,,
7:28.0,Offensive rebound by D. DeRozan,,13-11,,
7:26.0,S. Ibaka misses 3-pt shot from 24 ft,,13-11,,
7:24.0,,,13-11,,Defensive rebound by E. Kanter
7:17.0,,,13-13,2,E. Kanter makes 2-pt shot at rim (assist by C. Lee)
7:02.0,D. DeRozan makes 3-pt shot from 26 ft (assist by K. Lowry),3,16-13,,
6:49.0,,,16-15,2,T. Hardaway makes 2-pt shot from 16 ft (assist by C. Lee)
6:38.0,S. Ibaka misses 3-pt shot from 24 ft,,16-15,,
6:35.0,,,16-15,,Defensive rebound by C. Lee
6:28.0,,,16-15,,K. Porzingis misses 2-pt shot from 11 ft
6:27.0,Defensive rebound by K. Lowry,,16-15,,
6:22.0,Shooting foul by T. Hardaway (drawn by K. Lowry),,16-15,,
6:22.0,,,16-15,,New York full timeout
6:22.0,K. Lowry makes free throw 1 of 2,1,17-15,,
6:22.0,K. Lowry misses free throw 2 of 2,,17-15,,
6:20.0,,,17-15,,Defensive rebound by K. Porzingis
6:02.0,,,17-15,,Shooting foul by S. Ibaka (drawn by K. Porzingis)
6:02.0,,,17-16,1,K. Porzingis makes free throw 1 of 2
6:02.0,,,17-17,1,K. Porzingis makes free throw 2 of 2
5:38.0,D. DeRozan misses 3-pt shot from 28 ft,,17-17,,
5:37.0,,,17-17,,Defensive rebound by Team
5:23.0,,,17-17,,T. Hardaway misses 3-pt shot from 23 ft
5:20.0,,,17-17,,Offensive rebound by K. Porzingis
5:18.0,,,17-17,,C. Lee misses 3-pt shot from 25 ft
5:17.0,Defensive rebound by O. Anunoby,,17-17,,
5:07.0,J. Valanciunas makes 2-pt shot from 3 ft (assist by O. Anunoby),2,19-17,,
4:55.0,,,19-17,,E. Kanter misses 2-pt shot from 3 ft (block by J. Valanciunas)
4:55.0,Defensive rebound by K. Lowry,,19-17,,
4:48.0,Offensive charge foul by J. Valanciunas (drawn by K. Porzingis),,19-17,,
4:48.0,Turnover by J. Valanciunas (offensive foul),,19-17,,
4:48.0,N. Powell enters the game for O. Anunoby,,19-17,,
4:35.0,,,19-17,,Shooting foul by N. Powell (drawn by T. Hardaway)
4:35.0,,,19-17,,T. Hardaway misses free throw 1 of 2
4:35.0,,,19-17,,Offensive rebound by Team
4:35.0,,,19-18,1,T. Hardaway makes free throw 2 of 2
4:25.0,Turnover by J. Valanciunas (lost ball; steal by E. Kanter),,19-18,,
4:22.0,,,19-18,,T. Hardaway misses 2-pt shot from 5 ft (block by S. Ibaka)
4:22.0,,,19-18,,Offensive rebound by Team
4:22.0,,,19-18,,K. O'Quinn enters the game for E. Kanter
4:22.0,,,19-18,,D. McDermott enters the game for T. Hardaway
4:18.0,,,19-18,,K. O'Quinn misses 2-pt shot from 11 ft
4:15.0,Defensive rebound by D. DeRozan,,19-18,,
4:09.0,D. DeRozan makes 2-pt shot from 1 ft,2,21-18,,
3:55.0,,,21-20,2,K. Porzingis makes 2-pt shot from 11 ft
3:42.0,S. Ibaka misses 2-pt shot from 4 ft,,21-20,,
3:39.0,,,21-20,,Defensive rebound by K. Porzingis
3:35.0,,,21-20,,J. Jack misses 3-pt shot from 25 ft
3:31.0,Defensive rebound by K. Lowry,,21-20,,
3:26.0,S. Ibaka misses 3-pt shot from 25 ft,,21-20,,
3:26.0,,,21-20,,Defensive rebound by K. O'Quinn
3:14.0,,,21-20,,D. McDermott misses 3-pt shot from 23 ft
3:14.0,Defensive rebound by J. Valanciunas,,21-20,,
3:07.0,Toronto full timeout,,21-20,,
3:07.0,,,21-20,,F. Ntilikina enters the game for J. Jack
3:07.0,P. Siakam enters the game for S. Ibaka,,21-20,,
3:07.0,L. Nogueira enters the game for J. Valanciunas,,21-20,,
2:58.0,K. Lowry misses 3-pt shot from 25 ft,,21-20,,
2:56.0,,,21-20,,Defensive rebound by D. McDermott
2:44.0,,,21-20,,K. Porzingis misses 2-pt shot from 8 ft
2:40.0,Defensive rebound by D. DeRozan,,21-20,,
2:36.0,N. Powell makes 3-pt shot from 25 ft (assist by D. DeRozan),3,24-20,,
2:15.0,,,24-22,2,F. Ntilikina makes 2-pt shot from 22 ft (assist by C. Lee)
2:00.0,N. Powell makes 3-pt shot from 24 ft (assist by P. Siakam),3,27-22,,
1:45.0,,,27-22,,K. O'Quinn misses 2-pt shot from 14 ft
1:42.0,Defensive rebound by K. Lowry,,27-22,,
1:38.0,P. Siakam makes 2-pt shot from 1 ft (assist by D. DeRozan),2,29-22,,
1:20.0,,,29-22,,K. Porzingis misses 3-pt shot from 26 ft
1:16.0,Defensive rebound by D. DeRozan,,29-22,,
1:08.0,K. Lowry misses 3-pt shot from 25 ft,,29-22,,
1:07.0,Offensive rebound by P. Siakam,,29-22,,
0:55.0,N. Powell makes 3-pt shot from 26 ft (assist by P. Siakam),3,32-22,,
0:35.0,,,32-22,,F. Ntilikina misses 3-pt shot from 24 ft
0:35.0,,,32-22,,Offensive rebound by D. McDermott
0:32.0,,,32-24,2,D. McDermott makes 2-pt shot at rim
0:28.0,K. Lowry makes 2-pt shot from 2 ft,2,34-24,,
0:24.0,,,34-26,2,C. Lee makes 2-pt shot from 1 ft (assist by K. O'Quinn)
0:04.0,D. DeRozan misses 3-pt shot from 24 ft,,34-26,,
0:02.0,,,34-26,,Defensive rebound by K. Porzingis
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,34-26,,Offensive foul by K. O'Quinn (drawn by F. VanVleet)
11:41.0,,,34-26,,Turnover by K. O'Quinn (offensive foul)
11:17.0,F. VanVleet makes 3-pt shot from 25 ft (assist by P. Siakam),3,37-26,,
11:06.0,Personal foul by P. Siakam (drawn by D. McDermott),,37-26,,
10:56.0,,,37-28,2,T. Hardaway makes 2-pt shot from 1 ft (assist by K. O'Quinn)
10:45.0,C. Miles misses 3-pt shot from 22 ft,,37-28,,
10:44.0,,,37-28,,Defensive rebound by L. Thomas
10:39.0,Personal foul by C. Miles (drawn by T. Hardaway),,37-28,,
10:30.0,,,37-28,,L. Thomas misses 3-pt shot from 22 ft
10:29.0,Defensive rebound by N. Powell,,37-28,,
10:18.0,N. Powell misses 3-pt shot from 26 ft,,37-28,,
10:17.0,,,37-28,,Defensive rebound by K. O'Quinn
10:12.0,,,37-28,,Shooting foul by F. VanVleet (drawn by T. Hardaway)
10:12.0,,,37-28,,T. Hardaway misses free throw 1 of 2
10:12.0,,,37-28,,Offensive rebound by Team
10:12.0,J. Poeltl enters the game for L. Nogueira,,37-28,,
10:12.0,,,37-29,1,T. Hardaway makes free throw 2 of 2
10:03.0,F. VanVleet makes 2-pt shot from 1 ft,2,39-29,,
9:43.0,,,39-31,2,T. Hardaway makes 2-pt shot from 20 ft (assist by K. O'Quinn)
9:29.0,Offensive foul by J. Poeltl (drawn by F. Ntilikina),,39-31,,
9:29.0,Turnover by J. Poeltl (offensive foul),,39-31,,
9:08.0,,,39-31,,T. Hardaway misses 3-pt shot from 27 ft
9:07.0,,,39-31,,Offensive rebound by L. Thomas
9:04.0,,,39-31,,L. Thomas misses 2-pt shot from 1 ft
9:03.0,Defensive rebound by P. Siakam,,39-31,,
8:54.0,C. Miles makes 3-pt shot from 27 ft (assist by P. Siakam),3,42-31,,
8:38.0,,,42-33,2,D. McDermott makes 2-pt shot from 12 ft
8:20.0,Turnover by J. Poeltl (lost ball; steal by L. Thomas),,42-33,,
8:12.0,,,42-35,2,T. Hardaway makes 2-pt shot from 4 ft
7:56.0,Turnover by N. Powell (traveling),,42-35,,
