time,Memphis,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. M. Gasol (M. Chriss gains possession),,,,Jump ball: T. Chandler vs. M. Gasol (M. Chriss gains possession)
11:47.0,,,0-2,2,D. Booker makes 2-pt shot from 15 ft (assist by T. Ulis)
11:29.0,M. Gasol makes 2-pt shot from 21 ft (assist by B. Wright),2,2-2,,
11:01.0,,,2-2,,T. Ulis misses 2-pt shot from 12 ft (block by B. Wright)
11:01.0,,,2-2,,Offensive rebound by Team
11:01.0,,,2-2,,Turnover by Team (shot clock)
10:43.0,D. Brooks makes 2-pt shot from 21 ft,2,4-2,,
10:32.0,,,4-2,,T. Warren misses 2-pt shot from 1 ft
10:28.0,Defensive rebound by M. Gasol,,4-2,,
10:21.0,D. Brooks misses 3-pt shot from 25 ft,,4-2,,
10:18.0,,,4-2,,Defensive rebound by D. Booker
10:12.0,,,4-2,,M. Chriss misses 2-pt shot from 7 ft
10:09.0,Defensive rebound by T. Evans,,4-2,,
9:49.0,T. Evans misses 2-pt shot from 7 ft,,4-2,,
9:47.0,,,4-2,,Defensive rebound by T. Chandler
9:41.0,,,4-4,2,T. Ulis makes 2-pt shot from 17 ft
9:21.0,D. Brooks misses 2-pt shot from 2 ft (block by T. Chandler),,4-4,,
9:21.0,Offensive rebound by Team,,4-4,,
9:16.0,T. Evans makes 2-pt shot from 22 ft,2,6-4,,
8:49.0,,,6-4,,Turnover by T. Ulis (bad pass)
8:28.0,M. Gasol makes 2-pt shot from 20 ft (assist by T. Evans),2,8-4,,
8:20.0,,,8-4,,D. Booker misses 2-pt shot from 3 ft
8:20.0,,,8-4,,Offensive rebound by Team
8:20.0,Loose ball foul by D. Brooks (drawn by T. Chandler),,8-4,,
8:18.0,Personal foul by A. Harrison (drawn by D. Booker),,8-4,,
8:13.0,,,8-4,,Turnover by D. Booker (bad pass)
8:00.0,B. Wright misses 2-pt shot from 11 ft,,8-4,,
7:58.0,,,8-4,,Defensive rebound by T. Chandler
7:51.0,,,8-6,2,T. Chandler makes 2-pt shot at rim (assist by D. Booker)
7:31.0,T. Evans misses 2-pt shot from 2 ft,,8-6,,
7:30.0,,,8-6,,Defensive rebound by M. Chriss
7:25.0,,,8-9,3,D. Booker makes 3-pt shot from 26 ft (assist by T. Ulis)
7:05.0,B. Wright makes 2-pt shot from 1 ft (assist by A. Harrison),2,10-9,,
6:52.0,,,10-12,3,T. Ulis makes 3-pt shot from 25 ft (assist by D. Booker)
6:36.0,Shooting foul by T. Ulis (drawn by A. Harrison),,10-12,,
6:36.0,,,10-12,,Phoenix full timeout
