time,Portland,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Towns vs. J. Nurkic (D. Lillard gains possession),,,,Jump ball: K. Towns vs. J. Nurkic (D. Lillard gains possession)
11:36.0,Turnover by A. Aminu (out of bounds lost ball),,0-0,,
11:24.0,,,0-0,,K. Towns misses 2-pt shot from 14 ft
11:20.0,,,0-0,,Offensive rebound by J. Teague
11:09.0,,,0-0,,J. Butler misses 2-pt shot from 5 ft
11:03.0,,,0-0,,Offensive rebound by K. Towns
11:03.0,,,0-0,,K. Towns misses 2-pt shot from 1 ft
11:01.0,Defensive rebound by A. Aminu,,0-0,,
10:51.0,J. Nurkic makes 2-pt shot from 2 ft (assist by D. Lillard),2,2-0,,
10:30.0,,,2-0,,A. Wiggins misses 2-pt shot from 19 ft (block by C. McCollum)
10:30.0,,,2-0,,Offensive rebound by Team
10:28.0,,,2-2,2,J. Butler makes 2-pt shot from 17 ft (assist by J. Teague)
10:12.0,J. Nurkic makes 2-pt shot from 1 ft (assist by D. Lillard),2,4-2,,
9:55.0,,,4-4,2,A. Wiggins makes 2-pt shot at rim (assist by J. Butler)
9:43.0,,,4-4,,Personal foul by T. Gibson (drawn by A. Aminu)
9:36.0,C. McCollum misses 3-pt shot from 24 ft,,4-4,,
9:32.0,,,4-4,,Defensive rebound by A. Wiggins
9:19.0,,,4-7,3,J. Butler makes 3-pt shot from 24 ft (assist by K. Towns)
9:05.0,J. Nurkic makes 2-pt shot from 1 ft (assist by D. Lillard),2,6-7,,
8:55.0,,,6-7,,Turnover by J. Teague (bad pass; steal by E. Turner)
8:50.0,Turnover by E. Turner (lost ball; steal by J. Butler),,6-7,,
8:38.0,,,6-7,,A. Wiggins misses 2-pt shot from 6 ft
8:35.0,Defensive rebound by A. Aminu,,6-7,,
8:30.0,A. Aminu makes 2-pt shot from 1 ft (assist by D. Lillard),2,8-7,,
8:13.0,,,8-10,3,J. Butler makes 3-pt shot from 23 ft (assist by J. Teague)
8:00.0,J. Nurkic misses 2-pt shot from 20 ft,,8-10,,
8:00.0,,,8-10,,Defensive rebound by J. Butler
7:47.0,,,8-12,2,T. Gibson makes 2-pt shot at rim
7:34.0,A. Aminu makes 3-pt shot from 26 ft (assist by D. Lillard),3,11-12,,
7:22.0,,,11-12,,J. Teague misses 2-pt shot from 15 ft
7:21.0,Defensive rebound by D. Lillard,,11-12,,
7:16.0,D. Lillard misses 2-pt shot from 1 ft,,11-12,,
7:13.0,,,11-12,,Defensive rebound by T. Gibson
7:04.0,,,11-12,,Shooting foul by A. Aminu (drawn by J. Butler)
7:04.0,,,11-13,1,J. Butler makes free throw 1 of 2
7:04.0,,,11-14,1,J. Butler makes free throw 2 of 2
6:44.0,A. Aminu misses 2-pt shot from 1 ft,,11-14,,
6:42.0,,,11-14,,Defensive rebound by K. Towns
6:31.0,,,11-16,2,T. Gibson makes 2-pt shot at rim
6:07.0,C. McCollum misses 3-pt shot from 24 ft,,11-16,,
6:05.0,,,11-16,,Defensive rebound by K. Towns
5:50.0,,,11-16,,A. Wiggins misses 2-pt shot from 2 ft (block by D. Lillard)
5:47.0,Defensive rebound by C. McCollum,,11-16,,
5:46.0,C. McCollum makes 2-pt shot from 1 ft,2,13-16,,
5:29.0,,,13-16,,Turnover by K. Towns (offensive goaltending)
5:29.0,,,13-16,,Minnesota full timeout
5:29.0,E. Davis enters the game for E. Turner,,13-16,,
5:29.0,Z. Collins enters the game for J. Nurkic,,13-16,,
5:08.0,Turnover by E. Davis (lost ball; steal by J. Butler),,13-16,,
5:03.0,,,13-16,,Turnover by K. Towns (lost ball; steal by C. McCollum)
4:54.0,A. Aminu misses 2-pt shot from 10 ft,,13-16,,
4:51.0,Offensive rebound by E. Davis,,13-16,,
4:51.0,E. Davis makes 2-pt shot at rim,2,15-16,,
4:32.0,,,15-18,2,T. Gibson makes 2-pt shot from 16 ft (assist by J. Butler)
4:12.0,D. Lillard misses 3-pt shot from 25 ft,,15-18,,
4:10.0,,,15-18,,Defensive rebound by K. Towns
4:02.0,,,15-20,2,J. Teague makes 2-pt shot from 1 ft
3:51.0,C. McCollum misses 2-pt shot from 10 ft,,15-20,,
3:47.0,,,15-20,,Defensive rebound by A. Wiggins
3:36.0,,,15-20,,K. Towns misses 3-pt shot from 23 ft
3:34.0,Defensive rebound by Z. Collins,,15-20,,
3:24.0,E. Davis makes 2-pt shot at rim (assist by D. Lillard),2,17-20,,
3:03.0,Personal foul by Z. Collins (drawn by T. Gibson),,17-20,,
3:03.0,,,17-20,,G. Dieng enters the game for J. Butler
3:03.0,,,17-20,,J. Crawford enters the game for K. Towns
3:03.0,P. Connaughton enters the game for C. McCollum,,17-20,,
2:52.0,,,17-20,,J. Crawford misses 2-pt shot from 20 ft
2:48.0,Defensive rebound by P. Connaughton,,17-20,,
2:39.0,,,17-20,,Def 3 sec tech foul by T. Gibson
2:39.0,Portland full timeout,,17-20,,
2:39.0,D. Lillard makes technical free throw,1,18-20,,
2:32.0,Turnover by P. Connaughton (traveling),,18-20,,
2:21.0,,,18-20,,A. Wiggins misses 2-pt shot from 13 ft
2:19.0,Defensive rebound by P. Connaughton,,18-20,,
2:10.0,A. Aminu makes 3-pt shot from 23 ft (assist by Z. Collins),3,21-20,,
1:46.0,,,21-22,2,J. Crawford makes 2-pt shot from 5 ft
1:29.0,P. Connaughton misses 3-pt shot from 24 ft,,21-22,,
1:26.0,,,21-22,,Defensive rebound by A. Wiggins
1:16.0,,,21-24,2,T. Gibson makes 2-pt shot from 1 ft (assist by J. Teague)
0:56.0,Z. Collins misses 3-pt shot from 22 ft,,21-24,,
0:54.0,,,21-24,,Defensive rebound by Team
0:40.0,,,21-24,,J. Teague misses 2-pt shot from 11 ft (block by Z. Collins)
0:37.0,,,21-24,,Offensive rebound by J. Teague
0:36.0,,,21-24,,A. Wiggins misses 3-pt shot from 26 ft
0:33.0,Defensive rebound by Z. Collins,,21-24,,
0:24.0,A. Aminu makes 3-pt shot from 23 ft (assist by D. Lillard),3,24-24,,
0:02.0,,,24-24,,J. Teague misses 2-pt shot from 13 ft
0:02.0,Defensive rebound by D. Lillard,,24-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,24-26,2,J. Crawford makes 2-pt shot from 19 ft (assist by K. Towns)
11:44.0,,,24-26,,Shooting foul by P. Connaughton (drawn by J. Crawford)
11:44.0,,,24-27,1,J. Crawford makes free throw 1 of 1
11:25.0,Z. Collins makes 3-pt shot from 23 ft (assist by C. McCollum),3,27-27,,
11:11.0,,,27-27,,J. Crawford misses 2-pt shot from 19 ft
11:09.0,Defensive rebound by S. Napier,,27-27,,
10:48.0,Z. Collins misses 2-pt shot from 13 ft,,27-27,,
10:46.0,,,27-27,,Defensive rebound by T. Jones
10:36.0,,,27-27,,G. Dieng misses 2-pt shot from 19 ft
10:33.0,Defensive rebound by E. Davis,,27-27,,
10:26.0,C. McCollum makes 2-pt shot from 8 ft,2,29-27,,
10:08.0,,,29-29,2,K. Towns makes 2-pt shot from 1 ft (assist by J. Crawford)
9:50.0,,,29-29,,Personal foul by M. Georges-Hunt (drawn by E. Davis)
9:50.0,E. Turner enters the game for P. Connaughton,,29-29,,
9:43.0,C. McCollum makes 2-pt shot from 11 ft,2,31-29,,
9:32.0,,,31-29,,T. Jones misses 2-pt shot from 17 ft
9:28.0,,,31-29,,Offensive rebound by G. Dieng
9:26.0,,,31-29,,K. Towns misses 2-pt shot from 1 ft
9:26.0,Defensive rebound by E. Davis,,31-29,,
9:16.0,C. McCollum makes 3-pt shot from 25 ft (assist by E. Turner),3,34-29,,
9:15.0,,,34-29,,Minnesota full timeout
9:15.0,,,34-29,,J. Butler enters the game for M. Georges-Hunt
8:59.0,,,34-29,,Turnover by K. Towns (bad pass)
8:48.0,S. Napier misses 2-pt shot from 5 ft,,34-29,,
8:47.0,Offensive rebound by Team,,34-29,,
8:47.0,,,34-29,,Loose ball foul by K. Towns (drawn by E. Davis)
8:40.0,Shooting foul by T. Jones (drawn by S. Napier),,34-29,,
8:40.0,S. Napier makes free throw 1 of 2,1,35-29,,
8:40.0,S. Napier makes free throw 2 of 2,1,36-29,,
8:25.0,,,36-29,,J. Butler misses 2-pt shot from 15 ft
8:22.0,,,36-29,,Offensive rebound by K. Towns
8:20.0,,,36-31,2,K. Towns makes 2-pt shot from 7 ft
8:02.0,E. Davis misses 2-pt shot from 7 ft,,36-31,,
8:01.0,,,36-31,,Defensive rebound by J. Butler
7:49.0,,,36-34,3,K. Towns makes 3-pt shot from 25 ft (assist by T. Jones)
7:23.0,Turnover by C. McCollum (bad pass; steal by T. Jones),,36-34,,
7:17.0,,,36-34,,T. Jones misses 2-pt shot from 3 ft (block by S. Napier)
7:14.0,,,36-34,,Offensive rebound by T. Jones
7:13.0,,,36-34,,J. Butler misses 2-pt shot from 14 ft
7:13.0,Defensive rebound by E. Davis,,36-34,,
7:05.0,E. Turner misses 2-pt shot from 14 ft,,36-34,,
7:05.0,Offensive rebound by Z. Collins,,36-34,,
7:01.0,Z. Collins misses 2-pt shot at rim,,36-34,,
7:00.0,Offensive rebound by Z. Collins,,36-34,,
7:00.0,Turnover by Z. Collins (out of bounds lost ball),,36-34,,
7:00.0,J. Nurkic enters the game for E. Davis,,36-34,,
6:46.0,,,36-36,2,J. Butler makes 2-pt shot from 5 ft
6:46.0,,,36-36,,Shooting foul by E. Turner (drawn by J. Butler)
6:46.0,,,36-37,1,J. Butler makes free throw 1 of 1
6:29.0,C. McCollum makes 3-pt shot from 24 ft (assist by E. Turner),3,39-37,,
6:12.0,,,39-37,,J. Crawford misses 3-pt shot from 26 ft
6:12.0,Defensive rebound by J. Nurkic,,39-37,,
6:00.0,J. Nurkic makes 2-pt shot from 4 ft (assist by C. McCollum),2,41-37,,
5:49.0,,,41-37,,Shooting foul by J. Nurkic (drawn by K. Towns)
5:49.0,,,41-37,,K. Towns misses free throw 1 of 2
5:49.0,,,41-37,,Offensive rebound by Team
5:49.0,,,41-37,,J. Teague enters the game for T. Jones
5:49.0,,,41-37,,A. Wiggins enters the game for J. Crawford
5:49.0,A. Aminu enters the game for C. McCollum,,41-37,,
5:49.0,D. Lillard enters the game for Z. Collins,,41-37,,
5:49.0,,,41-38,1,K. Towns makes free throw 2 of 2
5:39.0,Offensive charge foul by J. Nurkic (drawn by K. Towns),,41-38,,
5:39.0,Turnover by J. Nurkic (offensive foul),,41-38,,
5:39.0,,,41-38,,T. Gibson enters the game for G. Dieng
