time,Portland,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. J. Nurkic (S. Napier gains possession),,,,Jump ball: R. Lopez vs. J. Nurkic (S. Napier gains possession)
11:40.0,E. Turner makes 2-pt shot from 12 ft,2,2-0,,
11:27.0,,,2-0,,R. Lopez misses 2-pt shot from 6 ft (block by J. Nurkic)
11:23.0,Defensive rebound by S. Napier,,2-0,,
11:19.0,S. Napier makes 2-pt shot from 1 ft (assist by E. Turner),2,4-0,,
11:07.0,,,4-2,2,R. Lopez makes 2-pt shot from 5 ft (assist by K. Dunn)
10:50.0,C. McCollum misses 2-pt shot from 17 ft,,4-2,,
10:48.0,,,4-2,,Defensive rebound by J. Holiday
10:42.0,,,4-2,,K. Dunn misses 2-pt shot from 10 ft
10:38.0,Defensive rebound by E. Turner,,4-2,,
10:29.0,E. Turner makes 2-pt shot from 18 ft,2,6-2,,
10:12.0,,,6-4,2,K. Dunn makes 2-pt shot from 1 ft
9:57.0,A. Aminu misses 2-pt shot from 2 ft (block by L. Markkanen),,6-4,,
9:55.0,,,6-4,,Defensive rebound by K. Dunn
9:52.0,,,6-4,,Offensive foul by K. Dunn (drawn by S. Napier)
9:52.0,,,6-4,,Turnover by K. Dunn (offensive foul)
9:41.0,C. McCollum misses 2-pt shot from 20 ft,,6-4,,
9:37.0,,,6-4,,Defensive rebound by K. Dunn
9:29.0,,,6-4,,D. Valentine misses 3-pt shot from 25 ft
9:25.0,Defensive rebound by A. Aminu,,6-4,,
9:15.0,E. Turner misses 3-pt shot from 22 ft,,6-4,,
9:12.0,,,6-4,,Defensive rebound by L. Markkanen
9:04.0,,,6-4,,K. Dunn misses 2-pt shot from 9 ft
9:00.0,Defensive rebound by C. McCollum,,6-4,,
8:54.0,A. Aminu makes 2-pt shot from 18 ft (assist by S. Napier),2,8-4,,
8:39.0,,,8-4,,Turnover by R. Lopez (bad pass; steal by J. Nurkic)
8:33.0,E. Turner makes 2-pt shot from 19 ft (assist by C. McCollum),2,10-4,,
8:33.0,,,10-4,,Chicago full timeout
8:11.0,,,10-4,,K. Dunn misses 2-pt shot from 14 ft
8:11.0,,,10-4,,Offensive rebound by R. Lopez
8:05.0,,,10-6,2,R. Lopez makes 2-pt shot at rim
7:54.0,C. McCollum misses 2-pt shot from 1 ft (block by R. Lopez),,10-6,,
7:49.0,,,10-6,,Defensive rebound by K. Dunn
7:40.0,,,10-6,,J. Holiday misses 2-pt shot from 14 ft
7:37.0,,,10-6,,Offensive rebound by R. Lopez
7:35.0,,,10-9,3,L. Markkanen makes 3-pt shot from 26 ft (assist by R. Lopez)
7:20.0,J. Nurkic makes 2-pt shot from 20 ft,2,12-9,,
6:56.0,,,12-11,2,K. Dunn makes 2-pt shot from 17 ft (assist by R. Lopez)
6:42.0,S. Napier misses 2-pt shot from 6 ft,,12-11,,
6:38.0,,,12-11,,Defensive rebound by D. Valentine
6:31.0,,,12-11,,R. Lopez misses 2-pt shot from 18 ft
6:28.0,Defensive rebound by J. Nurkic,,12-11,,
6:21.0,E. Turner makes 2-pt shot from 14 ft,2,14-11,,
5:57.0,,,14-13,2,R. Lopez makes 2-pt shot from 16 ft (assist by J. Holiday)
5:39.0,E. Turner makes 2-pt shot at rim,2,16-13,,
5:25.0,,,16-13,,Turnover by K. Dunn (bad pass; steal by J. Nurkic)
5:14.0,A. Aminu makes 2-pt shot from 6 ft,2,18-13,,
5:04.0,,,18-13,,Offensive foul by K. Dunn (drawn by S. Napier)
5:04.0,,,18-13,,Turnover by K. Dunn (offensive foul)
5:04.0,,,18-13,,J. Grant enters the game for K. Dunn
5:04.0,,,18-13,,D. Nwaba enters the game for D. Valentine
5:04.0,P. Connaughton enters the game for S. Napier,,18-13,,
4:55.0,P. Connaughton makes 2-pt shot from 1 ft (assist by C. McCollum),2,20-13,,
4:43.0,,,20-13,,J. Grant misses 2-pt shot from 18 ft
4:40.0,Defensive rebound by E. Turner,,20-13,,
4:15.0,P. Connaughton makes 3-pt shot from 24 ft (assist by E. Turner),3,23-13,,
