time,Golden State,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. J. McGee (J. Collins gains possession),,,,Jump ball: D. Dedmon vs. J. McGee (J. Collins gains possession)
11:40.0,,,0-2,2,D. Schroder makes 2-pt shot from 2 ft
11:21.0,S. Curry makes 2-pt shot from 1 ft (assist by D. Green),2,2-2,,
11:02.0,,,2-5,3,T. Waller-Prince makes 3-pt shot from 24 ft (assist by D. Schroder)
10:37.0,K. Durant misses 2-pt shot from 18 ft,,2-5,,
10:34.0,,,2-5,,Defensive rebound by D. Dedmon
10:20.0,,,2-5,,D. Schroder misses 2-pt shot from 9 ft
10:18.0,Defensive rebound by J. McGee,,2-5,,
10:14.0,Turnover by J. McGee (bad pass; steal by T. Waller-Prince),,2-5,,
10:06.0,,,2-5,,Turnover by T. Waller-Prince (bad pass; steal by J. McGee)
10:00.0,S. Curry misses 3-pt shot from 26 ft,,2-5,,
9:56.0,,,2-5,,Defensive rebound by K. Bazemore
9:44.0,,,2-8,3,T. Waller-Prince makes 3-pt shot from 24 ft
9:29.0,Shooting foul by J. Collins (drawn by S. Curry),,2-8,,
9:29.0,S. Curry makes free throw 1 of 2,1,3-8,,
9:29.0,S. Curry makes free throw 2 of 2,1,4-8,,
9:06.0,,,4-8,,D. Dedmon misses 2-pt shot from 9 ft (block by J. McGee)
9:06.0,,,4-8,,Offensive rebound by Team
9:05.0,,,4-8,,D. Schroder misses 3-pt shot from 32 ft
9:05.0,,,4-8,,Offensive rebound by Team
9:05.0,,,4-8,,Turnover by Team (shot clock)
8:52.0,K. Durant makes 2-pt shot from 1 ft (assist by D. Green),2,6-8,,
8:38.0,,,6-11,3,J. Collins makes 3-pt shot from 22 ft (assist by D. Schroder)
8:25.0,K. Durant makes 2-pt shot from 18 ft,2,8-11,,
8:12.0,,,8-11,,Shooting foul by D. Green (drawn by K. Bazemore)
8:12.0,,,8-11,,K. Bazemore misses free throw 1 of 2
8:12.0,,,8-11,,Offensive rebound by Team
8:12.0,,,8-12,1,K. Bazemore makes free throw 2 of 2
8:00.0,K. Durant makes 2-pt shot from 1 ft (assist by D. Green),2,10-12,,
7:46.0,,,10-12,,Turnover by T. Waller-Prince (out of bounds lost ball)
7:34.0,,,10-12,,Personal foul by T. Waller-Prince (drawn by S. Curry)
7:22.0,D. Green misses 3-pt shot from 24 ft,,10-12,,
7:19.0,Offensive rebound by Team,,10-12,,
7:14.0,Shooting foul by D. Schroder (drawn by S. Curry),,10-12,,
7:14.0,S. Curry makes free throw 1 of 3,1,11-12,,
7:14.0,S. Curry makes free throw 2 of 3,1,12-12,,
7:14.0,S. Curry makes free throw 3 of 3,1,13-12,,
6:57.0,,,13-12,,T. Waller-Prince misses 2-pt shot from 16 ft (block by K. Durant)
6:54.0,Defensive rebound by K. Thompson,,13-12,,
6:53.0,,,13-12,,Atlanta full timeout
6:50.0,Turnover by K. Durant (bad pass; steal by T. Waller-Prince),,13-12,,
6:39.0,,,13-14,2,K. Bazemore makes 2-pt shot from 13 ft
6:26.0,K. Thompson makes 3-pt shot from 25 ft (assist by D. Green),3,16-14,,
6:05.0,Personal foul by K. Thompson (drawn by K. Bazemore),,16-14,,
6:00.0,,,16-14,,Turnover by K. Bazemore (bad pass; steal by K. Thompson)
5:55.0,K. Durant makes 2-pt shot from 1 ft (assist by K. Thompson),2,18-14,,
5:34.0,,,18-14,,Turnover by T. Waller-Prince (lost ball; steal by J. McGee)
5:24.0,S. Curry makes 3-pt shot from 24 ft (assist by D. Green),3,21-14,,
5:13.0,,,21-16,2,D. Schroder makes 2-pt shot from 1 ft
5:13.0,Violation by J. McGee (def goaltending),,21-16,,
4:56.0,J. McGee makes 2-pt shot from 1 ft (assist by K. Thompson),2,23-16,,
