time,Oklahoma City,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. S. Adams (C. Anthony gains possession),,,,Jump ball: A. Davis vs. S. Adams (C. Anthony gains possession)
11:45.0,Jump ball: D. Cousins vs. S. Adams (A. Davis gains possession),,,,Jump ball: D. Cousins vs. S. Adams (A. Davis gains possession)
11:45.0,Turnover by S. Adams (lost ball; steal by D. Cousins),,0-0,,
11:23.0,,,0-0,,J. Holiday misses 3-pt shot from 25 ft
11:22.0,Defensive rebound by R. Westbrook,,0-0,,
11:15.0,R. Westbrook makes 2-pt shot from 18 ft,2,2-0,,
11:02.0,,,2-0,,A. Davis misses 2-pt shot from 5 ft
11:00.0,Defensive rebound by R. Westbrook,,2-0,,
10:49.0,C. Anthony misses 2-pt shot from 15 ft (block by A. Davis),,2-0,,
10:48.0,,,2-0,,Defensive rebound by A. Davis
10:34.0,,,2-0,,E. Moore misses 3-pt shot from 25 ft
10:33.0,Defensive rebound by S. Adams,,2-0,,
10:23.0,P. George makes 3-pt shot from 25 ft (assist by R. Westbrook),3,5-0,,
10:13.0,,,5-0,,D. Cousins misses 3-pt shot from 25 ft
10:12.0,Defensive rebound by A. Roberson,,5-0,,
10:03.0,C. Anthony misses 2-pt shot from 18 ft,,5-0,,
10:00.0,Offensive rebound by Team,,5-0,,
9:47.0,P. George makes 3-pt shot from 23 ft (assist by C. Anthony),3,8-0,,
9:39.0,,,8-0,,J. Holiday misses 2-pt shot from 2 ft (block by A. Roberson)
9:38.0,,,8-0,,Offensive rebound by J. Holiday
9:33.0,,,8-0,,Shooting foul by S. Adams (drawn by A. Davis)
9:33.0,,,8-1,1,A. Davis makes free throw 1 of 2
9:33.0,,,8-2,1,A. Davis makes free throw 2 of 2
9:27.0,,,8-2,,Personal foul by R. Rondo (drawn by P. George)
9:18.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,10-2,,
9:10.0,,,10-2,,Turnover by D. Cousins (bad pass; steal by C. Anthony)
9:05.0,P. George makes 3-pt shot from 26 ft,3,13-2,,
8:51.0,,,13-2,,New Orleans full timeout
8:38.0,,,13-2,,J. Holiday misses 2-pt shot from 19 ft
8:37.0,Defensive rebound by P. George,,13-2,,
8:24.0,C. Anthony makes 2-pt shot from 6 ft (assist by R. Westbrook),2,15-2,,
8:03.0,Personal foul by S. Adams (drawn by D. Cousins),,15-2,,
8:02.0,J. Grant enters the game for S. Adams,,15-2,,
7:59.0,,,15-2,,Turnover by D. Cousins (bad pass; steal by C. Anthony)
7:55.0,R. Westbrook makes 2-pt shot from 1 ft (assist by P. George),2,17-2,,
7:46.0,,,17-4,2,D. Cousins makes 2-pt shot from 1 ft
7:29.0,C. Anthony misses 2-pt shot from 21 ft,,17-4,,
7:27.0,,,17-4,,Defensive rebound by D. Cousins
7:22.0,,,17-6,2,A. Davis makes 2-pt shot from 4 ft
7:22.0,Violation by A. Roberson (def goaltending),,17-6,,
7:09.0,A. Roberson makes 2-pt shot at rim (assist by C. Anthony),2,19-6,,
6:56.0,,,19-6,,A. Davis misses 2-pt shot from 2 ft
6:53.0,Defensive rebound by R. Westbrook,,19-6,,
6:45.0,J. Grant misses 2-pt shot from 5 ft (block by A. Davis),,19-6,,
6:44.0,,,19-6,,Defensive rebound by A. Davis
6:43.0,,,19-6,,Turnover by A. Davis (bad pass; steal by P. George)
6:38.0,C. Anthony makes 3-pt shot from 25 ft (assist by J. Grant),3,22-6,,
6:22.0,,,22-6,,Turnover by E. Moore (lost ball; steal by P. George)
6:22.0,,,22-6,,Violation by E. Moore (kicked ball)
6:22.0,A. Abrines enters the game for P. George,,22-6,,
6:14.0,C. Anthony misses 3-pt shot from 23 ft,,22-6,,
6:13.0,Offensive rebound by R. Westbrook,,22-6,,
6:09.0,A. Abrines makes 3-pt shot from 26 ft (assist by R. Westbrook),3,25-6,,
6:03.0,,,25-6,,New Orleans full timeout
5:45.0,,,25-6,,Turnover by A. Davis (bad pass; steal by C. Anthony)
5:41.0,J. Grant misses 2-pt shot from 1 ft,,25-6,,
5:39.0,,,25-6,,Defensive rebound by J. Holiday
5:31.0,,,25-8,2,J. Holiday makes 2-pt shot from 1 ft
5:31.0,,,25-8,,Shooting foul by J. Grant (drawn by J. Holiday)
5:31.0,,,25-8,,J. Holiday misses free throw 1 of 1
5:28.0,Defensive rebound by C. Anthony,,25-8,,
5:17.0,R. Westbrook misses 2-pt shot from 19 ft,,25-8,,
5:16.0,,,25-8,,Defensive rebound by D. Cousins
5:04.0,,,25-10,2,E. Moore makes 2-pt shot from 2 ft (assist by D. Cousins)
