time,Denver,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Nurkic vs. M. Plumlee (A. Aminu gains possession),,,,Jump ball: J. Nurkic vs. M. Plumlee (A. Aminu gains possession)
11:38.0,,,0-2,2,J. Nurkic makes 2-pt shot from 5 ft (assist by C. McCollum)
11:28.0,,,0-2,,Personal foul by A. Aminu (drawn by N. Jokic)
11:21.0,G. Harris makes 2-pt shot from 2 ft,2,2-2,,
11:04.0,,,2-4,2,J. Nurkic makes 2-pt shot from 8 ft (assist by E. Turner)
10:53.0,,,2-4,,Personal foul by J. Layman (drawn by W. Chandler)
10:47.0,J. Murray misses 2-pt shot from 2 ft,,2-4,,
10:44.0,,,2-4,,Defensive rebound by A. Aminu
10:36.0,,,2-4,,A. Aminu misses 3-pt shot from 24 ft
10:34.0,Defensive rebound by J. Murray,,2-4,,
10:26.0,W. Chandler makes 2-pt shot from 3 ft,2,4-4,,
10:10.0,,,4-4,,J. Nurkic misses 2-pt shot from 6 ft
10:10.0,Defensive rebound by N. Jokic,,4-4,,
9:59.0,M. Plumlee misses 2-pt shot from 4 ft (block by A. Aminu),,4-4,,
9:58.0,Offensive rebound by M. Plumlee,,4-4,,
9:56.0,M. Plumlee makes 2-pt shot from 2 ft,2,6-4,,
9:39.0,,,6-4,,C. McCollum misses 2-pt shot from 14 ft
9:39.0,Defensive rebound by W. Chandler,,6-4,,
9:22.0,N. Jokic misses 2-pt shot from 5 ft,,6-4,,
9:22.0,N. Jokic misses 2-pt shot from 5 ft,,6-4,,
9:22.0,Offensive rebound by N. Jokic,,6-4,,
9:22.0,Offensive rebound by N. Jokic,,6-4,,
9:19.0,M. Plumlee makes 2-pt shot at rim,2,8-4,,
9:03.0,,,8-7,3,A. Aminu makes 3-pt shot from 23 ft (assist by J. Layman)
8:41.0,J. Murray makes 2-pt shot from 11 ft (assist by M. Plumlee),2,10-7,,
8:29.0,,,10-7,,C. McCollum misses 2-pt shot from 5 ft (block by N. Jokic)
8:29.0,Defensive rebound by W. Chandler,,10-7,,
8:13.0,G. Harris misses 3-pt shot from 27 ft,,10-7,,
8:13.0,,,10-7,,Defensive rebound by J. Layman
7:59.0,,,10-7,,Turnover by E. Turner (bad pass)
7:47.0,W. Chandler makes 2-pt shot from 8 ft,2,12-7,,
7:47.0,Shooting foul by J. Layman (drawn by W. Chandler),,12-7,,
7:47.0,W. Chandler makes free throw 1 of 1,1,13-7,,
7:30.0,,,13-7,,J. Nurkic misses 2-pt shot from 10 ft
7:28.0,Defensive rebound by W. Chandler,,13-7,,
7:25.0,Turnover by W. Chandler (out of bounds lost ball),,13-7,,
7:05.0,,,13-7,,A. Aminu misses 2-pt shot from 1 ft (block by M. Plumlee)
7:05.0,,,13-7,,Offensive rebound by Team
7:01.0,,,13-7,,J. Layman misses 2-pt shot from 13 ft
6:57.0,Defensive rebound by M. Plumlee,,13-7,,
6:38.0,M. Plumlee misses 2-pt shot from 18 ft,,13-7,,
6:35.0,,,13-7,,Defensive rebound by A. Aminu
6:28.0,,,13-9,2,J. Nurkic makes 2-pt shot from 1 ft
6:10.0,N. Jokic makes 2-pt shot from 4 ft,2,15-9,,
6:09.0,,,15-9,,Portland full timeout
6:09.0,,,15-9,,S. Napier enters the game for J. Layman
5:53.0,,,15-11,2,C. McCollum makes 2-pt shot from 12 ft
5:27.0,G. Harris misses 2-pt shot from 16 ft,,15-11,,
5:23.0,,,15-11,,Defensive rebound by A. Aminu
5:15.0,,,15-11,,C. McCollum misses 3-pt shot from 25 ft
5:13.0,Defensive rebound by J. Murray,,15-11,,
5:09.0,W. Chandler makes 2-pt shot from 1 ft (assist by J. Murray),2,17-11,,
4:46.0,,,17-11,,Offensive charge foul by A. Aminu (drawn by M. Plumlee)
4:46.0,,,17-11,,Turnover by A. Aminu (offensive foul)
4:46.0,,,17-11,,Z. Collins enters the game for A. Aminu
4:46.0,,,17-11,,E. Davis enters the game for J. Nurkic
