time,Philadelphia,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: H. Whiteside vs. J. Embiid (D. Saric gains possession),,,,Jump ball: H. Whiteside vs. J. Embiid (D. Saric gains possession)
11:41.0,J. Embiid makes 2-pt shot from 10 ft,2,2-0,,
11:23.0,,,2-0,,H. Whiteside misses 2-pt shot from 13 ft
11:21.0,Defensive rebound by B. Simmons,,2-0,,
11:14.0,Turnover by D. Saric (bad pass; steal by T. Johnson),,2-0,,
11:08.0,,,2-0,,J. Richardson misses 2-pt shot from 12 ft
11:06.0,Defensive rebound by B. Simmons,,2-0,,
11:05.0,Offensive charge foul by B. Simmons (drawn by J. Richardson),,2-0,,
11:05.0,Turnover by B. Simmons (offensive foul),,2-0,,
10:44.0,,,2-0,,J. Richardson misses 3-pt shot from 23 ft
10:42.0,Defensive rebound by J. Embiid,,2-0,,
10:32.0,R. Covington misses 3-pt shot from 23 ft,,2-0,,
10:30.0,,,2-0,,Defensive rebound by G. Dragic
10:19.0,,,2-2,2,G. Dragic makes 2-pt shot from 1 ft
10:02.0,J. Embiid misses 2-pt shot from 11 ft,,2-2,,
10:02.0,Offensive rebound by Team,,2-2,,
10:02.0,,,2-2,,Loose ball foul by J. Winslow (drawn by D. Saric)
9:58.0,D. Saric makes 2-pt shot at rim (assist by R. Covington),2,4-2,,
9:48.0,Personal foul by R. Covington (drawn by G. Dragic),,4-2,,
9:39.0,,,4-2,,T. Johnson misses 2-pt shot from 8 ft
9:36.0,Defensive rebound by R. Covington,,4-2,,
9:32.0,D. Saric misses 2-pt shot from 1 ft (block by J. Winslow),,4-2,,
9:28.0,,,4-2,,Defensive rebound by G. Dragic
9:22.0,,,4-4,2,T. Johnson makes 2-pt shot from 7 ft (assist by G. Dragic)
9:06.0,J. Embiid makes 2-pt shot from 18 ft (assist by B. Simmons),2,6-4,,
8:52.0,,,6-4,,H. Whiteside misses 2-pt shot from 19 ft
8:49.0,Defensive rebound by J. Redick,,6-4,,
8:44.0,B. Simmons misses 2-pt shot from 1 ft,,6-4,,
8:44.0,Offensive rebound by Team,,6-4,,
8:41.0,J. Redick misses 3-pt shot from 22 ft,,6-4,,
8:38.0,,,6-4,,Defensive rebound by H. Whiteside
8:30.0,,,6-6,2,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic)
8:20.0,J. Embiid makes 3-pt shot from 25 ft (assist by B. Simmons),3,9-6,,
8:01.0,,,9-6,,Turnover by T. Johnson (bad pass; steal by R. Covington)
8:00.0,,,9-6,,Personal foul by G. Dragic (drawn by R. Covington)
8:00.0,M. Belinelli enters the game for J. Redick,,9-6,,
7:48.0,M. Belinelli makes 2-pt shot from 1 ft (assist by J. Embiid),2,11-6,,
7:37.0,,,11-8,2,G. Dragic makes 2-pt shot from 16 ft
7:26.0,D. Saric misses 3-pt shot from 25 ft,,11-8,,
7:23.0,,,11-8,,Defensive rebound by J. Winslow
7:20.0,,,11-10,2,T. Johnson makes 2-pt shot from 20 ft (assist by J. Winslow)
7:07.0,J. Embiid misses 3-pt shot from 25 ft,,11-10,,
7:05.0,,,11-10,,Defensive rebound by T. Johnson
6:58.0,,,11-12,2,G. Dragic makes 2-pt shot from 12 ft
6:58.0,Philadelphia full timeout,,11-12,,
6:58.0,A. Johnson enters the game for J. Embiid,,11-12,,
6:41.0,B. Simmons makes 2-pt shot from 11 ft,2,13-12,,
6:23.0,,,13-12,,G. Dragic misses 3-pt shot from 22 ft
6:21.0,,,13-12,,Offensive rebound by H. Whiteside
6:17.0,,,13-12,,Turnover by H. Whiteside (lost ball; steal by B. Simmons)
6:05.0,B. Simmons misses 2-pt shot from 6 ft,,13-12,,
6:02.0,,,13-12,,Defensive rebound by G. Dragic
5:48.0,,,13-12,,Turnover by J. Winslow (traveling)
5:48.0,,,13-12,,W. Ellington enters the game for J. Richardson
5:48.0,T. McConnell enters the game for R. Covington,,13-12,,
5:33.0,D. Saric misses 2-pt shot from 7 ft,,13-12,,
5:32.0,,,13-12,,Defensive rebound by Team
5:23.0,,,13-12,,Shooting foul by B. Simmons (drawn by W. Ellington)
5:23.0,,,13-13,1,W. Ellington makes free throw 1 of 2
5:23.0,,,13-14,1,W. Ellington makes free throw 2 of 2
5:03.0,B. Simmons misses 2-pt shot from 14 ft,,13-14,,
4:58.0,,,13-14,,Defensive rebound by W. Ellington
4:50.0,,,13-16,2,T. Johnson makes 2-pt shot from 16 ft
4:40.0,D. Saric misses 3-pt shot from 25 ft,,13-16,,
4:38.0,,,13-16,,Defensive rebound by G. Dragic
4:31.0,,,13-16,,T. Johnson misses 3-pt shot from 25 ft
4:28.0,Defensive rebound by D. Saric,,13-16,,
4:17.0,T. McConnell makes 2-pt shot from 1 ft,2,15-16,,
4:06.0,Personal foul by D. Saric (drawn by J. Winslow),,15-16,,
4:06.0,,,15-16,,J. Johnson enters the game for J. Winslow
4:06.0,J. Embiid enters the game for A. Johnson,,15-16,,
4:06.0,J. Redick enters the game for D. Saric,,15-16,,
4:06.0,R. Holmes enters the game for B. Simmons,,15-16,,
3:56.0,,,15-16,,G. Dragic misses 2-pt shot from 17 ft
3:54.0,,,15-16,,Offensive rebound by G. Dragic
3:47.0,,,15-16,,T. Johnson misses 3-pt shot from 25 ft
3:44.0,Defensive rebound by R. Holmes,,15-16,,
3:37.0,Turnover by R. Holmes (traveling),,15-16,,
3:37.0,,,15-16,,D. Wade enters the game for G. Dragic
3:22.0,,,15-16,,Shooting foul by M. Belinelli (drawn by H. Whiteside)
3:22.0,,,15-16,,H. Whiteside misses free throw 1 of 2
3:22.0,,,15-16,,Offensive rebound by Team
3:22.0,,,15-17,1,H. Whiteside makes free throw 2 of 2
3:07.0,,,15-17,,B. Adebayo enters the game for H. Whiteside
3:03.0,Shooting foul by J. Johnson (drawn by R. Holmes),,15-17,,
3:03.0,R. Holmes makes free throw 1 of 2,1,16-17,,
3:03.0,R. Holmes makes free throw 2 of 2,1,17-17,,
2:45.0,,,17-17,,D. Wade misses 2-pt shot from 5 ft
2:41.0,,,17-17,,Offensive rebound by B. Adebayo
2:40.0,,,17-17,,Turnover by J. Johnson (bad pass; steal by T. McConnell)
