time,New Orleans,pts.away,score,pts.home,Chicago
5:20.0,,,13-11,2,R. Lopez makes 2-pt shot from 17 ft (assist by J. Grant)
4:52.0,D. Cousins misses 3-pt shot from 22 ft,,13-11,,
4:52.0,Offensive rebound by Team,,13-11,,
4:52.0,Turnover by Team (shot clock),,13-11,,
4:32.0,,,13-11,,R. Lopez misses 2-pt shot from 18 ft
4:28.0,Defensive rebound by D. Cunningham,,13-11,,
4:25.0,,,13-11,,Violation by J. Grant (kicked ball)
4:25.0,,,13-11,,D. Valentine enters the game for J. Grant
4:25.0,,,13-11,,K. Dunn enters the game for D. Nwaba
4:25.0,,,13-11,,P. Zipser enters the game for L. Markkanen
4:25.0,J. Nelson enters the game for J. Holiday,,13-11,,
4:09.0,A. Davis makes 2-pt shot from 5 ft (assist by E. Moore),2,15-11,,
3:51.0,,,15-11,,P. Zipser misses 2-pt shot from 4 ft (block by A. Davis)
3:49.0,,,15-11,,Offensive rebound by D. Valentine
3:43.0,,,15-11,,P. Zipser misses 3-pt shot from 26 ft
3:43.0,Defensive rebound by D. Cunningham,,15-11,,
3:31.0,Turnover by J. Nelson (bad pass; steal by P. Zipser),,15-11,,
3:24.0,,,15-11,,J. Holiday misses 3-pt shot from 23 ft
3:21.0,Defensive rebound by A. Davis,,15-11,,
3:15.0,D. Cousins misses 3-pt shot from 26 ft,,15-11,,
3:15.0,,,15-11,,Defensive rebound by K. Dunn
3:01.0,,,15-13,2,R. Lopez makes 2-pt shot at rim (assist by K. Dunn)
2:36.0,E. Moore misses 2-pt shot from 19 ft,,15-13,,
2:33.0,,,15-13,,Defensive rebound by J. Holiday
2:27.0,,,15-13,,Turnover by K. Dunn (out of bounds lost ball)
2:27.0,New Orleans full timeout,,15-13,,
2:27.0,T. Allen enters the game for A. Davis,,15-13,,
2:27.0,D. Miller enters the game for D. Cunningham,,15-13,,
2:11.0,D. Cousins misses 2-pt shot from 19 ft,,15-13,,
2:06.0,,,15-13,,Defensive rebound by P. Zipser
1:56.0,,,15-16,3,J. Holiday makes 3-pt shot from 24 ft (assist by R. Lopez)
1:30.0,Turnover by J. Nelson (bad pass; steal by K. Dunn),,15-16,,
1:22.0,,,15-16,,Turnover by K. Dunn (bad pass; steal by T. Allen)
1:15.0,T. Allen misses 2-pt shot from 3 ft (block by R. Lopez),,15-16,,
1:11.0,,,15-16,,Defensive rebound by R. Lopez
1:00.0,,,15-18,2,K. Dunn makes 2-pt shot from 2 ft
0:49.0,T. Allen misses 2-pt shot from 1 ft,,15-18,,
0:47.0,Offensive rebound by T. Allen,,15-18,,
0:47.0,T. Allen makes 2-pt shot at rim,2,17-18,,
0:36.0,,,17-18,,Shooting foul by T. Allen (drawn by J. Holiday)
0:36.0,,,17-19,1,J. Holiday makes free throw 1 of 2
0:36.0,,,17-19,,J. Holiday misses free throw 2 of 2
0:33.0,,,17-19,,Offensive rebound by K. Dunn
0:30.0,,,17-19,,J. Holiday misses 3-pt shot from 24 ft
0:27.0,Defensive rebound by J. Nelson,,17-19,,
0:15.0,D. Cousins misses 2-pt shot from 21 ft,,17-19,,
0:12.0,,,17-19,,Defensive rebound by J. Holiday
0:01.0,,,17-19,,Turnover by K. Dunn (lost ball; steal by J. Nelson)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,Shooting foul by Q. Pondexter (drawn by T. Allen),,17-19,,
11:43.0,T. Allen misses free throw 1 of 2,,17-19,,
11:43.0,Offensive rebound by Team,,17-19,,
11:43.0,T. Allen misses free throw 2 of 2,,17-19,,
11:40.0,,,17-19,,Defensive rebound by Q. Pondexter
11:20.0,,,17-22,3,D. Valentine makes 3-pt shot from 26 ft (assist by K. Dunn)
11:01.0,A. Davis misses 2-pt shot from 20 ft,,17-22,,
10:58.0,,,17-22,,Defensive rebound by K. Dunn
10:45.0,,,17-22,,Q. Pondexter misses 3-pt shot from 25 ft
10:42.0,Defensive rebound by A. Davis,,17-22,,
10:26.0,J. Holiday misses 3-pt shot from 25 ft,,17-22,,
10:26.0,,,17-22,,Defensive rebound by Team
10:15.0,,,17-22,,D. Valentine misses 3-pt shot from 25 ft
10:11.0,,,17-22,,Offensive rebound by C. Felicio
10:05.0,,,17-22,,K. Dunn misses 3-pt shot from 26 ft
10:03.0,Defensive rebound by D. Miller,,17-22,,
9:53.0,J. Holiday makes 2-pt shot from 2 ft,2,19-22,,
9:34.0,,,19-22,,Turnover by Q. Pondexter (bad pass)
9:25.0,A. Davis makes 2-pt shot from 1 ft (assist by J. Holiday),2,21-22,,
9:00.0,,,21-22,,K. Dunn misses 3-pt shot from 26 ft
8:58.0,Defensive rebound by A. Davis,,21-22,,
8:54.0,,,21-22,,Shooting block foul by C. Felicio (drawn by A. Davis)
8:54.0,A. Davis makes free throw 1 of 2,1,22-22,,
8:54.0,A. Davis makes free throw 2 of 2,1,23-22,,
8:38.0,,,23-22,,K. Dunn misses 2-pt shot from 15 ft
8:34.0,Defensive rebound by J. Nelson,,23-22,,
8:28.0,,,23-22,,Personal foul by C. Felicio (drawn by A. Davis)
8:28.0,,,23-22,,D. Nwaba enters the game for Q. Pondexter
8:17.0,D. Miller misses 2-pt shot from 19 ft,,23-22,,
8:14.0,,,23-22,,Defensive rebound by D. Valentine
7:59.0,,,23-22,,P. Zipser misses 3-pt shot from 22 ft
